Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Sphecodes_levis,27,4.8685,5.6894,500,0.9987,4,4.1279,0.9893,0.0076,10027,23.9945,1.6340,2.1006,1.7566,1.4106,10.1244,2.5802,0.1404,0.0000,3.2556,0.0156,7.2085,21.2728,0.0000,2.9114,0.7569,0.2428,0.2296,0.0000,0.0000,0.0079,9.5523,0.0000,0.5350,0.0321,2.0168,7.1208,0.0000,1.1003,0.0000,0.0000,4.3574,0.0033,1.0000,0.0007,0.1671,0.0000,0.0000,7.806E-4,5.0000,0.0082,0.0311,0.0000,0.2500,1.177E-4,10.0000,0.0386,0.0090,0.0000,0.2500,2.873E-6,21.3764,0.6140,0.0026,0.0000,0.2500,6.96E-8,23.7085,0.6454,0.0026,0.0370,0.2500,6.96E-8,21.3764,0.6140,0.0026,0.0000,0.2500,6.96E-8,21.3764,0.6140,0.0026,0.0000,0.2500,6.96E-8,4.4438,0.0064,0.0370,0.0000,0.0000,1.874E-6,4.4438,0.0064,0.0370,0.0000,0.0000,1.874E-6,2.9569,0.0031,0.0630,0.0000,0.0000,1.578E-5,10.7692,0.0508,0.0078,0.0000,0.2500,1.872E-6
Sphecodes_levis,28,4.8151,5.6352,500,0.9986,3,5.6468,0.9984,0.0004,10028,12.7551,4.3783,2.0887,2.4639,4.3451,11.5423,2.2287,0.0607,0.0000,9.8600,0.0000,2.9474,24.6728,0.0000,3.7944,0.2765,0.3101,0.1930,0.0000,0.0000,0.0000,6.1565,0.0000,0.3268,0.0168,2.1203,6.3254,0.0000,3.1370,0.0000,0.0000,4.4226,0.0035,1.0000,0.0007,0.1693,0.0000,0.0000,4.855E-3,5.0000,0.0092,0.0327,0.0000,0.0000,3.499E-5,10.0000,0.0353,0.0104,0.0000,0.0000,1.115E-6,22.0094,0.6217,0.0028,0.0000,0.0000,2.177E-8,31.4820,0.6752,0.0023,0.0714,0.0000,1.207E-8,22.0094,0.6217,0.0028,0.0000,0.0000,2.177E-8,22.0094,0.6217,0.0028,0.0000,0.0000,2.177E-8,31.4820,0.6752,0.0023,0.0714,0.0000,1.207E-8,31.4820,0.6752,0.0023,0.0714,0.0000,1.207E-8,2.8636,0.0033,0.0663,0.0000,0.0000,2.916E-4,11.0636,0.0458,0.0083,0.0000,0.0000,5.67E-7
Sphecodes_levis,28,4.7855,5.6304,500,0.9986,3,5.5986,0.9982,0.0005,10028,15.8234,0.0244,6.2137,0.5341,1.8629,8.8064,2.3839,0.0166,0.0000,8.3608,0.0109,4.3679,24.5728,0.0000,4.2739,0.8361,0.2852,0.2000,0.0000,0.0000,0.0000,9.4449,0.0000,0.4254,0.0207,3.1371,6.7413,0.0000,1.6577,0.0000,0.0000,4.4459,0.0036,1.0000,0.0007,0.1817,0.0000,0.0000,5.998E-3,5.0000,0.0085,0.0353,0.0000,0.0000,4.399E-5,10.0000,0.0334,0.0110,0.0000,0.0000,1.32E-6,22.3720,0.6299,0.0027,0.0000,0.0000,1.952E-8,31.8556,0.6789,0.0023,0.0714,0.0000,1.207E-8,22.3720,0.6299,0.0027,0.0000,0.0000,1.952E-8,22.3720,0.6299,0.0027,0.0000,0.0000,1.952E-8,31.8556,0.6789,0.0023,0.0714,0.0000,1.207E-8,31.8556,0.6789,0.0023,0.0714,0.0000,1.207E-8,3.0409,0.0034,0.0670,0.0000,0.0000,3.009E-4,11.1699,0.0434,0.0085,0.0000,0.0000,6.09E-7
Sphecodes_levis,28,4.7855,5.6395,500,0.9986,3,5.6990,0.9988,0.0003,10028,8.4451,7.1504,3.6616,2.2273,3.0478,9.1572,2.3055,0.9134,0.0000,10.9963,0.0109,4.8548,23.2278,0.0000,0.7452,0.9483,0.3018,0.1521,0.0000,0.0000,0.0000,8.5934,0.0000,0.4707,0.0216,4.0608,6.7716,0.0000,1.9363,0.0000,0.0000,4.4098,0.0034,1.0000,0.0007,0.1655,0.0000,0.0000,4.536E-3,5.0000,0.0093,0.0316,0.0000,0.0000,3.159E-5,10.0000,0.0367,0.0098,0.0000,0.0000,9.333E-7,21.9581,0.6258,0.0028,0.0000,0.0000,2.177E-8,37.4182,0.6871,0.0021,0.0714,0.0000,9.184E-9,21.9581,0.6258,0.0028,0.0000,0.0000,2.177E-8,21.9581,0.6258,0.0028,0.0000,0.0000,2.177E-8,48.2805,0.6917,0.0017,0.2857,0.0000,4.872E-9,48.2805,0.6917,0.0017,0.2857,0.0000,4.872E-9,2.8418,0.0033,0.0644,0.0000,0.0000,2.673E-4,10.8442,0.0477,0.0082,0.0000,0.0000,5.468E-7
Sphecodes_levis,28,4.8524,5.6523,500,0.9986,3,4.0247,0.9931,0.0049,10028,7.4282,9.1853,4.3509,3.3961,3.4535,5.3089,2.0598,1.2551,0.0000,10.0307,0.0008,5.2464,18.7399,0.0000,0.4272,0.0894,0.3200,0.2588,0.0000,0.0000,0.0194,13.0916,0.0000,0.4174,0.0193,4.3358,8.4777,0.0000,2.0877,0.0000,0.0000,4.3578,0.0033,1.0000,0.0007,0.1589,0.0000,0.0000,4.009E-3,5.0000,0.0085,0.0290,0.0000,0.0000,2.444E-5,10.0000,0.0440,0.0079,0.0000,0.3333,1.852E-4,20.9319,0.5946,0.0027,0.0000,0.3333,2.171E-5,26.2679,0.6822,0.0026,0.0714,0.3333,2.013E-5,20.9319,0.5946,0.0027,0.0000,0.3333,2.171E-5,20.9319,0.5946,0.0027,0.0000,0.3333,2.171E-5,6.4482,0.0140,0.0188,0.0000,0.0000,6.695E-6,6.4482,0.0140,0.0188,0.0000,0.0000,6.695E-6,2.7849,0.0031,0.0628,0.0000,0.0000,2.48E-4,10.0723,0.0446,0.0078,0.0000,0.3333,1.806E-4
Sphecodes_levis,28,4.8072,5.6384,500,0.9986,3,5.6228,0.9983,0.0004,10028,10.8316,4.6348,4.1517,1.0624,4.9664,10.3304,2.1508,0.7507,0.0000,10.5914,0.0002,3.5160,23.8003,0.0000,1.4387,0.6069,0.2944,0.1683,0.0000,0.0000,0.0000,8.9085,0.0000,0.5460,0.0292,3.2273,7.4674,0.0000,0.5023,0.0241,0.0000,4.4056,0.0034,1.0000,0.0007,0.1699,0.0000,0.0000,4.906E-3,5.0000,0.0087,0.0324,0.0000,0.0000,3.404E-5,10.0000,0.0352,0.0098,0.0000,0.0000,9.333E-7,21.7462,0.6285,0.0028,0.0000,0.0000,2.177E-8,31.3512,0.6725,0.0023,0.0714,0.0000,1.207E-8,21.7462,0.6285,0.0028,0.0000,0.0000,2.177E-8,21.7462,0.6285,0.0028,0.0000,0.0000,2.177E-8,31.3512,0.6725,0.0023,0.0714,0.0000,1.207E-8,31.3512,0.6725,0.0023,0.0714,0.0000,1.207E-8,2.9496,0.0033,0.0640,0.0000,0.0000,2.624E-4,10.8905,0.0440,0.0081,0.0000,0.0000,5.27E-7
Sphecodes_levis,28,4.8773,5.6651,500,0.9986,3,3.3004,0.9707,0.0228,10028,11.2912,2.1976,4.7136,3.5510,2.7334,11.6794,3.1467,0.0833,0.0000,10.1210,0.0000,3.9709,23.9264,0.0000,0.4407,1.1907,0.3392,0.1704,0.0000,0.0000,0.0000,9.2166,0.0000,0.5480,0.0134,1.8298,5.8531,0.0000,2.9837,0.0000,0.0000,4.3416,0.0032,1.0000,0.0006,0.1522,0.0000,0.0000,3.524E-3,5.0000,0.0103,0.0274,0.0000,0.3333,2.215E-3,10.0000,0.0428,0.0082,0.0000,0.3333,1.995E-4,20.3706,0.6072,0.0027,0.0000,0.3333,2.171E-5,33.6082,0.6788,0.0022,0.0714,0.3333,1.442E-5,20.3706,0.6072,0.0027,0.0000,0.3333,2.171E-5,20.3706,0.6072,0.0027,0.0000,0.3333,2.171E-5,1.9347,0.0018,0.0851,0.0000,0.0000,6.155E-4,1.9347,0.0018,0.0851,0.0000,0.0000,6.155E-4,2.7187,0.0030,0.0590,0.0000,0.3333,1.004E-2,10.4131,0.0456,0.0076,0.0000,0.3333,1.714E-4
Sphecodes_levis,28,4.7760,5.6290,500,0.9986,3,5.7278,0.9992,0.0002,10028,12.7074,4.4756,5.0717,1.5110,3.1603,7.7722,3.5537,0.0645,0.0000,9.0706,0.0070,4.7395,23.5993,0.0000,3.8838,0.5295,0.3358,0.2308,0.0000,0.0000,0.0000,6.5931,0.0000,0.5461,0.0093,4.1171,7.1853,0.0000,0.8361,0.0000,0.0000,4.4481,0.0036,1.0000,0.0007,0.1819,0.0000,0.0000,6.018E-3,5.0000,0.0080,0.0362,0.0000,0.0000,4.743E-5,10.0000,0.0332,0.0111,0.0000,0.0000,1.356E-6,22.3036,0.6135,0.0027,0.0000,0.0000,1.952E-8,26.9071,0.6960,0.0026,0.0714,0.0000,1.743E-8,22.3036,0.6135,0.0027,0.0000,0.0000,1.952E-8,22.3036,0.6135,0.0027,0.0000,0.0000,1.952E-8,62.7485,0.7092,0.0012,0.4286,0.0000,1.714E-9,62.7485,0.7092,0.0012,0.4286,0.0000,1.714E-9,3.0208,0.0034,0.0686,0.0000,0.0000,3.229E-4,11.1737,0.0440,0.0085,0.0000,0.0000,6.09E-7
Sphecodes_levis,28,4.8039,5.6364,500,0.9986,3,5.4667,0.9977,0.0004,10028,16.7390,8.3594,1.7444,3.2146,2.3475,11.6317,2.2729,0.9035,0.0000,1.7350,0.0000,7.6653,19.2104,0.0000,2.8870,0.8586,0.3240,0.1172,0.0000,0.0000,0.0000,8.6306,0.0000,0.5432,0.0422,2.3000,7.0186,0.0000,1.4548,0.0000,0.0000,4.4106,0.0034,1.0000,0.0007,0.1708,0.0000,0.0000,4.985E-3,5.0000,0.0086,0.0332,0.0000,0.0000,3.662E-5,10.0000,0.0347,0.0101,0.0000,0.0000,1.022E-6,21.7161,0.6174,0.0027,0.0000,0.0000,1.952E-8,30.5322,0.6519,0.0023,0.0714,0.0000,1.207E-8,21.7161,0.6174,0.0027,0.0000,0.0000,1.952E-8,21.7161,0.6174,0.0027,0.0000,0.0000,1.952E-8,30.5322,0.6519,0.0023,0.0714,0.0000,1.207E-8,30.5322,0.6519,0.0023,0.0714,0.0000,1.207E-8,2.9481,0.0033,0.0651,0.0000,0.0000,2.761E-4,10.9589,0.0434,0.0082,0.0000,0.0000,5.468E-7
Sphecodes_levis,28,4.8063,5.6434,500,0.9986,3,5.7066,0.9990,0.0003,10028,9.1456,6.3164,4.8530,2.2556,2.9293,10.2539,1.6354,0.9466,0.0000,11.0386,0.0010,3.5371,23.3056,0.0000,0.7684,0.2289,0.3289,0.1876,0.0000,0.0000,0.0000,8.7219,0.0000,0.5415,0.0181,4.0662,6.4482,0.0000,2.3797,0.0926,0.0000,4.4063,0.0034,1.0000,0.0007,0.1624,0.0000,0.0000,4.287E-3,5.0000,0.0091,0.0316,0.0000,0.0000,3.159E-5,10.0000,0.0364,0.0098,0.0000,0.0000,9.333E-7,21.7722,0.6235,0.0027,0.0000,0.0000,1.952E-8,26.5966,0.6876,0.0026,0.0714,0.0000,1.743E-8,21.7722,0.6235,0.0027,0.0000,0.0000,1.952E-8,21.7722,0.6235,0.0027,0.0000,0.0000,1.952E-8,50.9792,0.6922,0.0016,0.3929,0.0000,4.062E-9,50.9792,0.6922,0.0016,0.3929,0.0000,4.062E-9,2.8142,0.0033,0.0645,0.0000,0.0000,2.686E-4,10.9154,0.0489,0.0081,0.0000,0.0000,5.27E-7
