Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Stelidota_geminata,33,4.7293,5.4233,500,0.9984,4,5.6489,0.9983,0.0003,10033,0.0000,0.9466,0.0000,1.4947,4.8092,6.0995,0.9315,8.6754,0.0781,38.7507,0.0000,0.5754,16.9933,15.7911,0.0000,1.0760,0.0200,0.5539,0.0000,0.5359,0.0000,0.4644,0.0000,0.0119,0.0000,1.0187,0.8308,0.0000,0.3430,0.0000,0.0000,4.5032,0.0039,1.0000,0.0007,0.1331,0.0000,0.0000,3.135E-4,5.0000,0.0148,0.0264,0.0000,0.0000,4.867E-7,10.0000,0.0535,0.0105,0.0000,0.0000,1.2E-8,20.6344,0.3601,0.0032,0.0000,0.0000,1.035E-10,25.5009,0.5253,0.0028,0.0909,0.0000,6.066E-11,20.6344,0.3601,0.0032,0.0000,0.0000,1.035E-10,20.6344,0.3601,0.0032,0.0000,0.0000,1.035E-10,68.7346,0.7188,0.0011,0.3030,0.0000,1.445E-12,68.7346,0.7188,0.0011,0.3030,0.0000,1.445E-12,2.3351,0.0036,0.0578,0.0000,0.0000,1.117E-5,11.0772,0.0682,0.0090,0.0000,0.0000,6.475E-9
Stelidota_geminata,33,4.8507,5.4430,500,0.9983,4,2.5292,0.9137,0.0725,10033,0.0138,0.0000,0.0000,0.1732,1.6913,5.6542,0.1205,5.1670,0.0000,41.0711,0.3501,1.9832,27.5494,12.6397,0.0000,0.7270,0.0381,0.2736,0.0043,0.2955,0.0000,0.7983,0.0000,0.0061,0.0000,0.3962,0.7770,0.0000,0.2705,0.0000,0.0000,4.3699,0.0034,1.0000,0.0009,0.0897,0.0000,0.2500,2.693E-3,5.0000,0.0176,0.0207,0.0000,0.2500,3.509E-5,10.0000,0.0578,0.0083,0.0000,0.2500,2.251E-6,16.6492,0.1897,0.0036,0.0000,0.2500,1.843E-7,19.7112,0.5170,0.0031,0.0606,0.5000,5.705E-5,16.6492,0.1897,0.0036,0.0000,0.2500,1.843E-7,16.6492,0.1897,0.0036,0.0000,0.2500,1.843E-7,0.2975,0.0001,0.2500,0.0000,0.2500,5.077E-2,16.6492,0.1897,0.0036,0.0000,0.2500,1.843E-7,1.8079,0.0031,0.0521,0.0000,0.2500,5.444E-4,10.3439,0.0647,0.0079,0.0000,0.2500,1.941E-6
Stelidota_geminata,33,4.8030,5.4428,500,0.9984,4,3.4173,0.9575,0.0362,10033,1.8132,0.0693,0.0000,0.3677,4.0345,7.7924,0.5860,4.5592,0.0000,41.1683,0.0000,1.0877,16.6933,13.9354,0.0000,1.4628,0.0237,0.8406,0.0000,0.5761,0.0000,0.6865,0.0000,0.0122,0.0000,0.9054,3.0286,0.0000,0.3573,0.0000,0.0000,4.4213,0.0036,1.0000,0.0010,0.0897,0.0000,0.2500,2.693E-3,5.0000,0.0173,0.0214,0.0000,0.2500,3.873E-5,10.0000,0.0601,0.0089,0.0000,0.2500,2.774E-6,19.4874,0.3574,0.0032,0.0000,0.2500,1.295E-7,23.1745,0.5066,0.0030,0.0909,0.2500,1.067E-7,19.4874,0.3574,0.0032,0.0000,0.2500,1.295E-7,19.4874,0.3574,0.0032,0.0000,0.2500,1.295E-7,0.4850,0.0003,0.1679,0.0000,0.2500,1.656E-2,0.4847,0.0003,0.1679,0.0000,0.0000,7.956E-4,1.8082,0.0033,0.0533,0.0000,0.2500,5.822E-4,10.5498,0.0644,0.0083,0.0000,0.2500,2.251E-6
Stelidota_geminata,33,4.7698,5.4064,500,0.9983,4,4.3611,0.9973,0.0008,10033,0.6363,0.0953,0.0000,2.6929,2.6378,3.7778,0.6306,6.2225,0.0000,37.2277,0.0000,0.7200,23.7526,15.7164,0.0000,0.6671,0.0000,0.2344,0.0114,0.3884,0.0000,0.1850,0.0000,0.4415,0.0000,0.6443,2.7713,0.1789,0.3677,0.0000,0.0000,4.4525,0.0036,1.0000,0.0007,0.1402,0.0000,0.0000,3.868E-4,5.0000,0.0134,0.0273,0.0000,0.0000,5.563E-7,10.0000,0.0457,0.0101,0.0000,0.0000,1.027E-8,16.4446,0.1550,0.0040,0.0000,0.0000,2.526E-10,21.7942,0.4973,0.0029,0.0606,0.5000,4.994E-5,16.4446,0.1550,0.0040,0.0000,0.0000,2.526E-10,16.4446,0.1550,0.0040,0.0000,0.0000,2.526E-10,16.4446,0.1550,0.0040,0.0000,0.0000,2.526E-10,16.4446,0.1550,0.0040,0.0000,0.0000,2.526E-10,2.3941,0.0034,0.0593,0.0000,0.0000,1.237E-5,11.1145,0.0594,0.0085,0.0000,0.0000,5.152E-9
Stelidota_geminata,33,4.7293,5.4233,500,0.9984,4,5.6489,0.9983,0.0003,10033,0.0000,0.9466,0.0000,1.4947,4.8092,6.0995,0.9315,8.6754,0.0781,38.7507,0.0000,0.5754,16.9933,15.7911,0.0000,1.0760,0.0200,0.5539,0.0000,0.5359,0.0000,0.4644,0.0000,0.0119,0.0000,1.0187,0.8308,0.0000,0.3430,0.0000,0.0000,4.5032,0.0039,1.0000,0.0007,0.1331,0.0000,0.0000,3.135E-4,5.0000,0.0148,0.0264,0.0000,0.0000,4.867E-7,10.0000,0.0535,0.0105,0.0000,0.0000,1.2E-8,20.6344,0.3601,0.0032,0.0000,0.0000,1.035E-10,25.5009,0.5253,0.0028,0.0909,0.0000,6.066E-11,20.6344,0.3601,0.0032,0.0000,0.0000,1.035E-10,20.6344,0.3601,0.0032,0.0000,0.0000,1.035E-10,68.7346,0.7188,0.0011,0.3030,0.0000,1.445E-12,68.7346,0.7188,0.0011,0.3030,0.0000,1.445E-12,2.3351,0.0036,0.0578,0.0000,0.0000,1.117E-5,11.0772,0.0682,0.0090,0.0000,0.0000,6.475E-9
Stelidota_geminata,33,4.7648,5.4176,500,0.9983,4,5.1681,0.9977,0.0005,10033,3.9595,0.9876,0.0000,0.1793,4.4288,5.7378,0.7079,9.0723,0.0000,35.9682,0.0000,0.4507,21.7452,12.7556,0.1645,0.7748,0.0262,0.2326,0.0000,0.4463,0.0000,0.5134,0.0000,0.0348,0.0000,0.6390,0.9020,0.0000,0.2735,0.0000,0.0000,4.4579,0.0037,1.0000,0.0007,0.1336,0.0000,0.0000,3.182E-4,5.0000,0.0142,0.0260,0.0000,0.0000,4.58E-7,10.0000,0.0530,0.0098,0.0000,0.0000,9.103E-9,18.7648,0.2684,0.0034,0.0000,0.0000,1.319E-10,22.4313,0.5041,0.0029,0.0606,0.2500,9.639E-8,18.7648,0.2684,0.0034,0.0000,0.0000,1.319E-10,18.7648,0.2684,0.0034,0.0000,0.0000,1.319E-10,18.7648,0.2684,0.0034,0.0000,0.0000,1.319E-10,18.7648,0.2684,0.0034,0.0000,0.0000,1.319E-10,2.3530,0.0034,0.0575,0.0000,0.0000,1.094E-5,10.8661,0.0593,0.0086,0.0000,0.0000,5.398E-9
Stelidota_geminata,33,4.7573,5.4105,500,0.9983,4,5.1572,0.9980,0.0006,10033,3.5094,0.1261,0.0000,0.0000,6.1731,4.6196,0.6848,7.6781,0.0000,37.7228,0.0000,0.3195,19.9572,15.0789,0.5004,0.6219,0.0324,0.2488,0.0000,0.5629,0.0000,0.4910,0.0000,0.0298,0.0000,0.8916,0.2486,0.2631,0.2400,0.0000,0.0000,4.4694,0.0037,1.0000,0.0007,0.1386,0.0000,0.0000,3.695E-4,5.0000,0.0137,0.0269,0.0000,0.0000,5.245E-7,10.0000,0.0503,0.0100,0.0000,0.0000,9.869E-9,19.0288,0.2550,0.0033,0.0000,0.0000,1.17E-10,21.4476,0.5008,0.0031,0.0606,0.2500,1.177E-7,19.0288,0.2550,0.0033,0.0000,0.0000,1.17E-10,19.0288,0.2550,0.0033,0.0000,0.0000,1.17E-10,19.0288,0.2550,0.0033,0.0000,0.0000,1.17E-10,19.0288,0.2550,0.0033,0.0000,0.0000,1.17E-10,2.4243,0.0035,0.0582,0.0000,0.0000,1.148E-5,10.8742,0.0574,0.0087,0.0000,0.0000,5.654E-9
Stelidota_geminata,34,4.8246,5.4564,500,0.9983,3,3.3064,0.9776,0.0172,10034,0.0318,0.0033,0.0000,0.1187,5.6448,4.7764,1.4875,5.8337,0.0000,37.1461,0.0000,1.1831,22.2241,15.3011,1.7267,1.2269,0.0000,0.7262,0.0000,0.5258,0.0000,0.2463,0.0000,0.1603,0.0000,1.1081,0.0080,0.0026,0.5183,0.0000,0.0000,4.3965,0.0035,1.0000,0.0007,0.1205,0.0000,0.0000,1.749E-3,5.0000,0.0154,0.0209,0.0000,0.3333,1.296E-3,10.0000,0.0632,0.0075,0.0000,0.3333,1.668E-4,17.9853,0.4884,0.0034,0.0000,0.3333,3.437E-5,21.6452,0.5020,0.0030,0.0588,0.3333,2.676E-5,17.9853,0.4884,0.0034,0.0000,0.3333,3.437E-5,17.9853,0.4884,0.0034,0.0000,0.3333,3.437E-5,1.8172,0.0021,0.0646,0.0000,0.0000,2.693E-4,1.8172,0.0021,0.0646,0.0000,0.0000,2.693E-4,2.2148,0.0032,0.0527,0.0000,0.3333,8.045E-3,9.5558,0.0573,0.0081,0.0000,0.3333,1.944E-4
Stelidota_geminata,34,4.7589,5.3918,500,0.9983,3,4.8462,0.9975,0.0006,10034,0.8941,0.0000,0.8694,0.4494,3.5107,4.5397,0.4418,8.0407,0.0000,37.6126,0.2635,0.7854,21.8580,15.2762,0.3178,0.5970,0.0492,0.3611,0.0004,0.4746,0.0000,0.6522,0.0000,0.0134,0.0000,0.4811,2.3482,0.0000,0.1636,0.0000,0.0000,4.4690,0.0037,1.0000,0.0008,0.1261,0.0000,0.0000,2.004E-3,5.0000,0.0155,0.0250,0.0000,0.0000,1.565E-5,10.0000,0.0546,0.0098,0.0000,0.0000,9.317E-7,17.2497,0.1894,0.0038,0.0000,0.0000,5.432E-8,21.8610,0.5013,0.0030,0.0588,0.3333,2.676E-5,17.2497,0.1894,0.0038,0.0000,0.0000,5.432E-8,17.2497,0.1894,0.0038,0.0000,0.0000,5.432E-8,17.2497,0.1894,0.0038,0.0000,0.0000,5.432E-8,17.2497,0.1894,0.0038,0.0000,0.0000,5.432E-8,2.2349,0.0035,0.0567,0.0000,0.0000,1.824E-4,10.8252,0.0634,0.0087,0.0000,0.0000,6.518E-7
Stelidota_geminata,34,4.7417,5.3951,500,0.9983,3,5.3045,0.9976,0.0005,10034,0.4919,0.0832,3.4321,0.0112,4.1378,5.7497,0.5173,8.6347,0.0000,37.8191,0.0000,1.2514,19.7080,12.9796,0.0000,0.9031,0.0212,0.3133,0.0030,0.4044,0.0000,0.4958,0.0000,0.0560,0.0000,0.9727,1.3980,0.3428,0.2738,0.0000,0.0000,4.4836,0.0038,1.0000,0.0008,0.1251,0.0000,0.0000,1.957E-3,5.0000,0.0148,0.0254,0.0000,0.0000,1.641E-5,10.0000,0.0567,0.0097,0.0000,0.0000,9.034E-7,19.7998,0.3513,0.0033,0.0000,0.0000,3.557E-8,23.1006,0.5018,0.0031,0.0882,0.3333,2.858E-5,19.7998,0.3513,0.0033,0.0000,0.0000,3.557E-8,19.7998,0.3513,0.0033,0.0000,0.0000,3.557E-8,19.7998,0.3513,0.0033,0.0000,0.0000,3.557E-8,19.7998,0.3513,0.0033,0.0000,0.0000,3.557E-8,2.2356,0.0035,0.0576,0.0000,0.0000,1.911E-4,10.7231,0.0640,0.0088,0.0000,0.0000,6.746E-7
