Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Storeria_dekayi,54,3.9933,4.4278,500,0.9957,7,3.3710,0.9903,0.0031,10054,1.8660,0.6444,0.5749,0.6313,9.9628,15.9227,25.6997,7.9197,0.0168,0.4569,0.0664,2.4043,6.2372,0.7019,18.8792,0.3571,0.0399,0.0000,0.0210,0.4159,4.9608,0.2492,0.1865,0.8394,0.0000,0.1273,0.2547,0.0290,0.5058,0.0067,0.0224,5.2256,0.0084,1.0000,0.0034,0.1065,0.0000,0.0000,1.557E-7,5.0000,0.0279,0.0326,0.0185,0.0000,3.933E-11,10.0000,0.1051,0.0169,0.0370,0.2857,2.821E-8,4.3610,0.0224,0.0373,0.0000,0.0000,1.004E-10,24.6020,0.4088,0.0077,0.0926,0.5714,1.536E-5,8.2507,0.0711,0.0202,0.0185,0.1429,4.661E-10,4.3610,0.0224,0.0373,0.0000,0.0000,1.004E-10,7.2602,0.0601,0.0228,0.0185,0.0000,3.18E-12,7.2602,0.0601,0.0228,0.0185,0.0000,3.18E-12,1.9436,0.0073,0.0715,0.0000,0.0000,9.566E-9,9.1518,0.0901,0.0184,0.0370,0.2857,4.295E-8
Storeria_dekayi,55,3.9312,4.3844,500,0.9954,6,4.4124,0.9962,0.0008,10055,2.3765,2.0639,1.8188,0.4860,7.9825,14.1075,27.4044,6.3712,0.0080,0.0779,0.0147,1.3062,4.3380,0.8068,21.4757,0.8243,0.1644,0.0000,0.1704,5.2716,0.8585,0.1016,0.0237,0.7074,0.0000,0.2013,0.1292,0.0100,0.8566,0.0000,0.0429,5.2976,0.0091,1.0000,0.0033,0.1180,0.0000,0.0000,2.693E-6,5.0000,0.0272,0.0382,0.0182,0.0000,3.102E-9,10.0000,0.0901,0.0194,0.0182,0.0000,5.32E-11,3.9195,0.0192,0.0473,0.0000,0.0000,1.126E-8,23.8588,0.4065,0.0085,0.0909,0.0000,3.649E-13,10.6517,0.1059,0.0182,0.0182,0.0000,3.634E-11,10.9609,0.1128,0.0176,0.0182,0.0000,2.975E-11,31.4621,0.4790,0.0066,0.1636,0.0000,7.998E-14,31.4621,0.4790,0.0066,0.1636,0.0000,7.998E-14,2.1083,0.0079,0.0761,0.0000,0.0000,1.939E-7,9.8052,0.0874,0.0198,0.0182,0.0000,6.009E-11
Storeria_dekayi,55,3.9457,4.4086,500,0.9956,6,4.2922,0.9953,0.0016,10055,0.1046,1.4731,1.0238,0.2815,9.9598,15.4471,27.5691,6.7575,0.1768,1.8559,0.1568,1.2773,5.3442,0.6625,21.7108,0.6265,0.0835,0.0084,0.0929,0.6742,2.3261,0.1094,0.0943,1.0301,0.0035,0.1666,0.1485,0.0483,0.7073,0.0243,0.0553,5.2841,0.0089,1.0000,0.0033,0.1136,0.0000,0.0000,2.146E-6,5.0000,0.0294,0.0374,0.0182,0.0000,2.734E-9,10.0000,0.0939,0.0190,0.0182,0.0000,4.698E-11,4.2452,0.0232,0.0429,0.0000,0.0000,6.203E-9,23.6122,0.3977,0.0084,0.0909,0.1667,2.424E-10,10.4945,0.1039,0.0182,0.0182,0.0000,3.634E-11,11.4431,0.1153,0.0166,0.0182,0.0000,2.099E-11,16.9439,0.2430,0.0113,0.0545,0.0000,2.124E-12,16.9439,0.2430,0.0113,0.0545,0.0000,2.124E-12,1.9903,0.0078,0.0754,0.0000,0.0000,1.835E-7,9.7419,0.0880,0.0196,0.0182,0.0000,5.656E-11
Storeria_dekayi,55,4.0461,4.4822,500,0.9960,6,2.8372,0.9682,0.0238,10055,3.8556,0.3687,0.3956,1.3145,14.5591,16.9846,24.0894,5.7010,0.0156,1.3339,0.3013,0.8839,5.1647,0.7596,19.0770,0.3639,0.0134,0.0872,0.0705,0.4455,2.7670,0.2350,0.0000,0.5798,0.0000,0.2116,0.0518,0.0000,0.3251,0.0385,0.0063,5.1756,0.0080,1.0000,0.0031,0.0981,0.0000,0.1667,4.996E-5,5.0000,0.0304,0.0305,0.0182,0.1667,1.551E-7,10.0000,0.1020,0.0156,0.0182,0.1667,5.496E-9,4.7968,0.0285,0.0317,0.0000,0.1667,1.877E-7,20.9070,0.3819,0.0082,0.0909,0.5000,1.065E-5,8.5599,0.0787,0.0182,0.0182,0.1667,1.18E-8,13.4382,0.1782,0.0117,0.0182,0.3333,2.792E-7,0.3439,0.0010,0.1617,0.0000,0.1667,5.741E-4,0.3435,0.0010,0.1617,0.0000,0.0000,1.788E-5,1.8129,0.0070,0.0681,0.0000,0.1667,8.304E-6,8.9147,0.0836,0.0175,0.0182,0.1667,9.715E-9
Storeria_dekayi,55,3.9474,4.4029,500,0.9957,6,3.7130,0.9930,0.0021,10055,2.0985,1.1719,0.8322,0.0129,11.4861,15.1526,25.6976,3.1650,0.1014,0.9418,0.0170,1.7500,7.2115,0.8882,23.0131,0.9742,0.0737,0.0045,0.1430,0.8324,2.4210,0.1710,0.0000,0.5213,0.0028,0.1194,0.1327,0.1006,0.9114,0.0521,0.0000,5.2815,0.0089,1.0000,0.0030,0.1208,0.0000,0.0000,3.113E-6,5.0000,0.0273,0.0375,0.0000,0.0000,2.778E-9,10.0000,0.0968,0.0186,0.0182,0.0000,4.138E-11,5.2346,0.0289,0.0360,0.0000,0.0000,2.178E-9,21.1876,0.3444,0.0090,0.0909,0.3333,9.491E-8,10.2729,0.0999,0.0182,0.0182,0.0000,3.634E-11,10.7939,0.1037,0.0173,0.0182,0.0000,2.685E-11,14.2484,0.1740,0.0128,0.0545,0.0000,4.459E-12,14.2484,0.1740,0.0128,0.0545,0.0000,4.459E-12,2.1273,0.0078,0.0756,0.0000,0.0000,1.865E-7,9.5813,0.0863,0.0195,0.0182,0.0000,5.486E-11
Storeria_dekayi,55,3.9452,4.4126,500,0.9957,6,4.4789,0.9959,0.0019,10055,1.7384,0.4711,0.2209,1.1740,9.3763,16.1646,26.0797,3.0727,0.2041,1.8531,0.0010,2.5519,5.4433,0.5580,22.3269,0.8830,0.0243,0.0051,0.1093,1.5838,1.2690,2.3096,0.0043,0.8462,0.0145,0.6131,0.1722,0.0954,0.7552,0.0700,0.0090,5.2808,0.0089,1.0000,0.0033,0.1128,0.0000,0.0000,2.058E-6,5.0000,0.0306,0.0361,0.0182,0.0000,2.214E-9,10.0000,0.1021,0.0184,0.0182,0.0000,3.879E-11,4.5318,0.0248,0.0394,0.0000,0.0000,3.731E-9,23.3859,0.3901,0.0083,0.0909,0.3333,6.873E-8,10.1288,0.1032,0.0182,0.0182,0.0000,3.634E-11,10.5541,0.1141,0.0174,0.0182,0.0000,2.779E-11,17.2468,0.2383,0.0109,0.0727,0.0000,1.714E-12,17.2468,0.2383,0.0109,0.0727,0.0000,1.714E-12,1.9783,0.0077,0.0752,0.0000,0.0000,1.807E-7,9.4394,0.0852,0.0195,0.0182,0.0000,5.486E-11
Storeria_dekayi,55,3.9998,4.4428,500,0.9958,6,3.7953,0.9895,0.0067,10055,0.2600,1.5837,0.1059,2.8044,11.7573,10.8834,32.1631,8.3020,0.0185,0.4017,0.2382,0.9246,3.2757,0.4710,18.8584,0.5025,0.0609,0.0087,0.2905,1.7766,1.9948,1.1577,0.3908,0.6548,0.0073,0.1657,0.0913,0.0697,0.7403,0.0118,0.0290,5.2295,0.0085,1.0000,0.0034,0.0938,0.0000,0.0000,6.804E-7,5.0000,0.0378,0.0303,0.0182,0.1667,1.502E-7,10.0000,0.1107,0.0172,0.0182,0.1667,8.917E-9,4.1043,0.0261,0.0353,0.0000,0.1667,3.195E-7,25.9121,0.4093,0.0074,0.0909,0.1667,1.287E-10,9.3779,0.1044,0.0182,0.0182,0.1667,1.18E-8,10.3840,0.1173,0.0167,0.0182,0.1667,7.704E-9,2.8576,0.0143,0.0471,0.0000,0.0000,1.097E-8,2.8576,0.0143,0.0471,0.0000,0.0000,1.097E-8,1.7416,0.0073,0.0671,0.0000,0.0000,9.152E-8,9.1941,0.1004,0.0185,0.0182,0.1667,1.28E-8
Storeria_dekayi,55,4.1144,4.5606,500,0.9965,6,1.1646,0.9147,0.0480,10055,2.4002,1.6805,0.2245,0.2943,10.7790,11.1969,29.8959,4.7715,0.0152,0.1743,0.3698,0.9288,5.8838,0.9729,21.1547,0.5132,0.0919,0.0000,0.0251,5.3176,0.8783,0.1701,0.2409,0.7834,0.0000,0.4194,0.2246,0.0000,0.5700,0.0000,0.0233,5.1193,0.0077,1.0000,0.0039,0.0694,0.0000,0.3333,3.108E-4,5.0000,0.0473,0.0225,0.0000,0.3333,3.692E-6,10.0000,0.1480,0.0139,0.0000,0.3333,5.512E-7,11.6991,0.1815,0.0125,0.0000,0.3333,3.625E-7,23.8327,0.4214,0.0076,0.0909,0.3333,4.837E-8,11.6991,0.1815,0.0125,0.0182,0.3333,3.625E-7,11.6991,0.1815,0.0125,0.0000,0.3333,3.625E-7,0.0696,0.0002,0.2003,0.0000,0.1667,1.611E-3,0.0133,0.0000,0.2937,0.0000,0.0000,6.416E-4,1.4268,0.0066,0.0557,0.0000,0.3333,1.318E-4,7.7649,0.1000,0.0166,0.0000,0.3333,1.111E-6
Storeria_dekayi,55,3.9395,4.4117,500,0.9956,6,4.2044,0.9951,0.0015,10055,1.2659,2.7586,0.4215,0.0336,10.1736,14.1428,27.7409,5.2322,0.1887,1.9299,0.0190,2.6669,5.3015,0.6400,21.2057,0.6089,0.0350,0.0152,0.1948,0.6497,2.6550,0.2429,0.0503,0.7289,0.0052,0.1861,0.1838,0.0702,0.6018,0.0514,0.0000,5.2852,0.0090,1.0000,0.0031,0.1171,0.0000,0.0000,2.573E-6,5.0000,0.0278,0.0374,0.0182,0.0000,2.734E-9,10.0000,0.0959,0.0190,0.0182,0.0000,4.698E-11,4.4344,0.0243,0.0415,0.0000,0.0000,5.088E-9,23.9675,0.4063,0.0083,0.0909,0.1667,2.284E-10,10.4855,0.1029,0.0182,0.0182,0.0000,3.634E-11,11.3098,0.1174,0.0169,0.0182,0.0000,2.336E-11,16.3327,0.2206,0.0117,0.0545,0.0000,2.612E-12,16.3327,0.2206,0.0117,0.0545,0.0000,2.612E-12,2.0825,0.0078,0.0749,0.0000,0.0000,1.764E-7,9.7200,0.0902,0.0196,0.0182,0.0000,5.656E-11
Storeria_dekayi,55,4.0234,4.4394,500,0.9957,6,3.2689,0.9813,0.0126,10055,1.9613,1.7492,1.0440,0.1655,12.4900,15.1572,29.2689,6.6339,0.0036,0.0632,0.0046,1.0215,2.8538,0.4203,19.9433,0.5033,0.0297,0.0375,0.0802,2.0388,2.1570,0.2840,0.3457,0.6949,0.0259,0.1630,0.2572,0.0025,0.5204,0.0000,0.0795,5.2005,0.0082,1.0000,0.0034,0.1032,0.0000,0.0000,1.21E-6,5.0000,0.0300,0.0336,0.0182,0.1667,2.503E-7,10.0000,0.0936,0.0170,0.0182,0.1667,8.414E-9,3.7891,0.0196,0.0426,0.0000,0.1667,8.087E-7,25.0667,0.4200,0.0073,0.0909,0.3333,4.119E-8,9.3962,0.0841,0.0182,0.0182,0.1667,1.18E-8,10.5416,0.1045,0.0161,0.0182,0.1667,6.426E-9,1.3532,0.0047,0.0876,0.0000,0.1667,2.872E-5,1.3518,0.0047,0.0876,0.0000,0.0000,4.524E-7,1.8759,0.0071,0.0718,0.0000,0.1667,1.077E-5,9.4988,0.0859,0.0180,0.0182,0.1667,1.117E-8
