Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Symphyotrichum_undulatum,67,2.4823,3.1938,500,0.9755,8,1.1747,0.8403,0.0658,10067,7.1341,1.5956,3.9918,0.2044,1.2905,24.8925,8.7715,0.3640,2.4777,2.0306,0.0000,5.8802,9.7155,9.8673,0.7194,0.3274,0.3239,0.0090,0.2797,1.6753,14.0056,0.5835,1.1865,0.1152,0.1473,0.1342,0.3160,0.6094,0.8605,0.4914,0.0000,6.7700,0.0407,1.0000,0.0048,0.5320,0.0149,0.0000,6.42E-3,5.0000,0.0259,0.2386,0.0299,0.3750,2.239E-2,10.0000,0.0632,0.1377,0.0299,0.3750,1.925E-3,0.4938,0.0028,0.6488,0.0000,0.0000,3.138E-2,30.7145,0.3144,0.0323,0.0896,0.5000,6.849E-5,21.4547,0.1875,0.0572,0.0597,0.5000,6.224E-4,19.6613,0.1641,0.0645,0.0299,0.3750,5.285E-5,2.3308,0.0106,0.3750,0.0149,0.3750,1.374E-1,2.0054,0.0091,0.4035,0.0149,0.0000,7.026E-4,3.8690,0.0187,0.2823,0.0149,0.3750,4.528E-2,15.5724,0.1163,0.0865,0.0299,0.3750,2.17E-4
Symphyotrichum_undulatum,67,2.3976,3.0969,500,0.9729,8,2.0918,0.9645,0.0115,10067,6.4151,0.5357,0.2414,2.6286,3.4621,25.4290,8.7548,0.2537,1.0049,4.2651,0.0000,3.5145,13.9768,9.4326,0.9935,0.2790,0.5518,0.2074,0.1625,1.3875,11.7761,0.7568,1.0925,0.2703,0.0000,0.1632,0.2073,0.4875,1.3321,0.4182,0.0000,6.8594,0.0449,1.0000,0.0055,0.5534,0.0149,0.0000,8.796E-3,5.0000,0.0268,0.2626,0.0299,0.0000,2.264E-5,10.0000,0.0652,0.1548,0.0299,0.0000,3.291E-7,0.3995,0.0028,0.6954,0.0000,0.0000,5.471E-2,25.0793,0.2222,0.0527,0.0896,0.3750,1.998E-5,24.0376,0.2065,0.0564,0.0597,0.3750,2.772E-5,21.4763,0.1783,0.0666,0.0299,0.2500,2.164E-6,16.2514,0.1227,0.0951,0.0299,0.1250,5.146E-7,16.2389,0.1225,0.0951,0.0299,0.0000,6.67E-9,4.2682,0.0223,0.2902,0.0149,0.0000,5.024E-5,16.3249,0.1232,0.0946,0.0299,0.1250,4.963E-7
Symphyotrichum_undulatum,67,2.5127,3.2409,500,0.9741,8,0.5229,0.8920,0.0311,10067,8.9088,0.6129,0.0837,0.7890,1.5204,28.0385,6.5971,0.5071,1.2134,3.8776,0.0011,5.1890,11.9085,9.8174,0.5140,0.1293,0.7869,0.0725,1.2825,1.9744,13.1679,1.2007,0.8092,0.0157,0.0912,0.0459,0.2933,0.0212,0.5008,0.0041,0.0257,6.7363,0.0393,1.0000,0.0049,0.5300,0.0149,0.0000,6.231E-3,5.0000,0.0243,0.2430,0.0149,0.2500,3.616E-3,10.0000,0.0595,0.1376,0.0299,0.3750,1.918E-3,0.1056,0.0010,0.8251,0.0000,0.0000,2.148E-1,27.6058,0.2731,0.0371,0.0896,0.8750,2.607E-1,21.6001,0.1837,0.0542,0.0597,0.6250,7.268E-3,19.7696,0.1595,0.0615,0.0299,0.5000,8.183E-4,4.9247,0.0239,0.2456,0.0149,0.2500,3.832E-3,4.9227,0.0239,0.2456,0.0149,0.0000,1.322E-5,5.4386,0.0269,0.2290,0.0149,0.2500,2.609E-3,15.7328,0.1118,0.0836,0.0299,0.3750,1.846E-4
Symphyotrichum_undulatum,67,2.4524,3.1545,500,0.9760,8,1.6385,0.8623,0.1103,10067,4.9431,0.3982,0.0445,0.9771,1.8542,21.7130,8.4771,0.3678,1.7276,10.7907,0.0000,3.2713,10.1294,8.2746,1.0212,0.2007,0.4312,0.1165,0.1728,2.2064,17.9519,0.4393,1.2341,0.0000,0.0259,0.2679,0.2574,0.3023,2.0733,0.1943,0.1365,6.7861,0.0418,1.0000,0.0052,0.4977,0.0149,0.1250,3.415E-2,5.0000,0.0286,0.2301,0.0149,0.1250,2.179E-4,10.0000,0.0697,0.1360,0.0149,0.1250,6.062E-6,0.1467,0.0012,0.7630,0.0000,0.1250,4.003E-1,31.9689,0.3316,0.0326,0.0896,0.3750,1.893E-6,21.2697,0.1900,0.0597,0.0597,0.2500,1.141E-6,17.8542,0.1474,0.0745,0.0149,0.1250,9.527E-8,11.0019,0.0780,0.1250,0.0149,0.1250,3.391E-6,17.8542,0.1474,0.0745,0.0149,0.1250,9.527E-8,5.8164,0.0339,0.2077,0.0149,0.1250,1.092E-4,15.4913,0.1221,0.0879,0.0149,0.1250,2.997E-7
Symphyotrichum_undulatum,67,2.4384,3.1700,500,0.9741,8,0.4710,0.8627,0.0389,10067,4.3689,4.0376,1.7702,2.8401,1.5922,28.3553,5.8922,0.4463,2.4971,1.4059,0.0000,5.1901,13.5289,7.7277,0.3121,1.2427,0.5023,0.0075,1.1282,1.7364,12.2083,0.6276,1.2687,0.0566,0.2513,0.0553,0.2104,0.0814,0.4452,0.1459,0.0676,6.8178,0.0429,1.0000,0.0052,0.5416,0.0149,0.0000,7.4E-3,5.0000,0.0268,0.2520,0.0149,0.2500,4.416E-3,10.0000,0.0649,0.1495,0.0299,0.5000,2.111E-2,0.2318,0.0018,0.7540,0.0000,0.0000,1.045E-1,30.4305,0.3018,0.0356,0.0896,0.7500,3.07E-2,18.9561,0.1475,0.0746,0.0746,0.5000,1.697E-3,28.4867,0.2629,0.0399,0.0746,0.7500,3.803E-2,5.0609,0.0272,0.2500,0.0149,0.2500,4.229E-3,4.2958,0.0222,0.2775,0.0149,0.0000,3.521E-5,6.1902,0.0350,0.2178,0.0149,0.2500,1.981E-3,16.2282,0.1200,0.0907,0.0597,0.5000,3.509E-3
Symphyotrichum_undulatum,68,2.3802,3.0564,500,0.9726,7,2.4494,0.9732,0.0112,10068,3.4554,2.1390,2.4353,0.0404,2.9310,24.3353,6.1172,0.4812,1.7345,5.1509,0.0000,4.1034,10.1620,9.4059,0.9333,1.1784,0.3918,0.0342,0.2783,1.1957,19.3959,0.9690,1.1534,0.2291,0.0636,0.1258,0.2401,0.2147,0.9464,0.0753,0.0835,6.8624,0.0450,1.0000,0.0055,0.5501,0.0147,0.0000,1.524E-2,5.0000,0.0277,0.2613,0.0294,0.0000,8.322E-5,10.0000,0.0650,0.1550,0.0294,0.0000,2.154E-6,0.4090,0.0028,0.6890,0.0000,0.0000,7.372E-2,21.6926,0.1826,0.0652,0.0882,0.2857,2.206E-5,21.2782,0.1783,0.0669,0.0735,0.2857,2.518E-5,21.1427,0.1764,0.0675,0.0294,0.1429,6.26E-7,18.8949,0.1502,0.0785,0.0294,0.1429,1.524E-6,18.8785,0.1496,0.0785,0.0294,0.0000,1.831E-8,4.5859,0.0247,0.2760,0.0147,0.0000,1.221E-4,16.1842,0.1217,0.0949,0.0294,0.0000,6.909E-8
Symphyotrichum_undulatum,68,2.5453,3.2307,500,0.9825,7,-0.1076,0.7521,0.1235,10068,6.8472,2.5914,0.8393,2.2648,1.4644,23.5254,5.9480,0.5460,3.7105,1.8476,0.0000,2.5781,8.9454,10.2803,0.1321,0.2583,0.3718,0.0037,0.6110,1.3754,20.4072,1.4528,1.5149,0.0315,0.1086,0.1182,0.8271,0.0571,1.0051,0.3371,0.0000,6.6931,0.0378,1.0000,0.0050,0.4548,0.0000,0.2857,1.593E-1,5.0000,0.0293,0.2059,0.0147,0.4286,3.684E-2,10.0000,0.0697,0.1225,0.0147,0.4286,5.787E-3,2.3868,0.0121,0.3151,0.0000,0.2857,3.558E-2,28.1677,0.2807,0.0359,0.0882,0.4286,5.302E-5,19.9247,0.1792,0.0588,0.0588,0.4286,3.622E-4,14.5419,0.1121,0.0848,0.0147,0.4286,1.468E-3,2.8886,0.0149,0.2858,0.0147,0.2857,2.329E-2,31.4389,0.3302,0.0299,0.1765,0.4286,2.6E-5,2.3868,0.0121,0.3151,0.0000,0.2857,3.558E-2,15.3230,0.1211,0.0801,0.0441,0.4286,1.179E-3
Symphyotrichum_undulatum,68,2.4044,3.0923,500,0.9733,7,2.2862,0.9691,0.0101,10068,3.3937,3.5736,0.0612,0.2605,1.8755,24.3051,6.6784,0.6439,1.2557,4.6431,0.0079,3.7184,9.9216,10.6200,0.6547,0.2554,0.2196,0.0568,0.2652,1.6753,21.3385,0.9240,1.1716,0.1318,0.0081,0.1570,0.2350,0.7588,0.9318,0.0427,0.2149,6.8232,0.0430,1.0000,0.0054,0.5393,0.0147,0.0000,1.327E-2,5.0000,0.0264,0.2533,0.0294,0.0000,6.686E-5,10.0000,0.0635,0.1475,0.0294,0.0000,1.519E-6,0.4393,0.0028,0.6674,0.0000,0.0000,5.896E-2,26.2464,0.2456,0.0451,0.0882,0.1429,5.658E-8,19.9274,0.1631,0.0680,0.0735,0.1429,6.539E-7,19.9062,0.1622,0.0680,0.0441,0.1429,6.539E-7,16.8566,0.1289,0.0845,0.0441,0.1429,2.368E-6,16.8566,0.1289,0.0845,0.0294,0.0000,3.083E-8,4.9024,0.0257,0.2566,0.0147,0.0000,7.316E-5,15.8116,0.1201,0.0912,0.0294,0.0000,5.24E-8
Symphyotrichum_undulatum,68,2.3537,3.0389,500,0.9713,7,2.6860,0.9730,0.0133,10068,4.6268,4.3142,0.9823,0.0637,2.8125,21.3987,5.6397,0.5703,1.3314,5.3962,0.0000,3.3222,10.7032,9.2763,0.8233,0.3537,0.9540,0.0513,0.8722,1.3506,21.0183,1.1563,1.3342,0.0000,0.0239,0.0647,0.2697,0.3284,0.7719,0.1900,0.0000,6.9233,0.0479,1.0000,0.0060,0.5626,0.0147,0.0000,1.783E-2,5.0000,0.0284,0.2718,0.0294,0.0000,1.094E-4,10.0000,0.0665,0.1612,0.0294,0.0000,2.829E-6,0.2547,0.0022,0.7532,0.0000,0.0000,1.375E-1,28.6393,0.2806,0.0444,0.0882,0.1429,5.157E-8,22.6268,0.1950,0.0645,0.0735,0.1429,4.745E-7,22.6268,0.1950,0.0645,0.0441,0.1429,4.745E-7,15.0921,0.1136,0.1073,0.0294,0.1429,9.685E-6,15.0888,0.1134,0.1073,0.0294,0.0000,1.634E-7,3.7461,0.0202,0.3232,0.0147,0.0000,3.684E-4,15.9404,0.1216,0.1008,0.0294,0.1429,6.714E-6
Symphyotrichum_undulatum,68,2.4313,3.1460,500,0.9731,7,1.0612,0.8344,0.0796,10068,4.2010,1.7018,2.1049,0.0875,1.3672,23.8682,5.8172,0.2132,3.2625,0.9675,0.0029,2.9167,12.0771,10.0073,0.0000,0.3608,0.5054,0.0711,1.8864,1.7190,20.8532,0.8153,2.6514,0.0091,0.0212,0.0320,0.4244,0.1611,1.7300,0.1648,0.0000,6.8178,0.0428,1.0000,0.0051,0.5410,0.0147,0.0000,1.357E-2,5.0000,0.0267,0.2482,0.0147,0.2857,1.247E-2,10.0000,0.0645,0.1440,0.0294,0.2857,1.008E-3,0.1759,0.0016,0.7871,0.0000,0.0000,1.872E-1,28.4966,0.2845,0.0390,0.0882,0.5714,1.849E-3,19.0614,0.1563,0.0710,0.0735,0.4286,7.473E-4,28.2375,0.2802,0.0397,0.0735,0.5714,1.946E-3,4.0163,0.0203,0.2858,0.0147,0.2857,2.329E-2,15.9510,0.1200,0.0888,0.0294,0.2857,9.942E-5,6.0771,0.0339,0.2167,0.0147,0.2857,6.751E-3,15.6837,0.1171,0.0907,0.0294,0.2857,1.101E-4
