Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Symplecta_cana,45,4.4950,5.1754,500,0.9978,6,3.6780,0.9503,0.0430,10045,14.4001,1.3147,1.2230,0.8937,10.0563,5.3281,5.5283,8.4187,0.0000,3.2718,0.1525,1.2047,16.0646,0.0000,7.1149,3.4839,0.2395,0.0298,0.0000,0.0000,0.0033,3.6462,0.0000,0.3948,0.1673,6.1350,8.3897,0.1157,0.0551,2.3686,0.0000,4.7500,0.0049,1.0000,0.0011,0.1573,0.0000,0.1667,5.02E-4,5.0000,0.0124,0.0341,0.0000,0.1667,2.706E-7,10.0000,0.0540,0.0111,0.0000,0.1667,1.024E-9,19.4553,0.5570,0.0045,0.0000,0.1667,1.079E-11,26.4463,0.6468,0.0039,0.0667,0.3333,3.387E-9,19.4553,0.5570,0.0045,0.0000,0.1667,1.079E-11,19.4553,0.5570,0.0045,0.0000,0.1667,1.079E-11,0.9152,0.0010,0.1667,0.0000,0.1667,6.641E-4,19.4553,0.5570,0.0045,0.0000,0.1667,1.079E-11,2.7719,0.0046,0.0680,0.0000,0.1667,8.226E-6,9.8634,0.0519,0.0114,0.0000,0.1667,1.169E-9
Symplecta_cana,46,4.3700,5.0883,500,0.9977,5,5.1129,0.9970,0.0005,10046,10.0623,0.8522,2.4738,1.9439,11.3173,5.3319,5.0331,4.3511,0.0477,4.0540,0.0915,0.9743,18.8003,0.0000,6.4432,6.9958,0.2367,0.0060,0.0000,0.0211,0.0000,2.5342,0.0000,0.6086,0.1996,3.8259,8.7087,2.5368,0.0526,2.4307,0.0662,4.8807,0.0056,1.0000,0.0012,0.1807,0.0000,0.0000,1.925E-4,5.0000,0.0115,0.0419,0.0000,0.0000,1.293E-7,10.0000,0.0523,0.0144,0.0000,0.0000,6.264E-10,16.5233,0.1984,0.0063,0.0000,0.0000,9.699E-12,26.4707,0.6616,0.0042,0.0870,0.2000,1.522E-9,16.5233,0.1984,0.0063,0.0000,0.0000,9.699E-12,16.5233,0.1984,0.0063,0.0000,0.0000,9.699E-12,23.7462,0.6204,0.0044,0.0435,0.0000,1.612E-12,23.7462,0.6204,0.0044,0.0435,0.0000,1.612E-12,3.0153,0.0052,0.0756,0.0000,0.0000,2.462E-6,10.6777,0.0603,0.0130,0.0000,0.0000,3.77E-10
Symplecta_cana,46,4.3557,5.0772,500,0.9977,5,5.1387,0.9974,0.0006,10046,11.0429,1.5031,5.3700,0.1932,8.5428,6.8759,3.1625,7.0828,0.1201,4.6087,0.4246,1.2636,16.7600,0.0000,1.5756,6.4464,0.1746,0.0000,0.0000,0.0452,0.0000,2.8521,0.0000,0.5184,0.2222,0.7917,8.8603,9.4448,0.0354,1.9934,0.0897,4.8816,0.0056,1.0000,0.0012,0.1768,0.0000,0.0000,1.727E-4,5.0000,0.0119,0.0408,0.0000,0.0000,1.132E-7,10.0000,0.0531,0.0145,0.0000,0.0000,6.483E-10,16.1904,0.1910,0.0064,0.0000,0.0000,1.049E-11,26.4409,0.6400,0.0042,0.0870,0.2000,1.522E-9,16.1904,0.1910,0.0064,0.0000,0.0000,1.049E-11,16.1904,0.1910,0.0064,0.0000,0.0000,1.049E-11,23.9676,0.5972,0.0044,0.0435,0.0000,1.612E-12,23.9676,0.5972,0.0044,0.0435,0.0000,1.612E-12,2.9739,0.0052,0.0742,0.0000,0.0000,2.243E-6,10.6761,0.0599,0.0130,0.0000,0.0000,3.77E-10
Symplecta_cana,46,4.3811,5.0811,500,0.9977,5,4.1590,0.9918,0.0050,10046,9.7169,5.3625,1.3208,1.5220,13.0671,5.6611,2.1220,9.4960,0.0000,2.8451,0.1464,2.8739,15.2126,0.3014,4.7832,4.5397,0.2109,0.0000,0.9131,0.0705,0.0009,3.3195,0.0000,0.3975,0.1526,0.3572,8.9788,6.2852,0.1145,0.2288,0.0000,4.8487,0.0055,1.0000,0.0011,0.1676,0.0000,0.0000,1.324E-4,5.0000,0.0127,0.0382,0.0000,0.0000,8.16E-8,10.0000,0.0520,0.0135,0.0000,0.2000,1.661E-7,14.3621,0.1242,0.0072,0.0000,0.2000,1.312E-8,26.1205,0.6206,0.0042,0.0870,0.4000,7.262E-7,14.3621,0.1242,0.0072,0.0000,0.2000,1.312E-8,14.3621,0.1242,0.0072,0.0000,0.2000,1.312E-8,5.9144,0.0172,0.0305,0.0000,0.0000,2.622E-8,5.9144,0.0172,0.0305,0.0000,0.0000,2.622E-8,2.8388,0.0050,0.0719,0.0000,0.0000,1.917E-6,10.4250,0.0578,0.0126,0.0000,0.2000,1.264E-7
Symplecta_cana,46,4.3483,5.0623,500,0.9977,5,5.0572,0.9975,0.0008,10046,12.9814,2.8586,0.0243,2.2866,9.9302,6.3362,1.5950,4.6671,0.3004,5.9780,0.7888,1.2688,15.7415,0.2394,0.1354,6.3881,0.2314,0.0000,0.0000,0.0000,0.0000,3.5196,0.0000,0.4697,0.2864,0.4501,8.4880,12.2509,0.0253,2.7158,0.0429,4.9305,0.0059,1.0000,0.0011,0.1933,0.0000,0.0000,2.699E-4,5.0000,0.0115,0.0464,0.0000,0.0000,2.148E-7,10.0000,0.0504,0.0164,0.0000,0.0000,1.195E-9,17.2808,0.2020,0.0064,0.0000,0.0000,1.049E-11,27.0707,0.6241,0.0042,0.0870,0.2000,1.522E-9,17.2808,0.2020,0.0064,0.0000,0.0000,1.049E-11,17.2808,0.2020,0.0064,0.0000,0.0000,1.049E-11,23.6529,0.5764,0.0044,0.0217,0.0000,1.612E-12,23.6529,0.5764,0.0044,0.0217,0.0000,1.612E-12,3.1044,0.0055,0.0790,0.0000,0.0000,3.084E-6,11.1664,0.0603,0.0137,0.0000,0.0000,4.891E-10
Symplecta_cana,46,4.3561,5.0664,500,0.9977,5,5.0171,0.9970,0.0006,10046,9.6622,0.3373,1.5480,2.4841,9.3819,5.3009,2.7550,10.0549,0.0241,3.9686,0.1224,1.7003,16.8986,0.0189,2.2282,6.0268,0.2544,0.2341,0.0000,0.0066,0.0000,3.6729,0.0000,0.1694,0.1309,1.1653,9.2529,9.6092,0.0106,2.9308,0.0506,4.9085,0.0058,1.0000,0.0011,0.1901,0.0000,0.0000,2.484E-4,5.0000,0.0114,0.0445,0.0000,0.0000,1.744E-7,10.0000,0.0495,0.0157,0.0000,0.0000,9.623E-10,16.9371,0.1871,0.0063,0.0000,0.0000,9.699E-12,28.8446,0.6350,0.0039,0.0870,0.2000,1.132E-9,16.9371,0.1871,0.0063,0.0000,0.0000,9.699E-12,16.9371,0.1871,0.0063,0.0000,0.0000,9.699E-12,22.9708,0.5506,0.0045,0.0217,0.0000,1.803E-12,22.9708,0.5506,0.0045,0.0217,0.0000,1.803E-12,3.1206,0.0054,0.0765,0.0000,0.0000,2.628E-6,11.0088,0.0601,0.0134,0.0000,0.0000,4.382E-10
Symplecta_cana,46,4.3696,5.0900,500,0.9977,5,5.1818,0.9978,0.0006,10046,13.9842,1.9408,0.7281,2.1429,12.4598,5.9065,5.0578,4.2754,0.0000,3.6174,0.1092,1.6056,16.1545,0.0000,7.0401,3.9627,0.2506,0.0000,0.0000,0.7846,0.0000,2.3176,0.0000,0.5192,0.2526,3.3782,8.6994,2.7565,0.0583,1.9980,0.0000,4.8691,0.0056,1.0000,0.0011,0.1808,0.0000,0.0000,1.93E-4,5.0000,0.0114,0.0413,0.0000,0.0000,1.203E-7,10.0000,0.0527,0.0142,0.0000,0.0000,5.844E-10,16.9755,0.2112,0.0059,0.0000,0.0000,6.987E-12,26.3134,0.6381,0.0041,0.0435,0.0000,1.132E-12,16.9755,0.2112,0.0059,0.0000,0.0000,6.987E-12,16.9755,0.2112,0.0059,0.0000,0.0000,6.987E-12,30.4320,0.6413,0.0038,0.1087,0.0000,7.744E-13,30.4320,0.6413,0.0038,0.1087,0.0000,7.744E-13,3.0203,0.0051,0.0746,0.0000,0.0000,2.304E-6,10.6388,0.0620,0.0129,0.0000,0.0000,3.629E-10
Symplecta_cana,46,4.3597,5.0751,500,0.9977,5,5.1557,0.9976,0.0006,10046,14.2940,1.4934,0.0629,4.1666,9.8891,4.2853,5.7258,3.2207,0.0369,4.4244,0.0681,2.0661,15.6090,0.0000,8.3872,3.5004,0.1612,0.0000,0.6076,0.0000,0.0064,0.7233,0.0000,0.6658,0.2147,6.3396,8.6395,3.0365,0.0303,2.3016,0.0436,4.8752,0.0056,1.0000,0.0012,0.1713,0.0000,0.0000,1.475E-4,5.0000,0.0125,0.0397,0.0000,0.0000,9.883E-8,10.0000,0.0554,0.0141,0.0000,0.0000,5.643E-10,15.7982,0.1830,0.0066,0.0000,0.0000,1.224E-11,26.5972,0.6205,0.0041,0.0435,0.0000,1.132E-12,15.7982,0.1830,0.0066,0.0000,0.0000,1.224E-11,15.7982,0.1830,0.0066,0.0000,0.0000,1.224E-11,26.5972,0.6205,0.0041,0.0435,0.0000,1.132E-12,26.5972,0.6205,0.0041,0.0435,0.0000,1.132E-12,2.9105,0.0052,0.0734,0.0000,0.0000,2.125E-6,10.5619,0.0616,0.0130,0.0000,0.0000,3.77E-10
Symplecta_cana,46,4.3469,5.0719,500,0.9977,5,5.1665,0.9982,0.0006,10046,5.9859,1.6877,2.4770,3.8421,7.6760,3.8564,5.6744,7.4897,0.0120,6.4951,0.0962,2.3041,18.8415,0.0000,6.6483,3.6882,0.2103,0.0000,0.0000,0.0090,0.0000,1.9839,0.0000,0.4506,0.2323,6.0922,8.9542,2.1687,0.0846,3.0397,0.0000,4.9060,0.0058,1.0000,0.0011,0.1874,0.0000,0.0000,2.314E-4,5.0000,0.0120,0.0437,0.0000,0.0000,1.594E-7,10.0000,0.0516,0.0153,0.0000,0.0000,8.465E-10,17.4277,0.2182,0.0060,0.0000,0.0000,7.6E-12,26.9523,0.6256,0.0041,0.0435,0.0000,1.132E-12,17.4277,0.2182,0.0060,0.0000,0.0000,7.6E-12,17.4277,0.2182,0.0060,0.0000,0.0000,7.6E-12,30.6765,0.6265,0.0038,0.1087,0.0000,7.744E-13,30.6765,0.6265,0.0038,0.1087,0.0000,7.744E-13,3.0589,0.0053,0.0763,0.0000,0.0000,2.594E-6,10.8596,0.0613,0.0134,0.0000,0.0000,4.382E-10
Symplecta_cana,46,4.3632,5.0647,500,0.9977,5,4.7982,0.9966,0.0007,10046,11.6355,0.5124,1.4679,2.7357,10.8620,4.4123,5.8583,7.8884,0.0095,5.2002,0.4095,4.1302,13.3050,0.0000,1.0768,6.2960,0.2042,0.0000,0.0079,0.0000,0.0000,1.6901,0.0000,0.4768,0.2660,0.8977,9.3446,10.5420,0.0209,0.7394,0.0107,4.8955,0.0057,1.0000,0.0012,0.1849,0.0000,0.0000,2.164E-4,5.0000,0.0116,0.0440,0.0000,0.0000,1.649E-7,10.0000,0.0486,0.0155,0.0000,0.0000,9.029E-10,17.2463,0.2114,0.0060,0.0000,0.0000,7.6E-12,24.5247,0.5509,0.0043,0.0652,0.2000,1.673E-9,17.2463,0.2114,0.0060,0.0000,0.0000,7.6E-12,17.2463,0.2114,0.0060,0.0000,0.0000,7.6E-12,23.6069,0.5402,0.0043,0.0217,0.0000,1.437E-12,23.6069,0.5402,0.0043,0.0217,0.0000,1.437E-12,3.0061,0.0053,0.0776,0.0000,0.0000,2.822E-6,11.0398,0.0624,0.0132,0.0000,0.0000,4.067E-10
