Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Tabanus_quinquevittatus,48,5.0525,5.2615,500,0.9976,6,5.2963,0.9977,0.0004,10048,8.8079,6.7333,0.1531,6.1768,5.7195,2.3485,18.7002,5.4561,0.0000,0.0000,0.0000,0.1197,0.0465,0.0000,9.7230,0.8038,0.8296,0.1335,3.3608,0.0000,0.7113,0.0037,13.1617,0.0536,0.0000,16.6983,0.0058,0.2482,0.0051,0.0000,0.0000,4.1833,0.0031,1.0000,0.0100,0.0136,0.0000,0.0000,6.425E-12,5.0000,0.1096,0.0057,0.0000,0.0000,3.333E-14,10.0000,0.5065,0.0043,0.0208,0.0000,6.142E-15,8.3776,0.4328,0.0048,0.0000,0.0000,1.188E-14,14.6370,0.5065,0.0043,0.0208,0.0000,6.142E-15,8.3776,0.4328,0.0048,0.0000,0.0000,1.188E-14,8.3776,0.4328,0.0048,0.0000,0.0000,1.188E-14,34.9936,0.5538,0.0032,0.1458,0.0000,1.043E-15,34.9936,0.5538,0.0032,0.1458,0.0000,1.043E-15,0.3743,0.0026,0.0217,0.0000,0.0000,1.043E-10,3.9228,0.0612,0.0065,0.0000,0.0000,7.328E-14
Tabanus_quinquevittatus,48,5.0597,5.2640,500,0.9976,6,5.2430,0.9975,0.0008,10048,16.2117,5.9744,2.3656,5.1113,6.5079,2.6802,22.8288,4.3109,0.9207,2.0842,0.0000,0.0438,3.1895,0.0000,4.9193,0.6747,0.4115,0.0733,0.5125,0.0000,0.9876,0.0000,19.7062,0.0621,0.0000,0.1709,0.0000,0.2478,0.0050,0.0000,0.0000,4.1690,0.0031,1.0000,0.0098,0.0132,0.0000,0.0000,5.378E-12,5.0000,0.1291,0.0055,0.0000,0.0000,2.69E-14,10.0000,0.5159,0.0044,0.0833,0.1667,9.626E-12,8.1288,0.4414,0.0048,0.0000,0.0000,1.188E-14,14.1333,0.5159,0.0044,0.0833,0.1667,9.626E-12,8.1288,0.4414,0.0048,0.0000,0.0000,1.188E-14,8.1288,0.4414,0.0048,0.0000,0.0000,1.188E-14,9.5809,0.4842,0.0047,0.0208,0.0000,1.047E-14,9.5809,0.4842,0.0047,0.0208,0.0000,1.047E-14,0.3080,0.0026,0.0216,0.0000,0.0000,1.015E-10,3.7671,0.0579,0.0064,0.0000,0.0000,6.677E-14
Tabanus_quinquevittatus,48,5.0541,5.2631,500,0.9976,6,5.3151,0.9983,0.0004,10048,11.2670,5.5091,2.9279,3.2744,5.3918,1.6644,20.8667,7.5849,0.0000,5.3790,0.0029,0.1103,0.1417,0.0000,7.3171,1.6511,0.7046,0.1312,0.2721,1.0855,0.0526,0.0078,22.1417,0.0623,0.0000,2.1985,0.0000,0.2535,0.0020,0.0000,0.0000,4.1751,0.0031,1.0000,0.0104,0.0131,0.0000,0.0000,5.14E-12,5.0000,0.1121,0.0056,0.0000,0.0000,2.997E-14,10.0000,0.5099,0.0043,0.1042,0.0000,6.142E-15,8.1769,0.4289,0.0047,0.0000,0.0000,1.047E-14,9.7463,0.5052,0.0047,0.0208,0.0000,1.047E-14,8.1769,0.4289,0.0047,0.0000,0.0000,1.047E-14,8.1769,0.4289,0.0047,0.0000,0.0000,1.047E-14,38.9371,0.5667,0.0031,0.3542,0.0000,8.624E-16,38.9371,0.5667,0.0031,0.3542,0.0000,8.624E-16,0.3373,0.0026,0.0213,0.0000,0.0000,9.333E-11,3.8500,0.0662,0.0065,0.0000,0.0000,7.328E-14
Tabanus_quinquevittatus,48,5.0557,5.2596,500,0.9976,6,5.2455,0.9975,0.0006,10048,10.2210,8.5009,1.6019,6.7298,5.6798,2.2990,23.4160,5.9784,1.6031,0.0000,0.6277,0.0397,3.8443,0.0000,9.2377,0.8500,0.5766,0.0835,0.2483,0.0000,0.0993,0.0059,17.8420,0.1107,0.0000,0.1698,0.0000,0.2295,0.0051,0.0000,0.0000,4.1798,0.0031,1.0000,0.0091,0.0132,0.0000,0.0000,5.378E-12,5.0000,0.1044,0.0057,0.0000,0.0000,3.333E-14,10.0000,0.5171,0.0044,0.0833,0.1667,9.626E-12,8.3909,0.4289,0.0048,0.0000,0.0000,1.188E-14,15.8855,0.5171,0.0042,0.0833,0.1667,7.629E-12,8.3909,0.4289,0.0048,0.0000,0.0000,1.188E-14,8.3909,0.4289,0.0048,0.0000,0.0000,1.188E-14,9.7969,0.4789,0.0047,0.0208,0.0000,1.047E-14,9.7969,0.4789,0.0047,0.0208,0.0000,1.047E-14,0.3291,0.0026,0.0220,0.0000,0.0000,1.132E-10,3.8829,0.0644,0.0065,0.0000,0.0000,7.328E-14
Tabanus_quinquevittatus,49,5.0373,5.2433,500,0.9976,5,5.2623,0.9972,0.0005,10049,10.8123,4.6924,7.0824,7.2823,4.7078,2.1282,21.7635,8.5046,0.0000,0.0862,0.0000,0.0338,2.4416,0.0000,11.2241,1.0397,0.5334,0.0910,5.5872,0.0000,0.0924,0.0030,10.7175,0.1895,0.0000,0.2693,0.0000,0.7128,0.0051,0.0000,0.0000,4.1897,0.0031,1.0000,0.0098,0.0130,0.0000,0.0000,3.765E-10,5.0000,0.1358,0.0056,0.0000,0.0000,5.374E-12,10.0000,0.5116,0.0044,0.1020,0.0000,1.609E-12,8.0643,0.4250,0.0049,0.0000,0.0000,2.757E-12,9.5789,0.4999,0.0048,0.0204,0.0000,2.487E-12,8.0643,0.4250,0.0049,0.0000,0.0000,2.757E-12,8.0643,0.4250,0.0049,0.0000,0.0000,2.757E-12,31.8856,0.5462,0.0034,0.1429,0.0000,4.434E-13,31.8856,0.5462,0.0034,0.1429,0.0000,4.434E-13,0.3413,0.0026,0.0213,0.0000,0.0000,4.38E-9,3.7648,0.0613,0.0066,0.0000,0.0000,1.222E-11
Tabanus_quinquevittatus,49,5.1061,5.2639,500,0.9976,5,3.8963,0.9935,0.0029,10049,6.7828,5.5873,6.2410,4.2863,12.6109,2.4931,22.9954,5.4860,0.0000,4.3111,1.0149,0.0581,0.0643,0.0000,2.8294,0.3350,0.6755,0.0000,5.6164,0.0142,0.4498,0.0004,16.9807,0.0761,0.0000,0.1697,0.0000,0.9217,0.0000,0.0000,0.0000,4.1281,0.0030,1.0000,0.0113,0.0107,0.0000,0.2000,6.613E-8,5.0000,0.1558,0.0051,0.0000,0.2000,3.304E-9,10.0000,0.4756,0.0046,0.0612,0.4000,9.526E-7,9.6003,0.4684,0.0046,0.0000,0.2000,2.187E-9,29.8942,0.5389,0.0035,0.0816,0.6000,1.205E-4,9.6003,0.4684,0.0046,0.0000,0.2000,2.187E-9,9.6003,0.4684,0.0046,0.0000,0.2000,2.187E-9,0.2856,0.0021,0.0190,0.0000,0.0000,2.481E-9,0.2856,0.0021,0.0190,0.0000,0.0000,2.481E-9,0.2856,0.0021,0.0190,0.0000,0.0000,2.481E-9,2.9995,0.0498,0.0062,0.0000,0.2000,7.209E-9
Tabanus_quinquevittatus,49,5.0370,5.2386,500,0.9976,5,5.2913,0.9983,0.0006,10049,11.8545,7.2779,3.2094,0.0024,6.6665,3.6509,21.0544,3.5026,0.8529,2.4535,0.7882,0.0615,4.3606,0.0000,6.0691,0.7389,0.6495,0.0398,0.2344,0.0000,0.0721,0.0023,25.7967,0.1664,0.0000,0.1002,0.0000,0.2962,0.0053,0.0000,0.0936,4.2022,0.0032,1.0000,0.0090,0.0130,0.0000,0.0000,3.765E-10,5.0000,0.1066,0.0058,0.0000,0.0000,6.405E-12,10.0000,0.5038,0.0048,0.0204,0.0000,2.487E-12,8.4873,0.4289,0.0048,0.0000,0.0000,2.487E-12,10.0063,0.5038,0.0048,0.0204,0.0000,2.487E-12,8.4873,0.4289,0.0048,0.0000,0.0000,2.487E-12,8.4873,0.4289,0.0048,0.0000,0.0000,2.487E-12,17.6807,0.5102,0.0042,0.1020,0.0000,1.275E-12,17.6807,0.5102,0.0042,0.1020,0.0000,1.275E-12,0.3615,0.0026,0.0213,0.0000,0.0000,4.38E-9,3.9480,0.0677,0.0066,0.0000,0.0000,1.222E-11
Tabanus_quinquevittatus,49,5.0574,5.2456,500,0.9976,5,5.1474,0.9972,0.0008,10049,10.3970,5.1637,3.3675,4.4168,9.0969,2.4487,22.2281,6.4757,0.1252,1.5960,0.0000,0.0603,0.1831,0.0000,3.1897,0.5228,0.6927,0.0967,0.1436,0.6338,1.2177,0.0098,19.1953,0.0577,0.0000,8.3604,0.0000,0.3132,0.0075,0.0000,0.0000,4.1724,0.0031,1.0000,0.0119,0.0124,0.0000,0.0000,2.978E-10,5.0000,0.1247,0.0055,0.0000,0.0000,4.911E-12,10.0000,0.4813,0.0047,0.0408,0.2000,2.384E-9,7.5252,0.3999,0.0048,0.0000,0.0000,2.487E-12,10.2343,0.4813,0.0047,0.0408,0.2000,2.384E-9,7.5252,0.3999,0.0048,0.0000,0.0000,2.487E-12,7.5252,0.3999,0.0048,0.0000,0.0000,2.487E-12,8.8040,0.4534,0.0047,0.0204,0.0000,2.238E-12,8.8040,0.4534,0.0047,0.0204,0.0000,2.238E-12,0.3122,0.0025,0.0207,0.0000,0.0000,3.799E-9,3.7106,0.0576,0.0064,0.0000,0.0000,1.048E-11
Tabanus_quinquevittatus,49,5.0373,5.2433,500,0.9976,5,5.2623,0.9972,0.0005,10049,10.8123,4.6924,7.0824,7.2823,4.7078,2.1282,21.7635,8.5046,0.0000,0.0862,0.0000,0.0338,2.4416,0.0000,11.2241,1.0397,0.5334,0.0910,5.5872,0.0000,0.0924,0.0030,10.7175,0.1895,0.0000,0.2693,0.0000,0.7128,0.0051,0.0000,0.0000,4.1897,0.0031,1.0000,0.0098,0.0130,0.0000,0.0000,3.765E-10,5.0000,0.1358,0.0056,0.0000,0.0000,5.374E-12,10.0000,0.5116,0.0044,0.1020,0.0000,1.609E-12,8.0643,0.4250,0.0049,0.0000,0.0000,2.757E-12,9.5789,0.4999,0.0048,0.0204,0.0000,2.487E-12,8.0643,0.4250,0.0049,0.0000,0.0000,2.757E-12,8.0643,0.4250,0.0049,0.0000,0.0000,2.757E-12,31.8856,0.5462,0.0034,0.1429,0.0000,4.434E-13,31.8856,0.5462,0.0034,0.1429,0.0000,4.434E-13,0.3413,0.0026,0.0213,0.0000,0.0000,4.38E-9,3.7648,0.0613,0.0066,0.0000,0.0000,1.222E-11
Tabanus_quinquevittatus,49,5.0427,5.2428,500,0.9976,5,5.2922,0.9986,0.0006,10049,4.2090,5.5421,7.9802,6.9198,4.5772,2.4397,23.3381,6.3881,1.9528,0.4759,0.1917,0.1192,3.1355,0.0000,3.0371,0.7429,0.8586,0.0636,7.0812,0.6001,0.0415,0.0025,19.6901,0.1597,0.0000,0.1397,0.0000,0.2902,0.0000,0.0000,0.0237,4.1871,0.0031,1.0000,0.0110,0.0127,0.0000,0.0000,3.353E-10,5.0000,0.1280,0.0056,0.0000,0.0000,5.374E-12,10.0000,0.4995,0.0044,0.0204,0.0000,1.609E-12,8.1281,0.4372,0.0048,0.0000,0.0000,2.487E-12,14.1926,0.4995,0.0044,0.0204,0.0000,1.609E-12,8.1281,0.4372,0.0048,0.0000,0.0000,2.487E-12,8.1281,0.4372,0.0048,0.0000,0.0000,2.487E-12,19.0795,0.5479,0.0042,0.1429,0.0000,1.275E-12,19.0795,0.5479,0.0042,0.1429,0.0000,1.275E-12,0.3133,0.0026,0.0209,0.0000,0.0000,3.985E-9,3.8107,0.0623,0.0065,0.0000,0.0000,1.132E-11
