Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Taenidia_integerrima,25,4.0102,5.2212,500,0.9985,3,2.7141,0.9566,0.0335,10025,4.0635,2.4458,0.0000,0.0069,8.4454,34.6577,7.9476,1.5075,0.0790,0.1984,0.7289,1.5147,16.3447,5.1225,0.2182,4.1933,1.5391,1.6309,0.0601,0.4195,2.9856,0.0000,2.4203,0.0974,0.4493,0.0000,0.4684,0.0895,1.0399,1.3258,0.0000,5.1935,0.0079,1.0000,0.0015,0.2752,0.0000,0.0000,2.085E-2,5.0000,0.0101,0.0938,0.0000,0.3333,2.473E-2,10.0000,0.0298,0.0435,0.0000,0.3333,5.51E-3,30.6474,0.2789,0.0050,0.0000,0.3333,7.438E-5,36.7674,0.4153,0.0031,0.0800,0.6667,9.248E-3,30.6474,0.2789,0.0050,0.0000,0.3333,7.438E-5,30.6474,0.2789,0.0050,0.0000,0.3333,7.438E-5,3.5859,0.0062,0.1254,0.0000,0.0000,1.971E-3,3.5859,0.0062,0.1254,0.0000,0.0000,1.971E-3,3.9287,0.0071,0.1163,0.0000,0.3333,3.744E-2,17.3411,0.0787,0.0180,0.0000,0.3333,9.556E-4
Taenidia_integerrima,25,4.0702,5.1999,500,0.9984,3,0.8660,0.9393,0.0293,10025,6.0575,0.1225,0.9210,0.0772,10.3478,31.8042,10.4738,1.2983,0.0039,0.1824,0.6142,2.4746,13.6460,5.8975,0.0664,4.2970,0.4018,2.1168,0.2353,0.6730,2.2844,0.2083,2.2459,0.2262,0.9376,0.0000,0.9848,0.0431,0.7200,0.2812,0.3572,5.1418,0.0075,1.0000,0.0014,0.2529,0.0000,0.0000,1.617E-2,5.0000,0.0109,0.0839,0.0000,0.3333,1.993E-2,10.0000,0.0315,0.0384,0.0000,0.6667,1.108E-1,23.9801,0.1772,0.0079,0.0000,0.6667,2.346E-2,38.3185,0.5554,0.0027,0.0800,1.0000,1E0,23.9801,0.1772,0.0079,0.0000,0.6667,2.346E-2,23.9801,0.1772,0.0079,0.0000,0.6667,2.346E-2,3.0548,0.0052,0.1274,0.0000,0.0000,2.067E-3,3.0548,0.0052,0.1274,0.0000,0.0000,2.067E-3,3.6961,0.0068,0.1094,0.0000,0.3333,3.33E-2,16.8163,0.0809,0.0171,0.0000,0.6667,5.03E-2
Taenidia_integerrima,25,4.0212,5.0261,500,0.9980,3,0.7471,0.7597,0.1941,10025,7.7652,0.0278,0.0100,0.1867,9.7773,36.2635,11.9228,0.1689,0.0000,0.0603,0.2325,0.9254,9.9185,6.5918,0.2127,1.9220,0.7285,3.0821,0.0612,0.5388,3.1065,0.0000,4.5829,0.2440,0.0472,0.0000,0.3542,0.1605,0.8249,0.2468,0.0371,5.2035,0.0080,1.0000,0.0016,0.2504,0.0000,0.3333,1.567E-1,5.0000,0.0109,0.0955,0.0000,0.3333,2.56E-2,10.0000,0.0295,0.0461,0.0000,0.3333,6.176E-3,23.8459,0.1479,0.0099,0.0000,0.3333,2.906E-4,32.7235,0.3340,0.0044,0.0800,0.3333,5.762E-5,23.8459,0.1479,0.0099,0.0000,0.3333,2.906E-4,23.8459,0.1479,0.0099,0.0000,0.3333,2.906E-4,0.4733,0.0008,0.3334,0.0000,0.3333,2.593E-1,33.2864,0.3389,0.0042,0.1200,0.3333,5.251E-5,3.5255,0.0072,0.1252,0.0000,0.3333,4.309E-2,18.2133,0.0871,0.0181,0.0000,0.3333,9.662E-4
Taenidia_integerrima,25,3.8953,5.0241,500,0.9981,3,4.2770,0.9953,0.0026,10025,7.6087,0.0707,0.0020,0.0952,12.4158,32.9895,9.1245,0.0071,0.0587,0.2004,0.9893,1.4084,11.9984,6.4276,0.6356,3.2348,0.0220,3.3906,0.1178,0.5827,2.8429,0.0000,3.0499,0.3912,0.0000,0.0000,0.6432,0.1871,0.8758,0.6303,0.0000,5.3700,0.0094,1.0000,0.0015,0.3367,0.0000,0.0000,3.816E-2,5.0000,0.0097,0.1266,0.0000,0.0000,2.028E-3,10.0000,0.0259,0.0610,0.0000,0.0000,2.275E-4,27.9969,0.2006,0.0079,0.0000,0.3333,1.853E-4,30.7243,0.2649,0.0060,0.0800,0.3333,1.07E-4,27.9969,0.2006,0.0079,0.0000,0.3333,1.853E-4,27.9969,0.2006,0.0079,0.0000,0.3333,1.853E-4,24.9453,0.1461,0.0110,0.0000,0.0000,1.321E-6,24.9453,0.1461,0.0110,0.0000,0.0000,1.321E-6,4.5121,0.0085,0.1381,0.0000,0.0000,2.631E-3,18.8711,0.0816,0.0213,0.0000,0.0000,9.727E-6
Taenidia_integerrima,26,3.9386,4.9752,500,0.9979,2,3.6056,0.9963,0.0009,10026,9.3916,0.5907,0.0000,0.2773,10.6652,29.0644,9.7742,0.0508,0.0000,0.3289,0.1872,1.5542,13.8150,8.7168,0.2016,3.4891,2.3500,2.1469,0.0000,0.4578,2.5345,0.0000,2.2315,0.4831,0.0000,0.0000,0.7643,0.1456,0.2806,0.4987,0.0000,5.3015,0.0088,1.0000,0.0015,0.2882,0.0000,0.0000,8.303E-2,5.0000,0.0109,0.1037,0.0000,0.0000,1.076E-2,10.0000,0.0298,0.0501,0.0000,0.0000,2.507E-3,25.2568,0.1740,0.0098,0.0000,0.0000,9.554E-5,29.6550,0.2455,0.0063,0.0769,0.0000,3.948E-5,25.2568,0.1740,0.0098,0.0000,0.0000,9.554E-5,25.2568,0.1740,0.0098,0.0000,0.0000,9.554E-5,32.7081,0.3313,0.0049,0.1154,0.0000,2.389E-5,32.7081,0.3313,0.0049,0.1154,0.0000,2.389E-5,4.0063,0.0079,0.1248,0.0000,0.0000,1.557E-2,18.1169,0.0872,0.0199,0.0000,0.0000,3.979E-4
Taenidia_integerrima,26,3.9163,5.0159,500,0.9979,2,4.4105,0.9970,0.0019,10026,9.9227,0.0403,0.3043,0.1104,10.3807,26.5957,8.4096,0.0743,0.0114,0.0874,1.4198,2.4060,12.0402,9.4864,0.2036,3.9440,0.3093,3.3860,0.1023,0.5065,3.3522,0.0000,2.6369,0.5632,0.0000,0.0000,0.7138,0.0882,1.5177,1.3451,0.0420,5.3188,0.0090,1.0000,0.0016,0.2890,0.0000,0.0000,8.355E-2,5.0000,0.0109,0.1057,0.0000,0.0000,1.118E-2,10.0000,0.0293,0.0516,0.0000,0.0000,2.659E-3,23.3022,0.1417,0.0124,0.0000,0.0000,1.53E-4,31.5443,0.2917,0.0055,0.0769,0.5000,1.094E-2,23.3022,0.1417,0.0124,0.0000,0.0000,1.53E-4,23.3022,0.1417,0.0124,0.0000,0.0000,1.53E-4,31.0965,0.2858,0.0057,0.0769,0.0000,3.232E-5,31.0965,0.2858,0.0057,0.0769,0.0000,3.232E-5,4.0684,0.0081,0.1259,0.0000,0.0000,1.584E-2,18.2567,0.0897,0.0203,0.0000,0.0000,4.14E-4
Taenidia_integerrima,25,3.8196,4.9795,500,0.9980,3,5.6045,0.9991,0.0003,10025,6.1756,0.0015,0.5740,0.0010,9.1777,29.8593,13.7779,0.0765,0.0863,0.3873,1.0734,1.8707,10.5371,7.0086,0.1677,4.3687,0.7991,3.3790,0.0145,0.2819,3.8492,0.0000,3.3706,0.3539,0.0645,0.0000,0.1876,0.1089,1.2319,1.2157,0.0000,5.4463,0.0103,1.0000,0.0017,0.3178,0.0000,0.0000,3.21E-2,5.0000,0.0112,0.1207,0.0000,0.0000,1.758E-3,10.0000,0.0306,0.0596,0.0000,0.0000,2.112E-4,26.7729,0.1780,0.0109,0.0000,0.0000,1.285E-6,38.1311,0.3941,0.0039,0.0800,0.0000,5.888E-8,26.7729,0.1780,0.0109,0.0000,0.0000,1.285E-6,26.7729,0.1780,0.0109,0.0000,0.0000,1.285E-6,60.8277,0.8310,0.0013,0.4800,0.0000,2.181E-9,60.8277,0.8310,0.0013,0.4800,0.0000,2.181E-9,4.3435,0.0092,0.1356,0.0000,0.0000,2.491E-3,18.8950,0.0921,0.0230,0.0000,0.0000,1.223E-5
Taenidia_integerrima,25,3.9889,5.1072,500,0.9981,3,2.8267,0.9658,0.0259,10025,9.8553,0.0206,0.0000,0.0192,15.9679,25.3294,6.4351,1.3216,0.7979,0.1043,0.7913,2.2797,12.0996,6.7909,0.2448,3.9977,0.7936,3.3539,0.0000,0.6210,2.9197,0.0000,2.8821,0.4717,0.0000,0.0000,1.0370,0.0532,1.3343,0.4782,0.0000,5.2572,0.0084,1.0000,0.0015,0.2876,0.0000,0.0000,2.378E-2,5.0000,0.0101,0.1073,0.0000,0.0000,1.236E-3,10.0000,0.0288,0.0516,0.0000,0.3333,7.704E-3,25.8655,0.1681,0.0087,0.0000,0.3333,2.246E-4,33.8140,0.3464,0.0040,0.0800,0.6667,1.192E-2,25.8655,0.1681,0.0087,0.0000,0.3333,2.246E-4,25.8655,0.1681,0.0087,0.0000,0.3333,2.246E-4,5.5609,0.0118,0.0977,0.0000,0.0000,9.313E-4,5.5609,0.0118,0.0977,0.0000,0.0000,9.313E-4,4.0012,0.0076,0.1291,0.0000,0.0000,2.151E-3,18.7699,0.0839,0.0191,0.0000,0.3333,1.075E-3
Taenidia_integerrima,25,3.9268,5.0055,500,0.9978,3,4.1160,0.9919,0.0056,10025,2.5157,3.7800,0.0035,0.0256,12.9319,34.3957,9.4255,0.0156,0.1045,0.2190,1.1090,1.4598,11.3008,6.5729,0.6336,3.3280,0.0745,3.0746,0.0000,0.4649,3.7046,0.0000,1.8601,0.2390,0.0000,0.0000,1.2804,0.0000,1.0499,0.4103,0.0206,5.3404,0.0092,1.0000,0.0015,0.3194,0.0000,0.0000,3.258E-2,5.0000,0.0101,0.1188,0.0000,0.0000,1.677E-3,10.0000,0.0271,0.0574,0.0000,0.0000,1.887E-4,22.8401,0.1253,0.0133,0.0000,0.3333,5.234E-4,36.5191,0.4105,0.0035,0.0800,0.3333,3.648E-5,22.8401,0.1253,0.0133,0.0000,0.3333,5.234E-4,22.8401,0.1253,0.0133,0.0000,0.3333,5.234E-4,18.3266,0.0816,0.0217,0.0000,0.0000,1.028E-5,18.3266,0.0816,0.0217,0.0000,0.0000,1.028E-5,4.3289,0.0082,0.1340,0.0000,0.0000,2.404E-3,18.7991,0.0864,0.0207,0.0000,0.3333,1.274E-3
Taenidia_integerrima,25,4.0033,5.1360,500,0.9983,3,2.1948,0.9873,0.0035,10025,7.7500,0.2726,0.4571,0.0006,8.7775,34.2080,9.3054,0.1656,0.0014,0.0737,0.9063,1.9562,11.7118,8.1508,0.1787,3.7534,0.5224,2.1693,0.0085,0.8741,2.0736,0.0000,5.0159,0.1043,0.0000,0.0000,0.4223,0.2229,0.5605,0.3569,0.0000,5.2188,0.0081,1.0000,0.0014,0.2926,0.0000,0.0000,2.504E-2,5.0000,0.0097,0.1036,0.0000,0.0000,1.113E-3,10.0000,0.0277,0.0479,0.0000,0.0000,1.098E-4,27.0223,0.2239,0.0073,0.0000,0.6667,2.169E-2,31.8585,0.2960,0.0046,0.0800,0.6667,1.37E-2,27.0223,0.2239,0.0073,0.0000,0.6667,2.169E-2,27.0223,0.2239,0.0073,0.0000,0.6667,2.169E-2,18.6578,0.0892,0.0172,0.0000,0.0000,5.05E-6,18.6578,0.0892,0.0172,0.0000,0.0000,5.05E-6,4.0689,0.0073,0.1239,0.0000,0.0000,1.902E-3,18.0558,0.0857,0.0184,0.0000,0.0000,6.183E-6
