Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Teliapsocus_conterminus,39,4.9994,5.4204,500,0.9981,5,5.5167,0.9985,0.0002,10039,16.8014,4.5276,0.3013,0.5005,11.7401,2.8224,1.8002,1.8861,0.0000,2.0285,2.4688,1.7639,9.6976,0.0000,0.0987,2.4939,0.0641,0.0000,0.0959,0.0000,0.0000,3.7081,0.0000,0.0596,0.0189,0.3514,0.3513,0.0512,36.3683,0.0000,0.0000,4.2292,0.0030,1.0000,0.0010,0.0707,0.0000,0.0000,1.769E-6,5.0000,0.0255,0.0096,0.0000,0.0000,7.997E-11,10.0000,0.1622,0.0041,0.0000,0.0000,1.136E-12,11.5174,0.4146,0.0039,0.0000,0.0000,8.849E-13,14.1317,0.4829,0.0037,0.0513,0.0000,6.801E-13,11.5174,0.4146,0.0039,0.0000,0.0000,8.849E-13,11.5174,0.4146,0.0039,0.0000,0.0000,8.849E-13,28.1226,0.6299,0.0030,0.2308,0.0000,2.383E-13,28.1226,0.6299,0.0030,0.2308,0.0000,2.383E-13,1.8081,0.0027,0.0374,0.0000,0.0000,7.273E-8,6.5605,0.0500,0.0068,0.0000,0.0000,1.426E-11
Teliapsocus_conterminus,39,5.0316,5.4260,500,0.9981,5,5.2709,0.9980,0.0005,10039,19.4192,2.5184,0.0003,0.5153,10.4747,1.1903,3.7210,1.8500,0.0000,0.2141,4.7511,2.3718,6.6700,0.0000,0.0705,3.2354,0.0493,0.0000,1.1463,0.0000,0.0000,2.1760,1.2584,0.0801,0.0380,0.3299,0.2203,0.0141,37.6852,0.0000,0.0000,4.1845,0.0029,1.0000,0.0010,0.0664,0.0000,0.0000,1.295E-6,5.0000,0.0293,0.0085,0.0000,0.0000,4.352E-11,10.0000,0.3180,0.0039,0.0000,0.0000,8.849E-13,10.1835,0.3180,0.0038,0.0000,0.0000,7.771E-13,16.5112,0.5640,0.0034,0.0769,0.2000,6.561E-10,10.1835,0.3180,0.0038,0.0000,0.0000,7.771E-13,10.1835,0.3180,0.0038,0.0000,0.0000,7.771E-13,10.1835,0.3180,0.0038,0.0000,0.0000,7.771E-13,10.1835,0.3180,0.0038,0.0000,0.0000,7.771E-13,1.7679,0.0026,0.0354,0.0000,0.0000,5.53E-8,6.1952,0.0447,0.0065,0.0000,0.0000,1.138E-11
Teliapsocus_conterminus,39,5.0211,5.4290,500,0.9981,5,5.4691,0.9981,0.0004,10039,19.6368,2.4094,2.2883,0.2328,7.1955,4.4685,1.4828,2.2246,0.0000,0.6848,0.8509,2.1655,12.4507,0.0000,0.1385,1.7179,0.0498,0.0029,0.0742,0.0000,0.0000,3.0058,0.0000,0.0728,0.0278,0.3456,0.2508,0.0304,38.1928,0.0000,0.0000,4.2025,0.0030,1.0000,0.0011,0.0663,0.0000,0.0000,1.285E-6,5.0000,0.0307,0.0089,0.0000,0.0000,5.476E-11,10.0000,0.4139,0.0039,0.0000,0.0000,8.849E-13,10.9382,0.4139,0.0038,0.0000,0.0000,7.771E-13,13.7091,0.4901,0.0037,0.0513,0.0000,6.801E-13,10.9382,0.4139,0.0038,0.0000,0.0000,7.771E-13,10.9382,0.4139,0.0038,0.0000,0.0000,7.771E-13,17.0914,0.5652,0.0035,0.1026,0.0000,5.151E-13,17.0914,0.5652,0.0035,0.1026,0.0000,5.151E-13,1.7853,0.0026,0.0353,0.0000,0.0000,5.452E-8,6.3421,0.0458,0.0066,0.0000,0.0000,1.228E-11
Teliapsocus_conterminus,39,5.0411,5.4319,500,0.9981,5,5.4280,0.9981,0.0004,10039,20.3381,0.9370,1.4310,0.5054,9.2222,2.5510,1.9565,1.4326,0.0000,0.4567,4.4443,0.7323,10.2285,0.0000,0.2844,2.9438,0.0478,0.0097,0.0223,0.0000,0.0000,3.7964,0.0000,0.0636,0.0191,0.3413,0.3544,0.0528,37.8289,0.0000,0.0000,4.1782,0.0029,1.0000,0.0012,0.0564,0.0000,0.0000,5.697E-7,5.0000,0.0332,0.0081,0.0000,0.0000,3.42E-11,10.0000,0.4163,0.0039,0.0000,0.0000,8.849E-13,10.6881,0.4163,0.0039,0.0000,0.0000,8.849E-13,14.9804,0.4962,0.0035,0.0513,0.0000,5.151E-13,10.6881,0.4163,0.0039,0.0000,0.0000,8.849E-13,10.6881,0.4163,0.0039,0.0000,0.0000,8.849E-13,16.5416,0.5046,0.0034,0.1026,0.0000,4.456E-13,16.5416,0.5046,0.0034,0.1026,0.0000,4.456E-13,1.6066,0.0026,0.0339,0.0000,0.0000,4.456E-8,6.0409,0.0510,0.0065,0.0000,0.0000,1.138E-11
Teliapsocus_conterminus,40,4.9908,5.4020,500,0.9980,4,5.4945,0.9985,0.0002,10040,16.9415,5.2747,0.0101,0.0172,11.4608,3.5929,1.8130,2.0326,0.0000,2.2690,2.6139,1.8125,9.0531,0.0000,0.2379,2.4299,0.0596,0.0109,0.0242,0.0000,0.0000,3.0517,0.0000,0.0689,0.0212,0.2597,0.2036,0.0193,36.7216,0.0000,0.0000,4.2295,0.0031,1.0000,0.0011,0.0671,0.0000,0.0000,2.031E-5,5.0000,0.0283,0.0091,0.0000,0.0000,6.749E-9,10.0000,0.4125,0.0040,0.0000,0.0000,2.519E-10,10.9925,0.4125,0.0040,0.0000,0.0000,2.519E-10,18.7728,0.5679,0.0034,0.1000,0.0000,1.315E-10,10.9925,0.4125,0.0040,0.0000,0.0000,2.519E-10,10.9925,0.4125,0.0040,0.0000,0.0000,2.519E-10,27.2832,0.6247,0.0031,0.2250,0.0000,9.089E-11,27.2832,0.6247,0.0031,0.2250,0.0000,9.089E-11,1.7373,0.0027,0.0370,0.0000,0.0000,1.864E-6,6.3139,0.0492,0.0068,0.0000,0.0000,2.104E-9
Teliapsocus_conterminus,40,4.9908,5.4020,500,0.9980,4,5.4945,0.9985,0.0002,10040,16.9415,5.2747,0.0101,0.0172,11.4608,3.5929,1.8130,2.0326,0.0000,2.2690,2.6139,1.8125,9.0531,0.0000,0.2379,2.4299,0.0596,0.0109,0.0242,0.0000,0.0000,3.0517,0.0000,0.0689,0.0212,0.2597,0.2036,0.0193,36.7216,0.0000,0.0000,4.2295,0.0031,1.0000,0.0011,0.0671,0.0000,0.0000,2.031E-5,5.0000,0.0283,0.0091,0.0000,0.0000,6.749E-9,10.0000,0.4125,0.0040,0.0000,0.0000,2.519E-10,10.9925,0.4125,0.0040,0.0000,0.0000,2.519E-10,18.7728,0.5679,0.0034,0.1000,0.0000,1.315E-10,10.9925,0.4125,0.0040,0.0000,0.0000,2.519E-10,10.9925,0.4125,0.0040,0.0000,0.0000,2.519E-10,27.2832,0.6247,0.0031,0.2250,0.0000,9.089E-11,27.2832,0.6247,0.0031,0.2250,0.0000,9.089E-11,1.7373,0.0027,0.0370,0.0000,0.0000,1.864E-6,6.3139,0.0492,0.0068,0.0000,0.0000,2.104E-9
Teliapsocus_conterminus,40,5.0373,5.4097,500,0.9980,4,5.1367,0.9973,0.0006,10040,24.9087,6.9680,0.0326,4.1877,13.9120,4.4096,4.7382,1.9458,0.0000,4.6454,4.1478,1.8111,12.4774,0.0000,0.0000,5.1492,0.0562,0.0000,0.7839,0.0000,0.0000,1.2001,0.0664,0.1253,0.0383,0.2888,0.2366,0.0114,7.8595,0.0000,0.0000,4.1765,0.0029,1.0000,0.0011,0.0598,0.0000,0.0000,1.275E-5,5.0000,0.0283,0.0079,0.0000,0.0000,3.833E-9,10.0000,0.4103,0.0039,0.0250,0.2500,2.338E-7,9.5820,0.3215,0.0040,0.0000,0.0000,2.519E-10,15.8521,0.5554,0.0035,0.0750,0.2500,1.69E-7,9.5820,0.3215,0.0040,0.0000,0.0000,2.519E-10,9.5820,0.3215,0.0040,0.0000,0.0000,2.519E-10,9.5820,0.3215,0.0040,0.0000,0.0000,2.519E-10,9.5820,0.3215,0.0040,0.0000,0.0000,2.519E-10,1.6722,0.0026,0.0341,0.0000,0.0000,1.346E-6,5.8052,0.0415,0.0065,0.0000,0.0000,1.757E-9
Teliapsocus_conterminus,40,5.0433,5.4254,500,0.9980,4,4.2634,0.9956,0.0025,10040,29.6415,4.9356,3.7527,0.0464,10.8104,5.4932,5.1247,2.3740,0.0000,2.7018,8.7366,2.1937,14.1586,0.0000,0.4465,1.3108,0.0571,0.0000,0.0006,0.0000,0.0000,1.6430,0.0000,0.0491,0.0094,0.0000,0.2679,0.0058,6.2408,0.0000,0.0000,4.1723,0.0029,1.0000,0.0008,0.0760,0.0000,0.0000,3.336E-5,5.0000,0.0256,0.0075,0.0000,0.2500,1.658E-6,10.0000,0.4729,0.0039,0.0250,0.2500,2.338E-7,9.5051,0.4425,0.0039,0.0000,0.2500,2.338E-7,14.1694,0.5519,0.0037,0.0750,0.2500,1.996E-7,9.5051,0.4425,0.0039,0.0000,0.2500,2.338E-7,9.5051,0.4425,0.0039,0.0000,0.2500,2.338E-7,3.5149,0.0112,0.0128,0.0000,0.0000,2.725E-8,3.5149,0.0112,0.0128,0.0000,0.0000,2.725E-8,1.9266,0.0026,0.0333,0.0000,0.0000,1.225E-6,5.5565,0.0324,0.0064,0.0000,0.2500,1.031E-6
Teliapsocus_conterminus,40,5.0468,5.4141,500,0.9980,4,5.3171,0.9974,0.0006,10040,27.3561,2.8859,5.6955,2.4607,14.1204,1.9432,2.7904,1.8329,0.0141,4.3489,3.8542,0.8646,13.3238,0.0000,0.8487,3.2414,0.0510,0.0201,0.0128,0.0000,0.0000,1.4816,0.0000,0.0462,0.0000,0.3382,0.1467,0.0595,12.2631,0.0000,0.0000,4.1735,0.0029,1.0000,0.0012,0.0522,0.0000,0.0000,7.42E-6,5.0000,0.0355,0.0076,0.0000,0.0000,3.283E-9,10.0000,0.4101,0.0040,0.0000,0.0000,2.519E-10,10.0646,0.4101,0.0040,0.0000,0.0000,2.519E-10,15.8980,0.4974,0.0036,0.1000,0.0000,1.653E-10,10.0646,0.4101,0.0040,0.0000,0.0000,2.519E-10,10.0646,0.4101,0.0040,0.0000,0.0000,2.519E-10,15.8980,0.4974,0.0036,0.1000,0.0000,1.653E-10,15.8980,0.4974,0.0036,0.1000,0.0000,1.653E-10,1.5598,0.0026,0.0321,0.0000,0.0000,1.058E-6,5.8334,0.0471,0.0064,0.0000,0.0000,1.651E-9
Teliapsocus_conterminus,40,5.0811,5.4188,500,0.9980,4,2.7744,0.9088,0.0776,10040,24.8051,5.8466,6.8529,0.8765,13.1534,5.4823,4.2371,1.1420,0.0000,3.3339,6.8585,1.5571,11.7183,0.0000,0.1678,1.2192,0.0528,0.0971,0.1066,0.0000,0.0000,2.0434,0.0000,0.0598,0.0313,0.4596,1.0773,0.0000,8.8214,0.0000,0.0000,4.1425,0.0028,1.0000,0.0011,0.0579,0.0000,0.2500,7.415E-4,5.0000,0.0429,0.0061,0.0000,0.2500,8.93E-7,10.0000,0.4917,0.0039,0.0250,0.2500,2.338E-7,9.2410,0.3860,0.0039,0.0000,0.2500,2.338E-7,14.2881,0.5542,0.0037,0.0750,0.2500,1.996E-7,9.2410,0.3860,0.0039,0.0000,0.2500,2.338E-7,9.2410,0.3860,0.0039,0.0000,0.2500,2.338E-7,0.1379,0.0001,0.2500,0.0000,0.2500,5.078E-2,100.0000,0.6047,0.0000,0.2000,0.2500,0E0,1.6591,0.0025,0.0321,0.0000,0.2500,1.288E-4,4.9429,0.0401,0.0062,0.0000,0.2500,9.376E-7
