Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Tetracis_crocallata,74,2.8006,3.5655,500,0.9884,8,3.8157,0.9924,0.0036,10074,6.3377,5.6690,2.5493,0.9632,2.4713,33.4875,0.4272,0.5576,1.8701,1.2879,0.0444,4.7247,12.9362,1.5257,15.0062,1.4000,0.0000,0.0537,1.4160,0.1037,0.2846,1.9177,0.0000,0.8380,1.9533,1.5252,0.1753,0.0503,0.4243,0.0000,0.0000,6.4785,0.0297,1.0000,0.0044,0.5128,0.0000,0.0000,4.782E-3,5.0000,0.0190,0.2525,0.0000,0.0000,1.654E-5,10.0000,0.0405,0.1396,0.0135,0.0000,1.44E-7,6.6218,0.0251,0.2058,0.0000,0.0000,3.215E-6,26.0882,0.2042,0.0312,0.0946,0.1250,2.224E-10,22.4702,0.1464,0.0424,0.0405,0.0000,1.042E-11,19.2789,0.1105,0.0566,0.0135,0.0000,1.05E-10,25.7751,0.1971,0.0320,0.0946,0.0000,1.09E-12,25.7751,0.1971,0.0320,0.0946,0.0000,1.09E-12,6.6218,0.0251,0.2058,0.0000,0.0000,3.215E-6,17.8603,0.0993,0.0645,0.0135,0.0000,3.004E-10
Tetracis_crocallata,73,2.9044,3.6407,500,0.9885,9,2.1201,0.9550,0.0181,10073,3.4941,3.5400,1.3794,3.9670,2.2438,34.3257,1.5628,1.3044,1.6844,2.0084,0.0249,6.4728,10.5457,1.6408,17.9192,1.2846,0.0000,0.0000,1.2798,0.0184,0.1023,1.6097,0.0000,0.6001,1.5252,0.9735,0.2006,0.0511,0.2413,0.0000,0.0000,6.3879,0.0269,1.0000,0.0039,0.5140,0.0000,0.0000,2.506E-3,5.0000,0.0170,0.2453,0.0000,0.0000,3.217E-6,10.0000,0.0386,0.1328,0.0274,0.1111,7.692E-7,7.8093,0.0279,0.1708,0.0000,0.0000,1.234E-7,26.2900,0.1989,0.0277,0.0959,0.4444,1.871E-6,23.4063,0.1521,0.0356,0.0411,0.4444,6.423E-6,23.4063,0.1521,0.0356,0.0274,0.4444,6.423E-6,11.0376,0.0442,0.1186,0.0274,0.1111,3.159E-7,8.2339,0.0301,0.1624,0.0137,0.0000,7.864E-8,6.6369,0.0230,0.1975,0.0000,0.0000,4.563E-7,18.0061,0.0949,0.0590,0.0274,0.2222,8.03E-8
Tetracis_crocallata,73,2.9333,3.6777,500,0.9882,9,2.4472,0.9290,0.0318,10073,4.2468,4.8955,2.8246,0.7023,1.9877,33.7458,2.0421,1.3271,1.2896,1.6927,0.0189,6.0263,10.1604,1.4462,18.7758,1.1868,0.0000,0.0000,1.0163,0.1204,0.0627,0.9737,0.0000,1.2009,1.6105,1.5564,0.0100,0.0259,1.0395,0.0151,0.0000,6.3742,0.0265,1.0000,0.0039,0.5046,0.0000,0.0000,2.122E-3,5.0000,0.0169,0.2406,0.0000,0.0000,2.706E-6,10.0000,0.0390,0.1291,0.0274,0.3333,2.733E-4,7.4313,0.0262,0.1744,0.0000,0.2222,1.27E-4,28.8750,0.2399,0.0221,0.0959,0.3333,9.337E-9,19.2446,0.1102,0.0508,0.0548,0.3333,1.268E-6,17.5855,0.0943,0.0593,0.0274,0.3333,3.114E-6,5.7160,0.0193,0.2179,0.0000,0.2222,5.506E-4,5.6166,0.0188,0.2209,0.0000,0.0000,1.252E-6,6.5943,0.0228,0.1938,0.0000,0.2222,2.549E-4,17.8020,0.0966,0.0582,0.0411,0.3333,2.793E-6
Tetracis_crocallata,73,2.8832,3.6033,500,0.9883,9,2.6528,0.9801,0.0060,10073,2.0962,2.7287,5.1250,3.5685,3.1740,29.1910,1.8849,0.1098,1.2042,4.5496,0.0219,3.8051,11.3830,1.6376,21.6069,0.2879,0.0000,0.0000,1.3264,0.0933,0.0878,1.2287,0.0000,0.8717,1.1173,1.5607,0.4095,0.0786,0.6828,0.1690,0.0000,6.4168,0.0276,1.0000,0.0041,0.5411,0.0000,0.0000,3.98E-3,5.0000,0.0161,0.2675,0.0000,0.0000,7.024E-6,10.0000,0.0363,0.1457,0.0137,0.0000,2.966E-8,8.1789,0.0281,0.1795,0.0000,0.0000,1.934E-7,25.2175,0.1818,0.0313,0.0959,0.3333,7.241E-8,21.1957,0.1261,0.0453,0.0411,0.0000,7.985E-13,19.6481,0.1060,0.0524,0.0137,0.0000,2.987E-12,21.2666,0.1266,0.0450,0.0685,0.0000,7.524E-13,21.2666,0.1266,0.0450,0.0685,0.0000,7.524E-13,7.0478,0.0237,0.2055,0.0000,0.0000,6.536E-7,18.1541,0.0909,0.0608,0.0137,0.0000,1.128E-11
Tetracis_crocallata,74,2.8894,3.6172,500,0.9882,8,2.0183,0.9048,0.0533,10074,6.9737,2.9856,2.5494,5.5935,1.5110,32.2615,1.5646,1.4870,0.6551,2.1260,0.0000,3.9523,10.5537,1.5725,13.8850,1.2136,0.0755,0.0000,1.2932,0.0899,0.3053,1.2574,3.3425,0.9147,1.4524,1.5130,0.2581,0.0000,0.4948,0.1188,0.0000,6.3935,0.0271,1.0000,0.0041,0.5016,0.0000,0.0000,4.007E-3,5.0000,0.0177,0.2436,0.0135,0.1250,3.204E-4,10.0000,0.0393,0.1338,0.0135,0.2500,1.26E-4,4.5075,0.0158,0.2609,0.0000,0.1250,5.076E-4,26.5085,0.2003,0.0278,0.0946,0.3750,8.659E-7,21.4064,0.1287,0.0436,0.0405,0.3750,7.877E-6,19.7133,0.1103,0.0509,0.0135,0.2500,4.466E-7,5.4880,0.0194,0.2283,0.0135,0.2500,2.569E-3,19.8186,0.1109,0.0504,0.0270,0.2500,4.215E-7,4.5075,0.0158,0.2609,0.0000,0.1250,5.076E-4,18.1454,0.0940,0.0593,0.0135,0.2500,1.093E-6
Tetracis_crocallata,74,2.8395,3.5452,500,0.9884,8,3.3297,0.9857,0.0069,10074,7.7799,3.5797,2.5334,0.8363,2.0262,30.3407,0.9015,1.8338,2.8932,1.6287,0.0059,4.5192,11.1662,1.4955,20.4274,0.9995,0.0122,0.0000,0.7632,0.0870,0.0659,1.0887,0.0000,0.7088,1.4422,1.9567,0.3061,0.0000,0.5779,0.0241,0.0000,6.4555,0.0290,1.0000,0.0042,0.5348,0.0000,0.0000,6.696E-3,5.0000,0.0170,0.2598,0.0000,0.0000,2.074E-5,10.0000,0.0392,0.1409,0.0135,0.0000,1.55E-7,8.9403,0.0341,0.1586,0.0000,0.0000,4.009E-7,25.8020,0.1939,0.0323,0.0946,0.2500,2.985E-8,21.2138,0.1309,0.0476,0.0676,0.2500,3.014E-7,20.6791,0.1262,0.0499,0.0135,0.0000,3.863E-11,21.1901,0.1307,0.0476,0.0270,0.0000,2.657E-11,21.1901,0.1307,0.0476,0.0270,0.0000,2.657E-11,6.9360,0.0246,0.2009,0.0000,0.0000,2.655E-6,18.0617,0.0974,0.0631,0.0135,0.0000,2.524E-10
Tetracis_crocallata,74,2.9313,3.6311,500,0.9907,8,2.2771,0.8965,0.0827,10074,5.6177,4.8703,1.3950,0.2975,1.6641,33.9482,0.4321,0.2457,1.4621,5.7936,0.0586,4.0324,11.6401,1.5141,19.6373,0.9106,0.0405,0.0000,0.6287,0.2022,0.0389,1.7541,0.0000,0.3984,1.6348,1.2173,0.3121,0.0196,0.2341,0.0000,0.0000,6.3595,0.0260,1.0000,0.0037,0.5069,0.0000,0.1250,3.83E-2,5.0000,0.0164,0.2389,0.0000,0.1250,2.813E-4,10.0000,0.0379,0.1273,0.0000,0.1250,3.843E-6,17.9274,0.0964,0.0555,0.0000,0.1250,1.233E-8,24.2898,0.1758,0.0309,0.0811,0.2500,2.297E-8,21.2731,0.1298,0.0406,0.0405,0.2500,1.168E-7,17.9274,0.0964,0.0555,0.0000,0.1250,1.233E-8,10.1598,0.0387,0.1250,0.0000,0.1250,3.393E-6,17.9274,0.0964,0.0555,0.0000,0.1250,1.233E-8,6.5777,0.0224,0.1928,0.0000,0.1250,6.579E-5,17.6177,0.0937,0.0573,0.0000,0.1250,1.537E-8
Tetracis_crocallata,74,2.8692,3.6096,500,0.9889,8,2.5705,0.8894,0.0695,10074,3.8655,6.6727,2.2679,2.3935,2.1263,32.2356,3.6722,2.1958,1.3421,2.6258,0.0000,3.8455,12.0440,1.5755,14.3463,1.0556,0.0110,0.0000,0.9412,0.1451,0.0913,1.7139,0.0000,0.8564,1.2725,1.2940,0.0789,0.0000,1.3317,0.0000,0.0000,6.4302,0.0280,1.0000,0.0041,0.5285,0.0000,0.1250,4.952E-2,5.0000,0.0170,0.2547,0.0000,0.2500,4.68E-3,10.0000,0.0378,0.1349,0.0135,0.2500,1.32E-4,6.2177,0.0210,0.2158,0.0000,0.2500,1.881E-3,26.5278,0.2130,0.0272,0.0946,0.2500,1.081E-8,24.0071,0.1691,0.0337,0.0270,0.2500,3.835E-8,24.0071,0.1691,0.0337,0.0270,0.2500,3.835E-8,5.1326,0.0174,0.2500,0.0000,0.2500,4.231E-3,43.2880,0.5424,0.0087,0.3108,0.2500,1.226E-11,6.2177,0.0210,0.2158,0.0000,0.2500,1.881E-3,17.6104,0.0941,0.0615,0.0270,0.2500,1.365E-6
Tetracis_crocallata,74,2.9559,3.7080,500,0.9875,8,2.0786,0.9081,0.0442,10074,4.3416,4.1945,0.7670,2.8684,2.0797,31.1435,0.8827,1.0714,1.0770,5.3981,0.0205,3.9287,10.2047,1.4595,21.0475,1.4820,0.1111,0.0000,0.6599,0.1944,0.0000,1.5586,0.0000,1.0942,1.6633,1.9176,0.1351,0.0715,0.5479,0.0796,0.0000,6.3137,0.0248,1.0000,0.0037,0.4892,0.0000,0.0000,3.279E-3,5.0000,0.0163,0.2280,0.0135,0.2500,2.55E-3,10.0000,0.0379,0.1196,0.0270,0.2500,6.607E-5,3.8594,0.0125,0.2715,0.0000,0.1250,6.631E-4,33.8335,0.3606,0.0135,0.0946,0.5000,2.226E-6,20.3313,0.1259,0.0405,0.0405,0.5000,1.651E-4,19.5671,0.1153,0.0435,0.0270,0.5000,2.172E-4,4.3822,0.0141,0.2500,0.0135,0.2500,4.231E-3,13.7832,0.0609,0.0784,0.0270,0.2500,5.667E-6,3.8594,0.0125,0.2715,0.0000,0.1250,6.631E-4,17.2337,0.0909,0.0548,0.0270,0.3750,2.405E-5
Tetracis_crocallata,75,2.8639,3.5670,500,0.9889,7,3.4006,0.9872,0.0057,10075,6.4821,1.0344,4.6358,0.9008,2.0180,32.1247,0.9736,0.1681,1.0217,2.6032,0.0114,4.8473,10.7366,1.4695,23.1177,0.9182,0.0000,0.0000,1.1033,0.0758,0.1380,1.2650,0.0000,1.0225,1.2371,1.1603,0.2643,0.0534,0.5626,0.0544,0.0000,6.4456,0.0285,1.0000,0.0041,0.5380,0.0000,0.0000,1.304E-2,5.0000,0.0167,0.2615,0.0000,0.0000,8.37E-5,10.0000,0.0380,0.1416,0.0133,0.0000,1.144E-6,9.2539,0.0341,0.1540,0.0000,0.0000,2.058E-6,25.1360,0.1839,0.0330,0.0933,0.2857,7.718E-7,22.7223,0.1474,0.0405,0.0400,0.0000,1.786E-10,21.4914,0.1315,0.0453,0.0133,0.0000,3.891E-10,24.3379,0.1745,0.0351,0.0533,0.0000,6.612E-11,24.3379,0.1745,0.0351,0.0533,0.0000,6.612E-11,6.9188,0.0244,0.2032,0.0000,0.0000,1.429E-5,18.0558,0.0965,0.0624,0.0133,0.0000,3.697E-9
