Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Torrenticola_species,293,2.6948,2.9068,500,0.9796,33,2.1810,0.9522,0.0130,10293,4.8938,3.5235,1.9593,3.5116,0.8782,3.6316,3.1232,1.5117,9.4112,3.2328,3.9136,1.0173,1.8452,0.6193,1.3718,0.2676,0.0316,0.0321,0.8669,1.5546,1.2290,0.1120,0.8032,0.3519,0.6306,49.1323,0.0120,0.1129,0.1723,0.1793,0.0676,6.5704,0.0319,1.0000,0.0051,0.2957,0.0000,0.0303,1.093E-17,5.0000,0.0378,0.1168,0.0137,0.1212,1.325E-42,10.0000,0.1029,0.0649,0.0410,0.2121,4.49E-64,1.1368,0.0059,0.2785,0.0000,0.0303,4.111E-19,17.8794,0.2748,0.0369,0.0990,0.2727,0E0,11.2455,0.1214,0.0580,0.0580,0.2121,0E0,8.2944,0.0768,0.0769,0.0239,0.1515,2.089E-62,4.7551,0.0357,0.1212,0.0102,0.1212,7.547E-41,8.6080,0.0814,0.0744,0.0273,0.1515,1.088E-64,3.7786,0.0269,0.1423,0.0034,0.1212,4.75E-34,9.3147,0.0927,0.0693,0.0375,0.2121,9.822E-60
Torrenticola_species,293,2.6569,2.8776,500,0.9794,33,2.7546,0.9740,0.0069,10293,1.1477,2.8827,4.2843,2.6423,1.2376,2.0968,0.7936,0.5079,8.3891,7.4182,7.1677,0.9059,2.3303,0.7585,0.1731,0.5331,0.0117,0.1118,0.8350,2.4432,1.1339,0.1732,0.6484,0.7051,0.1946,48.6471,0.0322,0.1070,1.3831,0.2837,0.0213,6.6062,0.0330,1.0000,0.0050,0.3206,0.0000,0.0000,3.072E-17,5.0000,0.0370,0.1259,0.0034,0.0303,1.195E-48,10.0000,0.0992,0.0699,0.0683,0.0606,0E0,4.4188,0.0306,0.1379,0.0000,0.0303,5.478E-44,16.7205,0.2245,0.0415,0.0990,0.2121,0E0,10.2553,0.1014,0.0683,0.0683,0.0606,0E0,7.4579,0.0630,0.0909,0.0205,0.0606,9.287E-65,11.5625,0.1189,0.0606,0.0683,0.0606,0E0,13.6177,0.1567,0.0510,0.0853,0.0606,0E0,4.0444,0.0279,0.1469,0.0000,0.0303,5.767E-41,9.7094,0.0950,0.0718,0.0512,0.0606,0E0
Torrenticola_species,293,2.6956,2.9178,500,0.9801,33,2.1099,0.9513,0.0118,10293,4.2035,5.1649,3.2965,0.2720,1.2767,3.4349,4.0703,1.3177,6.3196,5.5197,4.4336,0.5607,2.4192,0.7822,0.3149,0.5822,0.0196,0.0133,0.9008,1.8081,0.6974,0.0878,0.5584,0.6529,0.4925,49.9914,0.0469,0.1701,0.2742,0.2646,0.0535,6.5696,0.0318,1.0000,0.0052,0.2980,0.0000,0.0000,5.848E-19,5.0000,0.0380,0.1153,0.0068,0.1515,5.287E-40,10.0000,0.1061,0.0634,0.0614,0.2121,0E0,4.2755,0.0313,0.1294,0.0000,0.1515,4.165E-35,20.0906,0.3370,0.0336,0.0990,0.2727,0E0,10.3766,0.1148,0.0614,0.0614,0.2121,0E0,7.1793,0.0617,0.0857,0.0273,0.1818,2.227E-51,3.4009,0.0227,0.1516,0.0000,0.1515,3.04E-29,2.4849,0.0151,0.1851,0.0000,0.0303,1.922E-31,3.8495,0.0269,0.1393,0.0000,0.1515,2.967E-32,9.0924,0.0899,0.0693,0.0614,0.2121,9.822E-60
Torrenticola_species,293,2.6333,2.8518,500,0.9788,33,2.9726,0.9827,0.0025,10293,6.2297,3.8243,2.3962,0.4233,1.2122,2.0757,3.1495,1.4564,7.7771,4.5083,6.6898,0.9735,1.8897,0.7083,0.2072,0.5061,0.0127,0.0356,0.6405,2.2407,0.8479,0.1098,0.7562,0.5430,0.3539,49.9713,0.0151,0.0987,0.1862,0.1574,0.0035,6.6398,0.0341,1.0000,0.0051,0.3353,0.0000,0.0000,3.016E-16,5.0000,0.0371,0.1321,0.0034,0.0000,2.306E-49,10.0000,0.0954,0.0741,0.0478,0.0000,0E0,4.7633,0.0349,0.1369,0.0000,0.0000,1.81E-47,17.8883,0.2392,0.0408,0.0990,0.0303,0E0,11.4855,0.1153,0.0648,0.0648,0.0000,0E0,8.2683,0.0727,0.0881,0.0307,0.0000,0E0,17.8883,0.2392,0.0408,0.0990,0.0303,0E0,13.7364,0.1534,0.0539,0.0785,0.0000,0E0,4.1526,0.0288,0.1507,0.0000,0.0000,1.187E-42,9.9895,0.0952,0.0742,0.0478,0.0000,0E0
Torrenticola_species,293,2.6930,2.9038,500,0.9792,33,2.3816,0.9619,0.0103,10293,5.0047,4.6389,3.0000,0.1403,0.7339,4.6712,2.1294,2.1527,3.9541,6.8375,4.7079,1.0420,1.5386,0.5620,0.9631,0.2564,0.0236,0.0689,0.9893,0.9913,0.6883,0.2036,0.6211,0.4593,0.4565,52.6544,0.0244,0.0965,0.1627,0.2273,0.0000,6.5724,0.0320,1.0000,0.0052,0.2851,0.0034,0.0303,1.519E-18,5.0000,0.0415,0.1130,0.0137,0.0606,3.917E-51,10.0000,0.1049,0.0648,0.0580,0.1515,0E0,0.9640,0.0050,0.2901,0.0000,0.0000,1.278E-19,18.7020,0.2807,0.0360,0.0990,0.2424,0E0,10.6080,0.1131,0.0614,0.0614,0.1515,0E0,7.3460,0.0690,0.0842,0.0307,0.1212,5.437E-61,6.6901,0.0601,0.0909,0.0273,0.0909,2.298E-60,5.5683,0.0482,0.1046,0.0239,0.0606,1.275E-55,3.5157,0.0261,0.1432,0.0034,0.0606,2.883E-39,9.2639,0.0953,0.0695,0.0546,0.1515,0E0
Torrenticola_species,293,2.6525,2.8782,500,0.9794,33,2.7601,0.9654,0.0162,10293,3.3683,3.1747,3.3977,2.9354,1.4282,4.3849,3.6074,1.7029,3.7650,5.5278,3.2956,0.8902,1.6397,0.6820,1.9299,0.3455,0.0183,0.0342,0.8778,2.1608,0.6855,0.1162,0.2534,0.3081,0.5436,52.0519,0.0193,0.1534,0.4192,0.2640,0.0187,6.6195,0.0335,1.0000,0.0060,0.3000,0.0000,0.0303,2.332E-17,5.0000,0.0386,0.1272,0.0102,0.0303,4.086E-48,10.0000,0.0989,0.0719,0.0546,0.0606,0E0,3.2442,0.0231,0.1684,0.0000,0.0303,4.42E-35,19.3179,0.2847,0.0368,0.0990,0.1212,0E0,11.9252,0.1252,0.0608,0.0614,0.0606,0E0,7.5669,0.0666,0.0920,0.0171,0.0303,0E0,11.9636,0.1259,0.0606,0.0614,0.0606,0E0,18.5002,0.2522,0.0385,0.0922,0.0606,0E0,3.2442,0.0231,0.1684,0.0000,0.0303,4.42E-35,9.8819,0.0971,0.0728,0.0512,0.0606,0E0
Torrenticola_species,294,2.6444,2.8625,500,0.9788,32,2.5923,0.9740,0.0046,10294,5.6493,4.7108,1.8375,2.3609,1.1320,2.2542,2.7976,1.1426,8.5156,2.1238,6.3276,1.3061,1.4813,0.8108,0.4224,0.5850,0.0294,0.0798,1.1868,2.7645,0.7449,0.2119,0.5500,0.5704,0.1637,48.9824,0.0381,0.3177,0.6786,0.2185,0.0058,6.6178,0.0334,1.0000,0.0052,0.3183,0.0000,0.0000,6.276E-17,5.0000,0.0376,0.1267,0.0170,0.0000,3.323E-50,10.0000,0.0992,0.0713,0.0544,0.0625,0E0,4.0570,0.0287,0.1468,0.0000,0.0000,1.183E-42,17.7077,0.2392,0.0400,0.0986,0.1875,0E0,11.7329,0.1237,0.0612,0.0612,0.0625,0E0,8.9504,0.0840,0.0789,0.0374,0.0625,0E0,11.4920,0.1191,0.0625,0.0612,0.0625,0E0,14.1244,0.1596,0.0507,0.0884,0.0625,0E0,4.0570,0.0287,0.1468,0.0000,0.0000,1.183E-42,9.8079,0.0966,0.0727,0.0544,0.0625,0E0
Torrenticola_species,294,2.6565,2.8872,500,0.9798,32,2.4807,0.9643,0.0095,10294,0.3628,5.1705,4.6660,1.0243,1.2821,1.7569,3.6865,1.8450,8.7817,5.5553,5.0551,1.1578,2.2061,0.7836,0.2552,0.5490,0.0224,0.0300,1.3668,2.7412,0.7682,0.1061,0.5761,0.4124,0.5103,48.8247,0.0207,0.1550,0.1527,0.1669,0.0084,6.6056,0.0329,1.0000,0.0050,0.3311,0.0000,0.0000,4.456E-16,5.0000,0.0347,0.1280,0.0068,0.1250,5.871E-37,10.0000,0.0966,0.0702,0.0476,0.1250,0E0,4.7831,0.0327,0.1325,0.0000,0.0938,1.978E-38,18.6386,0.2674,0.0373,0.0986,0.1875,0E0,12.9360,0.1414,0.0544,0.0544,0.1250,0E0,13.1616,0.1443,0.0534,0.0544,0.1250,0E0,5.1534,0.0357,0.1250,0.0068,0.1250,5.784E-38,15.0213,0.1791,0.0464,0.0714,0.1250,0E0,4.2711,0.0289,0.1441,0.0000,0.0625,1.038E-37,9.7761,0.0931,0.0718,0.0476,0.1250,0E0
Torrenticola_species,294,2.6385,2.8644,500,0.9790,32,2.9182,0.9797,0.0045,10294,5.7366,5.3023,1.8179,3.5867,1.1077,2.1490,1.6179,1.3928,5.9572,5.0516,5.7692,1.0028,1.9014,0.6916,0.7237,0.6140,0.0160,0.0701,0.8003,1.7456,0.8961,0.1129,0.3857,0.5357,0.5867,49.9999,0.0000,0.1238,0.1221,0.1753,0.0072,6.6383,0.0340,1.0000,0.0050,0.3390,0.0000,0.0000,1.411E-15,5.0000,0.0357,0.1330,0.0068,0.0312,2.294E-44,10.0000,0.0952,0.0731,0.0510,0.0312,0E0,4.4159,0.0304,0.1457,0.0000,0.0000,5.297E-43,19.0063,0.2698,0.0382,0.0986,0.0625,0E0,12.0310,0.1268,0.0609,0.0612,0.0312,0E0,9.1684,0.0851,0.0795,0.0374,0.0312,0E0,17.2487,0.2320,0.0421,0.0918,0.0312,0E0,17.2487,0.2320,0.0421,0.0918,0.0312,0E0,4.2282,0.0288,0.1503,0.0000,0.0000,1.516E-41,9.8730,0.0940,0.0741,0.0510,0.0312,0E0
Torrenticola_species,294,2.6718,2.8931,500,0.9795,32,2.4243,0.9584,0.0122,10294,3.5669,7.0677,2.2482,2.5414,0.7483,2.1999,2.0842,0.6663,8.3661,2.5013,5.5684,0.9983,2.7026,0.5696,0.7846,0.3763,0.0024,0.0163,0.7491,1.6353,1.2097,0.2575,1.1918,0.7934,0.5609,49.9291,0.1055,0.1236,0.1944,0.2391,0.0016,6.5892,0.0324,1.0000,0.0049,0.3132,0.0000,0.0000,2.715E-17,5.0000,0.0377,0.1216,0.0068,0.1250,3.682E-39,10.0000,0.0991,0.0675,0.0612,0.1562,0E0,4.2107,0.0300,0.1375,0.0000,0.0938,7.203E-37,19.6096,0.3208,0.0347,0.0986,0.2188,0E0,11.0777,0.1147,0.0612,0.0612,0.1562,0E0,8.7172,0.0790,0.0769,0.0374,0.1562,7.172E-60,4.8183,0.0361,0.1250,0.0068,0.1250,5.784E-38,15.3748,0.1948,0.0435,0.0816,0.1562,0E0,3.9167,0.0275,0.1446,0.0000,0.0938,8.067E-35,9.5464,0.0917,0.0706,0.0510,0.1562,0E0
