Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Toxicodendron_radicans,243,1.7746,2.1138,500,0.9537,26,2.1411,0.9617,0.0084,10243,5.0118,1.3377,1.5096,2.0242,1.5028,6.1053,4.0957,0.0301,2.4245,0.1651,0.0000,1.2702,6.8865,2.0006,7.0077,0.7921,0.4702,0.5745,0.7824,48.8785,2.2886,0.6093,0.4021,1.3321,0.1513,0.3569,0.2210,0.4645,1.0276,0.2384,0.0387,7.5005,0.0858,1.0000,0.0134,0.4541,0.0000,0.0000,1.128E-8,5.0000,0.0777,0.2730,0.0165,0.0000,4.338E-17,10.0000,0.1394,0.1987,0.0288,0.0000,6.525E-25,1.4040,0.0203,0.4118,0.0000,0.0000,5.502E-10,19.6207,0.2399,0.1252,0.0988,0.0385,2.62E-38,22.0778,0.2639,0.1122,0.1111,0.0385,3.663E-43,17.5561,0.2221,0.1373,0.0823,0.0385,1.316E-34,27.8079,0.3207,0.0877,0.1523,0.0769,1.438E-51,24.9635,0.2956,0.0990,0.1481,0.0385,2.179E-49,3.9701,0.0628,0.2973,0.0123,0.0000,2.258E-15,12.2566,0.1647,0.1765,0.0494,0.0385,4.355E-26
Toxicodendron_radicans,241,1.8829,2.1808,500,0.9563,28,1.0719,0.8817,0.0241,10241,5.1542,0.2429,0.7095,0.1104,1.8906,7.8037,7.1994,0.4899,0.1120,2.5232,0.0000,1.0738,5.9622,3.1958,7.7777,0.3439,0.2710,0.2220,0.8264,47.7906,1.0752,0.5623,0.0784,1.8446,0.1981,0.1693,0.2016,0.5281,0.7864,0.8148,0.0422,7.4010,0.0774,1.0000,0.0154,0.4052,0.0000,0.0357,8.421E-10,5.0000,0.0756,0.2489,0.0249,0.2143,2.522E-11,10.0000,0.1372,0.1801,0.0415,0.2500,2.099E-15,1.3801,0.0219,0.3727,0.0000,0.0357,4.777E-11,19.2134,0.2325,0.1137,0.0996,0.3571,5.598E-19,20.1688,0.2430,0.1088,0.1079,0.3571,5.604E-20,18.2952,0.2238,0.1186,0.0830,0.3571,4.818E-18,6.6527,0.0980,0.2210,0.0290,0.2143,2.957E-13,2.2845,0.0369,0.3243,0.0041,0.0357,2.335E-13,2.9141,0.0464,0.3011,0.0041,0.1071,4.392E-12,12.2103,0.1609,0.1598,0.0539,0.3214,3.443E-14
Toxicodendron_radicans,241,1.8240,2.1665,500,0.9555,28,1.6970,0.9232,0.0186,10241,4.1285,1.2539,1.9437,1.1851,1.6152,7.4041,4.7848,0.5630,2.4058,0.5163,0.0000,0.6605,7.2808,2.6311,6.3972,0.6713,0.2753,0.7666,0.3951,47.3249,2.0815,0.5259,0.3930,2.1489,0.1047,0.4137,0.2195,0.5795,0.9828,0.3472,0.0000,7.4516,0.0814,1.0000,0.0124,0.4487,0.0000,0.0000,2.239E-9,5.0000,0.0749,0.2629,0.0166,0.1071,1.822E-14,10.0000,0.1387,0.1909,0.0415,0.1429,1.478E-19,1.3992,0.0181,0.4053,0.0000,0.0000,7.309E-11,20.0509,0.2383,0.1162,0.0996,0.2143,1.036E-28,21.0488,0.2495,0.1111,0.1120,0.2500,2.758E-27,12.9573,0.1687,0.1635,0.0456,0.1429,1.599E-23,15.6986,0.1954,0.1429,0.0830,0.1429,1.698E-27,16.4238,0.2024,0.1379,0.0830,0.1429,1.236E-28,1.9100,0.0269,0.3677,0.0041,0.0000,1.983E-12,12.4143,0.1633,0.1681,0.0456,0.1429,9.384E-23
Toxicodendron_radicans,241,1.8404,2.1770,500,0.9555,28,1.4922,0.9188,0.0193,10241,1.2755,0.7427,0.8966,2.2681,1.9267,6.7082,5.0984,0.0122,0.9440,3.9510,0.0000,1.1276,8.6740,2.1143,5.6473,1.0316,0.4270,0.9886,0.4382,47.0337,2.2641,0.7192,2.1704,1.4172,0.1529,0.3323,0.1252,0.5012,0.6340,0.3078,0.0702,7.4449,0.0810,1.0000,0.0127,0.4507,0.0000,0.0000,2.59E-9,5.0000,0.0728,0.2689,0.0166,0.0714,1.741E-15,10.0000,0.1351,0.1944,0.0373,0.1071,4.873E-21,1.1731,0.0152,0.4302,0.0000,0.0357,5.724E-9,19.6352,0.2310,0.1208,0.0996,0.2143,1.784E-27,20.6271,0.2402,0.1154,0.1162,0.2143,6.243E-29,14.9167,0.1843,0.1508,0.0581,0.1429,7.644E-26,16.0205,0.1957,0.1429,0.0705,0.1429,1.698E-27,9.3421,0.1273,0.2017,0.0332,0.0714,4.668E-22,1.5225,0.0213,0.3988,0.0041,0.0357,4.945E-10,12.8718,0.1641,0.1671,0.0498,0.1429,6.31E-23
Toxicodendron_radicans,242,1.8167,2.1424,500,0.9543,27,1.7409,0.9332,0.0221,10242,0.7177,2.9873,2.4704,1.0302,1.5940,6.0880,3.8495,0.3866,2.0915,3.0446,0.0000,1.7586,6.3356,2.6361,6.7856,0.7491,0.2447,0.1807,0.4080,49.4769,2.5109,0.3554,0.4487,1.4529,0.1757,0.3469,0.1947,0.7429,0.5459,0.3880,0.0027,7.4641,0.0826,1.0000,0.0124,0.4448,0.0000,0.0370,3.02E-8,5.0000,0.0764,0.2625,0.0165,0.0370,6.631E-17,10.0000,0.1425,0.1916,0.0372,0.0741,1.561E-22,1.2284,0.0158,0.4175,0.0000,0.0370,4.53E-9,20.6362,0.2501,0.1154,0.0992,0.1481,2.356E-33,21.3969,0.2585,0.1116,0.1116,0.1481,1.278E-34,19.0502,0.2354,0.1237,0.0785,0.1111,7.064E-34,20.5006,0.2490,0.1161,0.0992,0.1111,2.383E-36,15.9796,0.2028,0.1424,0.0744,0.0741,1.114E-31,3.8005,0.0583,0.2910,0.0083,0.0370,7.484E-15,12.2934,0.1667,0.1703,0.0537,0.0741,7.634E-26
Toxicodendron_radicans,242,1.8517,2.2063,500,0.9579,27,1.3780,0.9082,0.0189,10242,1.6099,0.5798,3.6533,2.3157,2.5134,7.3088,5.1669,0.0516,2.1648,1.1162,0.0000,0.9994,6.9973,3.0166,5.6698,1.0448,0.5029,0.4893,0.3359,47.1815,2.5261,0.5622,0.5465,1.1104,0.2411,0.3632,0.1951,0.5460,0.9006,0.2838,0.0073,7.4040,0.0777,1.0000,0.0126,0.4404,0.0000,0.0000,2.359E-9,5.0000,0.0712,0.2624,0.0165,0.0741,2.327E-15,10.0000,0.1278,0.1885,0.0331,0.2222,2.482E-15,1.3567,0.0182,0.4034,0.0000,0.0000,1.32E-10,19.7760,0.2301,0.1142,0.0950,0.2963,3.015E-22,20.5412,0.2382,0.1102,0.1116,0.2963,3.543E-23,14.7316,0.1771,0.1461,0.0455,0.2593,1.073E-18,9.7778,0.1264,0.1910,0.0331,0.1852,8.141E-17,8.1620,0.1082,0.2104,0.0289,0.0741,3.702E-20,4.1445,0.0602,0.2819,0.0124,0.0741,5.102E-14,12.9395,0.1600,0.1603,0.0372,0.2593,1.017E-16
Toxicodendron_radicans,244,1.8545,2.1971,500,0.9571,25,1.3540,0.8999,0.0250,10244,3.7150,1.5439,0.7539,1.2185,1.5322,4.6363,4.7961,0.1168,1.6833,5.1782,0.0000,1.1833,6.3537,3.4555,7.8108,0.9055,0.3912,0.2172,0.5185,47.9028,1.2612,0.5089,0.5879,0.9778,0.3812,0.2773,0.2730,0.4727,1.0186,0.2685,0.0601,7.4111,0.0782,1.0000,0.0125,0.4222,0.0082,0.0400,1.53E-8,5.0000,0.0767,0.2527,0.0123,0.0800,3.144E-12,10.0000,0.1376,0.1838,0.0287,0.1200,8.439E-14,0.7835,0.0094,0.4541,0.0000,0.0400,8.343E-8,19.1749,0.2277,0.1165,0.0984,0.3200,5.685E-11,21.1098,0.2470,0.1066,0.1066,0.3200,1.373E-11,10.5944,0.1445,0.1781,0.0287,0.1200,4.274E-14,12.2426,0.1624,0.1633,0.0574,0.1600,1.912E-13,11.8941,0.1585,0.1662,0.0533,0.1200,9.83E-15,3.0283,0.0477,0.3014,0.0082,0.0800,1.596E-10,12.4717,0.1651,0.1615,0.0574,0.2000,3.345E-12
Toxicodendron_radicans,242,1.8608,2.1801,500,0.9566,27,1.3516,0.8980,0.0281,10242,1.3475,1.8356,0.2197,0.5234,1.2425,6.3477,5.8371,0.0000,0.0332,6.6555,0.0000,1.2409,7.0894,2.5249,5.3000,0.7598,0.2809,0.2343,0.8631,49.3663,1.2996,0.3549,2.7334,1.1481,0.1553,0.4705,0.0948,0.6942,0.9907,0.2267,0.1301,7.4318,0.0799,1.0000,0.0142,0.4290,0.0000,0.0370,1.037E-8,5.0000,0.0750,0.2590,0.0165,0.1481,1.024E-12,10.0000,0.1381,0.1885,0.0331,0.2222,2.482E-15,2.0731,0.0314,0.3498,0.0000,0.0370,1.193E-11,20.6322,0.2446,0.1130,0.0992,0.2593,3.35E-25,20.9597,0.2464,0.1113,0.1116,0.2593,1.251E-25,13.5647,0.1772,0.1567,0.0496,0.2222,3.42E-19,8.8274,0.1248,0.2012,0.0331,0.1852,9.146E-16,3.2865,0.0504,0.3024,0.0124,0.0370,3.906E-14,2.0731,0.0314,0.3498,0.0000,0.0370,1.193E-11,12.5520,0.1636,0.1648,0.0496,0.2222,4.548E-18
Toxicodendron_radicans,242,1.8631,2.1968,500,0.9570,27,1.2987,0.8929,0.0234,10242,2.9561,0.7849,0.2393,1.4398,2.0995,5.6104,4.0819,0.0166,1.5199,5.8689,0.0000,1.0878,6.5810,2.9345,6.7932,1.0883,0.2377,0.1550,0.9084,48.1644,1.7683,0.4897,0.3188,1.9634,0.1421,0.2101,0.1767,0.9668,0.8421,0.5042,0.0503,7.4205,0.0790,1.0000,0.0129,0.4351,0.0000,0.0000,1.599E-9,5.0000,0.0753,0.2570,0.0165,0.1481,7.536E-13,10.0000,0.1359,0.1868,0.0413,0.2593,7.583E-14,1.2442,0.0162,0.4080,0.0000,0.0000,1.94E-10,19.5401,0.2319,0.1158,0.0992,0.3704,3.589E-17,20.3341,0.2389,0.1116,0.1116,0.3704,6.222E-18,16.6994,0.2013,0.1326,0.0661,0.2963,1.062E-18,7.4795,0.1071,0.2166,0.0248,0.2222,7.217E-13,6.9387,0.1003,0.2242,0.0248,0.1481,2.628E-15,2.9733,0.0449,0.3103,0.0124,0.1111,4.045E-11,12.5722,0.1628,0.1630,0.0496,0.2593,2.164E-16
Toxicodendron_radicans,243,1.8099,2.1450,500,0.9544,26,1.8771,0.9339,0.0175,10243,1.7461,1.0192,2.2789,1.3521,1.7446,9.5383,4.5285,0.0524,1.5260,2.3625,0.0000,1.3186,6.1109,2.6329,5.4809,0.9160,0.4359,0.2398,0.3568,48.7738,2.3534,0.4727,0.2754,1.6942,0.3082,0.2511,0.1507,0.6027,0.9906,0.4293,0.0576,7.4632,0.0824,1.0000,0.0130,0.4534,0.0000,0.0000,1.079E-8,5.0000,0.0730,0.2690,0.0206,0.0385,8.322E-16,10.0000,0.1349,0.1936,0.0412,0.1154,2.38E-19,1.5236,0.0210,0.4008,0.0000,0.0000,2.257E-10,19.8166,0.2390,0.1196,0.0988,0.1538,1.714E-30,21.2003,0.2529,0.1124,0.1111,0.1923,1.516E-29,18.5806,0.2272,0.1266,0.0823,0.1154,1.586E-31,19.3605,0.2340,0.1221,0.0988,0.1154,8.103E-33,19.3605,0.2340,0.1221,0.0988,0.1154,8.103E-33,2.1192,0.0307,0.3623,0.0041,0.0385,1.029E-10,12.4266,0.1635,0.1701,0.0453,0.1154,1.536E-22
