Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Tribelos_species,40,3.4943,4.3292,500,0.9916,5,1.3922,0.8453,0.1184,10040,2.6489,1.0058,0.0305,0.0673,3.7073,5.0502,3.4602,0.0921,2.4500,8.0531,33.1164,3.1146,7.9392,0.3897,2.2852,3.6356,0.0000,0.1036,0.0000,0.0000,0.7464,0.1068,2.3077,0.1058,0.9509,9.2481,2.2748,0.5146,5.3836,1.2114,0.0000,5.7352,0.0137,1.0000,0.0017,0.3920,0.0000,0.2000,8.106E-2,5.0000,0.0122,0.1201,0.0250,0.2000,9.409E-4,10.0000,0.0412,0.0540,0.0250,0.4000,1.449E-3,3.5903,0.0072,0.1663,0.0000,0.2000,3.318E-3,35.7434,0.4718,0.0066,0.1000,0.4000,2.813E-6,13.0517,0.0690,0.0374,0.0250,0.4000,4.923E-4,13.0517,0.0690,0.0374,0.0250,0.4000,4.923E-4,2.9030,0.0054,0.2000,0.0000,0.2000,6.72E-3,7.5250,0.0249,0.0771,0.0250,0.2000,1.657E-4,3.5903,0.0072,0.1663,0.0000,0.2000,3.318E-3,14.8960,0.0915,0.0308,0.0750,0.4000,2.782E-4
Tribelos_species,40,3.3685,4.1737,500,0.9915,5,2.9004,0.9800,0.0124,10040,2.6239,0.9457,0.9403,0.1077,3.5387,7.6199,2.3895,0.0151,0.0436,14.2299,27.9051,3.2226,5.7046,0.6153,1.2330,5.4641,0.0000,0.2470,0.0000,0.3514,0.5950,1.4580,0.0909,0.3327,0.7155,14.0938,1.0786,0.7409,2.8381,0.8496,0.0093,5.8666,0.0157,1.0000,0.0017,0.4702,0.0000,0.0000,2.299E-2,5.0000,0.0111,0.1541,0.0000,0.0000,8.685E-5,10.0000,0.0384,0.0699,0.0250,0.2000,1.128E-4,5.3975,0.0123,0.1422,0.0000,0.0000,5.821E-5,29.2269,0.2994,0.0120,0.1000,0.2000,1.011E-7,12.9597,0.0612,0.0497,0.0500,0.2000,2.93E-5,12.9597,0.0612,0.0497,0.0250,0.2000,2.93E-5,9.4730,0.0347,0.0749,0.0250,0.0000,2.357E-6,9.4730,0.0347,0.0749,0.0250,0.0000,2.357E-6,5.3975,0.0123,0.1422,0.0000,0.0000,5.821E-5,16.3730,0.0930,0.0352,0.0500,0.2000,7.426E-6
Tribelos_species,40,3.4012,4.2398,500,0.9914,5,2.9561,0.9691,0.0214,10040,1.3563,0.9768,1.4849,0.0299,4.6081,3.6083,5.3851,0.0847,0.0545,7.3163,29.5612,0.9855,9.0995,0.7222,1.1606,4.7237,0.0082,0.1037,0.0484,0.4761,0.3126,1.5707,0.0892,0.1176,0.9253,13.7536,1.3005,0.1439,9.2390,0.7535,0.0000,5.8311,0.0152,1.0000,0.0017,0.4234,0.0000,0.0000,1.361E-2,5.0000,0.0121,0.1299,0.0250,0.0000,3.696E-5,10.0000,0.0443,0.0576,0.0500,0.2000,5.239E-5,4.9872,0.0121,0.1303,0.0000,0.0000,3.753E-5,29.1163,0.3173,0.0113,0.1000,0.4000,1.402E-5,11.1585,0.0551,0.0500,0.0500,0.2000,3E-5,23.6203,0.2285,0.0165,0.0500,0.4000,4.408E-5,5.1753,0.0128,0.1252,0.0250,0.2000,1.105E-3,5.1733,0.0128,0.1252,0.0250,0.0000,3.076E-5,4.9872,0.0121,0.1303,0.0000,0.0000,3.753E-5,14.8051,0.0931,0.0339,0.0500,0.2000,6.398E-6
Tribelos_species,40,3.3982,4.1527,500,0.9906,5,2.2381,0.9645,0.0168,10040,1.0158,2.0414,0.5508,0.0191,2.4546,7.9286,2.9983,0.1499,1.0731,9.5078,31.4539,0.2606,5.0854,0.4139,0.5455,6.0386,0.0000,0.0817,0.0000,0.7167,0.4840,0.5097,0.1443,0.2683,0.5093,16.3021,1.2448,0.4256,6.6777,1.0982,0.0000,5.8229,0.0151,1.0000,0.0016,0.4386,0.0000,0.0000,1.624E-2,5.0000,0.0118,0.1349,0.0000,0.0000,4.461E-5,10.0000,0.0412,0.0603,0.0500,0.4000,1.995E-3,5.6214,0.0142,0.1189,0.0000,0.0000,2.379E-5,21.5634,0.1724,0.0192,0.1000,0.4000,6.9E-5,11.5521,0.0554,0.0500,0.0500,0.4000,1.158E-3,20.1566,0.1539,0.0216,0.0750,0.4000,9.772E-5,7.8230,0.0261,0.0815,0.0250,0.0000,3.59E-6,7.8230,0.0261,0.0815,0.0250,0.0000,3.59E-6,5.3709,0.0133,0.1250,0.0000,0.0000,3.052E-5,15.3127,0.0935,0.0336,0.0750,0.4000,3.594E-4
Tribelos_species,40,3.3477,4.1799,500,0.9905,5,3.0765,0.9856,0.0060,10040,1.1791,1.3584,0.4887,1.8308,4.8796,4.4566,2.2408,0.2104,0.0100,8.9552,34.9911,2.7161,4.7875,0.6042,1.1101,6.2037,0.0000,0.0000,0.0411,0.3711,0.5713,0.8112,0.8219,0.0492,0.2044,14.6609,1.5238,0.4403,3.0676,1.3908,0.0244,5.8699,0.0157,1.0000,0.0017,0.4850,0.0000,0.0000,2.682E-2,5.0000,0.0106,0.1582,0.0000,0.0000,9.899E-5,10.0000,0.0370,0.0683,0.0500,0.0000,1.489E-6,6.4243,0.0158,0.1199,0.0000,0.0000,2.48E-5,33.6683,0.3833,0.0085,0.1000,0.6000,7.047E-4,12.5031,0.0571,0.0500,0.0500,0.0000,3.125E-7,22.6604,0.1838,0.0186,0.0750,0.2000,5.928E-7,15.0162,0.0832,0.0376,0.0750,0.0000,7.565E-8,15.0162,0.0832,0.0376,0.0750,0.0000,7.565E-8,5.9649,0.0139,0.1307,0.0000,0.0000,3.811E-5,15.6928,0.0930,0.0353,0.0750,0.2000,7.51E-6
Tribelos_species,41,3.5179,4.3687,500,0.9946,4,1.0584,0.8360,0.1279,10041,1.2767,1.1366,1.0798,0.6186,3.9471,7.0399,3.1393,0.0426,3.1004,8.6302,29.0127,1.4151,5.5117,0.5669,0.6470,5.1846,0.1010,0.2089,0.0000,0.7954,0.4075,1.5487,3.3711,0.2934,0.7204,15.4307,1.0932,0.6598,2.3826,0.6161,0.0221,5.7177,0.0135,1.0000,0.0016,0.3779,0.0000,0.2500,1.546E-1,5.0000,0.0130,0.1114,0.0000,0.2500,5.074E-3,10.0000,0.0444,0.0507,0.0244,0.2500,5.012E-4,8.6597,0.0340,0.0607,0.0000,0.2500,8.518E-4,31.7556,0.3535,0.0084,0.0976,0.5000,4.152E-4,12.0867,0.0652,0.0394,0.0488,0.2500,2.381E-4,8.6597,0.0340,0.0607,0.0000,0.2500,8.518E-4,1.9721,0.0033,0.2500,0.0000,0.2500,5.077E-2,12.4864,0.0697,0.0377,0.0488,0.2500,2.09E-4,4.7513,0.0120,0.1174,0.0000,0.2500,5.905E-3,14.6644,0.0934,0.0303,0.0488,0.5000,5.28E-3
Tribelos_species,41,3.4026,4.2241,500,0.9919,4,3.0556,0.9639,0.0282,10041,0.9237,0.8927,2.1564,1.0923,2.8629,6.8046,2.8160,0.0247,0.0000,10.3984,32.2188,2.6665,5.8875,0.3266,1.7980,6.1739,0.0000,0.1340,0.0000,0.1628,0.8420,0.2664,0.8727,0.3071,0.8495,10.1368,2.5544,0.1792,5.7975,0.8417,0.0128,5.8327,0.0152,1.0000,0.0017,0.4358,0.0000,0.0000,3.607E-2,5.0000,0.0119,0.1362,0.0000,0.0000,3.445E-4,10.0000,0.0414,0.0605,0.0488,0.2500,8.436E-4,5.5596,0.0142,0.1219,0.0000,0.2500,6.583E-3,33.3520,0.3835,0.0086,0.0976,0.2500,2.497E-6,11.7810,0.0580,0.0488,0.0488,0.2500,4.478E-4,29.5866,0.3232,0.0108,0.0732,0.2500,4.937E-6,5.0932,0.0123,0.1338,0.0000,0.2500,8.611E-3,5.0919,0.0123,0.1338,0.0000,0.0000,3.2E-4,5.3342,0.0134,0.1275,0.0000,0.2500,7.494E-3,15.2903,0.0922,0.0340,0.0732,0.2500,1.527E-4
Tribelos_species,41,3.3161,4.1480,500,0.9917,4,3.5192,0.9933,0.0020,10041,1.1673,0.8257,0.8675,2.2449,3.6560,7.3715,2.6172,0.0168,1.2510,7.7398,32.8262,1.7166,4.9202,0.6210,1.4397,5.2375,0.0000,0.5400,0.0000,0.3512,0.4718,0.9333,0.1729,0.1556,0.6885,17.0341,0.1827,1.0242,2.8121,1.1075,0.0071,5.8986,0.0163,1.0000,0.0018,0.4624,0.0000,0.0000,4.572E-2,5.0000,0.0121,0.1525,0.0000,0.0000,5.405E-4,10.0000,0.0390,0.0705,0.0244,0.0000,2.472E-5,5.9637,0.0156,0.1273,0.0000,0.0000,2.624E-4,26.9299,0.2636,0.0141,0.0976,0.0000,4E-8,13.9479,0.0697,0.0442,0.0488,0.0000,3.823E-6,13.9273,0.0695,0.0443,0.0244,0.0000,3.858E-6,29.4115,0.3151,0.0121,0.1220,0.0000,2.109E-8,29.4115,0.3151,0.0121,0.1220,0.0000,2.109E-8,5.6811,0.0143,0.1341,0.0000,0.0000,3.229E-4,15.8732,0.0893,0.0363,0.0732,0.0000,1.727E-6
Tribelos_species,41,3.4042,4.2184,500,0.9924,4,3.0854,0.9220,0.0660,10041,0.7734,1.8467,0.3535,0.0752,4.0417,6.2255,4.9555,0.0184,0.0000,10.5477,33.0892,2.6698,5.9458,0.5305,1.6702,6.4105,0.0000,0.3700,0.0000,0.6389,0.4821,1.1588,0.0889,0.6629,0.4009,11.1749,0.8537,0.2357,3.3904,1.3891,0.0000,5.8266,0.0151,1.0000,0.0018,0.4203,0.0000,0.0000,3.12E-2,5.0000,0.0121,0.1326,0.0000,0.2500,8.39E-3,10.0000,0.0413,0.0590,0.0244,0.2500,7.835E-4,5.2092,0.0127,0.1269,0.0000,0.2500,7.393E-3,31.3058,0.3660,0.0096,0.0976,0.2500,3.471E-6,12.4710,0.0620,0.0436,0.0488,0.2500,3.211E-4,12.4515,0.0620,0.0436,0.0244,0.2500,3.211E-4,2.4465,0.0044,0.2500,0.0000,0.2500,5.077E-2,56.0227,0.7423,0.0030,0.4146,0.2500,1.064E-7,5.2092,0.0127,0.1269,0.0000,0.2500,7.393E-3,14.8058,0.0875,0.0338,0.0488,0.2500,1.5E-4
Tribelos_species,41,3.2596,4.1025,500,0.9910,4,4.9854,0.9987,0.0003,10041,0.9536,1.8913,0.5545,0.3502,3.3286,5.8541,3.2173,0.5333,1.1160,9.6790,29.7508,1.1729,6.7341,0.7186,2.1679,5.1388,0.0000,0.2775,0.0000,0.1604,1.0081,0.4417,1.4372,0.1254,1.3128,13.5707,1.3513,0.2205,5.9000,1.0335,0.0000,5.9812,0.0177,1.0000,0.0019,0.4663,0.0000,0.0000,4.727E-2,5.0000,0.0126,0.1545,0.0000,0.0000,5.693E-4,10.0000,0.0428,0.0708,0.0244,0.0000,2.514E-5,5.9216,0.0165,0.1299,0.0000,0.0000,2.844E-4,31.6041,0.3499,0.0116,0.0976,0.0000,1.781E-8,12.9204,0.0689,0.0504,0.0488,0.0000,6.449E-6,11.8713,0.0577,0.0565,0.0244,0.0000,1.017E-5,74.2955,0.8392,0.0015,0.6098,0.0000,4.98E-12,74.2955,0.8392,0.0015,0.6098,0.0000,4.98E-12,5.6714,0.0155,0.1359,0.0000,0.0000,3.415E-4,15.4328,0.0957,0.0393,0.0732,0.0000,2.395E-6
