Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Trichocera_species,98,4.0356,4.4677,500,0.9951,11,4.1153,0.9919,0.0010,10098,1.7130,1.1838,1.7487,2.7682,1.4701,4.0648,7.5482,0.0504,0.0000,1.2768,0.1501,0.3021,10.9806,0.1043,2.3819,4.0274,0.1083,2.6604,0.4303,0.1231,2.5163,12.7409,0.0000,0.1746,3.1111,5.8131,11.3204,8.8590,2.2059,6.4782,3.6880,5.2465,0.0083,1.0000,0.0014,0.1882,0.0000,0.0000,1.046E-8,5.0000,0.0175,0.0342,0.0000,0.0000,7.403E-17,10.0000,0.1304,0.0117,0.0000,0.0000,5.548E-22,13.3407,0.4434,0.0096,0.0000,0.0000,6.425E-23,19.3787,0.5996,0.0087,0.0612,0.5455,2.223E-8,13.3407,0.4434,0.0096,0.0000,0.0000,6.425E-23,13.3407,0.4434,0.0096,0.0000,0.0000,6.425E-23,13.3407,0.4434,0.0096,0.0000,0.0000,6.425E-23,13.3407,0.4434,0.0096,0.0000,0.0000,6.425E-23,3.1196,0.0074,0.0652,0.0000,0.0000,8.993E-14,7.2456,0.0399,0.0187,0.0000,0.0000,9.874E-20
Trichocera_species,98,4.0280,4.4626,500,0.9951,11,4.4821,0.9950,0.0010,10098,1.7823,1.1677,0.3372,1.0499,2.2714,3.3679,5.3865,0.4696,0.0000,2.2134,0.0919,0.7537,13.2240,0.4797,0.6997,4.5519,0.0721,0.0000,1.1421,0.0970,1.2311,16.4796,0.0121,0.4904,2.4108,8.4589,11.6830,8.3459,0.5318,11.1563,0.0419,5.2552,0.0084,1.0000,0.0017,0.1633,0.0000,0.0000,2.202E-9,5.0000,0.0207,0.0315,0.0000,0.0000,3.021E-17,10.0000,0.1351,0.0122,0.0000,0.0000,8.757E-22,17.0537,0.5641,0.0092,0.0000,0.0000,4.043E-23,22.3575,0.5921,0.0085,0.0510,0.0000,1.71E-23,17.0537,0.5641,0.0092,0.0000,0.0000,4.043E-23,17.0537,0.5641,0.0092,0.0000,0.0000,4.043E-23,22.3575,0.5921,0.0085,0.0510,0.0000,1.71E-23,22.3575,0.5921,0.0085,0.0510,0.0000,1.71E-23,2.8791,0.0075,0.0639,0.0000,0.0000,7.221E-14,7.0783,0.0487,0.0189,0.0000,0.0000,1.109E-19
Trichocera_species,98,4.0155,4.4609,500,0.9951,11,4.4861,0.9950,0.0010,10098,1.0870,1.2020,1.9726,2.4042,2.1011,3.6457,5.6093,0.5476,0.0000,2.9268,0.1798,0.4020,11.8209,0.1465,7.3521,4.8752,0.2168,0.0000,0.2761,0.1356,1.2964,13.3524,0.2451,0.3814,2.1113,6.8453,11.2038,10.3278,0.1767,7.1588,0.0000,5.2674,0.0085,1.0000,0.0016,0.1687,0.0000,0.0000,3.159E-9,5.0000,0.0199,0.0332,0.0000,0.0000,5.357E-17,10.0000,0.1208,0.0124,0.0000,0.0000,1.046E-21,14.6926,0.5647,0.0097,0.0000,0.0000,7.193E-23,21.9419,0.5964,0.0086,0.0510,0.0000,1.941E-23,14.6926,0.5647,0.0097,0.0000,0.0000,7.193E-23,14.6926,0.5647,0.0097,0.0000,0.0000,7.193E-23,21.9419,0.5964,0.0086,0.0510,0.0000,1.941E-23,21.9419,0.5964,0.0086,0.0510,0.0000,1.941E-23,2.9185,0.0076,0.0652,0.0000,0.0000,8.993E-14,7.2264,0.0464,0.0191,0.0000,0.0000,1.243E-19
Trichocera_species,98,4.0325,4.4693,500,0.9951,11,4.4799,0.9946,0.0010,10098,1.7377,1.7784,0.6495,1.4848,2.6263,4.4529,4.7127,0.5217,0.0000,1.4458,0.1022,0.4278,15.5236,0.1459,0.0391,5.2893,0.7874,0.0000,0.5620,0.0471,1.1892,14.9041,0.0000,0.4675,3.2652,6.8520,10.2369,8.5537,0.0555,12.1417,0.0000,5.2273,0.0082,1.0000,0.0017,0.1582,0.0000,0.0000,1.559E-9,5.0000,0.0211,0.0290,0.0000,0.0000,1.227E-17,10.0000,0.1492,0.0116,0.0000,0.0000,5.052E-22,16.2835,0.5496,0.0092,0.0000,0.0000,4.043E-23,22.0256,0.5721,0.0084,0.0510,0.0000,1.503E-23,16.2835,0.5496,0.0092,0.0000,0.0000,4.043E-23,16.2835,0.5496,0.0092,0.0000,0.0000,4.043E-23,22.0256,0.5721,0.0084,0.0510,0.0000,1.503E-23,22.0256,0.5721,0.0084,0.0510,0.0000,1.503E-23,2.7540,0.0073,0.0633,0.0000,0.0000,6.515E-14,6.7521,0.0472,0.0184,0.0000,0.0000,8.28E-20
Trichocera_species,98,4.0277,4.4695,500,0.9951,11,4.5083,0.9956,0.0009,10098,4.4939,0.9258,2.4634,0.5376,2.5358,3.8683,6.6316,0.0286,0.0000,0.9571,0.1425,0.1878,11.5904,0.1589,2.5724,4.1263,0.7453,0.0000,0.6207,0.1008,1.2993,16.5031,0.0000,0.4449,2.4439,6.7386,11.1522,7.7314,0.1922,10.7894,0.0177,5.2343,0.0083,1.0000,0.0017,0.1517,0.0000,0.0000,9.801E-10,5.0000,0.0217,0.0290,0.0000,0.0000,1.227E-17,10.0000,0.1413,0.0116,0.0000,0.0000,5.052E-22,14.1223,0.5604,0.0097,0.0000,0.0000,7.193E-23,23.0467,0.5927,0.0084,0.0510,0.0000,1.503E-23,14.1223,0.5604,0.0097,0.0000,0.0000,7.193E-23,14.1223,0.5604,0.0097,0.0000,0.0000,7.193E-23,23.0467,0.5927,0.0084,0.0510,0.0000,1.503E-23,23.0467,0.5927,0.0084,0.0510,0.0000,1.503E-23,2.7078,0.0074,0.0623,0.0000,0.0000,5.477E-14,6.8264,0.0453,0.0185,0.0000,0.0000,8.784E-20
Trichocera_species,98,4.0313,4.4681,500,0.9951,11,4.4966,0.9949,0.0009,10098,4.2500,3.3879,0.3240,0.2580,2.2508,3.7040,3.3562,0.1786,0.0000,2.8409,0.1604,0.2098,15.1186,0.1554,2.3427,4.2023,0.1131,0.0000,0.5377,0.1141,1.2914,13.3200,0.0000,0.3986,2.0137,6.7685,10.6086,8.8482,0.1719,13.0625,0.0121,5.2438,0.0083,1.0000,0.0016,0.1653,0.0000,0.0000,2.514E-9,5.0000,0.0207,0.0303,0.0000,0.0000,1.979E-17,10.0000,0.1374,0.0119,0.0000,0.0000,6.674E-22,13.9595,0.5691,0.0097,0.0000,0.0000,7.193E-23,26.0107,0.5970,0.0080,0.0816,0.0909,1.204E-20,13.9595,0.5691,0.0097,0.0000,0.0000,7.193E-23,13.9595,0.5691,0.0097,0.0000,0.0000,7.193E-23,18.9710,0.5839,0.0089,0.0510,0.0000,2.819E-23,18.9710,0.5839,0.0089,0.0510,0.0000,2.819E-23,2.8350,0.0074,0.0640,0.0000,0.0000,7.345E-14,6.9877,0.0476,0.0187,0.0000,0.0000,9.874E-20
Trichocera_species,98,4.0281,4.4611,500,0.9951,11,4.4364,0.9947,0.0011,10098,1.6422,2.5848,3.4211,0.2626,2.3389,3.2095,5.7994,0.1771,0.0000,3.0294,0.3847,0.4072,11.7922,0.3914,0.0121,4.5047,0.0697,0.0000,1.0490,0.0797,0.6800,13.5705,0.0121,0.5204,2.6859,7.1095,10.5429,10.7286,0.3146,12.2434,0.4364,5.2575,0.0084,1.0000,0.0016,0.1664,0.0000,0.0000,2.703E-9,5.0000,0.0198,0.0320,0.0000,0.0000,3.586E-17,10.0000,0.1221,0.0122,0.0000,0.0000,8.757E-22,14.4112,0.5544,0.0097,0.0000,0.0000,7.193E-23,21.0551,0.5666,0.0086,0.0612,0.2727,4.895E-15,14.4112,0.5544,0.0097,0.0000,0.0000,7.193E-23,14.4112,0.5544,0.0097,0.0000,0.0000,7.193E-23,14.4112,0.5544,0.0097,0.0000,0.0000,7.193E-23,14.4112,0.5544,0.0097,0.0000,0.0000,7.193E-23,2.8425,0.0075,0.0657,0.0000,0.0000,9.774E-14,7.1054,0.0463,0.0190,0.0000,0.0000,1.174E-19
Trichocera_species,98,4.0354,4.4717,500,0.9951,11,4.4758,0.9958,0.0011,10098,2.1781,4.8479,1.1383,1.7207,2.0392,3.7947,5.7440,0.0249,0.0000,2.2081,0.2085,0.2275,13.9738,0.1147,2.9370,4.1390,0.7259,0.0202,0.4904,0.1364,0.4315,12.6951,0.0000,0.3649,1.6368,6.7181,10.9618,9.4600,0.3036,10.7438,0.0152,5.2158,0.0082,1.0000,0.0018,0.1406,0.0000,0.0000,4.252E-10,5.0000,0.0239,0.0267,0.0000,0.0000,4.994E-18,10.0000,0.1563,0.0114,0.0000,0.0000,4.179E-22,13.7146,0.5252,0.0097,0.0000,0.0000,7.193E-23,20.0829,0.5836,0.0087,0.0408,0.0909,2.757E-20,13.7146,0.5252,0.0097,0.0000,0.0000,7.193E-23,13.7146,0.5252,0.0097,0.0000,0.0000,7.193E-23,13.7146,0.5252,0.0097,0.0000,0.0000,7.193E-23,13.7146,0.5252,0.0097,0.0000,0.0000,7.193E-23,2.5486,0.0072,0.0612,0.0000,0.0000,4.511E-14,6.6294,0.0481,0.0182,0.0000,0.0000,7.352E-20
Trichocera_species,98,4.0246,4.4728,500,0.9951,11,4.5218,0.9962,0.0008,10098,1.7873,1.9579,2.3165,0.7753,2.6581,3.7010,4.9840,0.2742,0.0000,3.3103,0.1914,0.2849,11.9822,0.1270,5.2133,4.6144,0.4467,0.0000,0.6203,0.0365,1.9438,12.6645,0.0081,0.4137,1.9071,8.0135,10.5551,7.8034,0.3889,11.0106,0.0099,5.2416,0.0083,1.0000,0.0016,0.1667,0.0000,0.0000,2.756E-9,5.0000,0.0203,0.0304,0.0000,0.0000,2.051E-17,10.0000,0.1316,0.0118,0.0000,0.0000,6.087E-22,16.6946,0.5689,0.0092,0.0000,0.0000,4.043E-23,19.8047,0.6039,0.0089,0.0816,0.0909,3.451E-20,16.6946,0.5689,0.0092,0.0000,0.0000,4.043E-23,16.6946,0.5689,0.0092,0.0000,0.0000,4.043E-23,16.6946,0.5689,0.0092,0.0000,0.0000,4.043E-23,16.6946,0.5689,0.0092,0.0000,0.0000,4.043E-23,2.9138,0.0074,0.0627,0.0000,0.0000,5.873E-14,6.9258,0.0468,0.0186,0.0000,0.0000,9.314E-20
Trichocera_species,99,4.0268,4.4442,500,0.9951,10,4.1812,0.9943,0.0012,10099,0.7131,4.2182,0.6258,1.2256,2.5625,3.5827,5.5772,0.3663,0.0000,2.5337,0.1325,0.2786,11.1917,0.1272,7.1086,4.3113,2.4070,0.0000,0.9252,0.1462,0.5977,12.5891,0.0154,0.2921,1.3525,7.4337,11.7010,11.3062,0.1084,6.5654,0.0052,5.2541,0.0084,1.0000,0.0017,0.1571,0.0000,0.0000,9.183E-9,5.0000,0.0218,0.0307,0.0000,0.0000,7.427E-16,10.0000,0.1519,0.0120,0.0000,0.0000,6.096E-20,13.2755,0.3586,0.0100,0.0000,0.0000,1.001E-20,20.4890,0.5935,0.0089,0.0909,0.3000,5.233E-13,13.2755,0.3586,0.0100,0.0000,0.0000,1.001E-20,13.2755,0.3586,0.0100,0.0000,0.0000,1.001E-20,13.2755,0.3586,0.0100,0.0000,0.0000,1.001E-20,13.2755,0.3586,0.0100,0.0000,0.0000,1.001E-20,2.8069,0.0075,0.0627,0.0000,0.0000,9.36E-13,6.9520,0.0450,0.0189,0.0000,0.0000,5.855E-18
