Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Trichoderma_hamatum,90,3.5270,4.1289,500,0.9915,11,3.2933,0.9918,0.0013,10090,10.1646,5.7226,1.2652,3.3678,6.4066,5.3040,1.1809,0.0620,0.0000,1.7288,0.0000,1.2104,3.6443,1.3785,3.4243,1.3745,0.1672,1.2887,0.1075,28.3665,0.9492,1.0369,0.0000,4.3765,5.8858,3.3668,1.6585,1.5711,1.6701,3.1850,0.1359,5.7878,0.0138,1.0000,0.0017,0.4266,0.0000,0.0000,8.507E-5,5.0000,0.0109,0.1345,0.0111,0.0000,2.604E-10,10.0000,0.0359,0.0520,0.0111,0.0000,7.567E-15,2.7795,0.0050,0.2318,0.0000,0.0000,1.039E-7,28.2675,0.6146,0.0083,0.0778,0.5455,1.772E-8,12.9695,0.0651,0.0333,0.0333,0.0000,5.584E-17,10.8229,0.0436,0.0455,0.0111,0.0000,1.726E-15,22.7056,0.2579,0.0110,0.0667,0.0000,2.856E-22,22.7056,0.2579,0.0110,0.0667,0.0000,2.856E-22,5.6017,0.0127,0.1181,0.0111,0.0000,6.255E-11,13.1882,0.0681,0.0323,0.0444,0.0000,4.005E-17
Trichoderma_hamatum,91,3.5625,4.1430,500,0.9906,10,3.8297,0.9800,0.0151,10091,14.3851,3.0344,4.2903,0.0830,7.7673,4.6517,0.6203,0.1255,0.9607,0.2276,0.0000,1.3563,4.7825,1.0887,4.7336,1.5926,0.1690,1.1917,0.0843,25.4461,1.0415,3.0856,0.0039,3.7554,4.1634,3.7433,1.4599,0.9285,0.4854,4.4920,0.2505,5.7731,0.0136,1.0000,0.0016,0.4231,0.0000,0.0000,1.841E-4,5.0000,0.0106,0.1279,0.0220,0.1000,8.125E-8,10.0000,0.0380,0.0478,0.0440,0.1000,1.239E-11,3.4868,0.0065,0.1856,0.0000,0.0000,4.853E-8,29.2290,0.5818,0.0082,0.0989,0.2000,9.289E-16,10.4887,0.0418,0.0440,0.0440,0.1000,5.936E-12,28.3739,0.5643,0.0083,0.0549,0.1000,1.905E-18,6.1064,0.0146,0.1000,0.0220,0.1000,9.092E-9,28.3739,0.5643,0.0083,0.0549,0.1000,1.905E-18,3.4868,0.0065,0.1856,0.0000,0.0000,4.853E-8,12.5126,0.0624,0.0318,0.0440,0.1000,3.24E-13
Trichoderma_hamatum,91,3.5866,4.1773,500,0.9919,10,3.6935,0.9495,0.0444,10091,13.6866,6.4029,0.5147,2.7609,6.1163,4.1153,0.1986,0.0973,0.0332,0.0098,0.0000,1.0271,6.1334,1.1816,4.4873,0.9065,0.2491,0.5883,0.1212,29.4244,1.1960,2.3560,0.0505,3.2046,5.1279,1.6011,2.9863,0.9219,0.2379,3.8959,0.3675,5.7591,0.0135,1.0000,0.0017,0.3829,0.0000,0.1000,1.16E-3,5.0000,0.0122,0.1141,0.0110,0.1000,2.932E-8,10.0000,0.0415,0.0441,0.0220,0.1000,6.057E-12,2.3177,0.0042,0.2312,0.0000,0.1000,1.495E-5,30.0666,0.6185,0.0081,0.0549,0.1000,1.534E-18,13.3867,0.0828,0.0268,0.0220,0.1000,6.859E-14,13.3867,0.0828,0.0268,0.0220,0.1000,6.859E-14,5.6133,0.0147,0.1000,0.0110,0.1000,9.092E-9,33.6348,0.6882,0.0076,0.1538,0.1000,8.71E-19,5.0277,0.0124,0.1134,0.0110,0.1000,2.778E-8,12.2522,0.0653,0.0314,0.0220,0.1000,2.895E-13
Trichoderma_hamatum,91,3.5452,4.1543,500,0.9915,10,3.8097,0.9751,0.0196,10091,15.4931,4.3241,4.8895,0.2791,5.7576,3.4285,1.9091,0.1362,0.0000,0.0032,0.0000,0.9338,4.3521,1.2483,1.8090,2.0056,0.1530,1.8663,0.1273,23.5899,1.2241,6.1181,0.0112,4.4517,3.5896,3.5582,2.0925,1.1093,0.3916,4.2125,0.9353,5.7929,0.0139,1.0000,0.0016,0.4429,0.0000,0.0000,2.902E-4,5.0000,0.0101,0.1354,0.0110,0.1000,1.34E-7,10.0000,0.0368,0.0503,0.0330,0.1000,1.983E-11,3.3293,0.0059,0.2057,0.0000,0.1000,5.379E-6,29.1469,0.6108,0.0083,0.0879,0.1000,1.905E-18,12.7181,0.0642,0.0330,0.0330,0.1000,4.503E-13,13.4288,0.0719,0.0298,0.0330,0.1000,1.819E-13,6.3751,0.0154,0.1000,0.0110,0.1000,9.092E-9,36.2355,0.6814,0.0070,0.1538,0.1000,4.199E-19,3.3293,0.0059,0.2057,0.0000,0.1000,5.379E-6,12.8455,0.0657,0.0324,0.0330,0.1000,3.825E-13
Trichoderma_hamatum,91,3.5220,4.1173,500,0.9911,10,4.3201,0.9950,0.0010,10091,13.1751,0.0930,2.8081,5.7504,7.6896,4.4484,0.2058,0.0234,0.0000,0.6907,0.0000,1.0475,7.4874,1.2272,3.3872,1.2361,0.1794,3.0244,0.0911,23.5159,1.5128,1.0939,0.0000,3.4991,4.8560,3.6448,2.4724,1.7453,0.9905,3.4036,0.7008,5.8182,0.0143,1.0000,0.0017,0.4296,0.0000,0.0000,2.141E-4,5.0000,0.0110,0.1344,0.0110,0.0000,1.92E-9,10.0000,0.0376,0.0520,0.0330,0.0000,1.453E-13,2.6031,0.0047,0.2457,0.0000,0.0000,8.006E-7,29.6548,0.6312,0.0083,0.0879,0.1000,1.905E-18,13.0579,0.0673,0.0330,0.0330,0.0000,1.531E-15,13.9397,0.0774,0.0292,0.0330,0.0000,4.559E-16,26.9318,0.5173,0.0090,0.0659,0.0000,3.557E-21,26.9318,0.5173,0.0090,0.0659,0.0000,3.557E-21,5.6165,0.0131,0.1175,0.0110,0.0000,5.029E-10,12.9940,0.0662,0.0333,0.0330,0.0000,1.675E-15
Trichoderma_hamatum,91,3.6522,4.2595,500,0.9943,10,2.7805,0.8831,0.0758,10091,12.4696,3.1011,8.3665,0.1317,7.4617,2.6152,0.8216,0.1455,0.0639,0.5453,0.0000,1.8701,4.3490,1.0877,4.7975,0.9254,0.1665,3.6894,0.2164,29.2705,1.6628,4.1386,0.1001,0.7849,0.7961,3.6916,1.5104,0.8253,0.5642,2.5054,1.3262,5.6589,0.0123,1.0000,0.0015,0.3504,0.0000,0.2000,4.862E-3,5.0000,0.0129,0.0880,0.0000,0.2000,1.375E-7,10.0000,0.0531,0.0334,0.0220,0.2000,6.556E-11,7.4652,0.0280,0.0513,0.0000,0.2000,1.976E-9,29.2188,0.6051,0.0081,0.0989,0.2000,8.432E-16,12.5642,0.0848,0.0232,0.0220,0.2000,3.609E-12,12.5642,0.0848,0.0232,0.0220,0.2000,3.609E-12,2.2576,0.0038,0.2000,0.0000,0.2000,7.787E-5,30.8366,0.6119,0.0077,0.1319,0.2000,5.656E-16,4.6632,0.0112,0.0959,0.0000,0.2000,2.7E-7,11.1183,0.0660,0.0283,0.0220,0.2000,1.78E-11
Trichoderma_hamatum,91,3.5148,4.1273,500,0.9913,10,4.3572,0.9953,0.0011,10091,14.4426,3.3923,3.4924,1.7952,8.9192,2.7086,1.2932,0.0206,0.0000,0.5605,0.0000,1.0744,4.5351,1.3454,6.4769,1.1148,0.1805,1.5836,0.1017,23.1751,1.1389,3.3295,0.0000,3.8059,4.5256,3.3099,1.7876,1.7244,0.0946,2.6783,1.3932,5.8020,0.0140,1.0000,0.0017,0.4346,0.0000,0.0000,2.406E-4,5.0000,0.0105,0.1340,0.0110,0.0000,1.864E-9,10.0000,0.0369,0.0513,0.0330,0.0000,1.27E-13,2.9831,0.0052,0.2231,0.0000,0.0000,3.051E-7,30.9250,0.6100,0.0078,0.0879,0.1000,1.097E-18,12.3582,0.0598,0.0356,0.0330,0.0000,3.248E-15,12.3582,0.0598,0.0356,0.0330,0.0000,3.248E-15,27.7519,0.5516,0.0086,0.0659,0.0000,2.269E-21,27.7519,0.5516,0.0086,0.0659,0.0000,2.269E-21,2.9831,0.0052,0.2231,0.0000,0.0000,3.051E-7,12.9710,0.0659,0.0327,0.0440,0.0000,1.399E-15
Trichoderma_hamatum,91,3.5661,4.1308,500,0.9903,10,3.2923,0.9772,0.0143,10091,18.2092,0.3135,1.7678,2.7018,6.8830,3.7137,0.7781,1.1315,0.0157,0.3572,0.0067,0.6117,5.5376,1.0282,4.7124,1.0161,0.0000,1.3250,0.0000,28.9400,0.9509,2.5916,0.0000,2.7248,3.9739,4.2167,0.9762,0.2237,0.9554,3.3141,1.0233,5.7471,0.0132,1.0000,0.0016,0.4431,0.0000,0.0000,2.915E-4,5.0000,0.0097,0.1323,0.0220,0.1000,1.094E-7,10.0000,0.0356,0.0470,0.0440,0.1000,1.066E-11,3.4076,0.0057,0.1988,0.0000,0.0000,9.638E-8,27.1966,0.5899,0.0083,0.0879,0.4000,6.79E-11,10.3728,0.0384,0.0440,0.0440,0.1000,5.936E-12,25.1526,0.4134,0.0090,0.0549,0.2000,1.937E-15,6.2046,0.0134,0.1000,0.0220,0.1000,9.092E-9,18.7794,0.1853,0.0139,0.0549,0.1000,1.881E-16,3.4076,0.0057,0.1988,0.0000,0.0000,9.638E-8,12.4890,0.0586,0.0310,0.0549,0.1000,2.583E-13
Trichoderma_hamatum,91,3.5375,4.1298,500,0.9917,10,4.3928,0.9961,0.0008,10091,12.1793,0.8511,6.8305,2.9916,6.7218,7.6268,1.0886,0.4757,0.0241,0.0076,0.0000,1.1916,6.6048,1.1925,1.6974,0.8852,0.1975,1.0640,0.1006,21.0379,0.9664,5.5437,0.0041,4.3563,3.4701,3.8778,2.6529,1.9881,0.1066,3.9664,0.2990,5.7942,0.0140,1.0000,0.0018,0.4059,0.0000,0.0000,1.214E-4,5.0000,0.0116,0.1261,0.0110,0.0000,1.013E-9,10.0000,0.0389,0.0498,0.0220,0.0000,9.47E-14,3.0183,0.0058,0.2048,0.0000,0.0000,1.3E-7,31.3725,0.6213,0.0078,0.0879,0.1000,1.097E-18,12.7389,0.0643,0.0330,0.0330,0.0000,1.531E-15,13.5965,0.0733,0.0291,0.0330,0.0000,4.407E-16,26.8564,0.5125,0.0088,0.0659,0.0000,2.848E-21,26.8564,0.5125,0.0088,0.0659,0.0000,2.848E-21,3.0183,0.0058,0.2048,0.0000,0.0000,1.3E-7,12.8457,0.0667,0.0325,0.0330,0.0000,1.316E-15
Trichoderma_hamatum,91,3.5245,4.1163,500,0.9916,10,4.0743,0.9941,0.0011,10091,9.1560,4.1875,5.3898,2.3849,6.5477,3.3290,0.1857,0.2284,0.0000,0.0000,0.0000,0.8934,4.9781,1.2547,4.2169,0.8101,0.0047,1.2298,0.0093,31.7314,0.6405,2.2019,0.0000,4.2202,3.7618,2.8754,4.0378,1.5788,0.9132,3.1961,0.0371,5.8089,0.0141,1.0000,0.0017,0.4408,0.0000,0.0000,2.769E-4,5.0000,0.0103,0.1388,0.0110,0.0000,2.661E-9,10.0000,0.0356,0.0537,0.0110,0.0000,1.998E-13,3.2828,0.0059,0.2108,0.0000,0.0000,1.731E-7,29.3111,0.6284,0.0081,0.0989,0.2000,8.432E-16,13.1999,0.0648,0.0330,0.0330,0.0000,1.531E-15,10.0963,0.0363,0.0529,0.0110,0.0000,1.722E-13,25.0789,0.3744,0.0095,0.0659,0.0000,6.073E-21,25.0789,0.3744,0.0095,0.0659,0.0000,6.073E-21,3.2828,0.0059,0.2108,0.0000,0.0000,1.731E-7,13.1999,0.0648,0.0330,0.0330,0.0000,1.531E-15
