Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Trichoderma_harzianum,153,3.4928,3.8516,500,0.9899,18,3.3217,0.9561,0.0322,10153,6.6050,7.4822,6.9064,0.3975,2.0051,2.5734,1.4666,2.1401,0.0824,0.7024,0.1000,1.0525,7.2898,1.1241,0.0713,1.8206,0.0000,2.8255,0.0060,31.5623,1.0620,8.4802,5.3837,0.9447,1.9127,0.2965,2.2443,0.2379,0.2262,2.7006,0.2979,5.8310,0.0147,1.0000,0.0017,0.3301,0.0000,0.0556,8.148E-8,5.0000,0.0166,0.0730,0.0196,0.0556,7.926E-19,10.0000,0.0809,0.0262,0.0327,0.1111,7.171E-24,2.4232,0.0051,0.1679,0.0000,0.0556,1.017E-12,25.9068,0.6074,0.0127,0.0980,0.1667,2.858E-26,8.6062,0.0556,0.0327,0.0327,0.1111,2.456E-22,15.6683,0.3101,0.0157,0.0327,0.1111,1.944E-27,6.0860,0.0250,0.0556,0.0196,0.0556,7.789E-21,6.3366,0.0267,0.0523,0.0196,0.0556,2.804E-21,3.3242,0.0082,0.1209,0.0065,0.0556,3.989E-15,8.4704,0.0533,0.0335,0.0327,0.1111,3.589E-22
Trichoderma_harzianum,154,3.4630,3.7919,500,0.9880,17,3.6565,0.9799,0.0124,10154,9.6003,6.3638,0.3360,1.9310,2.2221,6.6632,1.3118,2.8370,0.0792,0.0212,0.0000,0.3068,7.8368,0.9663,0.0645,1.2596,0.0696,1.6135,0.0082,27.5859,2.8008,9.4519,5.8622,4.0383,2.0011,0.8738,1.8569,0.1784,0.6395,1.1897,0.0306,5.8546,0.0151,1.0000,0.0019,0.3305,0.0000,0.0000,6.701E-9,5.0000,0.0162,0.0804,0.0195,0.0588,4.755E-17,10.0000,0.0661,0.0292,0.0390,0.0588,4.745E-24,1.2895,0.0025,0.2847,0.0000,0.0000,5.309E-10,19.5375,0.5948,0.0142,0.0649,0.0588,4.49E-29,8.3381,0.0468,0.0390,0.0390,0.0588,4.69E-22,16.6556,0.3644,0.0153,0.0455,0.0588,1.456E-28,6.2938,0.0254,0.0588,0.0325,0.0588,3.274E-19,22.9417,0.6156,0.0134,0.1169,0.0588,1.8E-29,4.0272,0.0113,0.1051,0.0130,0.0588,3.386E-15,9.0705,0.0541,0.0343,0.0390,0.0588,5.96E-23
Trichoderma_harzianum,154,3.4832,3.8235,500,0.9888,17,3.5390,0.9807,0.0108,10154,7.0912,2.9309,8.3669,0.4328,2.6157,7.0790,1.2375,0.7732,0.0768,0.8766,0.0000,0.3705,5.2081,0.8787,0.0403,1.1940,0.0205,1.0531,0.0000,32.8415,2.6719,7.1264,5.8412,4.0885,2.5123,0.2471,2.3343,0.2038,0.5042,1.1924,0.1906,5.8151,0.0146,1.0000,0.0018,0.3066,0.0065,0.0000,1.867E-9,5.0000,0.0181,0.0690,0.0130,0.0588,4.232E-18,10.0000,0.0810,0.0252,0.0390,0.0588,4.422E-25,0.9351,0.0017,0.3188,0.0000,0.0000,3.627E-9,21.2339,0.5754,0.0136,0.0584,0.1176,1.321E-26,8.1338,0.0491,0.0347,0.0325,0.0588,7.154E-23,15.8532,0.3231,0.0156,0.0390,0.1176,1.002E-25,5.6381,0.0227,0.0588,0.0130,0.0588,3.274E-19,13.4177,0.2145,0.0178,0.0390,0.0588,1.737E-27,2.9470,0.0071,0.1294,0.0065,0.0588,9.234E-14,8.4068,0.0529,0.0330,0.0390,0.0588,3.245E-23
Trichoderma_harzianum,154,3.4930,3.8283,500,0.9893,17,3.4670,0.9488,0.0424,10154,13.1101,2.7870,1.1692,2.4510,1.4416,6.2151,2.2196,0.7211,0.1112,0.5830,0.0000,0.1184,9.2447,0.8302,0.0028,1.6996,0.0000,1.0636,0.0208,31.1410,1.3589,10.0283,0.9015,4.4613,2.8474,1.0857,1.7496,0.2261,0.3182,1.8747,0.2185,5.8087,0.0145,1.0000,0.0019,0.2866,0.0065,0.0588,2.571E-8,5.0000,0.0200,0.0637,0.0130,0.0588,1.18E-18,10.0000,0.0880,0.0247,0.0390,0.0588,3.227E-25,0.9973,0.0019,0.2870,0.0000,0.0588,2.626E-8,22.0913,0.5860,0.0135,0.0584,0.0588,2.024E-29,8.2849,0.0543,0.0325,0.0325,0.0588,2.553E-23,14.9373,0.2825,0.0162,0.0390,0.0588,3.956E-28,5.3290,0.0227,0.0588,0.0130,0.0588,3.274E-19,22.0913,0.5860,0.0135,0.0584,0.0588,2.024E-29,3.4145,0.0097,0.1009,0.0065,0.0588,1.788E-15,8.2334,0.0540,0.0328,0.0325,0.0588,2.949E-23
Trichoderma_harzianum,154,3.4512,3.7793,500,0.9873,17,4.0256,0.9929,0.0013,10154,6.9216,3.0663,4.6559,0.5999,1.1797,5.3348,2.5835,4.3150,0.2732,0.7480,0.0068,0.2403,7.8749,0.8962,0.0204,1.2055,0.0000,0.9915,0.0000,32.3189,2.0060,9.3817,3.4267,4.0909,2.0982,0.7094,3.5650,0.1847,0.7288,0.5320,0.0444,5.8639,0.0153,1.0000,0.0020,0.3118,0.0065,0.0000,2.488E-9,5.0000,0.0185,0.0766,0.0260,0.0000,1.081E-19,10.0000,0.0696,0.0289,0.0455,0.0000,6.667E-27,0.7201,0.0014,0.3688,0.0000,0.0000,4.324E-8,22.9604,0.6026,0.0135,0.0649,0.0000,1.627E-32,8.2158,0.0475,0.0390,0.0390,0.0000,1.117E-24,16.9508,0.3257,0.0155,0.0455,0.0000,1.65E-31,22.9604,0.6026,0.0135,0.0649,0.0000,1.627E-32,22.9604,0.6026,0.0135,0.0649,0.0000,1.627E-32,3.3274,0.0090,0.1219,0.0130,0.0000,2.907E-16,8.8988,0.0566,0.0347,0.0390,0.0000,1.508E-25
Trichoderma_harzianum,154,3.4852,3.8268,500,0.9887,17,3.5444,0.9832,0.0089,10154,10.1602,1.1187,5.0659,0.8348,2.3675,6.7097,2.4014,1.4009,0.2570,1.3588,0.0000,0.6919,4.1169,0.8285,0.0684,1.2883,0.0462,0.8583,0.0000,32.7211,1.2459,6.1459,5.0658,2.9108,2.4754,1.2241,3.1625,0.1502,0.8647,4.0823,0.3775,5.8353,0.0148,1.0000,0.0018,0.3120,0.0000,0.0000,2.515E-9,5.0000,0.0175,0.0726,0.0195,0.0588,9.397E-18,10.0000,0.0753,0.0269,0.0390,0.0588,1.235E-24,1.4427,0.0028,0.2464,0.0000,0.0000,4.55E-11,23.5643,0.6112,0.0133,0.0519,0.1176,9.508E-27,8.3910,0.0487,0.0354,0.0325,0.0588,9.796E-23,17.5649,0.4455,0.0147,0.0390,0.1176,4.166E-26,5.8658,0.0244,0.0588,0.0260,0.0588,3.274E-19,11.7194,0.1207,0.0213,0.0390,0.0588,2.929E-26,2.5863,0.0060,0.1523,0.0065,0.0588,1.215E-12,8.6583,0.0530,0.0337,0.0390,0.0588,4.515E-23
Trichoderma_harzianum,154,3.4637,3.7915,500,0.9879,17,4.0056,0.9914,0.0012,10154,10.9850,0.6975,1.0125,6.0011,4.1817,4.8078,1.7975,0.0205,0.1349,1.1566,0.0000,0.1784,6.8614,0.8966,2.1289,1.1163,0.0338,1.9101,0.0159,30.0898,1.6154,11.3291,0.0378,4.2944,2.7904,0.6052,2.2932,0.7780,0.2409,1.8845,0.1048,5.8578,0.0151,1.0000,0.0018,0.3356,0.0065,0.0000,8.703E-9,5.0000,0.0167,0.0793,0.0195,0.0000,1.931E-19,10.0000,0.0673,0.0288,0.0455,0.0000,6.29E-27,0.9310,0.0017,0.3490,0.0000,0.0000,1.693E-8,19.7461,0.5966,0.0142,0.0649,0.0000,3.796E-32,8.2952,0.0446,0.0390,0.0390,0.0000,1.117E-24,16.7039,0.3525,0.0153,0.0455,0.0000,1.327E-31,25.7541,0.6039,0.0127,0.1169,0.0000,5.851E-33,25.7541,0.6039,0.0127,0.1169,0.0000,5.851E-33,2.8935,0.0064,0.1495,0.0065,0.0000,9.307E-15,8.9863,0.0531,0.0344,0.0455,0.0000,1.304E-25
Trichoderma_harzianum,154,3.4823,3.7920,500,0.9879,17,3.4741,0.9587,0.0324,10154,4.1733,0.1920,7.2702,2.0552,1.4503,5.6006,1.7580,3.1439,0.3518,0.0820,0.0226,0.3632,8.4666,0.8463,1.8638,1.2415,0.0331,1.6824,0.0000,33.8605,1.3621,12.3801,0.0000,4.8095,2.7160,0.3362,2.3576,0.2445,0.2579,0.8848,0.1939,5.8419,0.0150,1.0000,0.0021,0.2797,0.0065,0.0588,1.757E-8,5.0000,0.0204,0.0697,0.0260,0.0588,4.958E-18,10.0000,0.0806,0.0279,0.0390,0.0588,2.194E-24,0.8842,0.0018,0.2995,0.0000,0.0588,5.114E-8,21.9731,0.5771,0.0136,0.0584,0.0588,2.274E-29,7.8702,0.0487,0.0390,0.0390,0.0588,4.69E-22,18.2884,0.4113,0.0147,0.0455,0.0588,7.748E-29,5.7563,0.0258,0.0588,0.0325,0.0588,3.274E-19,21.9731,0.5771,0.0136,0.0584,0.0588,2.274E-29,2.1969,0.0054,0.1621,0.0065,0.0588,3.275E-12,8.7121,0.0588,0.0339,0.0390,0.0588,4.956E-23
Trichoderma_harzianum,154,3.4523,3.7891,500,0.9880,17,4.0605,0.9936,0.0010,10154,11.1987,2.4100,5.7577,0.0636,3.8868,6.2042,1.6159,1.0084,0.0268,0.2746,0.0000,0.2368,10.8738,0.8179,0.0186,1.3182,0.0423,2.2240,0.0000,22.9481,2.9202,7.8366,5.8645,3.9250,3.3279,0.3202,2.0346,0.7975,1.1165,0.6164,0.3143,5.8690,0.0153,1.0000,0.0019,0.3361,0.0000,0.0000,8.922E-9,5.0000,0.0162,0.0821,0.0195,0.0000,3.524E-19,10.0000,0.0639,0.0295,0.0390,0.0000,9.959E-27,1.1455,0.0022,0.3115,0.0000,0.0000,2.448E-9,23.0056,0.6035,0.0134,0.0649,0.0000,1.437E-32,8.4449,0.0460,0.0390,0.0390,0.0000,1.117E-24,17.0552,0.3503,0.0153,0.0455,0.0000,1.327E-31,32.4468,0.6336,0.0114,0.1753,0.0000,9.615E-34,32.4468,0.6336,0.0114,0.1753,0.0000,9.615E-34,3.1620,0.0074,0.1399,0.0065,0.0000,3.029E-15,9.0724,0.0532,0.0348,0.0390,0.0000,1.582E-25
Trichoderma_harzianum,154,3.5275,3.8434,500,0.9886,17,3.0057,0.9336,0.0402,10154,7.9557,3.0910,2.2037,4.2235,2.5982,4.2920,1.8308,2.4053,0.2328,0.9023,0.1150,0.2983,8.6957,0.7716,4.5191,1.1603,0.0000,1.5691,0.0445,28.7954,2.0749,9.7914,0.0000,4.4056,3.0283,0.3564,2.2774,0.2104,0.3863,1.6003,0.1648,5.7866,0.0142,1.0000,0.0021,0.2570,0.0065,0.1176,1.107E-7,5.0000,0.0200,0.0614,0.0195,0.1176,7.941E-17,10.0000,0.0916,0.0238,0.0325,0.1176,5.91E-23,0.4957,0.0010,0.3673,0.0000,0.0588,1.223E-6,20.8258,0.6017,0.0138,0.0909,0.2941,2.739E-19,8.6869,0.0648,0.0289,0.0260,0.1176,1.031E-21,14.1122,0.2560,0.0164,0.0325,0.1176,2.297E-25,2.7670,0.0077,0.1177,0.0065,0.1176,1.239E-12,18.0417,0.5459,0.0144,0.0519,0.1176,3.072E-26,2.8706,0.0082,0.1135,0.0065,0.1176,7.213E-13,8.0821,0.0538,0.0320,0.0260,0.1176,4.85E-21
