Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Trichoderma_virens,48,3.8271,4.5784,500,0.9952,6,3.3623,0.8863,0.1016,10048,11.0075,0.0164,0.7728,0.9468,7.7805,5.4958,1.4337,0.7277,0.1098,2.4335,0.0045,4.6241,24.6575,0.0985,4.5418,1.4841,0.0012,0.0000,0.0000,22.6396,0.8634,1.7314,0.0527,0.4477,0.0000,0.0000,3.7855,0.4737,0.2382,3.4593,0.1723,5.4202,0.0096,1.0000,0.0013,0.3500,0.0000,0.1667,2.233E-2,5.0000,0.0095,0.1023,0.0000,0.1667,6.152E-5,10.0000,0.0351,0.0402,0.0208,0.1667,6.093E-7,9.3411,0.0308,0.0447,0.0000,0.1667,1.029E-6,22.2439,0.1909,0.0098,0.0833,0.1667,5.252E-10,11.7017,0.0499,0.0313,0.0417,0.1667,1.769E-7,9.3411,0.0308,0.0447,0.0000,0.1667,1.029E-6,3.0625,0.0047,0.1667,0.0000,0.1667,6.651E-4,36.2482,0.6622,0.0040,0.1458,0.1667,5.979E-12,4.7701,0.0089,0.1079,0.0000,0.1667,7.98E-5,14.4209,0.0798,0.0224,0.0833,0.1667,3.315E-8
Trichoderma_virens,48,3.7029,4.4844,500,0.9943,6,5.0551,0.9982,0.0006,10048,7.7054,1.6217,2.5479,4.3594,8.5023,5.6413,2.3439,0.5805,0.0668,0.9769,0.0000,3.3312,26.6553,0.5861,5.0852,1.7206,0.1142,0.2000,0.0000,19.0001,0.2914,1.8059,0.3309,0.5698,0.0000,0.0043,2.4661,0.5320,0.5895,2.3104,0.0609,5.5323,0.0108,1.0000,0.0013,0.4116,0.0000,0.0000,4.864E-3,5.0000,0.0089,0.1224,0.0000,0.0000,3.365E-6,10.0000,0.0316,0.0480,0.0208,0.0000,1.218E-8,9.0415,0.0260,0.0562,0.0000,0.0000,3.161E-8,15.7514,0.0878,0.0223,0.0833,0.0000,1.227E-10,10.9334,0.0397,0.0417,0.0417,0.0000,5.258E-9,9.0415,0.0260,0.0562,0.0000,0.0000,3.161E-8,43.7550,0.7469,0.0035,0.1875,0.0000,1.786E-15,43.7550,0.7469,0.0035,0.1875,0.0000,1.786E-15,5.3151,0.0100,0.1142,0.0000,0.0000,2.213E-6,14.8004,0.0761,0.0251,0.0833,0.0000,2.488E-10
Trichoderma_virens,48,3.9444,4.7296,500,0.9962,6,1.8225,0.8101,0.1357,10048,8.4425,2.3808,2.3513,0.4938,7.8190,6.1148,1.7678,0.0931,0.0114,2.0561,0.0000,4.7256,24.1490,0.6472,6.8048,1.7733,0.4764,0.0000,0.0000,20.4121,0.0456,1.0365,0.3292,1.6176,0.0000,0.0000,2.7407,0.4107,0.3740,2.9266,0.0000,5.2949,0.0085,1.0000,0.0011,0.3127,0.0000,0.1667,1.326E-2,5.0000,0.0107,0.0772,0.0000,0.3333,4.698E-4,10.0000,0.0405,0.0303,0.0417,0.3333,1.197E-5,8.9741,0.0325,0.0356,0.0000,0.3333,2.281E-5,30.1929,0.5165,0.0046,0.0833,0.3333,6.541E-9,9.7400,0.0385,0.0315,0.0417,0.3333,1.412E-5,8.9741,0.0325,0.0356,0.0000,0.3333,2.281E-5,1.7142,0.0020,0.2197,0.0000,0.1667,2.511E-3,60.7410,0.7532,0.0023,0.3125,0.3333,4.103E-10,4.2189,0.0079,0.0941,0.0000,0.3333,1.008E-3,13.0017,0.0691,0.0198,0.0417,0.3333,2.235E-6
Trichoderma_virens,48,3.6878,4.4715,500,0.9941,6,4.9583,0.9974,0.0006,10048,11.4178,2.2574,0.1123,0.5738,8.0590,7.4832,2.6416,0.0264,0.1797,2.8920,0.0000,3.3280,22.2523,0.5603,7.8783,1.3388,0.0801,0.2225,0.0047,21.3748,0.0938,1.3478,0.2373,0.6340,0.0000,0.0000,1.6835,0.0923,0.9586,2.1465,0.1230,5.5557,0.0111,1.0000,0.0013,0.4309,0.0000,0.0000,6.404E-3,5.0000,0.0087,0.1301,0.0000,0.0000,4.844E-6,10.0000,0.0314,0.0503,0.0208,0.0000,1.612E-8,7.6730,0.0179,0.0751,0.0000,0.0000,1.8E-7,16.4931,0.0945,0.0214,0.0833,0.0000,9.597E-11,12.9835,0.0569,0.0329,0.0417,0.0000,1.278E-9,12.9835,0.0569,0.0329,0.0208,0.0000,1.278E-9,40.6601,0.7502,0.0039,0.1875,0.0000,3.419E-15,40.6601,0.7502,0.0039,0.1875,0.0000,3.419E-15,5.5593,0.0102,0.1149,0.0000,0.0000,2.307E-6,14.9561,0.0746,0.0257,0.0833,0.0000,2.866E-10
Trichoderma_virens,49,3.7729,4.5261,500,0.9947,5,3.1554,0.8589,0.1242,10049,10.4674,7.3978,1.7902,0.7405,12.3120,5.1147,2.1595,0.1280,0.0587,0.0050,0.0000,3.6668,31.2668,0.1635,2.5008,1.4287,0.1393,0.1033,0.0809,10.0297,1.2464,2.9682,0.2557,0.7730,0.0000,0.0000,1.2616,0.2254,1.6046,2.1052,0.0063,5.4580,0.0100,1.0000,0.0012,0.3941,0.0000,0.2000,8.256E-2,5.0000,0.0087,0.1120,0.0000,0.2000,7.151E-4,10.0000,0.0330,0.0425,0.0204,0.2000,1.575E-5,7.4606,0.0175,0.0662,0.0000,0.2000,9.081E-5,17.7439,0.1214,0.0153,0.0816,0.2000,2.724E-7,11.2984,0.0438,0.0349,0.0408,0.2000,7.234E-6,11.2789,0.0436,0.0349,0.0204,0.2000,7.234E-6,2.8177,0.0038,0.2000,0.0000,0.2000,6.723E-3,45.6311,0.7712,0.0035,0.2857,0.2000,7.337E-10,5.1833,0.0092,0.1073,0.0000,0.2000,6.053E-4,14.2622,0.0717,0.0233,0.0408,0.2000,1.443E-6
Trichoderma_virens,49,3.8436,4.6395,500,0.9963,5,2.6503,0.8186,0.1595,10049,13.9001,2.2338,0.4408,0.3163,11.5536,4.0483,1.5531,0.1119,0.0064,1.1500,0.0000,2.2914,25.6346,0.4912,7.2699,2.6950,0.0000,0.1304,0.1190,17.5048,0.1286,1.5762,0.0995,0.5803,0.0000,0.0000,1.5334,0.1731,1.5233,2.9103,0.0245,5.3958,0.0094,1.0000,0.0012,0.3491,0.0000,0.2000,5.352E-2,5.0000,0.0095,0.0934,0.0000,0.2000,3.527E-4,10.0000,0.0398,0.0353,0.0000,0.2000,7.567E-6,13.0373,0.0682,0.0233,0.0000,0.2000,1.443E-6,24.1498,0.2606,0.0078,0.0816,0.2000,1.804E-8,13.2412,0.0708,0.0227,0.0204,0.2000,1.301E-6,13.0373,0.0682,0.0233,0.0000,0.2000,1.443E-6,2.3115,0.0031,0.2000,0.0000,0.2000,6.723E-3,36.2945,0.6722,0.0042,0.1429,0.2000,1.521E-9,4.6685,0.0087,0.1015,0.0000,0.2000,4.876E-4,13.5271,0.0745,0.0219,0.0408,0.2000,1.128E-6
Trichoderma_virens,49,3.7056,4.4619,500,0.9934,5,4.9259,0.9970,0.0005,10049,12.4727,3.1901,3.1526,0.2537,10.7394,6.1673,2.7452,0.0243,0.0431,1.0106,0.0000,2.8433,24.5094,0.7961,4.6735,1.3066,0.2927,0.0142,0.0174,17.6477,0.0485,1.9255,0.0674,0.2921,0.0000,0.0087,2.5400,0.1801,0.9311,1.7388,0.3678,5.4443,0.0099,1.0000,0.0012,0.3853,0.0000,0.0000,8.493E-3,5.0000,0.0090,0.1080,0.0000,0.0000,1.467E-5,10.0000,0.0359,0.0418,0.0408,0.0000,1.275E-7,6.2305,0.0132,0.0821,0.0000,0.0000,3.73E-6,16.6366,0.1039,0.0176,0.0816,0.0000,1.695E-9,10.1794,0.0373,0.0408,0.0408,0.0000,1.131E-7,8.5301,0.0242,0.0529,0.0204,0.0000,4.159E-7,36.5208,0.6896,0.0040,0.1633,0.0000,9.993E-13,36.5208,0.6896,0.0040,0.1633,0.0000,9.993E-13,5.0599,0.0091,0.1065,0.0000,0.0000,1.369E-5,14.4163,0.0762,0.0230,0.0816,0.0000,6.419E-9
Trichoderma_virens,49,3.7212,4.4754,500,0.9940,5,4.5179,0.9965,0.0013,10049,9.1097,2.8797,3.0222,1.6443,11.4617,5.9960,2.8267,1.1591,0.3846,1.8351,0.0000,2.0684,22.7962,0.6806,6.3249,1.6684,0.1607,0.1252,0.0091,17.0650,0.2109,2.3595,0.1955,0.2050,0.0000,0.0121,2.5527,0.1460,1.0585,1.9253,0.1169,5.5344,0.0108,1.0000,0.0013,0.4081,0.0000,0.0000,1.132E-2,5.0000,0.0091,0.1216,0.0000,0.0000,2.659E-5,10.0000,0.0331,0.0478,0.0408,0.0000,2.487E-7,7.7131,0.0190,0.0705,0.0000,0.0000,1.736E-6,16.2346,0.0940,0.0213,0.0816,0.0000,4.38E-9,11.0714,0.0412,0.0408,0.0408,0.0000,1.131E-7,13.8339,0.0665,0.0284,0.0408,0.0000,1.835E-8,24.9257,0.2354,0.0089,0.1020,0.0000,5.449E-11,24.9257,0.2354,0.0089,0.1020,0.0000,5.449E-11,5.2648,0.0099,0.1147,0.0000,0.0000,1.989E-5,14.8310,0.0742,0.0252,0.0612,0.0000,1.012E-8
Trichoderma_virens,49,3.8819,4.6795,500,0.9960,5,2.3157,0.9263,0.0396,10049,14.6556,2.9381,0.9608,0.1541,11.2086,4.4284,2.0557,0.0883,0.0123,1.3354,0.0000,2.7373,24.8987,0.0291,6.7855,1.3322,0.0250,0.0504,0.0273,16.6443,0.0784,1.7520,0.1275,0.5265,0.0000,0.0042,2.3958,0.2054,1.3614,3.1184,0.0632,5.3532,0.0089,1.0000,0.0011,0.3760,0.0000,0.0000,7.511E-3,5.0000,0.0086,0.0954,0.0000,0.4000,7.495E-3,10.0000,0.0366,0.0340,0.0204,0.4000,3.743E-4,9.7166,0.0334,0.0357,0.0000,0.4000,4.319E-4,29.1650,0.4848,0.0050,0.0816,0.4000,1.223E-6,11.6745,0.0514,0.0263,0.0204,0.4000,1.742E-4,9.7166,0.0334,0.0357,0.0000,0.4000,4.319E-4,2.5032,0.0030,0.2000,0.0000,0.2000,6.723E-3,2.4459,0.0029,0.2041,0.0000,0.0000,3.542E-4,4.9439,0.0083,0.0968,0.0000,0.4000,7.81E-3,13.2691,0.0676,0.0210,0.0612,0.4000,8.968E-5
Trichoderma_virens,49,3.8030,4.5967,500,0.9951,5,2.4953,0.9417,0.0310,10049,8.9105,1.7702,1.5837,0.0384,9.0652,7.1981,3.0637,0.0572,0.0237,2.3651,0.0000,3.1983,25.9845,0.5094,5.2508,2.1781,0.2844,0.0079,0.0606,18.2902,0.2649,2.7598,0.0401,0.5025,0.0000,0.0000,2.5968,0.0461,2.1549,1.6287,0.1664,5.4221,0.0096,1.0000,0.0012,0.3705,0.0000,0.0000,6.98E-3,5.0000,0.0090,0.1043,0.0000,0.4000,9.642E-3,10.0000,0.0346,0.0387,0.0204,0.4000,5.469E-4,7.7773,0.0199,0.0575,0.0000,0.4000,1.742E-3,18.2987,0.1359,0.0139,0.0816,0.4000,2.648E-5,11.7849,0.0521,0.0295,0.0204,0.4000,2.444E-4,11.7849,0.0521,0.0295,0.0204,0.4000,2.444E-4,3.6673,0.0057,0.1456,0.0000,0.2000,1.985E-3,3.6665,0.0057,0.1456,0.0000,0.0000,6.54E-5,4.9646,0.0089,0.1052,0.0000,0.4000,9.879E-3,13.8643,0.0775,0.0225,0.0408,0.4000,1.099E-4
