Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Tricholita_signata,119,3.6736,4.0518,500,0.9929,14,2.4599,0.9365,0.0429,10119,3.5300,3.1332,5.4443,2.2584,1.4344,46.0016,4.1363,1.0878,0.0000,4.1829,0.0000,0.8500,2.9509,0.1812,15.9766,0.1595,0.0380,0.0893,0.8520,0.5022,0.0524,1.7580,0.0762,0.0000,1.1121,1.2517,0.1316,1.9304,0.7510,0.1278,0.0000,5.5912,0.0114,1.0000,0.0015,0.3369,0.0000,0.0714,6.927E-6,5.0000,0.0118,0.0811,0.0084,0.2143,2.896E-10,10.0000,0.0513,0.0249,0.0252,0.2143,7.761E-16,4.4825,0.0095,0.0941,0.0000,0.1429,3.649E-11,17.9558,0.4411,0.0108,0.0840,0.4286,5.138E-13,9.9501,0.0510,0.0252,0.0252,0.2143,8.833E-16,9.0886,0.0394,0.0301,0.0084,0.2143,6.243E-15,4.1916,0.0085,0.1026,0.0000,0.0714,1.764E-12,4.1916,0.0085,0.1026,0.0000,0.0714,1.764E-12,4.4825,0.0095,0.0941,0.0000,0.1429,3.649E-11,9.6978,0.0470,0.0265,0.0252,0.2143,1.521E-15
Tricholita_signata,119,3.6069,3.9895,500,0.9926,14,3.5483,0.9891,0.0038,10119,6.2744,3.4517,6.0243,0.8257,1.5383,42.6678,1.2686,3.0923,0.8486,2.4836,0.0178,1.4835,2.2155,0.4069,20.6701,0.0915,0.0216,0.3158,0.3211,0.2922,0.3827,1.0212,0.1303,0.0275,1.2040,0.8570,0.1934,1.0037,0.7734,0.0565,0.0390,5.6689,0.0123,1.0000,0.0017,0.3447,0.0000,0.0000,3.343E-7,5.0000,0.0116,0.0930,0.0000,0.0000,3.617E-15,10.0000,0.0471,0.0301,0.0336,0.0714,2.306E-19,6.4590,0.0178,0.0641,0.0000,0.0000,1.993E-17,19.7897,0.4026,0.0110,0.0924,0.2143,9.772E-20,9.4453,0.0413,0.0336,0.0336,0.0714,9.436E-19,13.0560,0.1079,0.0185,0.0336,0.0714,4.034E-22,6.8282,0.0200,0.0586,0.0084,0.0714,1.273E-15,6.8229,0.0200,0.0586,0.0084,0.0000,5.634E-18,4.8913,0.0113,0.0958,0.0000,0.0000,5.453E-15,10.2920,0.0501,0.0286,0.0336,0.0714,1.146E-19
Tricholita_signata,119,3.6180,4.0096,500,0.9894,14,3.7390,0.9601,0.0341,10119,2.4289,1.4113,2.1385,0.4211,4.0927,41.9128,3.1505,0.7816,0.9656,3.0856,0.0096,3.1185,3.1663,0.2392,20.3040,0.2872,0.0000,0.7762,0.3186,0.5802,0.0675,0.3870,1.9588,0.3241,1.4588,0.9754,0.2043,4.5086,0.8088,0.0336,0.0848,5.6424,0.0122,1.0000,0.0017,0.2962,0.0084,0.0714,1.37E-6,5.0000,0.0145,0.0753,0.0084,0.0714,3.26E-14,10.0000,0.0658,0.0268,0.0252,0.0714,4.977E-20,0.2834,0.0005,0.5003,0.0000,0.0000,6.163E-5,19.9297,0.3956,0.0110,0.0924,0.0714,4.614E-25,10.4377,0.0720,0.0252,0.0252,0.0714,2.26E-20,9.8938,0.0628,0.0273,0.0168,0.0714,6.31E-20,5.2131,0.0155,0.0714,0.0084,0.0714,1.653E-14,23.3195,0.5361,0.0100,0.1597,0.0714,1.354E-25,4.2116,0.0110,0.0926,0.0084,0.0714,4.709E-13,9.7563,0.0581,0.0279,0.0168,0.0714,8.34E-20
Tricholita_signata,119,3.6024,3.9933,500,0.9923,14,3.4151,0.9836,0.0060,10119,3.7864,5.2462,6.0760,3.2513,1.6074,38.3092,5.9959,3.9992,0.2800,0.5786,0.0027,0.5729,2.7940,0.3442,18.7901,0.0929,0.0691,1.2584,0.2271,0.4288,0.0544,1.4951,0.4817,0.0000,0.9237,0.7264,0.1847,1.7290,0.6036,0.0911,0.0000,5.6633,0.0122,1.0000,0.0017,0.3622,0.0000,0.0000,6.685E-7,5.0000,0.0106,0.0975,0.0000,0.0000,7.055E-15,10.0000,0.0418,0.0297,0.0336,0.1429,4.131E-17,6.5488,0.0177,0.0657,0.0000,0.1429,5.211E-13,18.4676,0.3595,0.0113,0.0840,0.1429,3.725E-22,9.4980,0.0378,0.0332,0.0336,0.1429,1.536E-16,11.3077,0.0664,0.0228,0.0336,0.1429,1.747E-18,6.2687,0.0163,0.0703,0.0000,0.0000,7.149E-17,6.2687,0.0163,0.0703,0.0000,0.0000,7.149E-17,5.1674,0.0112,0.0933,0.0000,0.0000,3.782E-15,10.2037,0.0436,0.0285,0.0336,0.1429,2.438E-17
Tricholita_signata,121,3.5402,3.9538,500,0.9921,12,4.1110,0.9941,0.0013,10121,7.5549,1.9282,6.3577,1.5362,2.4589,41.7935,1.8177,4.1253,0.5001,3.0402,0.0120,1.0223,2.3595,0.5044,18.0082,0.0619,0.0000,0.2168,0.4582,0.4750,0.0504,0.8205,0.1304,0.0064,1.6699,0.9188,0.1958,1.2498,0.6868,0.0400,0.0000,5.7296,0.0131,1.0000,0.0018,0.3704,0.0000,0.0000,6.673E-6,5.0000,0.0112,0.1085,0.0000,0.0000,2.658E-12,10.0000,0.0425,0.0354,0.0248,0.0000,3.836E-18,5.8224,0.0139,0.0888,0.0000,0.0000,2.412E-13,19.9796,0.3860,0.0114,0.0909,0.0833,4.84E-21,10.3564,0.0453,0.0331,0.0331,0.0000,1.729E-18,13.7413,0.1049,0.0190,0.0331,0.0000,2.172E-21,14.4745,0.1291,0.0173,0.0496,0.0000,7.141E-22,14.4745,0.1291,0.0173,0.0496,0.0000,7.141E-22,5.2511,0.0120,0.1021,0.0000,0.0000,1.278E-12,10.8104,0.0501,0.0303,0.0331,0.0000,6.067E-19
Tricholita_signata,120,3.5624,3.9751,500,0.9926,13,3.9320,0.9928,0.0013,10120,7.6641,3.9617,2.8906,3.8611,2.2074,36.4459,2.3205,2.5225,0.6224,3.6742,0.0113,3.8926,2.3396,0.5972,19.8952,0.1097,0.0110,0.5112,0.3047,0.1712,0.0559,1.5502,0.6500,0.0031,1.1846,0.4270,0.1475,0.8775,1.0009,0.0890,0.0000,5.7039,0.0128,1.0000,0.0019,0.3323,0.0000,0.0000,6.027E-7,5.0000,0.0126,0.0943,0.0000,0.0000,4.643E-14,10.0000,0.0500,0.0327,0.0333,0.0000,4.902E-20,7.6584,0.0265,0.0514,0.0000,0.0000,1.741E-17,19.6998,0.3971,0.0115,0.0917,0.1538,3.427E-20,9.9012,0.0483,0.0333,0.0333,0.0000,6.192E-20,7.6584,0.0265,0.0514,0.0000,0.0000,1.741E-17,15.4364,0.1640,0.0154,0.0417,0.0000,2.775E-24,15.4364,0.1640,0.0154,0.0417,0.0000,2.775E-24,4.7032,0.0117,0.1015,0.0000,0.0000,1.211E-13,10.5867,0.0558,0.0296,0.0333,0.0000,1.365E-20
Tricholita_signata,120,3.5580,3.9394,500,0.9917,13,3.7463,0.9922,0.0016,10120,7.1059,1.1734,7.0470,2.2482,1.7966,44.5784,4.0370,4.4784,0.4369,0.5637,0.0101,0.4944,3.2915,0.4206,15.1212,0.0403,0.0000,0.0874,1.0172,0.5231,0.0903,0.6047,0.0950,0.0024,1.3962,0.5839,0.1706,1.9316,0.6252,0.0185,0.0105,5.6930,0.0126,1.0000,0.0016,0.3815,0.0000,0.0000,3.629E-6,5.0000,0.0105,0.1054,0.0083,0.0000,1.99E-13,10.0000,0.0441,0.0332,0.0333,0.0000,5.957E-20,4.6458,0.0094,0.1157,0.0000,0.0000,6.666E-13,19.4357,0.3686,0.0112,0.1000,0.1538,2.571E-20,9.9892,0.0434,0.0333,0.0333,0.0000,6.192E-20,11.7293,0.0653,0.0242,0.0333,0.0000,9.813E-22,13.1489,0.0943,0.0192,0.0417,0.0000,4.721E-23,13.1489,0.0943,0.0192,0.0417,0.0000,4.721E-23,4.6458,0.0094,0.1157,0.0000,0.0000,6.666E-13,10.6749,0.0507,0.0292,0.0333,0.0000,1.147E-20
Tricholita_signata,120,3.6273,4.0242,500,0.9890,13,3.0019,0.9386,0.0419,10120,5.9933,3.9690,4.3106,1.3208,2.3137,43.1193,4.9601,0.7633,0.4763,5.1795,0.0249,0.3623,2.9042,0.4688,15.8277,0.1890,0.0126,0.3470,0.3077,0.5285,0.0654,0.8628,0.0821,0.4242,0.9847,0.7562,0.1524,1.9100,0.5443,0.7994,0.0399,5.6371,0.0120,1.0000,0.0016,0.3337,0.0083,0.0769,1.715E-5,5.0000,0.0121,0.0784,0.0083,0.1538,4.596E-11,10.0000,0.0620,0.0256,0.0167,0.1538,2.295E-16,0.2532,0.0005,0.5648,0.0000,0.0000,5.955E-4,20.5060,0.4784,0.0106,0.1000,0.2308,4.851E-18,11.4568,0.0872,0.0206,0.0167,0.1538,2.076E-17,11.4568,0.0872,0.0206,0.0167,0.1538,2.076E-17,2.8579,0.0051,0.1539,0.0083,0.1538,6.581E-8,15.0797,0.1910,0.0138,0.0333,0.1538,2.7E-19,4.7022,0.0110,0.0855,0.0083,0.1538,1.179E-10,9.5402,0.0545,0.0277,0.0167,0.1538,5.389E-16
Tricholita_signata,120,3.6310,3.9995,500,0.9919,13,2.3226,0.8855,0.0769,10120,7.6382,3.2767,3.8214,2.4447,2.4421,36.1112,1.9428,2.4380,0.6274,1.0167,0.0048,2.5253,3.8289,0.3464,21.8158,0.4161,0.0000,0.1045,0.6820,0.2878,0.6273,0.3760,0.0527,0.0000,2.1167,1.7834,0.1349,2.2132,0.7714,0.1536,0.0000,5.6431,0.0121,1.0000,0.0018,0.2913,0.0000,0.1538,5.376E-5,5.0000,0.0142,0.0792,0.0083,0.1538,5.194E-11,10.0000,0.0573,0.0277,0.0333,0.1538,5.389E-16,4.0351,0.0102,0.1016,0.0000,0.1538,7.624E-10,19.8088,0.4527,0.0110,0.1000,0.1538,2.113E-20,8.9679,0.0421,0.0333,0.0333,0.1538,4.094E-15,11.8299,0.0923,0.0209,0.0333,0.1538,2.558E-17,2.6130,0.0056,0.1539,0.0000,0.1538,6.581E-8,25.6445,0.5604,0.0094,0.1917,0.1538,3.824E-21,4.0351,0.0102,0.1016,0.0000,0.1538,7.624E-10,9.9714,0.0560,0.0279,0.0333,0.1538,5.826E-16
Tricholita_signata,120,3.5427,3.9665,500,0.9923,13,4.3595,0.9961,0.0010,10120,8.6220,0.7862,5.1230,1.9020,1.9617,41.8046,3.4349,2.0038,0.5431,0.3258,0.0087,0.3624,2.9184,0.4712,20.6710,0.0819,0.0000,0.2157,0.3917,0.8826,0.0561,0.6121,0.1865,0.0031,1.7956,1.1106,0.1852,2.5312,0.8976,0.0229,0.0881,5.7225,0.0130,1.0000,0.0017,0.3709,0.0000,0.0000,2.518E-6,5.0000,0.0114,0.1058,0.0000,0.0000,2.089E-13,10.0000,0.0443,0.0350,0.0250,0.0000,1.174E-19,5.4825,0.0130,0.0941,0.0000,0.0000,4.518E-14,20.2998,0.4162,0.0113,0.0917,0.0000,4.703E-26,10.2708,0.0468,0.0333,0.0333,0.0000,6.192E-20,12.1730,0.0747,0.0240,0.0333,0.0000,8.821E-22,22.6310,0.4889,0.0103,0.1417,0.0000,1.426E-26,22.6310,0.4889,0.0103,0.1417,0.0000,1.426E-26,5.1633,0.0119,0.1017,0.0000,0.0000,1.242E-13,10.8227,0.0536,0.0301,0.0333,0.0000,1.693E-20
