Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Vaccinium_corymbosum,108,1.6499,2.2603,500,0.9498,12,1.2860,0.8389,0.0552,10107,3.0668,3.6269,1.5641,0.1438,6.5813,22.1085,2.9918,4.2204,0.0000,0.4977,0.0000,2.2157,13.6158,2.3846,0.2898,0.9112,0.8281,0.6928,1.5156,4.8063,3.5407,5.3893,0.0788,1.1128,0.8755,10.3734,0.3052,3.0239,2.9458,0.2933,0.0000,7.6522,0.1045,1.0000,0.0166,0.7235,0.0000,0.0000,2.056E-2,5.0000,0.0508,0.4661,0.0093,0.0833,1.551E-3,10.0000,0.0910,0.3257,0.0370,0.2500,3.223E-3,1.2020,0.0185,0.6998,0.0000,0.0000,1.38E-2,26.0748,0.2332,0.1351,0.0926,0.3333,3.29E-5,29.9877,0.2728,0.1111,0.1111,0.4167,9.948E-5,30.0055,0.2733,0.1109,0.1111,0.4167,9.834E-5,13.7565,0.1230,0.2599,0.0463,0.2500,5.371E-4,26.9010,0.2414,0.1296,0.1111,0.3333,2.419E-5,6.5119,0.0630,0.4135,0.0093,0.1667,3.766E-3,17.7493,0.1557,0.2083,0.0648,0.3333,7.757E-4
Vaccinium_corymbosum,108,1.7344,2.2991,500,0.9517,12,0.2544,0.7754,0.0756,10107,1.1432,2.0856,5.3182,0.2509,4.3248,21.4105,1.7455,2.1288,0.4574,0.1682,0.0000,2.6487,15.4911,2.8173,1.0668,0.8339,0.4248,0.2533,2.2629,7.6722,3.5291,4.5383,0.3386,1.3151,0.5146,11.6817,0.6369,2.8466,1.9778,0.0979,0.0193,7.5343,0.0927,1.0000,0.0146,0.7125,0.0000,0.0833,9.997E-2,5.0000,0.0444,0.4481,0.0093,0.1667,7.597E-3,10.0000,0.0833,0.3068,0.0370,0.2500,2.02E-3,4.0777,0.0374,0.4883,0.0000,0.1667,1.581E-2,22.0178,0.1861,0.1536,0.0926,0.5000,5.233E-3,26.6274,0.2258,0.1204,0.1204,0.5000,1.471E-3,27.4376,0.2330,0.1154,0.1204,0.5000,1.171E-3,10.4839,0.0874,0.2973,0.0370,0.3333,8.945E-3,9.9086,0.0824,0.3087,0.0370,0.1667,2.687E-4,4.0777,0.0374,0.4883,0.0000,0.1667,1.581E-2,18.5362,0.1551,0.1851,0.0741,0.4167,2.454E-3
Vaccinium_corymbosum,108,1.6897,2.2467,500,0.9501,12,0.8354,0.8068,0.0602,10107,1.6681,2.7130,1.2565,0.6475,6.1522,22.3177,2.1058,1.6046,0.0000,0.5875,0.0173,2.2449,14.2354,2.0249,0.5643,0.8274,0.3831,0.3144,0.9599,5.0864,4.4269,6.5452,0.0000,1.3736,0.6359,12.7910,0.5162,2.9993,4.5365,0.4010,0.0635,7.5756,0.0968,1.0000,0.0153,0.6953,0.0000,0.0833,7.986E-2,5.0000,0.0492,0.4459,0.0185,0.0833,9.837E-4,10.0000,0.0869,0.3083,0.0463,0.2500,2.098E-3,1.7534,0.0227,0.6195,0.0000,0.0833,2.673E-2,25.8388,0.2242,0.1275,0.0926,0.5000,1.995E-3,27.6211,0.2417,0.1163,0.1204,0.5000,1.22E-3,27.4908,0.2407,0.1169,0.1019,0.5000,1.259E-3,13.3788,0.1164,0.2500,0.0463,0.2500,3.92E-4,13.5504,0.1176,0.2475,0.0463,0.2500,3.603E-4,4.8265,0.0480,0.4525,0.0093,0.0833,1.143E-3,17.9931,0.1560,0.1929,0.0556,0.4167,3.148E-3
Vaccinium_corymbosum,108,1.6696,2.2120,500,0.9420,12,0.5411,0.7424,0.0789,10107,4.6776,1.3279,2.0168,0.5494,6.5732,24.4218,2.3940,1.2581,0.0354,0.5359,0.0000,2.4131,14.7663,2.3468,0.2918,0.4948,1.6723,0.8409,1.5427,7.4942,1.3158,4.0313,0.0064,1.7458,0.9968,10.1462,0.1343,4.0447,1.5510,0.3745,0.0000,7.5786,0.0970,1.0000,0.0152,0.7035,0.0000,0.1667,2.612E-1,5.0000,0.0497,0.4505,0.0278,0.1667,7.951E-3,10.0000,0.0874,0.3149,0.0556,0.3333,1.303E-2,2.7989,0.0313,0.5529,0.0000,0.1667,4.395E-2,18.4320,0.1564,0.1924,0.0926,0.5000,1.612E-2,25.3193,0.2145,0.1330,0.1296,0.5000,2.485E-3,25.3193,0.2145,0.1330,0.1296,0.5000,2.485E-3,9.1277,0.0809,0.3333,0.0556,0.3333,1.876E-2,7.2042,0.0660,0.3805,0.0278,0.1667,1.802E-3,2.7989,0.0313,0.5529,0.0000,0.1667,4.395E-2,18.3469,0.1558,0.1934,0.0926,0.5000,1.652E-2
Vaccinium_corymbosum,108,1.6962,2.3017,500,0.9499,12,0.4609,0.7496,0.0734,10107,4.2433,0.9740,1.2621,0.0538,5.2901,22.1425,2.6021,4.2035,0.1414,2.1698,0.0000,3.5569,12.2327,1.8470,0.6651,0.8635,0.8329,0.5747,2.2799,9.4714,1.2191,5.1806,0.3843,1.5118,0.5956,10.6501,0.7028,2.3460,1.6676,0.3355,0.0000,7.5820,0.0969,1.0000,0.0152,0.7151,0.0093,0.0833,1.034E-1,5.0000,0.0472,0.4533,0.0185,0.2500,3.747E-2,10.0000,0.0860,0.3125,0.0370,0.4167,4.776E-2,0.9841,0.0151,0.7172,0.0000,0.0833,1.062E-1,27.4461,0.2392,0.1168,0.0926,0.5000,1.248E-3,29.6796,0.2635,0.1038,0.1019,0.5000,6.624E-4,29.6796,0.2635,0.1038,0.1019,0.5000,6.624E-4,6.0170,0.0550,0.4166,0.0185,0.4167,1.892E-1,24.0256,0.2051,0.1401,0.0926,0.4167,4.377E-4,6.1426,0.0559,0.4125,0.0185,0.4167,1.812E-1,18.0186,0.1519,0.1941,0.0741,0.4167,3.266E-3
Vaccinium_corymbosum,108,1.7018,2.2739,500,0.9499,12,0.4669,0.7989,0.0726,10107,1.8584,2.3410,3.0685,0.5385,5.8561,23.4540,1.4975,2.3509,0.4322,0.1986,0.0028,2.1782,16.1221,2.4508,0.2724,0.7125,0.8942,0.6915,1.8495,3.8480,4.6756,4.4074,0.2288,1.0057,0.7772,13.8434,0.2116,2.2973,1.3848,0.5201,0.0303,7.5578,0.0954,1.0000,0.0152,0.7260,0.0093,0.0833,1.186E-1,5.0000,0.0467,0.4679,0.0093,0.1667,1.101E-2,10.0000,0.0821,0.3259,0.0278,0.2500,3.238E-3,0.2875,0.0073,0.8486,0.0000,0.0833,4.381E-1,25.8092,0.2096,0.1324,0.0926,0.4167,3.058E-4,29.2028,0.2382,0.1102,0.1111,0.4167,9.444E-5,29.1865,0.2382,0.1103,0.1019,0.4167,9.499E-5,12.5618,0.1013,0.2774,0.0370,0.2500,9.079E-4,43.4436,0.4022,0.0491,0.2500,0.4167,4.361E-7,5.1960,0.0480,0.4605,0.0093,0.1667,9.603E-3,19.2094,0.1534,0.1895,0.0648,0.4167,2.823E-3
Vaccinium_corymbosum,108,1.5998,2.1952,500,0.9486,12,1.7900,0.9208,0.0247,10107,2.6521,2.5457,0.9687,0.5644,6.5703,20.2793,3.2398,1.3755,0.0221,3.9283,0.0200,2.3839,12.3961,2.0264,1.1712,0.8810,0.2815,0.6323,1.3213,4.5704,3.5634,5.8234,0.8809,1.7487,0.7253,12.6312,0.6652,2.8659,3.0328,0.2326,0.0000,7.6691,0.1067,1.0000,0.0170,0.7275,0.0000,0.0000,2.198E-2,5.0000,0.0523,0.4763,0.0093,0.0000,1.363E-4,10.0000,0.0912,0.3358,0.0370,0.0000,2.056E-6,1.6445,0.0240,0.6621,0.0000,0.0000,7.099E-3,27.4316,0.2441,0.1319,0.0926,0.2500,1.819E-6,29.5946,0.2620,0.1183,0.1204,0.2500,7.143E-7,26.1770,0.2320,0.1404,0.0741,0.2500,3.111E-6,21.5643,0.1910,0.1772,0.0556,0.1667,1.419E-6,21.3490,0.1892,0.1792,0.0463,0.0833,6.131E-8,5.5926,0.0575,0.4547,0.0093,0.0000,7.818E-5,18.0941,0.1600,0.2118,0.0463,0.0833,3.727E-7
Vaccinium_corymbosum,108,1.7176,2.3260,500,0.9507,12,0.5637,0.7556,0.0763,10107,4.2381,1.3834,0.8725,0.7781,4.7748,22.0204,2.3263,3.9877,0.3398,1.4294,0.0000,2.1322,14.1698,1.9765,0.4420,0.6564,0.5317,1.3888,1.0915,3.9211,3.2901,4.7795,0.0853,2.1331,0.4899,12.6760,0.5499,2.7080,4.3811,0.4104,0.0363,7.5695,0.0959,1.0000,0.0151,0.7147,0.0000,0.0833,1.028E-1,5.0000,0.0475,0.4565,0.0093,0.3333,1.208E-1,10.0000,0.0843,0.3169,0.0463,0.3333,1.357E-2,1.4756,0.0193,0.6621,0.0000,0.1667,1.726E-1,23.4490,0.1947,0.1455,0.0926,0.4167,5.564E-4,27.5632,0.2338,0.1165,0.1204,0.5000,1.231E-3,31.5214,0.2758,0.0941,0.1296,0.5833,3.313E-3,9.2442,0.0787,0.3333,0.0463,0.3333,1.876E-2,23.1102,0.1918,0.1482,0.0926,0.3333,6.563E-5,7.8330,0.0681,0.3675,0.0093,0.3333,3.446E-2,18.4090,0.1524,0.1917,0.0833,0.3333,4.298E-4
Vaccinium_corymbosum,108,1.7662,2.3500,500,0.9537,12,-0.1785,0.7008,0.0790,10108,2.7293,2.1732,1.4684,0.7520,4.0094,24.2488,2.7929,2.1783,0.0553,0.9258,0.0000,2.2675,12.8550,2.3107,1.2433,0.7651,0.7650,1.0699,1.4520,5.1582,5.5262,5.6211,0.7580,1.6480,0.8534,9.4184,0.2289,4.1912,2.3410,0.1148,0.0790,7.4959,0.0888,1.0000,0.0137,0.6979,0.0000,0.0833,8.266E-2,5.0000,0.0432,0.4384,0.0185,0.2500,2.958E-2,10.0000,0.0809,0.2969,0.0278,0.4167,3.653E-2,1.7017,0.0198,0.6240,0.0000,0.1667,1.121E-1,20.7737,0.1722,0.1557,0.0926,0.5833,2.779E-2,25.4671,0.2121,0.1204,0.1204,0.6667,4.691E-2,29.1586,0.2499,0.0983,0.1204,0.7500,1.067E-1,7.3752,0.0597,0.3591,0.0278,0.3333,2.993E-2,6.8317,0.0557,0.3750,0.0278,0.2500,9.448E-3,4.9118,0.0426,0.4419,0.0093,0.2500,3.132E-2,18.3672,0.1506,0.1781,0.0648,0.5833,4.696E-2
Vaccinium_corymbosum,108,1.5528,2.1466,500,0.9458,12,1.8042,0.9332,0.0264,10107,2.2032,1.5185,2.5930,1.7534,4.6620,24.7971,1.5335,1.9420,0.6739,0.2221,0.0000,3.1026,12.4576,2.2377,0.5267,0.7440,1.0029,0.0696,2.5054,7.2477,2.9281,4.3778,0.7129,2.0269,1.2087,11.6307,0.1336,2.8769,2.0412,0.2552,0.0151,7.7255,0.1126,1.0000,0.0185,0.7515,0.0000,0.0000,3.242E-2,5.0000,0.0532,0.4997,0.0093,0.0000,2.421E-4,10.0000,0.0922,0.3535,0.0278,0.0000,3.81E-6,1.8876,0.0279,0.6675,0.0000,0.0000,7.818E-3,26.8089,0.2344,0.1422,0.0926,0.1667,1.689E-7,29.3620,0.2591,0.1247,0.1204,0.1667,4.706E-8,26.8089,0.2344,0.1422,0.0926,0.1667,1.689E-7,23.7151,0.2072,0.1666,0.0926,0.1667,7.838E-7,22.4407,0.1971,0.1778,0.0741,0.0833,5.638E-8,5.4375,0.0566,0.4827,0.0093,0.0000,1.601E-4,17.9906,0.1573,0.2241,0.0463,0.0833,6.827E-7
