Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Vaccinium_erythrocarpum,114,2.1282,2.6525,500,0.9699,13,1.8726,0.9332,0.0236,10111,1.5773,0.2697,0.0000,1.8190,3.4870,14.8024,0.7647,0.0141,0.0044,0.1302,0.0000,0.2895,6.8372,0.3728,0.6869,1.7319,0.6980,0.0483,0.7340,53.1246,2.5557,0.0318,0.7038,0.3637,0.2619,7.2930,0.4651,0.4762,0.3802,0.0765,0.0000,7.1328,0.0602,1.0000,0.0122,0.4399,0.0000,0.0000,2.311E-5,5.0000,0.0505,0.2661,0.0088,0.0000,3.362E-8,10.0000,0.0930,0.1841,0.0263,0.1538,4.428E-7,2.7602,0.0301,0.3332,0.0000,0.0000,6.24E-7,21.7226,0.1948,0.0927,0.0965,0.2308,1.026E-8,21.4349,0.1920,0.0943,0.0965,0.2308,1.21E-8,16.9975,0.1536,0.1207,0.0439,0.2308,1.321E-7,12.8553,0.1164,0.1539,0.0351,0.1538,6.599E-8,5.4931,0.0551,0.2553,0.0088,0.0000,1.954E-8,2.7602,0.0301,0.3332,0.0000,0.0000,6.24E-7,16.5535,0.1506,0.1238,0.0439,0.2308,1.695E-7
Vaccinium_erythrocarpum,114,2.2250,2.7275,500,0.9689,13,1.0372,0.8844,0.0394,10111,2.7720,1.5023,1.8615,0.0084,4.9696,10.8448,0.3041,0.9240,0.8547,1.1505,0.0178,1.8731,5.6935,0.3040,1.3979,0.3364,0.1642,0.1308,0.9220,55.5962,0.7916,0.0086,0.2336,0.8388,0.2511,4.5009,0.4123,0.9826,0.3528,0.0000,0.0000,7.0334,0.0542,1.0000,0.0112,0.4318,0.0000,0.0769,3.285E-4,5.0000,0.0450,0.2515,0.0088,0.1538,1.177E-5,10.0000,0.0869,0.1676,0.0439,0.3077,3.894E-5,2.2316,0.0215,0.3462,0.0000,0.0769,2.618E-5,17.5735,0.1521,0.1035,0.0965,0.3077,6.568E-7,17.5893,0.1522,0.1034,0.1053,0.3077,6.514E-7,12.7253,0.1103,0.1396,0.0439,0.3077,8.4E-6,7.6206,0.0656,0.2007,0.0175,0.2308,1.657E-5,4.7880,0.0432,0.2567,0.0088,0.0769,8.103E-7,2.2316,0.0215,0.3462,0.0000,0.0769,2.618E-5,16.2512,0.1417,0.1121,0.0877,0.3077,1.303E-6
Vaccinium_erythrocarpum,114,2.1578,2.6699,500,0.9699,13,2.1359,0.9291,0.0319,10111,1.3575,1.1910,2.1461,0.3039,6.1317,11.8377,0.3616,0.2094,0.0000,1.3588,0.0100,1.2861,7.1798,0.1576,1.2097,0.9264,0.3786,0.0991,0.5132,54.5209,0.8008,0.1352,0.0930,0.5989,0.8235,5.2323,0.2399,0.4125,0.4683,0.0164,0.0000,7.1244,0.0597,1.0000,0.0126,0.4286,0.0000,0.0000,1.649E-5,5.0000,0.0521,0.2633,0.0088,0.0769,1.091E-6,10.0000,0.0916,0.1812,0.0263,0.1538,3.749E-7,1.5689,0.0191,0.3848,0.0000,0.0000,4.06E-6,23.5971,0.2195,0.0814,0.0965,0.2308,2.9E-9,22.2106,0.2045,0.0877,0.0877,0.2308,6.018E-9,17.3875,0.1574,0.1145,0.0439,0.2308,7.988E-8,12.5172,0.1127,0.1539,0.0263,0.1538,6.599E-8,33.8844,0.3225,0.0466,0.2105,0.2308,1.209E-11,4.4173,0.0468,0.2771,0.0088,0.0769,1.985E-6,16.2055,0.1447,0.1227,0.0439,0.2308,1.557E-7
Vaccinium_erythrocarpum,114,2.1766,2.7128,500,0.9697,13,1.5200,0.9120,0.0289,10111,0.7017,1.9953,0.7230,0.6078,4.2121,11.7907,0.2020,0.0000,0.5462,0.0802,0.0218,0.7534,6.7363,0.2460,1.3660,0.5220,0.5280,0.0314,0.8209,51.3599,6.0072,0.1063,0.1420,0.2731,0.4365,8.2191,0.2518,0.6275,0.4928,0.1991,0.0000,7.1048,0.0583,1.0000,0.0114,0.4466,0.0000,0.0000,2.815E-5,5.0000,0.0473,0.2674,0.0088,0.0769,1.31E-6,10.0000,0.0869,0.1807,0.0351,0.2308,6.201E-6,2.5353,0.0264,0.3468,0.0000,0.0000,1.052E-6,21.3154,0.1924,0.0901,0.0965,0.3077,1.996E-7,20.3115,0.1819,0.0953,0.0965,0.3077,3.253E-7,18.4064,0.1624,0.1063,0.0614,0.3077,8.306E-7,8.5847,0.0765,0.1999,0.0263,0.2308,1.597E-5,3.4353,0.0338,0.3119,0.0088,0.0000,2.648E-7,2.5353,0.0264,0.3468,0.0000,0.0000,1.052E-6,16.3177,0.1413,0.1204,0.0526,0.3077,2.399E-6
Vaccinium_erythrocarpum,114,2.1628,2.6555,500,0.9688,13,1.6979,0.9219,0.0266,10112,1.9728,2.0691,2.8895,0.4085,4.7166,11.0515,0.7513,0.0000,0.0000,0.0747,0.0031,0.9851,5.9271,0.8089,0.5014,1.1375,0.2627,0.3303,1.2913,53.0038,1.0417,0.0875,0.6204,0.3471,0.2222,7.6429,0.2741,0.6239,0.9105,0.0445,0.0000,7.1032,0.0583,1.0000,0.0109,0.4404,0.0000,0.0000,2.342E-5,5.0000,0.0485,0.2584,0.0175,0.0769,8.775E-7,10.0000,0.0912,0.1752,0.0263,0.2308,4.644E-6,2.5442,0.0263,0.3367,0.0000,0.0000,7.156E-7,19.7619,0.1846,0.0954,0.0965,0.3077,3.279E-7,19.5775,0.1821,0.0965,0.0965,0.3077,3.616E-7,18.2959,0.1673,0.1038,0.0789,0.3077,6.781E-7,8.3196,0.0771,0.1973,0.0263,0.2308,1.414E-5,4.3944,0.0428,0.2737,0.0088,0.0000,4.845E-8,2.5442,0.0263,0.3367,0.0000,0.0000,7.156E-7,15.8526,0.1413,0.1202,0.0789,0.3077,2.363E-6
Vaccinium_erythrocarpum,114,2.2525,2.7364,500,0.9682,13,0.8415,0.8663,0.0353,10112,4.0646,0.1959,2.1924,0.0309,3.5361,11.0885,0.4443,0.0255,0.0000,0.0399,0.0000,0.7980,5.4313,0.1873,1.3908,0.3944,0.3623,0.1694,0.6932,58.2526,1.1021,0.2768,0.1855,0.4699,0.1239,7.3547,0.3014,0.6098,0.1940,0.0847,0.0000,7.0346,0.0541,1.0000,0.0110,0.4200,0.0000,0.0000,1.265E-5,5.0000,0.0453,0.2472,0.0263,0.2308,1.139E-4,10.0000,0.0853,0.1651,0.0439,0.3846,3.219E-4,1.6135,0.0174,0.3713,0.0000,0.0000,2.553E-6,17.8201,0.1580,0.0983,0.0965,0.4615,8.891E-5,17.8201,0.1580,0.0983,0.0965,0.4615,8.891E-5,12.5699,0.1068,0.1378,0.0439,0.4615,7.51E-4,5.7512,0.0517,0.2308,0.0351,0.2308,6.066E-5,1.8758,0.0198,0.3558,0.0088,0.0000,1.465E-6,1.6135,0.0174,0.3713,0.0000,0.0000,2.553E-6,15.6976,0.1365,0.1122,0.0789,0.4615,2.077E-4
Vaccinium_erythrocarpum,114,2.1028,2.6305,500,0.9673,13,2.1865,0.9513,0.0211,10111,2.5951,0.1768,1.6916,0.0000,3.6740,12.8505,0.6056,0.0569,0.0276,0.0233,0.0093,0.6357,5.5597,0.3097,0.7795,0.8098,0.2506,0.0282,1.8609,54.8990,0.9569,0.2694,0.7077,0.6833,0.3874,7.7793,0.2439,1.4357,0.4271,0.1944,0.0711,7.1627,0.0621,1.0000,0.0128,0.4510,0.0000,0.0000,3.193E-5,5.0000,0.0505,0.2764,0.0088,0.0769,1.928E-6,10.0000,0.0916,0.1910,0.0351,0.0769,2.521E-8,2.8153,0.0313,0.3425,0.0000,0.0000,8.924E-7,22.5775,0.2034,0.0909,0.0965,0.1538,2.292E-10,21.4979,0.1901,0.0965,0.0965,0.1538,4.394E-10,22.5775,0.2034,0.0909,0.0965,0.1538,2.292E-10,15.5388,0.1370,0.1355,0.0702,0.1538,1.691E-8,34.2497,0.3253,0.0479,0.1930,0.1538,2.156E-13,2.8153,0.0313,0.3425,0.0000,0.0000,8.924E-7,16.5582,0.1457,0.1276,0.0702,0.1538,8.869E-9
Vaccinium_erythrocarpum,115,2.1667,2.6862,500,0.9693,12,1.4826,0.8961,0.0485,10112,0.7177,1.5825,0.0000,0.0403,3.4187,13.5495,0.8861,0.0574,0.7482,0.8316,0.0145,1.8465,5.6527,0.2301,0.9351,0.7783,0.1523,0.1691,0.8315,58.3571,0.6913,0.0234,0.1570,0.2650,0.7136,5.3156,0.6598,0.7281,0.4434,0.2005,0.0031,7.0933,0.0575,1.0000,0.0115,0.4455,0.0000,0.0833,9.742E-4,5.0000,0.0471,0.2656,0.0000,0.0833,4.217E-6,10.0000,0.0870,0.1800,0.0348,0.1667,1.648E-6,5.0352,0.0472,0.2647,0.0000,0.0833,4.068E-6,22.2148,0.1959,0.0850,0.0957,0.3333,9.898E-7,21.8329,0.1935,0.0869,0.0870,0.3333,1.17E-6,21.4572,0.1909,0.0887,0.0783,0.2500,5.831E-8,11.1279,0.0957,0.1666,0.0348,0.1667,7.845E-7,16.8668,0.1457,0.1161,0.0783,0.1667,2.35E-8,4.8048,0.0454,0.2705,0.0000,0.0833,5.114E-6,16.4657,0.1405,0.1190,0.0783,0.1667,2.982E-8
Vaccinium_erythrocarpum,115,2.1743,2.6817,500,0.9698,12,1.5894,0.9128,0.0332,10112,1.5148,0.3640,4.8542,0.6992,4.5018,9.2086,0.8288,0.8424,0.0000,0.0403,0.0025,0.8266,6.3303,0.1913,0.7571,0.7841,0.4847,0.1049,0.4346,54.9454,0.8527,0.1220,0.2866,0.3116,1.0327,8.5005,0.1709,0.9248,0.0384,0.0444,0.0000,7.1142,0.0589,1.0000,0.0116,0.4326,0.0000,0.0000,4.29E-5,5.0000,0.0504,0.2608,0.0000,0.1667,5.592E-5,10.0000,0.0911,0.1784,0.0348,0.1667,1.513E-6,5.6313,0.0558,0.2472,0.0000,0.1667,3.387E-5,18.9767,0.1735,0.1033,0.0957,0.2500,2.207E-7,18.9938,0.1737,0.1033,0.1043,0.2500,2.207E-7,18.0477,0.1649,0.1090,0.0609,0.2500,3.501E-7,11.0270,0.0997,0.1666,0.0348,0.1667,7.845E-7,16.2231,0.1457,0.1209,0.0609,0.1667,3.502E-8,4.5803,0.0463,0.2709,0.0000,0.1667,7.979E-5,16.1508,0.1451,0.1215,0.0609,0.1667,3.673E-8
Vaccinium_erythrocarpum,115,2.1334,2.6184,500,0.9677,12,2.0388,0.9252,0.0406,10113,0.8661,0.3548,1.8714,1.7063,5.3561,10.5759,1.3130,0.5427,0.0285,1.0374,0.0670,0.3097,6.3289,0.2324,0.8526,1.1779,0.3154,0.0735,0.9067,53.4291,1.3658,0.1932,0.1768,0.3532,0.2746,8.6286,0.1007,0.8356,0.6087,0.1087,0.0085,7.1269,0.0597,1.0000,0.0117,0.4508,0.0000,0.0833,1.1E-3,5.0000,0.0484,0.2691,0.0174,0.1667,7.495E-5,10.0000,0.0889,0.1821,0.0261,0.1667,1.847E-6,2.9355,0.0299,0.3329,0.0000,0.0833,4.646E-5,22.5380,0.2056,0.0852,0.0957,0.1667,1.137E-9,20.6547,0.1863,0.0949,0.0957,0.1667,3.274E-9,22.5380,0.2056,0.0852,0.0957,0.1667,1.137E-9,11.3328,0.1017,0.1666,0.0348,0.1667,7.838E-7,39.2298,0.3869,0.0346,0.2261,0.1667,1.526E-13,2.9355,0.0299,0.3329,0.0000,0.0833,4.646E-5,16.2031,0.1429,0.1231,0.0783,0.1667,4.163E-8
