Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Vaccinium_stamineum,237,1.6161,1.9798,500,0.9431,27,1.2600,0.9040,0.0174,10237,2.7977,1.3250,0.2373,1.3828,1.8269,8.2749,7.8868,2.9990,3.1921,1.1867,0.0117,1.0552,12.7289,4.8910,0.5883,0.7342,0.3178,0.8143,0.3278,0.6549,23.5562,2.6830,0.7030,0.0507,0.0722,0.6685,0.3382,1.9625,14.8095,1.9115,0.0115,7.6545,0.1006,1.0000,0.0165,0.5822,0.0000,0.0000,5.368E-6,5.0000,0.0640,0.3582,0.0211,0.0000,1.76E-12,10.0000,0.1181,0.2518,0.0549,0.0741,3.529E-16,1.8403,0.0270,0.5028,0.0000,0.0000,1.187E-7,18.0429,0.2051,0.1625,0.0970,0.2222,2.265E-18,22.6756,0.2589,0.1308,0.1308,0.2593,2.741E-21,15.5241,0.1767,0.1844,0.0633,0.1481,1.91E-19,17.8538,0.2033,0.1640,0.0928,0.1481,2.404E-22,14.1025,0.1620,0.1989,0.0633,0.1111,1.327E-19,3.3405,0.0450,0.4180,0.0084,0.0000,4.355E-10,13.4432,0.1545,0.2061,0.0633,0.1111,8.893E-19
Vaccinium_stamineum,237,1.5696,1.9595,500,0.9430,27,1.8509,0.9324,0.0166,10237,6.3772,1.6326,0.1733,0.0540,1.9646,6.9971,8.9525,2.8655,0.0753,1.6517,0.0074,1.0229,9.1889,5.8483,0.3217,1.6143,0.5182,0.4487,0.4672,0.7562,25.6619,2.5043,1.4935,0.2584,0.1511,0.7585,0.7212,2.4412,14.0349,1.0377,0.0000,7.7114,0.1067,1.0000,0.0177,0.6068,0.0000,0.0000,1.441E-5,5.0000,0.0652,0.3785,0.0211,0.0000,1.388E-11,10.0000,0.1177,0.2674,0.0338,0.0741,5.3E-15,3.0684,0.0429,0.4531,0.0000,0.0000,5.677E-9,17.9853,0.2055,0.1736,0.0970,0.1481,6.687E-21,24.8431,0.2809,0.1266,0.1266,0.1481,4.499E-30,26.8477,0.3026,0.1159,0.1308,0.1481,3.276E-33,21.3376,0.2412,0.1482,0.1139,0.1481,3.858E-25,34.5715,0.3780,0.0830,0.2068,0.1481,8.354E-48,3.0684,0.0429,0.4531,0.0000,0.0000,5.677E-9,13.5246,0.1552,0.2181,0.0506,0.0741,2.654E-19
Vaccinium_stamineum,237,1.6481,2.0172,500,0.9462,27,0.7744,0.8423,0.0434,10237,1.1279,0.9931,0.0279,0.6054,2.2232,9.2185,7.5827,2.8993,4.2156,1.8286,0.0051,0.2351,8.8887,4.8526,0.1914,1.0077,0.3037,0.2163,0.3296,0.8937,30.0308,1.8343,0.9426,0.3059,0.2033,1.3711,0.6590,2.9532,12.7342,1.2798,0.0398,7.6294,0.0981,1.0000,0.0158,0.5680,0.0000,0.0741,8.695E-5,5.0000,0.0644,0.3441,0.0169,0.1481,1.405E-8,10.0000,0.1193,0.2424,0.0591,0.1852,1.937E-12,1.8421,0.0262,0.4875,0.0000,0.0741,2.592E-6,19.3205,0.2243,0.1487,0.0970,0.3333,1.933E-14,23.5669,0.2680,0.1224,0.1224,0.3704,4.429E-16,25.8516,0.2927,0.1106,0.1266,0.3704,3.984E-18,13.0764,0.1544,0.2031,0.0675,0.1852,1.381E-15,13.0764,0.1544,0.2031,0.0675,0.1852,1.381E-15,2.9363,0.0391,0.4215,0.0084,0.0741,5.546E-8,13.2808,0.1571,0.2009,0.0675,0.2222,3.709E-14
Vaccinium_stamineum,237,1.6065,1.9799,500,0.9445,27,1.3892,0.8998,0.0242,10237,1.2999,2.1956,0.6201,1.5690,1.5724,7.6101,8.9248,2.6628,3.4559,0.8226,0.0132,1.0519,12.7980,5.5843,0.2230,0.8093,0.3731,0.6401,0.3861,0.5334,28.1363,2.9936,1.1987,0.0808,0.0866,0.4582,0.5910,2.0009,10.1646,1.1386,0.0052,7.6668,0.1018,1.0000,0.0169,0.5721,0.0000,0.0000,3.504E-6,5.0000,0.0659,0.3535,0.0211,0.0370,1.746E-11,10.0000,0.1199,0.2491,0.0422,0.1111,7.543E-15,2.2113,0.0329,0.4698,0.0000,0.0370,1.412E-7,19.1474,0.2239,0.1533,0.0970,0.2593,1.189E-17,24.0862,0.2780,0.1224,0.1224,0.2963,1.54E-20,24.9198,0.2901,0.1180,0.1224,0.2963,1.982E-21,15.2934,0.1790,0.1852,0.0717,0.1852,1.857E-17,6.7069,0.0855,0.3099,0.0295,0.0370,1.079E-13,2.2113,0.0329,0.4698,0.0000,0.0370,1.412E-7,13.0618,0.1535,0.2087,0.0506,0.1852,4.55E-15
Vaccinium_stamineum,237,1.6726,2.0585,500,0.9480,27,0.8159,0.8453,0.0323,10237,7.3639,0.1820,0.2622,1.2277,1.8567,10.1396,6.9819,2.1109,0.0552,0.2598,0.0000,1.6341,14.1888,5.5700,0.3620,1.1434,0.2734,0.2325,0.3293,0.5793,26.0321,2.5284,1.7059,0.0400,0.2885,0.5983,0.5981,2.0338,10.5352,0.8466,0.0406,7.6083,0.0957,1.0000,0.0150,0.5659,0.0000,0.0370,1.572E-5,5.0000,0.0625,0.3398,0.0169,0.1481,9.723E-9,10.0000,0.1172,0.2373,0.0464,0.2222,2.03E-11,1.9418,0.0267,0.4765,0.0000,0.0741,1.465E-6,19.2760,0.2228,0.1438,0.0970,0.3704,3.129E-13,24.0507,0.2774,0.1158,0.1139,0.4444,4.568E-13,24.0507,0.2774,0.1158,0.1139,0.4444,4.568E-13,11.0725,0.1296,0.2222,0.0549,0.2222,1.914E-12,12.1483,0.1413,0.2087,0.0633,0.2222,1.699E-13,3.6410,0.0463,0.3864,0.0042,0.1111,4.122E-8,13.1862,0.1513,0.1967,0.0717,0.2593,5.773E-13
Vaccinium_stamineum,239,1.6198,1.9793,500,0.9432,25,0.7958,0.8344,0.0427,10239,5.8817,0.9029,0.7793,0.2200,1.9288,9.2807,8.6289,1.5075,0.0367,0.4726,0.0000,0.3331,11.0328,3.6275,0.0579,1.3502,0.7352,0.6735,0.2910,0.7117,29.6394,1.0121,1.3579,0.1124,0.2153,2.6400,0.5567,2.8697,12.1154,1.0189,0.0100,7.6429,0.0994,1.0000,0.0165,0.5731,0.0000,0.0400,1.772E-5,5.0000,0.0642,0.3499,0.0209,0.1600,6.623E-7,10.0000,0.1196,0.2467,0.0544,0.2400,1.012E-7,2.2044,0.0311,0.4688,0.0000,0.0400,1.745E-7,17.2669,0.1997,0.1663,0.0962,0.2800,1.376E-9,22.6150,0.2573,0.1297,0.1297,0.4000,4.436E-8,27.6865,0.3106,0.1033,0.1506,0.4000,1.933E-9,10.4626,0.1238,0.2400,0.0544,0.2400,6.285E-8,19.1420,0.2227,0.1520,0.1130,0.2800,3.031E-10,3.2951,0.0441,0.4112,0.0042,0.1200,1.661E-6,13.3451,0.1542,0.2036,0.0753,0.2800,3.9E-8
Vaccinium_stamineum,238,1.5998,1.9573,500,0.9425,26,1.3492,0.9012,0.0208,10238,7.3376,0.2893,0.3777,0.0599,1.4965,9.2704,6.7180,2.0541,0.0000,0.4012,0.0000,0.9112,14.3517,5.8165,0.3334,1.0974,0.2893,0.3372,0.2059,1.1899,26.5274,1.1249,1.0586,0.1490,0.1569,0.7471,0.3798,1.9567,13.7929,1.5693,0.0000,7.6656,0.1018,1.0000,0.0166,0.5856,0.0000,0.0000,8.945E-6,5.0000,0.0644,0.3609,0.0126,0.0385,9.034E-11,10.0000,0.1185,0.2544,0.0378,0.1154,8.065E-14,1.3565,0.0211,0.5470,0.0000,0.0000,1.738E-6,17.8301,0.2048,0.1669,0.0966,0.1923,9.63E-19,23.6311,0.2670,0.1276,0.1261,0.3077,3.017E-18,27.8995,0.3126,0.1057,0.1387,0.3846,1.41E-17,15.0125,0.1725,0.1923,0.0798,0.1923,8.506E-16,8.5466,0.1040,0.2787,0.0378,0.0385,4.041E-15,5.1326,0.0658,0.3569,0.0126,0.0385,6.164E-11,13.4975,0.1565,0.2083,0.0714,0.1538,5.831E-16
Vaccinium_stamineum,238,1.6126,1.9864,500,0.9444,26,1.3936,0.8876,0.0292,10238,6.9786,0.6376,0.0838,0.2364,1.5879,8.6071,7.9733,2.4257,0.0252,2.2001,0.0000,0.7274,11.6140,3.8000,0.3000,1.7309,0.3627,0.2604,0.2998,0.3445,26.2326,2.6912,1.2032,0.2956,0.3024,0.6833,0.4327,2.1553,14.9536,0.8426,0.0120,7.6517,0.1002,1.0000,0.0165,0.5705,0.0000,0.0000,4.843E-6,5.0000,0.0649,0.3485,0.0210,0.1538,5.038E-8,10.0000,0.1221,0.2451,0.0546,0.1923,1.281E-11,1.9048,0.0277,0.4874,0.0000,0.0000,8.513E-8,18.0762,0.2097,0.1591,0.0966,0.1923,7.745E-20,22.3869,0.2665,0.1303,0.1303,0.3077,8.486E-18,16.7539,0.1942,0.1699,0.0756,0.1923,2.335E-18,14.3423,0.1675,0.1923,0.0588,0.1923,8.506E-16,19.4360,0.2257,0.1491,0.1134,0.1923,2.05E-21,2.4651,0.0346,0.4514,0.0042,0.0769,6.706E-7,13.1086,0.1557,0.2055,0.0588,0.1923,1.492E-14
Vaccinium_stamineum,238,1.6161,1.9640,500,0.9424,26,1.1948,0.8703,0.0380,10238,7.4040,0.5990,0.2713,0.1620,2.3100,8.9838,7.1835,2.6239,0.1112,2.1724,0.0000,0.3351,10.3003,5.0069,0.2222,1.1019,0.2299,0.4043,0.3567,1.0389,26.2124,1.1189,0.6871,0.3822,0.2599,1.5276,0.8315,2.7887,14.3643,0.8903,0.1197,7.6583,0.1012,1.0000,0.0165,0.5747,0.0000,0.0769,1.635E-4,5.0000,0.0654,0.3508,0.0252,0.1154,5.886E-9,10.0000,0.1227,0.2486,0.0504,0.1923,2.106E-11,1.6125,0.0242,0.5131,0.0000,0.0769,1.442E-5,18.3192,0.2124,0.1611,0.0966,0.1923,1.488E-19,23.3998,0.2702,0.1277,0.1261,0.3077,3.133E-18,21.3831,0.2476,0.1398,0.1092,0.2308,1.059E-20,14.7134,0.1735,0.1923,0.0714,0.1923,8.506E-16,21.1552,0.2435,0.1411,0.1092,0.1923,8.205E-23,3.6340,0.0487,0.3977,0.0126,0.0769,2.21E-8,13.3044,0.1595,0.2069,0.0714,0.1923,1.967E-14
Vaccinium_stamineum,238,1.5805,1.9542,500,0.9425,26,1.7384,0.9229,0.0228,10238,6.2035,0.7350,0.4166,0.5811,2.2130,8.8078,8.1529,1.9992,0.0772,2.9190,0.0000,0.1848,12.1713,5.3726,0.2742,1.4767,0.4197,0.7381,0.2703,1.6459,25.4933,1.2133,0.9674,0.0488,0.2986,0.7105,0.4867,2.5525,12.2722,0.7536,0.5441,7.7056,0.1059,1.0000,0.0174,0.5847,0.0000,0.0000,8.637E-6,5.0000,0.0674,0.3615,0.0168,0.0769,1.259E-9,10.0000,0.1241,0.2562,0.0378,0.0769,3.363E-15,2.0427,0.0311,0.4919,0.0000,0.0385,8.335E-7,18.6263,0.2206,0.1633,0.0966,0.0769,5.321E-26,22.9365,0.2710,0.1345,0.1345,0.1154,1.812E-29,20.6423,0.2433,0.1489,0.1050,0.0769,6.948E-29,24.1711,0.2834,0.1275,0.1429,0.1154,2.709E-31,21.5296,0.2551,0.1430,0.1218,0.0769,3.216E-30,4.8838,0.0656,0.3650,0.0126,0.0769,1.704E-9,12.9549,0.1556,0.2168,0.0756,0.0769,1.18E-18
