Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Verticillium_species,145,3.6597,4.0083,500,0.9924,17,3.2043,0.9379,0.0441,10145,7.6656,0.0617,0.7816,0.0936,5.2117,0.3944,3.4885,5.5901,3.0920,2.4056,0.0000,5.1832,1.5423,0.2884,0.0100,0.0637,0.2419,0.5183,5.5354,17.7790,8.7167,5.8133,6.4762,0.0000,5.1341,0.7756,7.7753,0.6642,1.1621,3.5163,0.0196,5.6389,0.0123,1.0000,0.0016,0.2584,0.0000,0.0588,5.069E-9,5.0000,0.0183,0.0513,0.0069,0.1176,5.458E-18,10.0000,0.1103,0.0189,0.0138,0.1176,1.878E-24,4.3513,0.0145,0.0622,0.0000,0.1176,9.728E-17,17.1964,0.6093,0.0128,0.0966,0.1176,5.475E-27,10.1019,0.1121,0.0187,0.0207,0.1176,1.606E-24,10.0570,0.1114,0.0187,0.0138,0.1176,1.606E-24,2.5319,0.0056,0.1177,0.0000,0.1176,1.24E-12,17.1964,0.6093,0.0128,0.0966,0.1176,5.475E-27,3.7463,0.0110,0.0752,0.0000,0.1176,1.637E-15,7.5697,0.0497,0.0277,0.0138,0.1176,5.591E-22
Verticillium_species,145,3.6608,4.0124,500,0.9920,17,2.6811,0.9160,0.0415,10145,6.7501,0.2122,3.8976,0.7797,3.9733,0.3531,1.6618,2.9812,0.0087,2.3814,0.0000,6.1210,3.3380,0.2559,0.0000,0.0195,0.0102,0.4804,4.3720,20.7892,9.4680,3.1052,8.3120,0.0000,4.6183,0.8004,9.9155,0.0793,1.9057,3.4010,0.0095,5.6120,0.0120,1.0000,0.0017,0.2400,0.0000,0.1765,6.699E-7,5.0000,0.0204,0.0444,0.0069,0.1765,6.837E-17,10.0000,0.1407,0.0174,0.0207,0.1765,1.568E-22,2.6066,0.0060,0.1035,0.0000,0.1765,8.116E-12,16.9126,0.6090,0.0130,0.0897,0.2353,6.945E-22,8.6300,0.0827,0.0207,0.0207,0.1765,1.701E-21,13.1998,0.3271,0.0141,0.0207,0.1765,7.988E-24,1.5049,0.0028,0.1764,0.0000,0.1765,1.124E-8,15.8905,0.4970,0.0131,0.0828,0.1765,2.903E-24,2.6066,0.0060,0.1035,0.0000,0.1765,8.116E-12,7.1023,0.0471,0.0269,0.0207,0.1765,6.578E-20
Verticillium_species,146,3.6416,3.9394,500,0.9909,16,3.2453,0.9879,0.0030,10146,9.3954,0.2164,0.2547,0.0717,4.6171,0.5235,1.7834,4.5007,3.1151,1.3275,0.1189,6.5625,1.0436,0.1395,0.0005,0.1148,0.0219,0.0402,6.9450,19.3495,8.9999,5.6681,8.5057,0.0000,4.8598,0.6834,7.2322,1.3958,0.2186,2.2851,0.0097,5.6227,0.0120,1.0000,0.0015,0.2784,0.0000,0.0000,1.305E-9,5.0000,0.0165,0.0518,0.0137,0.0000,2.723E-21,10.0000,0.1037,0.0177,0.0479,0.2500,1.656E-18,2.2616,0.0042,0.1427,0.0000,0.0000,2.962E-14,15.7864,0.6206,0.0132,0.0822,0.2500,4.881E-20,7.4792,0.0443,0.0274,0.0274,0.1875,2.543E-18,7.3320,0.0423,0.0283,0.0205,0.0625,9.252E-23,5.4992,0.0212,0.0445,0.0137,0.0625,8.284E-20,5.4933,0.0211,0.0445,0.0137,0.0000,2.407E-22,2.2616,0.0042,0.1427,0.0000,0.0000,2.962E-14,7.5130,0.0448,0.0272,0.0274,0.1875,2.317E-18
Verticillium_species,146,3.6019,3.9443,500,0.9910,16,4.1289,0.9918,0.0010,10146,11.5489,0.4627,0.3840,0.2443,3.7216,0.4305,2.8535,4.8278,0.0000,0.2475,0.0000,5.4281,8.1199,0.1181,0.0000,0.0520,0.1236,0.9439,4.2750,17.2995,7.6875,5.5984,7.0687,0.0000,4.3039,1.0593,8.4154,0.0471,1.3110,3.3724,0.0552,5.6797,0.0127,1.0000,0.0017,0.2685,0.0000,0.0000,7.288E-10,5.0000,0.0181,0.0565,0.0137,0.0000,1.071E-20,10.0000,0.0919,0.0206,0.0274,0.0000,1.051E-27,1.9872,0.0040,0.1610,0.0000,0.0000,2.048E-13,17.7787,0.5779,0.0129,0.0959,0.0000,5.965E-31,8.1699,0.0559,0.0274,0.0274,0.0000,1.009E-25,13.3135,0.2240,0.0152,0.0274,0.0000,7.936E-30,19.3479,0.6189,0.0127,0.1164,0.0000,4.664E-31,19.3479,0.6189,0.0127,0.1164,0.0000,4.664E-31,3.9612,0.0114,0.0772,0.0068,0.0000,1.583E-18,7.9015,0.0507,0.0288,0.0274,0.0000,2.215E-25
Verticillium_species,146,3.5884,3.9325,500,0.9905,16,4.1534,0.9938,0.0010,10146,10.3118,0.5465,0.2821,0.0104,2.0862,0.5064,3.9748,3.6510,0.1008,2.1378,0.0000,3.5256,3.0314,0.2114,0.0236,0.0512,0.4079,1.3191,4.7858,19.6360,9.0768,5.9752,8.7443,0.0000,6.0095,1.2700,8.0004,0.0250,1.7960,2.4945,0.0085,5.7171,0.0131,1.0000,0.0016,0.3006,0.0000,0.0000,4.447E-9,5.0000,0.0158,0.0651,0.0137,0.0000,1.028E-19,10.0000,0.0856,0.0224,0.0274,0.0000,3.942E-27,1.9026,0.0036,0.1899,0.0000,0.0000,2.867E-12,18.2619,0.5385,0.0129,0.0959,0.0000,5.965E-31,8.7259,0.0605,0.0274,0.0274,0.0000,1.009E-25,14.3124,0.2499,0.0147,0.0274,0.0000,4.68E-30,19.8929,0.6318,0.0127,0.1164,0.0000,4.664E-31,19.8929,0.6318,0.0127,0.1164,0.0000,4.664E-31,3.5508,0.0088,0.1019,0.0068,0.0000,1.354E-16,8.2367,0.0488,0.0300,0.0274,0.0000,4.219E-25
Verticillium_species,146,3.6054,3.9626,500,0.9913,16,3.1139,0.9717,0.0145,10146,6.7618,0.7866,0.6191,2.1397,10.0446,0.2700,1.5177,4.9479,0.0000,1.5709,0.0000,5.5910,4.3265,0.3982,0.0166,0.0913,0.0635,1.2108,4.2865,12.2302,8.9752,8.4612,8.7726,0.0000,5.4367,0.1245,7.3706,0.0434,1.7842,2.0705,0.0884,5.6927,0.0128,1.0000,0.0016,0.3036,0.0000,0.0000,5.201E-9,5.0000,0.0158,0.0614,0.0137,0.1875,8.284E-14,10.0000,0.0864,0.0205,0.0274,0.1875,5.972E-20,2.5179,0.0049,0.1453,0.0000,0.0625,3.746E-12,18.6287,0.6213,0.0130,0.0959,0.1875,1.652E-22,9.8135,0.0806,0.0212,0.0205,0.1875,9.166E-20,8.6342,0.0599,0.0257,0.0137,0.1875,1.125E-18,4.5793,0.0133,0.0698,0.0137,0.0625,6.773E-17,4.5793,0.0133,0.0698,0.0137,0.0625,6.773E-17,2.5179,0.0049,0.1453,0.0000,0.0625,3.746E-12,7.9670,0.0476,0.0292,0.0137,0.1875,5.72E-18
Verticillium_species,146,3.6265,3.9581,500,0.9913,16,3.4463,0.9506,0.0394,10146,7.2769,0.3195,0.6413,0.4906,1.9297,0.4360,3.0537,4.1122,2.9583,2.8475,0.0056,4.1467,5.6671,0.1523,0.0000,0.1359,0.0418,0.9511,4.5241,21.6150,8.0210,5.4176,6.5933,0.0000,5.0757,0.8982,7.6177,1.1255,0.6670,3.2713,0.0072,5.6470,0.0124,1.0000,0.0017,0.2595,0.0000,0.0625,1.974E-8,5.0000,0.0182,0.0509,0.0137,0.0625,6.001E-19,10.0000,0.1040,0.0193,0.0274,0.0625,3.059E-25,2.1070,0.0044,0.1444,0.0000,0.0625,3.421E-12,17.1850,0.6129,0.0130,0.0959,0.1250,4.661E-25,9.0024,0.0776,0.0221,0.0205,0.0625,2.261E-24,12.5407,0.1941,0.0151,0.0274,0.0625,7.48E-27,4.3405,0.0139,0.0625,0.0137,0.0625,1.303E-17,12.7458,0.2252,0.0149,0.0342,0.0625,6.141E-27,3.8508,0.0112,0.0732,0.0068,0.0625,1.392E-16,7.6051,0.0513,0.0279,0.0205,0.0625,7.499E-23
Verticillium_species,146,3.5895,3.9408,500,0.9911,16,4.1551,0.9941,0.0010,10146,8.5174,0.5606,0.6520,0.0399,2.5086,0.4855,2.9014,4.8412,1.4527,1.5046,0.0052,4.1028,5.9862,0.2397,0.0047,0.0138,0.0874,0.9919,4.7010,19.5313,8.0119,5.5762,9.0455,0.0000,5.6301,0.8775,7.6920,0.1090,1.7155,2.2078,0.0067,5.7006,0.0130,1.0000,0.0016,0.2869,0.0000,0.0000,2.108E-9,5.0000,0.0171,0.0590,0.0137,0.0000,2.178E-20,10.0000,0.0930,0.0214,0.0274,0.0000,1.917E-27,2.3950,0.0049,0.1442,0.0000,0.0000,3.493E-14,18.1720,0.5568,0.0130,0.0959,0.0000,6.737E-31,8.3610,0.0587,0.0274,0.0274,0.0000,1.009E-25,14.2045,0.2885,0.0148,0.0274,0.0000,5.209E-30,29.0618,0.6324,0.0110,0.1096,0.0000,4.862E-32,29.0618,0.6324,0.0110,0.1096,0.0000,4.862E-32,2.3950,0.0049,0.1442,0.0000,0.0000,3.493E-14,7.9505,0.0515,0.0295,0.0274,0.0000,3.236E-25
Verticillium_species,146,3.5826,3.9443,500,0.9909,16,4.1605,0.9939,0.0010,10146,6.3966,2.3296,3.1262,0.0167,1.3202,0.6341,3.1666,5.2290,0.2420,1.9398,0.0000,5.8156,2.3331,0.8800,0.0099,0.0769,0.2726,0.5531,4.8513,18.5938,8.2592,5.0751,7.3698,0.0000,5.4226,2.1611,8.4937,0.0896,1.3224,3.9762,0.0432,5.6982,0.0129,1.0000,0.0016,0.2999,0.0000,0.0000,4.287E-9,5.0000,0.0160,0.0627,0.0137,0.0000,5.683E-20,10.0000,0.0875,0.0215,0.0274,0.0000,2.063E-27,2.3560,0.0046,0.1548,0.0000,0.0000,1.092E-13,17.7629,0.5855,0.0130,0.0959,0.0000,6.737E-31,8.5004,0.0553,0.0274,0.0274,0.0000,1.009E-25,13.7397,0.2391,0.0149,0.0274,0.0000,5.793E-30,18.8332,0.6315,0.0128,0.1096,0.0000,5.277E-31,18.8332,0.6315,0.0128,0.1096,0.0000,5.277E-31,2.3560,0.0046,0.1548,0.0000,0.0000,1.092E-13,8.1245,0.0497,0.0294,0.0274,0.0000,3.067E-25
Verticillium_species,146,3.6531,3.9791,500,0.9917,16,3.2403,0.9346,0.0556,10146,7.9195,2.3370,0.0801,0.0278,6.4752,0.2555,4.3053,3.8610,1.7094,0.7820,0.0000,4.7859,1.7583,0.2229,0.0217,0.0927,0.0341,0.5753,6.4684,13.7706,10.6284,5.9650,6.4568,0.0000,6.0728,1.3351,7.5331,1.3918,0.5866,4.4468,0.1008,5.6451,0.0123,1.0000,0.0018,0.2483,0.0000,0.0625,1.031E-8,5.0000,0.0187,0.0518,0.0137,0.0625,7.995E-19,10.0000,0.1109,0.0188,0.0205,0.0625,2.077E-25,3.1098,0.0082,0.0943,0.0000,0.0625,6.07E-15,17.4450,0.6095,0.0130,0.0959,0.1250,4.661E-25,9.3603,0.0884,0.0205,0.0205,0.0625,7.451E-25,10.2064,0.1184,0.0183,0.0205,0.0625,1.396E-25,4.3675,0.0144,0.0625,0.0137,0.0625,1.303E-17,10.2064,0.1184,0.0183,0.0205,0.0625,1.396E-25,3.1098,0.0082,0.0943,0.0000,0.0625,6.07E-15,7.5983,0.0467,0.0278,0.0205,0.0625,7.112E-23
