Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Viola_hastata,209,1.3327,1.8619,500,0.9274,24,0.9042,0.8498,0.0302,10208,3.0848,3.4144,0.3785,0.5542,3.9937,27.0037,13.6982,0.3274,2.9746,0.9208,0.0000,1.8524,7.8009,4.6210,1.2636,0.5054,0.9472,1.9248,0.8902,1.4159,10.1022,0.9991,2.7602,1.1926,0.6546,0.9752,1.5298,2.8456,1.0554,0.3087,0.0050,7.9363,0.1344,1.0000,0.0238,0.7138,0.0000,0.0000,3.056E-4,5.0000,0.0714,0.4809,0.0383,0.0417,6.297E-7,10.0000,0.1203,0.3487,0.0526,0.0833,1.056E-8,2.1180,0.0391,0.6188,0.0000,0.0000,9.947E-6,17.7943,0.1932,0.2312,0.0957,0.2917,9.552E-7,27.0897,0.2828,0.1478,0.1483,0.4167,1.063E-6,35.8034,0.3738,0.0979,0.1770,0.4583,6.63E-8,13.9487,0.1568,0.2810,0.0766,0.2917,1.708E-5,10.9313,0.1287,0.3308,0.0574,0.0833,3.48E-9,2.1180,0.0391,0.6188,0.0000,0.0000,9.947E-6,14.4288,0.1610,0.2740,0.0813,0.2917,1.186E-5
Viola_hastata,209,1.3121,1.8658,500,0.9316,24,1.1076,0.8621,0.0419,10208,2.2440,3.7922,0.7124,0.4868,2.6464,27.1200,13.2561,0.6059,1.0154,0.4103,0.0000,2.1971,6.7628,4.4922,2.5035,0.8671,1.3560,1.5213,0.9014,1.2766,9.5667,0.9686,4.8100,1.7804,1.0358,0.5358,1.4904,3.9723,0.9243,0.7482,0.0000,7.9554,0.1373,1.0000,0.0254,0.7143,0.0000,0.0417,3.303E-3,5.0000,0.0742,0.4893,0.0191,0.1250,9.328E-5,10.0000,0.1204,0.3575,0.0431,0.1250,2.405E-7,1.0371,0.0258,0.7104,0.0000,0.0417,2.945E-3,18.9431,0.2023,0.2233,0.0957,0.1667,3.869E-10,30.4153,0.3145,0.1292,0.1292,0.2500,6.203E-12,31.5056,0.3260,0.1226,0.1340,0.2500,2.532E-12,20.3498,0.2146,0.2084,0.1053,0.2083,1.614E-9,39.2743,0.4160,0.0854,0.2201,0.2500,4.76E-15,3.8384,0.0620,0.5339,0.0096,0.0833,6.684E-5,14.5459,0.1610,0.2793,0.0670,0.1667,2.577E-8
Viola_hastata,210,1.2985,1.8176,500,0.9311,23,1.2477,0.8503,0.0456,10209,1.9537,4.2535,1.4832,0.7819,3.2898,26.1358,13.4202,0.2160,1.1119,1.2431,0.0000,2.6344,6.8329,3.4428,3.5552,1.0864,0.6571,0.0000,1.1972,1.8056,9.1875,1.0461,3.0463,3.5181,0.4812,0.6940,1.3310,3.5279,1.2498,0.7955,0.0220,7.9715,0.1388,1.0000,0.0254,0.7046,0.0000,0.0435,3.384E-3,5.0000,0.0750,0.4766,0.0190,0.1304,1.061E-4,10.0000,0.1240,0.3470,0.0429,0.1739,3.321E-6,1.1044,0.0271,0.6937,0.0000,0.0435,2.48E-3,21.7804,0.2416,0.1904,0.1000,0.2609,1.752E-8,28.0660,0.3030,0.1428,0.1429,0.2609,1.812E-10,38.7683,0.4171,0.0878,0.1905,0.3043,1.663E-12,19.0032,0.2122,0.2174,0.0810,0.2174,1.248E-8,32.0336,0.3441,0.1192,0.1714,0.2609,9.782E-12,6.4852,0.0909,0.4302,0.0190,0.1304,1.724E-5,13.6700,0.1608,0.2838,0.0762,0.2174,1.005E-6
Viola_hastata,209,1.2978,1.8463,500,0.9302,24,1.4213,0.8665,0.0491,10208,4.3421,2.3857,2.3453,0.1340,3.4110,26.5518,11.3153,0.1990,1.2355,2.2805,0.0000,2.0663,6.1134,3.5692,2.0193,0.7975,1.0848,0.8074,0.7238,1.4788,10.8434,1.1363,4.5224,2.0148,0.7799,0.6235,1.5065,3.1500,1.4815,1.0809,0.0000,7.9693,0.1390,1.0000,0.0248,0.7142,0.0000,0.0833,1.702E-2,5.0000,0.0751,0.4837,0.0239,0.1250,7.551E-5,10.0000,0.1245,0.3533,0.0622,0.1250,1.909E-7,1.7240,0.0356,0.6476,0.0000,0.0833,2.838E-3,21.7469,0.2349,0.1942,0.0957,0.2083,4.585E-10,27.6572,0.2933,0.1474,0.1483,0.2083,3.194E-12,34.8523,0.3717,0.1064,0.1579,0.2500,2.17E-13,20.2725,0.2218,0.2084,0.0861,0.2083,1.614E-9,47.4874,0.4979,0.0598,0.2488,0.2500,8.959E-18,3.1008,0.0533,0.5632,0.0096,0.0833,1.925E-4,14.1272,0.1611,0.2831,0.0718,0.1667,3.315E-8
Viola_hastata,210,1.3908,1.9167,500,0.9311,23,0.3679,0.7904,0.0451,10210,4.5822,2.4833,0.3995,0.3915,3.0187,26.5504,13.9119,0.4218,1.2895,0.3783,0.0000,2.9242,6.4906,4.0880,1.9450,0.8563,0.5518,1.4850,0.6077,1.9425,10.5288,1.5316,3.6469,1.9664,1.2698,0.7255,1.6988,3.0229,1.0487,0.2425,0.0000,7.8917,0.1281,1.0000,0.0226,0.7020,0.0048,0.0435,3.142E-3,5.0000,0.0691,0.4682,0.0286,0.1739,4.646E-4,10.0000,0.1161,0.3371,0.0476,0.2174,1.565E-5,0.9830,0.0224,0.7038,0.0000,0.0435,3.312E-3,16.2429,0.1740,0.2392,0.1000,0.3043,4.747E-6,26.5384,0.2789,0.1428,0.1429,0.4348,2.848E-6,28.6839,0.2996,0.1289,0.1429,0.4783,7.101E-6,12.9489,0.1441,0.2851,0.0667,0.3043,5.301E-5,12.4865,0.1394,0.2924,0.0571,0.2174,1.626E-6,4.3467,0.0623,0.4926,0.0190,0.1304,1.882E-4,14.5265,0.1581,0.2619,0.0762,0.3043,1.67E-5
Viola_hastata,210,1.3151,1.8301,500,0.9280,23,1.1393,0.8751,0.0354,10209,3.0505,5.8389,0.1785,0.0336,2.6640,26.7200,12.7425,0.2254,0.0042,2.5334,0.0000,1.9381,8.0209,4.9714,2.2458,0.5679,0.5105,0.8445,1.0835,1.0716,10.3751,1.0505,3.2498,1.9846,0.8596,0.4654,1.3514,4.1990,0.7603,0.4491,0.0100,7.9521,0.1369,1.0000,0.0248,0.7044,0.0000,0.0000,3.159E-4,5.0000,0.0756,0.4791,0.0238,0.0870,1.451E-5,10.0000,0.1240,0.3510,0.0381,0.1739,4.021E-6,1.3825,0.0307,0.6673,0.0000,0.0000,9.093E-5,16.8227,0.1862,0.2464,0.1000,0.1739,8.458E-9,26.9745,0.2830,0.1524,0.1524,0.1739,1.423E-12,30.3436,0.3153,0.1303,0.1571,0.2174,2.036E-12,24.1213,0.2573,0.1739,0.1429,0.1739,1.577E-11,30.0191,0.3125,0.1323,0.1571,0.1739,1.061E-13,2.2291,0.0423,0.6046,0.0048,0.0435,1.508E-4,14.3824,0.1648,0.2783,0.0810,0.1739,7.244E-8
Viola_hastata,210,1.3384,1.8563,500,0.9272,23,0.4241,0.7603,0.0568,10209,3.4835,0.8795,0.4404,1.2834,3.0123,27.6931,12.4751,0.1161,1.1473,1.0739,0.0545,1.7726,11.3105,4.7051,4.5473,0.8726,0.4273,1.3061,0.4633,0.9909,8.5230,0.9801,2.2527,1.4273,0.6457,1.3296,1.4211,3.2724,1.6037,0.4054,0.0841,7.9064,0.1303,1.0000,0.0233,0.7002,0.0000,0.0435,2.986E-3,5.0000,0.0704,0.4703,0.0333,0.2609,8.278E-3,10.0000,0.1181,0.3403,0.0667,0.3043,5.406E-4,1.9851,0.0367,0.6147,0.0000,0.1739,2.64E-2,19.0419,0.2030,0.2102,0.1000,0.3043,7.649E-7,26.8065,0.2798,0.1445,0.1429,0.4348,3.257E-6,39.1581,0.4086,0.0806,0.2000,0.4783,4.36E-8,11.9727,0.1363,0.3043,0.0714,0.3043,1.267E-4,19.0419,0.2030,0.2102,0.1000,0.3043,7.649E-7,1.9851,0.0367,0.6147,0.0000,0.1739,2.64E-2,14.4792,0.1592,0.2658,0.0905,0.3043,2.05E-5
Viola_hastata,210,1.3396,1.8654,500,0.9314,23,0.7759,0.8088,0.0485,10209,4.3824,1.6928,0.0940,1.0457,2.9027,24.9632,15.3776,0.3428,1.3235,2.9829,0.0077,2.2588,5.9259,4.4893,2.5265,0.4395,0.7029,1.0406,1.0882,1.5682,11.0191,1.0901,2.4064,3.1148,0.6224,0.6119,1.4803,3.2644,1.0570,0.1786,0.0000,7.9307,0.1334,1.0000,0.0240,0.7009,0.0000,0.0435,3.045E-3,5.0000,0.0736,0.4729,0.0190,0.1304,9.249E-5,10.0000,0.1209,0.3437,0.0524,0.2609,1.264E-4,2.5343,0.0451,0.5808,0.0000,0.1304,3.044E-3,16.8439,0.1825,0.2382,0.1000,0.3043,4.489E-6,28.1304,0.2935,0.1381,0.1381,0.3478,2.057E-8,30.9901,0.3293,0.1209,0.1429,0.3913,3.965E-8,12.1715,0.1408,0.3043,0.0667,0.3043,1.267E-4,24.1025,0.2547,0.1671,0.1286,0.3043,2.744E-8,2.5343,0.0451,0.5808,0.0000,0.1304,3.044E-3,14.2456,0.1607,0.2724,0.0810,0.3043,2.86E-5
Viola_hastata,210,1.3203,1.8756,500,0.9344,23,1.0065,0.8224,0.0490,10209,2.6250,2.2441,2.4633,0.3590,2.4928,26.5000,12.9404,0.1693,1.1328,1.7006,0.0015,2.9663,7.3418,5.0322,1.4549,0.6881,0.7195,0.4586,1.0956,1.0032,10.5814,0.9459,3.6299,3.4565,0.5109,1.2342,0.2376,3.8781,1.8900,0.2161,0.0305,7.9342,0.1341,1.0000,0.0239,0.7026,0.0000,0.0870,1.672E-2,5.0000,0.0730,0.4735,0.0190,0.1304,9.453E-5,10.0000,0.1193,0.3439,0.0429,0.2174,2.137E-5,1.6884,0.0343,0.6390,0.0000,0.0870,3.189E-3,23.6350,0.2554,0.1711,0.1000,0.3478,3.841E-7,28.8752,0.3074,0.1345,0.1333,0.3478,1.424E-8,27.7439,0.2970,0.1416,0.1095,0.3478,2.913E-8,15.2044,0.1693,0.2591,0.0857,0.2609,2.012E-6,29.8694,0.3172,0.1285,0.1524,0.3478,7.579E-9,5.4224,0.0775,0.4593,0.0190,0.1304,5.527E-5,14.1744,0.1595,0.2734,0.0667,0.2174,5.49E-7
Viola_hastata,210,1.2676,1.8111,500,0.9285,23,1.7228,0.9240,0.0280,10209,3.9259,3.3260,0.8201,0.6630,2.0645,26.1853,11.3984,0.3490,0.7350,2.3879,0.0000,2.4624,8.7271,4.5570,2.1779,0.7368,0.6882,1.0435,1.1444,1.1257,9.7983,1.1197,3.7189,2.4032,0.4332,1.2388,1.5807,3.5044,1.0111,0.5552,0.1185,7.9961,0.1429,1.0000,0.0263,0.7121,0.0000,0.0000,4.061E-4,5.0000,0.0794,0.4898,0.0238,0.0435,1.849E-6,10.0000,0.1273,0.3613,0.0476,0.0870,5.654E-8,1.3748,0.0323,0.6760,0.0000,0.0000,1.226E-4,20.4322,0.2228,0.2135,0.1000,0.0870,1.331E-12,29.3365,0.3112,0.1413,0.1429,0.1304,1.163E-14,30.4912,0.3230,0.1340,0.1429,0.1304,4.097E-15,31.0917,0.3281,0.1305,0.1476,0.1304,2.431E-15,28.6103,0.3026,0.1460,0.1381,0.0870,5.335E-16,3.7634,0.0646,0.5362,0.0143,0.0435,1.243E-5,14.1068,0.1642,0.2908,0.0810,0.0870,7.194E-10
