Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Viola_palmata,36,2.3415,3.2009,500,0.9780,5,1.4978,0.9249,0.0409,10036,3.3898,6.3263,0.1279,0.1279,6.9091,8.1873,7.5712,0.0000,0.1414,1.2993,0.0000,5.5128,14.6298,3.4633,0.3798,0.7066,0.0086,0.0339,0.0000,15.0761,11.1854,5.9321,0.2411,0.0000,0.0000,5.7368,0.4168,0.4220,1.7521,0.4225,0.0000,6.8999,0.0486,1.0000,0.0083,0.4449,0.0000,0.0000,1.743E-2,5.0000,0.0377,0.2432,0.0278,0.2000,1.409E-2,10.0000,0.0785,0.1591,0.0278,0.2000,2.798E-3,4.2257,0.0317,0.2645,0.0000,0.0000,1.296E-3,27.5104,0.2413,0.0563,0.0833,0.4000,1.637E-3,25.7889,0.2254,0.0618,0.0556,0.4000,2.145E-3,22.3165,0.1922,0.0750,0.0278,0.4000,3.763E-3,7.0995,0.0545,0.2000,0.0278,0.2000,6.717E-3,4.8573,0.0367,0.2469,0.0278,0.0000,9.177E-4,4.2257,0.0317,0.2645,0.0000,0.0000,1.296E-3,17.4499,0.1458,0.0988,0.0278,0.2000,4.395E-4
Viola_palmata,36,2.4032,3.2705,500,0.9794,5,0.6354,0.8337,0.1086,10035,3.1755,0.8137,2.7332,0.0400,3.9118,8.4652,8.6799,0.0189,3.1914,0.3255,0.0242,2.6622,16.1344,4.7117,0.0171,1.1602,0.1244,0.1891,0.0000,1.1590,29.3274,5.3179,0.5613,0.0000,0.0789,2.7466,1.9151,0.2124,1.8821,0.4209,0.0000,6.8476,0.0460,1.0000,0.0079,0.4252,0.0000,0.2000,1.079E-1,5.0000,0.0373,0.2300,0.0278,0.2000,1.142E-2,10.0000,0.0794,0.1496,0.0278,0.2000,2.203E-3,4.4986,0.0339,0.2427,0.0000,0.2000,1.397E-2,26.3654,0.2316,0.0559,0.0833,0.4000,1.604E-3,19.9522,0.1695,0.0800,0.0833,0.4000,4.529E-3,14.9849,0.1235,0.1072,0.0278,0.4000,1.043E-2,6.4278,0.0485,0.2000,0.0278,0.2000,6.72E-3,10.1174,0.0803,0.1483,0.0278,0.2000,2.13E-3,4.4986,0.0339,0.2427,0.0000,0.2000,1.397E-2,17.2230,0.1447,0.0938,0.0556,0.4000,7.129E-3
Viola_palmata,38,2.4439,3.3028,500,0.9802,3,-0.2554,0.7858,0.1269,10037,4.7941,1.6593,0.9945,0.1082,6.0549,9.9004,12.1639,0.0094,0.0000,2.1635,0.0000,3.0574,14.6096,3.3903,0.1812,0.9014,0.0090,0.0967,0.1255,1.1065,25.2116,5.6767,0.4087,0.0000,0.0955,4.2855,0.5406,0.5017,1.5683,0.3855,0.0000,6.7905,0.0432,1.0000,0.0074,0.4269,0.0000,0.3333,3.912E-1,5.0000,0.0348,0.2268,0.0263,0.3333,1.309E-1,10.0000,0.0747,0.1453,0.0263,0.3333,5.717E-2,4.3327,0.0300,0.2444,0.0000,0.3333,1.5E-1,29.5928,0.2635,0.0433,0.0789,0.6667,1.245E-1,26.1967,0.2305,0.0526,0.0526,0.6667,1.497E-1,27.3777,0.2415,0.0492,0.0526,0.6667,1.405E-1,2.1379,0.0148,0.3334,0.0000,0.3333,2.593E-1,15.7324,0.1230,0.0976,0.0263,0.3333,2.674E-2,4.3327,0.0300,0.2444,0.0000,0.3333,1.5E-1,17.2746,0.1390,0.0886,0.0526,0.6667,2.429E-1
Viola_palmata,37,2.2571,3.0692,500,0.9743,4,2.3166,0.8940,0.0894,10036,4.7027,2.1043,1.1117,1.0149,7.8309,9.5102,9.4102,0.3329,1.7975,0.3205,0.0171,2.9078,14.7102,3.2045,0.3236,1.2870,0.0000,0.0211,0.2664,5.4317,24.8296,5.6710,0.0000,0.1192,0.1257,0.6385,0.3518,0.5470,1.0240,0.3880,0.0000,6.9767,0.0527,1.0000,0.0090,0.4534,0.0000,0.0000,4.225E-2,5.0000,0.0404,0.2509,0.0270,0.2500,5.129E-2,10.0000,0.0841,0.1655,0.0270,0.2500,1.588E-2,1.5650,0.0133,0.3988,0.0000,0.2500,1.778E-1,29.1368,0.2680,0.0559,0.0811,0.2500,6.694E-4,27.7813,0.2561,0.0599,0.0541,0.2500,8.204E-4,24.2735,0.2174,0.0719,0.0270,0.2500,1.409E-3,5.0361,0.0407,0.2500,0.0270,0.2500,5.078E-2,72.3421,0.7747,0.0038,0.5676,0.2500,2.165E-7,1.5650,0.0133,0.3988,0.0000,0.2500,1.778E-1,17.0783,0.1492,0.1067,0.0270,0.2500,4.472E-3
Viola_palmata,37,2.4792,3.3971,500,0.9872,4,-0.0881,0.7605,0.1296,10036,4.3104,2.2385,0.7964,0.9531,8.1177,8.7809,9.5599,0.3318,0.0000,1.2365,0.0170,3.4012,12.9994,2.7889,0.0702,1.0713,0.0049,0.0235,0.5866,5.9114,25.3232,6.3507,0.3571,0.0000,0.1094,1.6542,1.2365,0.3217,0.9452,0.5023,0.0000,6.7790,0.0429,1.0000,0.0085,0.3730,0.0000,0.2500,1.495E-1,5.0000,0.0404,0.2055,0.0000,0.5000,1.892E-1,10.0000,0.0840,0.1360,0.0000,0.5000,9.189E-2,15.4234,0.1326,0.0954,0.0000,0.5000,4.787E-2,31.6482,0.2925,0.0389,0.0811,0.5000,8.598E-3,25.5972,0.2303,0.0540,0.0541,0.5000,1.627E-2,25.0243,0.2242,0.0557,0.0270,0.5000,1.726E-2,1.8036,0.0148,0.3119,0.0000,0.2500,9.296E-2,58.2351,0.6213,0.0084,0.3784,0.5000,4.157E-4,4.1672,0.0339,0.2245,0.0000,0.5000,2.195E-1,16.8694,0.1450,0.0876,0.0270,0.5000,4.083E-2
Viola_palmata,37,2.3322,3.2063,500,0.9778,4,1.6352,0.8934,0.0580,10036,2.2728,4.9415,2.2089,0.4332,6.6960,8.1940,14.4140,0.0000,0.0000,1.5885,0.3416,2.2258,11.9248,4.9922,0.5174,1.3146,0.0000,0.3422,0.4405,9.3085,17.2814,6.2776,0.4497,0.0000,0.1557,1.2629,0.7681,0.3524,0.7239,0.5285,0.0433,6.9003,0.0484,1.0000,0.0081,0.4477,0.0000,0.0000,4.017E-2,5.0000,0.0376,0.2451,0.0000,0.2500,4.808E-2,10.0000,0.0782,0.1592,0.0270,0.2500,1.422E-2,6.6438,0.0494,0.2091,0.0000,0.2500,3.085E-2,21.8755,0.1856,0.0756,0.0811,0.5000,3.096E-2,21.6705,0.1824,0.0766,0.0811,0.5000,3.173E-2,21.6480,0.1824,0.0766,0.0541,0.5000,3.173E-2,4.8135,0.0362,0.2500,0.0000,0.2500,5.078E-2,3.6654,0.0274,0.2849,0.0000,0.0000,6.586E-3,5.0930,0.0380,0.2428,0.0000,0.2500,4.684E-2,17.3166,0.1429,0.0988,0.0541,0.5000,5.118E-2
Viola_palmata,37,2.3076,3.1476,500,0.9791,4,1.1451,0.9154,0.0358,10036,0.7875,2.4027,1.8628,0.8621,8.7235,9.6192,10.8521,0.6846,0.6791,0.6056,0.0000,2.4321,15.8583,5.4528,0.0967,0.3694,0.1132,0.1942,0.3185,0.9780,26.5726,4.3894,0.1988,0.0000,0.1408,2.6269,0.4299,0.1429,2.3787,0.2276,0.0000,6.9306,0.0498,1.0000,0.0085,0.4266,0.0000,0.0000,3.311E-2,5.0000,0.0411,0.2308,0.0270,0.0000,2.836E-3,10.0000,0.0859,0.1520,0.0270,0.2500,1.243E-2,3.6153,0.0291,0.2705,0.0000,0.0000,5.356E-3,32.0681,0.3111,0.0436,0.0811,0.5000,1.077E-2,28.0284,0.2626,0.0540,0.0541,0.5000,1.627E-2,24.8742,0.2318,0.0638,0.0270,0.5000,2.237E-2,6.8386,0.0576,0.1944,0.0270,0.2500,2.51E-2,6.8326,0.0575,0.1944,0.0270,0.0000,1.428E-3,3.6153,0.0291,0.2705,0.0000,0.0000,5.356E-3,16.3449,0.1468,0.1019,0.0270,0.2500,3.913E-3
Viola_palmata,37,2.3551,3.2567,500,0.9776,4,1.2969,0.9178,0.0438,10036,2.5258,1.8396,0.8692,1.8463,6.8056,7.4125,12.3212,0.0000,0.0198,1.1989,0.0824,2.4412,18.5842,4.6703,0.0452,1.0529,0.0690,0.0882,0.0645,15.2282,12.3189,5.3318,0.2348,0.0944,0.0430,2.4916,0.6256,0.1118,1.1608,0.4224,0.0000,6.8779,0.0474,1.0000,0.0085,0.4350,0.0000,0.0000,3.582E-2,5.0000,0.0370,0.2434,0.0270,0.0000,3.511E-3,10.0000,0.0761,0.1594,0.0270,0.2500,1.427E-2,3.4887,0.0265,0.2884,0.0000,0.0000,6.914E-3,21.1069,0.1722,0.0787,0.0811,0.2500,1.836E-3,20.9787,0.1712,0.0793,0.0811,0.2500,1.877E-3,19.4425,0.1546,0.0870,0.0270,0.2500,2.461E-3,5.5457,0.0410,0.2305,0.0270,0.2500,4.05E-2,5.5447,0.0409,0.2305,0.0270,0.0000,2.821E-3,3.4887,0.0265,0.2884,0.0000,0.0000,6.914E-3,17.7172,0.1403,0.0967,0.0270,0.2500,3.35E-3
Viola_palmata,37,2.3752,3.2435,500,0.9802,4,1.1166,0.8799,0.0580,10036,5.5051,1.5241,1.4342,1.5835,7.7109,9.3086,11.4633,0.6731,0.3858,1.3399,0.0285,1.9735,13.8544,4.7622,0.1681,0.8660,0.1553,0.1588,0.0899,8.6048,17.4184,5.2628,0.0890,1.6610,0.2173,1.4464,0.3215,0.5148,1.1985,0.2802,0.0000,6.8635,0.0468,1.0000,0.0082,0.4440,0.0000,0.0000,3.886E-2,5.0000,0.0355,0.2444,0.0000,0.2500,4.77E-2,10.0000,0.0736,0.1591,0.0270,0.5000,1.216E-1,5.6848,0.0412,0.2280,0.0000,0.2500,3.929E-2,30.2561,0.2666,0.0472,0.0811,0.5000,1.256E-2,22.1057,0.1848,0.0741,0.0811,0.5000,2.981E-2,22.0820,0.1847,0.0741,0.0541,0.5000,2.981E-2,4.7931,0.0340,0.2500,0.0000,0.2500,5.078E-2,4.1273,0.0295,0.2693,0.0000,0.0000,5.262E-3,5.1563,0.0367,0.2405,0.0000,0.2500,4.562E-2,17.7862,0.1441,0.0953,0.0541,0.5000,4.778E-2
Viola_palmata,37,2.2209,3.0733,500,0.9774,4,2.8596,0.9732,0.0197,10036,3.8864,1.2140,0.1488,2.3886,9.0500,10.9683,13.0536,0.0000,0.0519,0.9707,0.0997,2.9787,12.5984,3.3260,0.3312,1.2478,0.0693,0.3059,0.0000,14.5509,12.9376,5.6922,0.2197,0.0000,0.2231,1.1019,0.3161,0.4903,1.3916,0.3731,0.0142,7.0040,0.0542,1.0000,0.0097,0.4468,0.0000,0.0000,3.985E-2,5.0000,0.0426,0.2536,0.0000,0.0000,4.135E-3,10.0000,0.0841,0.1693,0.0270,0.0000,8.214E-4,5.9115,0.0501,0.2331,0.0000,0.0000,2.95E-3,29.6566,0.2758,0.0562,0.0811,0.2500,6.8E-4,22.6654,0.2027,0.0811,0.0811,0.2500,2.004E-3,21.0148,0.1877,0.0885,0.0270,0.2500,2.587E-3,19.7112,0.1753,0.0950,0.0270,0.0000,8.131E-5,19.7112,0.1753,0.0950,0.0270,0.0000,8.131E-5,4.9423,0.0420,0.2551,0.0000,0.0000,4.234E-3,17.1298,0.1517,0.1096,0.0270,0.0000,1.443E-4
