Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Vitis_rotundifolia,84,2.6285,3.2495,500,0.9814,10,2.0478,0.9447,0.0242,10084,2.0608,3.2968,2.1451,0.3726,0.3518,8.1983,3.0891,1.8219,2.2718,1.3153,0.0000,0.8322,14.7721,0.8151,0.3678,1.9542,0.2311,0.0555,0.0948,25.5060,27.2806,0.7911,0.5512,0.0162,0.0078,0.2882,0.1332,0.1865,0.2951,0.8733,0.0245,6.6400,0.0364,1.0000,0.0067,0.3643,0.0000,0.0000,4.122E-5,5.0000,0.0359,0.1879,0.0238,0.1000,2.428E-6,10.0000,0.0782,0.1220,0.0357,0.2000,1.753E-6,2.9343,0.0200,0.2435,0.0000,0.1000,2.346E-5,24.4870,0.2027,0.0486,0.0952,0.3000,6.738E-8,20.9843,0.1731,0.0602,0.0714,0.3000,2.922E-7,18.9611,0.1547,0.0680,0.0357,0.2000,1.822E-8,9.2987,0.0714,0.1286,0.0357,0.1000,8.518E-8,9.2987,0.0714,0.1286,0.0357,0.1000,8.518E-8,2.9343,0.0200,0.2435,0.0000,0.1000,2.346E-5,17.1774,0.1401,0.0759,0.0357,0.2000,4.294E-8
Vitis_rotundifolia,84,2.7570,3.3738,500,0.9824,10,1.4241,0.9060,0.0411,10084,3.5463,0.3405,0.3636,0.8781,0.4803,5.9573,3.0602,1.2711,0.0000,3.1849,0.0339,1.0123,14.1931,2.4245,0.1917,1.8048,0.1704,0.3925,0.0487,27.4591,28.7190,0.7365,1.6167,0.0386,0.1095,0.2463,0.0668,0.1780,0.9830,0.3863,0.1062,6.5070,0.0314,1.0000,0.0057,0.3414,0.0119,0.1000,4.368E-4,5.0000,0.0339,0.1706,0.0119,0.2000,2.321E-5,10.0000,0.0728,0.1080,0.0357,0.3000,1.527E-5,0.5231,0.0028,0.4195,0.0000,0.0000,1.687E-4,26.9219,0.2361,0.0344,0.0952,0.4000,3.093E-7,18.4460,0.1459,0.0595,0.0595,0.4000,7.561E-6,21.6705,0.1749,0.0482,0.0595,0.4000,2.224E-6,3.6904,0.0241,0.2000,0.0119,0.2000,7.798E-5,2.9544,0.0191,0.2222,0.0119,0.1000,1.058E-5,3.9123,0.0258,0.1943,0.0119,0.2000,6.252E-5,16.7909,0.1302,0.0663,0.0476,0.4000,1.417E-5
Vitis_rotundifolia,84,2.6339,3.2249,500,0.9808,10,2.5153,0.9671,0.0123,10084,2.8135,1.2394,3.8102,0.0187,0.3289,7.7198,1.5981,3.0478,1.3879,1.3924,0.0000,0.8941,13.5637,3.0736,0.2586,1.2614,0.3990,0.3052,0.0574,25.8631,26.8968,0.4882,0.9729,0.1149,0.0153,0.2230,0.4886,0.1109,1.3509,0.3059,0.0000,6.5984,0.0345,1.0000,0.0061,0.3730,0.0000,0.0000,5.208E-5,5.0000,0.0332,0.1928,0.0000,0.0000,7.09E-8,10.0000,0.0706,0.1216,0.0357,0.0000,7.056E-10,5.0841,0.0340,0.1911,0.0000,0.0000,6.494E-8,20.3777,0.1554,0.0588,0.0833,0.2000,5.781E-9,17.9213,0.1362,0.0694,0.0714,0.2000,2.136E-8,16.8243,0.1266,0.0746,0.0476,0.2000,3.753E-8,12.6120,0.0915,0.1000,0.0357,0.1000,9.068E-9,11.3679,0.0820,0.1094,0.0357,0.0000,2.451E-10,4.2554,0.0283,0.2099,0.0000,0.0000,1.663E-7,17.2264,0.1312,0.0727,0.0595,0.2000,3.069E-8
Vitis_rotundifolia,84,2.6197,3.2399,500,0.9814,10,2.4903,0.9690,0.0179,10084,3.1885,1.4766,0.0143,1.3696,0.1214,8.3503,1.5804,2.3055,2.1525,2.0989,0.0000,0.1594,13.9851,1.6777,0.1979,2.4468,0.0435,0.1826,0.1744,23.7342,31.1702,0.5301,1.0522,0.0086,0.0369,0.1751,0.2441,0.1594,0.5581,0.8057,0.0000,6.6581,0.0371,1.0000,0.0069,0.3686,0.0000,0.0000,4.63E-5,5.0000,0.0356,0.1942,0.0238,0.1000,3.237E-6,10.0000,0.0758,0.1243,0.0357,0.1000,6.271E-8,3.0311,0.0216,0.2465,0.0000,0.0000,8.292E-7,27.9074,0.2402,0.0409,0.0952,0.1000,3.056E-12,21.5272,0.1789,0.0595,0.0595,0.1000,8.846E-11,20.6528,0.1709,0.0627,0.0476,0.1000,1.408E-10,13.0817,0.1041,0.1000,0.0357,0.1000,9.068E-9,32.1655,0.2880,0.0316,0.1548,0.1000,3.082E-13,3.0311,0.0216,0.2465,0.0000,0.0000,8.292E-7,17.1588,0.1414,0.0773,0.0476,0.1000,9.117E-10
Vitis_rotundifolia,84,2.6582,3.2962,500,0.9832,10,2.3319,0.9555,0.0233,10084,2.0072,0.1238,1.4348,0.0488,0.4901,8.6293,2.8887,0.6839,2.8598,3.8232,0.0209,1.6384,12.0919,1.5146,0.2614,1.8716,0.3167,0.1311,0.0625,39.3785,16.1957,0.3050,1.0073,0.0000,0.0303,0.1652,0.1101,0.1186,1.3713,0.3753,0.0437,6.6189,0.0354,1.0000,0.0062,0.3758,0.0000,0.0000,5.624E-5,5.0000,0.0333,0.1894,0.0238,0.1000,2.603E-6,10.0000,0.0732,0.1196,0.0238,0.2000,1.504E-6,2.9840,0.0190,0.2465,0.0000,0.0000,8.292E-7,26.9048,0.2346,0.0392,0.0952,0.2000,2.324E-10,21.3118,0.1749,0.0555,0.0595,0.2000,3.679E-9,19.3316,0.1569,0.0628,0.0357,0.2000,9.672E-9,9.8107,0.0722,0.1214,0.0238,0.1000,5.094E-8,9.8107,0.0722,0.1214,0.0238,0.1000,5.094E-8,2.9840,0.0190,0.2465,0.0000,0.0000,8.292E-7,16.7518,0.1292,0.0743,0.0357,0.2000,3.637E-8
Vitis_rotundifolia,86,2.7444,3.3825,500,0.9817,8,0.7981,0.8777,0.0507,10086,2.8138,0.9880,2.1810,0.4277,0.5842,6.8631,2.6024,2.1511,2.5665,0.8747,0.0000,1.3295,12.8612,1.6187,0.2269,1.7546,0.6667,0.2173,0.0349,28.1995,27.5260,0.5534,0.8833,0.0217,0.0204,0.1809,0.1129,0.1693,1.2839,0.2388,0.0477,6.5275,0.0321,1.0000,0.0053,0.3590,0.0116,0.1250,4.218E-3,5.0000,0.0330,0.1767,0.0116,0.1250,3.635E-5,10.0000,0.0715,0.1116,0.0349,0.3750,7.252E-4,0.4394,0.0023,0.4679,0.0000,0.0000,2.296E-3,22.1746,0.1792,0.0486,0.0930,0.6250,5.339E-3,19.4378,0.1509,0.0581,0.0581,0.6250,8.802E-3,17.0266,0.1323,0.0679,0.0349,0.6250,1.353E-2,5.4007,0.0357,0.1689,0.0116,0.1250,2.678E-5,5.4007,0.0357,0.1689,0.0116,0.1250,2.678E-5,4.0516,0.0264,0.1977,0.0116,0.1250,7.81E-5,17.0938,0.1331,0.0677,0.0465,0.6250,1.343E-2
Vitis_rotundifolia,85,2.6843,3.3058,500,0.9820,9,2.4848,0.9389,0.0232,10085,1.2681,0.1371,1.2504,1.9795,0.8251,7.7740,1.3337,1.7972,1.7000,2.4746,0.0000,1.1153,13.8254,1.8966,0.1882,1.6069,0.1056,0.0408,0.0620,26.4873,30.0475,0.4285,1.0244,0.3695,0.0510,0.2388,0.1415,0.3132,1.2640,0.2289,0.0248,6.5789,0.0338,1.0000,0.0055,0.3778,0.0000,0.0000,1.568E-4,5.0000,0.0327,0.1871,0.0235,0.1111,1.127E-5,10.0000,0.0716,0.1180,0.0471,0.2222,9.222E-6,3.7068,0.0232,0.2198,0.0000,0.0000,1.199E-6,25.5540,0.2151,0.0407,0.0941,0.4444,1.219E-5,19.9497,0.1534,0.0588,0.0588,0.4444,7.247E-5,21.2003,0.1652,0.0540,0.0588,0.4444,4.832E-5,7.2919,0.0498,0.1484,0.0353,0.1111,1.841E-6,4.6062,0.0293,0.1959,0.0235,0.0000,4.256E-7,3.7068,0.0232,0.2198,0.0000,0.0000,1.199E-6,17.0954,0.1278,0.0713,0.0588,0.4444,1.818E-4
Vitis_rotundifolia,85,2.6603,3.2469,500,0.9809,9,2.3240,0.9489,0.0224,10085,0.8274,0.8162,1.1437,2.6682,0.3877,8.0080,0.9182,1.1653,3.4066,1.1516,0.0463,1.0005,13.8101,1.9523,0.3610,1.9138,0.3483,0.3774,0.0856,22.6926,34.5215,0.1266,0.6009,0.0133,0.0168,0.1089,0.1075,0.2595,1.0121,0.1479,0.0040,6.5919,0.0343,1.0000,0.0060,0.3707,0.0000,0.0000,1.323E-4,5.0000,0.0323,0.1850,0.0235,0.1111,1.033E-5,10.0000,0.0717,0.1150,0.0353,0.2222,7.758E-6,2.7954,0.0176,0.2496,0.0000,0.0000,3.757E-6,25.6896,0.2229,0.0405,0.0941,0.3333,3.313E-7,18.5504,0.1487,0.0634,0.0588,0.3333,4.598E-6,17.0162,0.1347,0.0702,0.0471,0.2222,2.665E-7,6.9735,0.0471,0.1500,0.0353,0.1111,2.002E-6,4.7061,0.0301,0.1917,0.0235,0.0000,3.491E-7,2.7954,0.0176,0.2496,0.0000,0.0000,3.757E-6,16.5724,0.1316,0.0723,0.0471,0.2222,3.258E-7
Vitis_rotundifolia,85,2.6629,3.3041,500,0.9830,9,2.6727,0.9587,0.0190,10085,0.8941,2.1438,0.4342,0.4543,0.3587,7.0307,2.3922,4.0355,3.3143,2.9038,0.0000,1.2130,12.5201,1.7585,0.3161,2.2448,0.1856,0.3659,0.1115,25.9041,27.6516,0.6147,1.0047,0.0000,0.0000,0.1719,0.1120,0.2947,1.3027,0.2027,0.0639,6.6015,0.0347,1.0000,0.0062,0.3728,0.0000,0.0000,1.392E-4,5.0000,0.0342,0.1899,0.0235,0.0000,3.209E-7,10.0000,0.0710,0.1202,0.0353,0.1111,3.498E-7,3.9129,0.0260,0.2160,0.0000,0.0000,1.022E-6,27.4438,0.2279,0.0380,0.0941,0.3333,2.282E-7,21.6634,0.1726,0.0551,0.0588,0.2222,5.049E-8,21.6350,0.1723,0.0551,0.0471,0.2222,5.049E-8,11.0132,0.0812,0.1112,0.0353,0.1111,1.89E-7,5.5863,0.0384,0.1785,0.0235,0.0000,1.838E-7,3.9129,0.0260,0.2160,0.0000,0.0000,1.022E-6,17.2216,0.1362,0.0730,0.0471,0.2222,3.479E-7
Vitis_rotundifolia,85,2.6554,3.2433,500,0.9812,9,2.5114,0.9697,0.0142,10085,0.4496,0.0724,4.2663,0.0502,0.9073,7.3657,2.1017,2.1259,2.4944,2.6131,0.0220,0.7237,14.5810,1.5896,0.8869,1.7428,0.2426,0.0395,0.0140,24.9359,30.0467,0.2737,0.5608,0.0675,0.0225,0.1572,0.1906,0.0506,1.1695,0.2076,0.0287,6.6264,0.0359,1.0000,0.0064,0.3538,0.0000,0.0000,8.684E-5,5.0000,0.0372,0.1830,0.0235,0.0000,2.307E-7,10.0000,0.0770,0.1182,0.0235,0.1111,3.068E-7,2.5621,0.0182,0.2498,0.0000,0.0000,3.784E-6,23.9273,0.2079,0.0487,0.0941,0.2222,2.14E-8,17.8556,0.1491,0.0701,0.0588,0.2222,2.64E-7,14.4313,0.1186,0.0870,0.0353,0.1111,2.716E-8,10.8260,0.0835,0.1112,0.0353,0.1111,1.89E-7,8.3021,0.0632,0.1351,0.0235,0.0000,1.495E-8,2.5621,0.0182,0.2498,0.0000,0.0000,3.784E-6,16.8171,0.1398,0.0748,0.0588,0.1111,8.202E-9
