Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Vitis_vulpina,34,2.9363,3.9110,500,0.9937,4,3.2600,0.9896,0.0053,10033,7.0309,3.3282,3.2702,0.1142,2.7417,16.2813,9.2484,0.9961,0.0471,0.3889,0.5680,0.8450,6.7969,7.0294,0.0000,1.2308,0.0953,0.9552,1.2274,31.9274,0.3024,3.2955,0.2256,0.0000,0.0449,0.1219,0.2949,0.2807,1.0104,0.2968,0.0045,6.3017,0.0258,1.0000,0.0054,0.3116,0.0000,0.0000,9.424E-3,5.0000,0.0276,0.1472,0.0000,0.0000,4.697E-4,10.0000,0.0642,0.0865,0.0000,0.0000,5.602E-5,15.2079,0.1146,0.0562,0.0000,0.0000,9.986E-6,34.6904,0.3739,0.0171,0.0882,0.2500,1.989E-5,25.0279,0.2342,0.0294,0.0294,0.0000,7.474E-7,31.8087,0.3345,0.0200,0.0294,0.2500,3.168E-5,25.6961,0.2435,0.0282,0.0294,0.0000,6.33E-7,25.6961,0.2435,0.0282,0.0294,0.0000,6.33E-7,3.9362,0.0213,0.1704,0.0000,0.0000,8.438E-4,15.6730,0.1197,0.0543,0.0294,0.0000,8.707E-6
Vitis_vulpina,34,3.0594,4.0061,500,0.9942,4,0.8912,0.8872,0.0739,10032,6.1032,2.7177,6.3251,0.0420,1.4456,11.9504,6.7605,1.9905,1.0327,0.8401,0.3193,0.8242,6.9519,5.5749,0.0000,1.0169,0.1320,0.9217,2.3268,24.6511,8.1459,3.9788,0.0911,0.1966,0.2435,0.0496,1.6539,0.4366,2.8167,0.2260,0.2349,6.1995,0.0234,1.0000,0.0046,0.3149,0.0000,0.2500,9.54E-2,5.0000,0.0249,0.1443,0.0000,0.2500,1.073E-2,10.0000,0.0578,0.0824,0.0000,0.2500,2.102E-3,14.7107,0.1030,0.0553,0.0000,0.5000,1.704E-2,38.5493,0.3944,0.0130,0.0882,0.7500,5.084E-2,24.4130,0.2237,0.0294,0.0294,0.5000,4.987E-3,34.5274,0.3381,0.0163,0.0294,0.7500,6.38E-2,1.8056,0.0078,0.2500,0.0000,0.2500,5.078E-2,14.1013,0.0967,0.0581,0.0000,0.2500,7.508E-4,3.9991,0.0192,0.1664,0.0000,0.2500,1.612E-2,16.3235,0.1197,0.0490,0.0294,0.5000,1.351E-2
Vitis_vulpina,34,3.0082,4.0384,500,0.9952,4,2.5329,0.9582,0.0239,10032,4.9222,2.8670,3.2308,3.1374,3.2836,16.7880,9.7546,2.6430,0.1562,0.6213,0.5203,1.1000,6.2599,6.0448,0.0000,0.5344,0.0594,0.7611,2.2939,28.5314,0.0000,2.1453,0.1072,0.0000,0.2211,0.1358,0.7657,0.6095,1.9173,0.5764,0.0124,6.2550,0.0247,1.0000,0.0052,0.3082,0.0000,0.0000,9.024E-3,5.0000,0.0266,0.1455,0.0000,0.0000,4.486E-4,10.0000,0.0617,0.0856,0.0000,0.2500,2.35E-3,21.0650,0.1745,0.0362,0.0000,0.5000,7.482E-3,40.7593,0.4475,0.0119,0.0882,0.5000,8.31E-4,24.3221,0.2223,0.0294,0.0294,0.5000,4.987E-3,21.0650,0.1745,0.0362,0.0000,0.5000,7.482E-3,6.7525,0.0385,0.1182,0.0000,0.0000,1.953E-4,6.7525,0.0385,0.1182,0.0000,0.0000,1.953E-4,3.9314,0.0203,0.1691,0.0000,0.0000,8.169E-4,16.0139,0.1166,0.0518,0.0000,0.2500,5.354E-4
Vitis_vulpina,34,2.9667,3.9543,500,0.9942,4,3.3937,0.9924,0.0024,10032,4.5058,2.2307,1.5524,5.5051,4.2902,15.1566,6.8677,1.5539,0.0850,0.6215,0.3314,0.6115,5.2400,9.1651,0.0000,2.1998,0.0217,0.8605,1.0755,29.7560,0.2015,2.7839,1.1756,0.3907,0.1134,0.0983,0.3796,0.7454,1.8345,0.5831,0.0635,6.2750,0.0252,1.0000,0.0054,0.3014,0.0000,0.0000,8.256E-3,5.0000,0.0279,0.1440,0.0000,0.0000,4.304E-4,10.0000,0.0639,0.0843,0.0000,0.0000,5.057E-5,19.6084,0.1694,0.0402,0.0000,0.0000,2.604E-6,36.9738,0.3986,0.0149,0.0882,0.0000,4.866E-8,24.6721,0.2301,0.0294,0.0294,0.0000,7.477E-7,19.6084,0.1694,0.0402,0.0000,0.0000,2.604E-6,37.2283,0.4039,0.0148,0.1176,0.0000,4.737E-8,37.2283,0.4039,0.0148,0.1176,0.0000,4.737E-8,3.7579,0.0207,0.1707,0.0000,0.0000,8.481E-4,15.6592,0.1196,0.0529,0.0000,0.0000,7.849E-6
Vitis_vulpina,34,2.9820,3.9847,500,0.9930,4,3.0667,0.9791,0.0121,10032,6.7260,5.8781,0.7137,0.5364,1.7009,14.5549,6.2464,2.0543,0.0036,0.0000,0.0735,1.2060,7.9469,8.7134,0.0000,1.9446,0.1389,0.8373,1.3385,33.1723,0.1371,2.8026,0.4205,0.0919,0.0517,0.0789,0.0000,0.6344,1.5658,0.4195,0.0119,6.2655,0.0249,1.0000,0.0053,0.2968,0.0000,0.0000,7.755E-3,5.0000,0.0280,0.1391,0.0000,0.0000,3.739E-4,10.0000,0.0659,0.0821,0.0000,0.0000,4.552E-5,13.5221,0.0991,0.0609,0.0000,0.0000,1.376E-5,36.2050,0.3883,0.0155,0.0882,0.5000,1.403E-3,14.8082,0.1117,0.0553,0.0588,0.2500,6.492E-4,13.5221,0.0991,0.0609,0.0000,0.0000,1.376E-5,13.5221,0.0991,0.0609,0.0000,0.0000,1.376E-5,13.5221,0.0991,0.0609,0.0000,0.0000,1.376E-5,3.7264,0.0205,0.1662,0.0000,0.0000,7.624E-4,15.5325,0.1205,0.0524,0.0588,0.2500,5.539E-4
Vitis_vulpina,34,3.0234,4.0571,500,0.9939,4,1.9304,0.9356,0.0402,10032,8.2307,1.7546,0.1773,1.0608,3.5185,14.5173,9.3494,0.7340,0.0812,2.5367,0.3213,0.4071,8.7002,6.6497,0.2595,1.4409,0.0000,0.9299,0.4528,31.5850,0.1873,2.9921,0.1191,0.1524,0.2210,0.0242,0.8726,1.2684,1.2311,0.1806,0.0440,6.2362,0.0241,1.0000,0.0051,0.2897,0.0000,0.0000,7.041E-3,5.0000,0.0271,0.1316,0.0000,0.2500,8.213E-3,10.0000,0.0675,0.0759,0.0000,0.2500,1.647E-3,10.4261,0.0734,0.0731,0.0000,0.2500,1.475E-3,35.6629,0.3847,0.0153,0.0882,0.5000,1.367E-3,23.5552,0.2342,0.0294,0.0294,0.5000,4.987E-3,31.3328,0.3261,0.0193,0.0294,0.5000,2.186E-3,2.3837,0.0120,0.2014,0.0000,0.2500,2.772E-2,2.3829,0.0120,0.2014,0.0000,0.0000,1.644E-3,3.6988,0.0199,0.1592,0.0000,0.2500,1.421E-2,14.9157,0.1191,0.0508,0.0294,0.2500,5.055E-4
Vitis_vulpina,34,3.0014,3.9807,500,0.9933,4,2.2147,0.9741,0.0108,10033,7.9073,1.7790,2.2682,0.6283,1.9308,17.2196,9.0856,1.2747,0.0206,0.5687,0.1877,0.9883,5.3585,8.5530,0.0000,1.8175,0.0935,0.7331,1.4580,31.8102,0.2456,2.2762,0.1792,0.0331,0.0295,0.1280,0.4612,0.8143,1.8846,0.2657,0.0000,6.2311,0.0240,1.0000,0.0051,0.3172,0.0000,0.0000,1.012E-2,5.0000,0.0246,0.1499,0.0000,0.0000,5.05E-4,10.0000,0.0583,0.0852,0.0000,0.0000,5.274E-5,12.5825,0.0787,0.0672,0.0000,0.0000,2.037E-5,33.9971,0.3405,0.0164,0.0882,0.5000,1.587E-3,23.0206,0.1962,0.0316,0.0294,0.2500,1.232E-4,23.0206,0.1962,0.0316,0.0294,0.2500,1.232E-4,13.7390,0.0932,0.0609,0.0294,0.0000,1.375E-5,13.7390,0.0932,0.0609,0.0294,0.0000,1.375E-5,4.1385,0.0198,0.1692,0.0000,0.0000,8.204E-4,16.1712,0.1198,0.0506,0.0294,0.2500,4.995E-4
Vitis_vulpina,34,3.0632,4.0686,500,0.9939,4,2.1610,0.9615,0.0158,10032,7.5898,5.7535,0.9625,0.2592,3.1673,15.8872,9.3417,1.3361,0.0011,0.3078,0.2893,0.6958,5.2842,4.8900,0.0000,1.7094,0.1265,0.3206,1.4295,32.0252,0.1096,4.1385,0.4000,0.0870,0.7150,0.7925,0.0529,0.0953,1.9268,0.1948,0.1107,6.1809,0.0229,1.0000,0.0051,0.2742,0.0000,0.0000,5.655E-3,5.0000,0.0280,0.1269,0.0000,0.0000,2.593E-4,10.0000,0.0647,0.0732,0.0000,0.2500,1.481E-3,12.8071,0.0959,0.0572,0.0000,0.5000,1.818E-2,35.3711,0.3761,0.0151,0.0882,0.5000,1.332E-3,23.0090,0.2310,0.0294,0.0294,0.5000,4.987E-3,12.8071,0.0959,0.0572,0.0000,0.5000,1.818E-2,9.5262,0.0613,0.0766,0.0000,0.0000,3.435E-5,9.5262,0.0613,0.0766,0.0000,0.0000,3.435E-5,3.5532,0.0189,0.1565,0.0000,0.0000,5.999E-4,15.1431,0.1214,0.0481,0.0294,0.5000,1.303E-2
Vitis_vulpina,35,3.1679,4.1508,500,0.9948,3,-0.0645,0.8812,0.0567,10033,13.9786,0.2708,1.6922,0.1132,1.8664,16.2059,6.5404,1.5963,0.0011,0.0045,0.0154,0.9219,6.9302,6.4922,0.0000,1.5199,0.0000,1.9290,1.2560,24.7034,6.3001,3.7840,0.1933,0.0239,0.0000,0.0800,0.1229,1.3455,1.6886,0.3757,0.0484,6.0764,0.0205,1.0000,0.0044,0.2743,0.0000,0.0000,2.064E-2,5.0000,0.0255,0.1224,0.0000,0.3333,4.128E-2,10.0000,0.0617,0.0698,0.0000,0.3333,1.392E-2,12.7074,0.0862,0.0550,0.0000,0.3333,8.748E-3,36.6578,0.3960,0.0119,0.0857,1.0000,1E0,21.9710,0.1920,0.0286,0.0286,1.0000,1E0,32.2165,0.3290,0.0152,0.0286,1.0000,1E0,1.1874,0.0052,0.2574,0.0000,0.3333,1.646E-1,1.1874,0.0052,0.2574,0.0000,0.0000,1.704E-2,3.5836,0.0171,0.1511,0.0000,0.3333,6.16E-2,15.8036,0.1226,0.0434,0.0286,1.0000,1E0
Vitis_vulpina,35,3.0442,4.0081,500,0.9939,3,0.8756,0.9049,0.0622,10033,6.6406,1.8035,4.9551,1.7154,2.1662,17.3483,8.1823,2.2336,0.0242,0.7575,0.4187,0.2225,6.6411,5.6590,0.0473,2.0289,0.1885,0.3585,0.7526,29.3195,0.4674,3.5678,0.1823,0.1603,0.5162,0.0898,0.3669,0.5490,2.2969,0.3402,0.0000,6.2289,0.0240,1.0000,0.0053,0.2942,0.0000,0.0000,2.547E-2,5.0000,0.0281,0.1382,0.0000,0.3333,5.205E-2,10.0000,0.0632,0.0811,0.0000,0.3333,1.868E-2,13.5252,0.0960,0.0604,0.0000,0.3333,1.05E-2,33.8371,0.3443,0.0170,0.0857,1.0000,1E0,24.8495,0.2300,0.0286,0.0286,0.3333,2.408E-3,28.5094,0.2781,0.0230,0.0286,0.3333,1.566E-3,1.6240,0.0082,0.2473,0.0000,0.3333,1.532E-1,1.6234,0.0082,0.2473,0.0000,0.0000,1.512E-2,3.7445,0.0198,0.1644,0.0000,0.3333,7.216E-2,15.9224,0.1241,0.0505,0.0286,0.3333,7.403E-3
