Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Xanthocaecilius_sommermanae,117,4.0008,4.3314,500,0.9942,14,4.2223,0.9935,0.0012,10117,7.3038,0.5334,4.0035,2.9679,4.0316,2.4556,0.4131,0.0874,0.0194,0.2826,3.7510,0.1385,14.1722,0.0014,20.9972,4.2473,0.6511,0.0086,0.0000,0.0002,0.6258,12.5178,0.0268,0.1901,2.1658,2.0356,11.7417,0.5151,0.0831,3.9982,0.0342,5.2374,0.0085,1.0000,0.0021,0.1095,0.0000,0.0000,3.571E-14,5.0000,0.0352,0.0199,0.0000,0.0000,1.493E-24,10.0000,0.3405,0.0116,0.0085,0.0000,7.654E-28,8.5615,0.2138,0.0122,0.0000,0.0000,1.542E-27,15.3607,0.5758,0.0106,0.0855,0.2857,1.686E-17,10.3533,0.3678,0.0115,0.0085,0.0000,6.787E-28,8.5615,0.2138,0.0122,0.0000,0.0000,1.542E-27,10.3533,0.3678,0.0115,0.0085,0.0000,6.787E-28,10.3533,0.3678,0.0115,0.0085,0.0000,6.787E-28,2.2073,0.0074,0.0528,0.0000,0.0000,1.303E-18,5.2789,0.0404,0.0186,0.0000,0.0000,5.854E-25
Xanthocaecilius_sommermanae,118,3.9689,4.3098,500,0.9942,13,4.3688,0.9957,0.0009,10118,4.0564,8.0280,0.5030,0.4885,4.8344,2.7850,0.7091,0.0000,0.0015,6.5848,2.3628,0.2043,14.2473,0.0020,12.0378,4.9087,0.9189,0.1206,0.0200,0.0119,0.0017,14.7281,0.0000,0.1404,2.6430,1.7593,9.5776,1.0036,0.0685,7.2528,0.0000,5.2834,0.0088,1.0000,0.0020,0.1214,0.0000,0.0000,1.24E-12,5.0000,0.0330,0.0225,0.0000,0.0000,3.863E-22,10.0000,0.3431,0.0120,0.0085,0.0000,1.023E-25,8.6560,0.1642,0.0127,0.0000,0.0000,2.352E-25,16.7788,0.5669,0.0106,0.0932,0.0769,2.519E-23,11.3806,0.4364,0.0116,0.0085,0.0000,6.61E-26,8.6560,0.1642,0.0127,0.0000,0.0000,2.352E-25,14.4466,0.5228,0.0110,0.0593,0.0000,3.334E-26,14.4466,0.5228,0.0110,0.0593,0.0000,3.334E-26,2.3245,0.0077,0.0558,0.0000,0.0000,5.133E-17,5.6100,0.0433,0.0195,0.0000,0.0000,5.779E-23
Xanthocaecilius_sommermanae,118,3.9925,4.3262,500,0.9942,13,4.3037,0.9931,0.0011,10118,3.2086,1.6426,3.8884,2.4649,4.1156,3.2159,0.4516,0.0000,0.0401,5.0380,0.1326,0.2861,19.5736,0.0062,15.9076,3.1603,0.5765,0.1733,0.0000,0.0049,0.0019,12.6057,0.0159,0.2352,1.3296,0.8097,13.9372,0.6833,0.0813,6.3975,0.0158,5.2397,0.0085,1.0000,0.0023,0.1008,0.0000,0.0000,1.111E-13,5.0000,0.0392,0.0195,0.0000,0.0000,5.779E-23,10.0000,0.4407,0.0116,0.0085,0.0000,6.61E-26,8.5111,0.1892,0.0124,0.0000,0.0000,1.562E-25,16.9221,0.5524,0.0104,0.0678,0.2308,4.027E-18,10.3183,0.4407,0.0116,0.0085,0.0000,6.61E-26,8.5111,0.1892,0.0124,0.0000,0.0000,1.562E-25,10.3183,0.4407,0.0116,0.0085,0.0000,6.61E-26,10.3183,0.4407,0.0116,0.0085,0.0000,6.61E-26,2.1241,0.0073,0.0518,0.0000,0.0000,1.928E-17,5.2287,0.0456,0.0186,0.0000,0.0000,3.146E-23
Xanthocaecilius_sommermanae,118,3.9821,4.3238,500,0.9942,13,4.3781,0.9953,0.0010,10118,6.1500,2.9596,3.8135,0.9084,4.3500,2.2281,0.5424,0.0000,0.0000,3.6158,3.2716,0.2056,14.4742,0.0031,13.8578,3.9933,0.6537,0.0914,0.8316,0.0000,0.0026,14.9764,0.0000,0.2334,2.5342,1.4443,10.0682,0.7229,0.0837,7.9566,0.0278,5.2585,0.0087,1.0000,0.0023,0.1061,0.0000,0.0000,2.172E-13,5.0000,0.0369,0.0206,0.0000,0.0000,1.171E-22,10.0000,0.3266,0.0118,0.0085,0.0000,8.239E-26,8.8245,0.2061,0.0124,0.0000,0.0000,1.562E-25,14.0352,0.5418,0.0110,0.0593,0.0000,3.334E-26,10.7267,0.4404,0.0115,0.0085,0.0000,5.912E-26,8.8245,0.2061,0.0124,0.0000,0.0000,1.562E-25,17.1841,0.5694,0.0105,0.1017,0.0000,1.831E-26,17.1841,0.5694,0.0105,0.1017,0.0000,1.831E-26,2.1525,0.0075,0.0543,0.0000,0.0000,3.534E-17,5.3690,0.0484,0.0190,0.0000,0.0000,4.137E-23
Xanthocaecilius_sommermanae,118,3.9875,4.3195,500,0.9942,13,4.2981,0.9945,0.0010,10118,2.6158,5.9333,3.4886,0.3179,3.8380,1.6627,0.7667,0.0000,0.0961,2.7000,3.2915,0.2922,16.5633,0.0114,17.3528,3.0724,1.1386,0.6872,0.0000,0.0098,0.0179,15.7479,0.0227,0.2425,2.9447,1.7043,11.5246,0.7128,0.0892,3.1139,0.0409,5.2434,0.0086,1.0000,0.0022,0.1014,0.0000,0.0000,1.199E-13,5.0000,0.0391,0.0193,0.0000,0.0000,5.061E-23,10.0000,0.3324,0.0117,0.0085,0.0000,7.383E-26,8.2883,0.1981,0.0127,0.0000,0.0000,2.126E-25,18.4751,0.5758,0.0102,0.0932,0.0769,1.595E-23,10.1962,0.3324,0.0116,0.0085,0.0000,6.61E-26,8.2883,0.1981,0.0127,0.0000,0.0000,2.126E-25,10.1962,0.3324,0.0116,0.0085,0.0000,6.61E-26,10.1962,0.3324,0.0116,0.0085,0.0000,6.61E-26,2.0753,0.0074,0.0525,0.0000,0.0000,2.291E-17,5.1571,0.0433,0.0187,0.0000,0.0000,3.371E-23
Xanthocaecilius_sommermanae,118,4.0279,4.3320,500,0.9942,13,3.5542,0.9534,0.0399,10118,5.6320,4.9253,0.9782,0.2762,4.1609,1.3528,0.4256,0.0000,0.0000,4.8460,0.1890,0.3664,18.3156,0.0079,14.7414,3.9281,0.2200,0.0000,0.0000,0.0167,0.0000,15.4378,0.0000,0.1951,1.6746,2.3919,13.9878,0.5135,0.0316,5.3688,0.0167,5.2271,0.0084,1.0000,0.0024,0.0951,0.0000,0.0769,6.472E-12,5.0000,0.0431,0.0183,0.0000,0.0769,1.784E-20,10.0000,0.4260,0.0117,0.0000,0.0769,8.141E-23,10.0058,0.4260,0.0116,0.0000,0.0769,7.352E-23,15.6638,0.5618,0.0107,0.0847,0.1538,1.567E-20,10.9873,0.4775,0.0114,0.0085,0.0769,5.979E-23,10.0058,0.4260,0.0116,0.0000,0.0769,7.352E-23,1.2850,0.0035,0.0769,0.0000,0.0769,5.159E-13,13.1742,0.5279,0.0111,0.0508,0.0769,4.355E-23,2.0242,0.0072,0.0503,0.0000,0.0769,3.257E-15,4.9830,0.0430,0.0184,0.0000,0.0769,1.903E-20
Xanthocaecilius_sommermanae,118,3.9883,4.3234,500,0.9942,13,4.3564,0.9936,0.0011,10118,7.6681,3.5015,1.4558,0.4816,4.1655,3.4064,0.7235,0.0000,0.0064,4.2466,4.7705,0.1946,12.2713,0.0032,11.6456,2.3062,0.5912,0.5141,0.0000,0.0428,0.0082,15.5500,0.0000,0.1900,3.1304,1.1151,13.9213,0.0286,0.0833,7.9490,0.0294,5.2503,0.0086,1.0000,0.0022,0.1042,0.0000,0.0000,1.701E-13,5.0000,0.0377,0.0201,0.0000,0.0000,8.535E-23,10.0000,0.3454,0.0117,0.0085,0.0000,7.383E-26,8.7886,0.2004,0.0123,0.0000,0.0000,1.407E-25,16.3634,0.5546,0.0105,0.0593,0.0000,1.831E-26,10.5829,0.4463,0.0116,0.0085,0.0000,6.61E-26,8.7886,0.2004,0.0123,0.0000,0.0000,1.407E-25,16.3634,0.5546,0.0105,0.0593,0.0000,1.831E-26,16.3634,0.5546,0.0105,0.0593,0.0000,1.831E-26,2.1278,0.0074,0.0527,0.0000,0.0000,2.406E-17,5.3048,0.0453,0.0188,0.0000,0.0000,3.61E-23
Xanthocaecilius_sommermanae,118,3.9783,4.3166,500,0.9942,13,4.2934,0.9926,0.0011,10118,5.5685,6.9987,2.3530,0.7422,3.2553,2.8176,0.6383,0.0000,0.0000,0.7946,3.5727,0.1867,17.6227,0.0031,15.8432,2.1268,0.7614,0.1894,0.0000,0.0084,0.0074,12.9330,0.0000,0.3116,2.4806,1.6727,13.8530,1.1286,0.1003,4.0053,0.0250,5.2719,0.0087,1.0000,0.0020,0.1198,0.0000,0.0000,1.045E-12,5.0000,0.0341,0.0218,0.0000,0.0000,2.576E-22,10.0000,0.3421,0.0118,0.0085,0.0000,8.239E-26,8.7343,0.1871,0.0125,0.0000,0.0000,1.732E-25,16.7351,0.5747,0.0106,0.0932,0.0769,2.519E-23,11.3402,0.4408,0.0114,0.0085,0.0000,5.283E-26,8.7343,0.1871,0.0125,0.0000,0.0000,1.732E-25,11.3402,0.4408,0.0114,0.0085,0.0000,5.283E-26,11.3402,0.4408,0.0114,0.0085,0.0000,5.283E-26,2.3350,0.0076,0.0543,0.0000,0.0000,3.534E-17,5.5911,0.0439,0.0192,0.0000,0.0000,4.734E-23
Xanthocaecilius_sommermanae,118,3.9847,4.3266,500,0.9942,13,3.8545,0.9874,0.0057,10118,4.1372,7.3335,3.3034,2.1619,1.2675,4.3385,0.6826,0.0752,0.0187,5.3492,5.7910,0.2374,20.7428,0.0000,9.1967,2.2642,0.6002,0.4110,0.0000,0.0000,0.3182,14.4995,0.0000,0.1991,0.0282,1.1115,11.5174,0.3506,0.1153,3.8828,0.0665,5.2507,0.0086,1.0000,0.0020,0.1109,0.0000,0.0000,3.834E-13,5.0000,0.0421,0.0202,0.0000,0.0769,5.757E-20,10.0000,0.4690,0.0116,0.0085,0.0769,7.352E-23,8.8934,0.1922,0.0123,0.0000,0.0769,1.475E-22,18.1332,0.5732,0.0102,0.0932,0.2308,3.324E-18,11.3500,0.4690,0.0113,0.0085,0.0769,5.384E-23,8.8934,0.1922,0.0123,0.0000,0.0769,1.475E-22,1.5060,0.0038,0.0769,0.0000,0.0769,5.159E-13,1.4015,0.0034,0.0822,0.0000,0.0000,7.859E-15,2.2207,0.0075,0.0518,0.0000,0.0769,4.608E-15,5.3563,0.0483,0.0188,0.0000,0.0769,2.456E-20
Xanthocaecilius_sommermanae,118,3.9788,4.3179,500,0.9942,13,4.3838,0.9956,0.0008,10118,5.1134,3.6932,4.1748,3.8380,5.9682,2.1154,0.7218,0.0000,0.0000,1.2666,0.1223,0.1653,15.0474,0.0118,15.1487,4.9580,0.6545,0.5508,0.0000,0.0175,0.0134,12.6585,0.0025,0.2833,1.7580,1.5093,9.1526,0.7602,0.0824,10.1960,0.0160,5.2636,0.0087,1.0000,0.0023,0.1042,0.0000,0.0000,1.701E-13,5.0000,0.0376,0.0207,0.0000,0.0000,1.246E-22,10.0000,0.3187,0.0119,0.0085,0.0000,9.186E-26,8.8939,0.2053,0.0125,0.0000,0.0000,1.732E-25,14.3058,0.5551,0.0110,0.0593,0.0000,3.334E-26,11.0535,0.4374,0.0116,0.0085,0.0000,6.61E-26,8.8939,0.2053,0.0125,0.0000,0.0000,1.732E-25,19.6960,0.5755,0.0101,0.1017,0.0000,1.111E-26,19.6960,0.5755,0.0101,0.1017,0.0000,1.111E-26,2.1182,0.0076,0.0536,0.0000,0.0000,2.991E-17,5.3732,0.0455,0.0191,0.0000,0.0000,4.426E-23
