Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Xanthorhoe_ferrugata,43,4.5817,5.0861,500,0.9977,5,5.0894,0.9980,0.0007,10043,2.6625,0.3795,5.5353,3.1028,2.5354,59.7501,12.0095,0.6041,0.0000,0.1464,0.0848,0.4231,1.1009,0.2278,1.0397,0.0001,0.0000,0.6513,0.0390,0.1898,0.0000,0.0000,0.8776,0.1038,0.4136,0.2885,0.9778,5.0710,0.1835,1.6022,0.0000,4.6607,0.0045,1.0000,0.0010,0.1578,0.0000,0.0000,9.791E-5,5.0000,0.0110,0.0318,0.0000,0.0000,3.233E-8,10.0000,0.0515,0.0098,0.0000,0.0000,8.847E-11,11.2594,0.0871,0.0079,0.0000,0.0000,3.012E-11,20.8754,0.4450,0.0040,0.0930,0.2000,1.254E-9,11.2594,0.0871,0.0079,0.0000,0.0000,3.012E-11,11.2594,0.0871,0.0079,0.0000,0.0000,3.012E-11,18.3465,0.3006,0.0043,0.0698,0.0000,1.439E-12,18.3465,0.3006,0.0043,0.0698,0.0000,1.439E-12,2.8162,0.0042,0.0653,0.0000,0.0000,1.189E-6,9.6713,0.0498,0.0105,0.0000,0.0000,1.249E-10
Xanthorhoe_ferrugata,43,4.5585,5.0936,500,0.9977,5,5.4260,0.9987,0.0004,10043,1.0085,0.9767,0.6854,2.3340,2.4121,67.5104,7.1089,3.1728,0.0000,2.3531,0.2719,0.6208,1.8572,0.2500,0.9343,0.1550,0.0000,0.3002,0.0344,0.8403,0.0000,0.0000,0.8222,0.1061,0.6934,1.2228,0.1492,2.6689,0.0459,1.4654,0.0000,4.6791,0.0046,1.0000,0.0011,0.1577,0.0000,0.0000,9.76E-5,5.0000,0.0108,0.0327,0.0000,0.0000,3.716E-8,10.0000,0.0540,0.0099,0.0000,0.0000,9.308E-11,10.9345,0.0798,0.0084,0.0000,0.0000,4.093E-11,20.2351,0.4731,0.0042,0.0698,0.0000,1.279E-12,10.9345,0.0798,0.0084,0.0000,0.0000,4.093E-11,10.9345,0.0798,0.0084,0.0000,0.0000,4.093E-11,35.6444,0.6698,0.0029,0.3023,0.0000,2.008E-13,35.6444,0.6698,0.0029,0.3023,0.0000,2.008E-13,2.8101,0.0043,0.0667,0.0000,0.0000,1.321E-6,9.6487,0.0460,0.0107,0.0000,0.0000,1.373E-10
Xanthorhoe_ferrugata,43,4.6705,5.1048,500,0.9977,5,3.8591,0.9955,0.0010,10043,1.6436,0.3898,2.5974,0.0348,2.1303,80.6896,3.3566,1.5662,0.0000,0.0010,0.1199,0.1607,1.5035,0.0337,0.1631,0.0000,0.0000,0.3364,0.0000,0.0034,0.0000,0.0000,0.9628,0.0616,0.4171,0.1842,0.0667,2.4056,0.0218,1.1505,0.0000,4.5469,0.0040,1.0000,0.0008,0.1674,0.0000,0.0000,1.314E-4,5.0000,0.0088,0.0292,0.0000,0.0000,2.114E-8,10.0000,0.0682,0.0073,0.0465,0.2000,1.388E-8,9.7583,0.0657,0.0076,0.0000,0.0000,2.482E-11,18.5309,0.4750,0.0038,0.0930,0.8000,1.878E-2,9.7583,0.0657,0.0076,0.0000,0.0000,2.482E-11,9.7583,0.0657,0.0076,0.0000,0.0000,2.482E-11,9.7583,0.0657,0.0076,0.0000,0.0000,2.482E-11,9.7583,0.0657,0.0076,0.0000,0.0000,2.482E-11,3.0793,0.0037,0.0596,0.0000,0.0000,7.548E-7,8.7592,0.0391,0.0094,0.0000,0.0000,7.183E-11
Xanthorhoe_ferrugata,43,4.5598,5.0936,500,0.9977,5,5.0917,0.9975,0.0006,10043,1.0998,2.0607,0.4922,3.9930,2.5996,67.2752,5.9401,1.7130,0.0000,0.4042,0.0974,0.3187,3.3079,0.0562,0.1987,0.1388,0.0000,0.4065,0.0230,0.7977,0.0000,0.0000,0.7967,0.0920,0.6179,0.3998,1.7088,3.7787,0.1845,1.4989,0.0000,4.6861,0.0046,1.0000,0.0011,0.1627,0.0000,0.0000,1.14E-4,5.0000,0.0107,0.0335,0.0000,0.0000,4.192E-8,10.0000,0.0514,0.0101,0.0000,0.0000,1.029E-10,11.1321,0.0793,0.0083,0.0000,0.0000,3.855E-11,20.4078,0.4631,0.0042,0.0698,0.2000,1.524E-9,11.1321,0.0793,0.0083,0.0000,0.0000,3.855E-11,11.1321,0.0793,0.0083,0.0000,0.0000,3.855E-11,18.7458,0.3630,0.0044,0.0698,0.0000,1.614E-12,18.7458,0.3630,0.0044,0.0698,0.0000,1.614E-12,2.8818,0.0043,0.0671,0.0000,0.0000,1.361E-6,9.6838,0.0477,0.0108,0.0000,0.0000,1.438E-10
Xanthorhoe_ferrugata,43,4.6103,5.0951,500,0.9977,5,4.6864,0.9970,0.0013,10043,2.9965,0.9089,0.6928,0.7377,2.5567,67.7608,9.8774,0.4253,0.0000,1.2802,0.2194,0.1955,1.5081,0.1993,0.3068,0.0035,0.0000,0.3677,0.0222,0.0236,0.0000,0.0000,1.7468,0.1459,0.5487,0.1813,0.0952,5.0693,0.0331,2.0972,0.0000,4.6153,0.0043,1.0000,0.0009,0.1652,0.0000,0.0000,1.23E-4,5.0000,0.0100,0.0313,0.0000,0.0000,2.988E-8,10.0000,0.0570,0.0086,0.0000,0.0000,4.604E-11,10.1459,0.0614,0.0083,0.0000,0.0000,3.855E-11,20.0930,0.5022,0.0040,0.0930,0.2000,1.254E-9,10.1459,0.0614,0.0083,0.0000,0.0000,3.855E-11,10.1459,0.0614,0.0083,0.0000,0.0000,3.855E-11,10.1459,0.0614,0.0083,0.0000,0.0000,3.855E-11,10.1459,0.0614,0.0083,0.0000,0.0000,3.855E-11,2.9928,0.0040,0.0636,0.0000,0.0000,1.043E-6,9.2119,0.0437,0.0101,0.0000,0.0000,1.029E-10
Xanthorhoe_ferrugata,43,4.6195,5.1193,500,0.9978,5,4.4108,0.9966,0.0012,10043,1.3824,0.0393,0.4222,0.0027,2.4606,72.7915,9.5324,0.3517,0.0000,0.0037,0.4984,1.1535,3.5272,0.0000,0.1575,0.0038,0.0000,0.4616,0.0368,0.0788,0.0000,0.0204,0.8359,0.1425,0.5419,0.3838,0.0320,3.6704,0.0211,1.4477,0.0000,4.6050,0.0043,1.0000,0.0010,0.1448,0.0000,0.0000,6.361E-5,5.0000,0.0114,0.0280,0.0000,0.0000,1.715E-8,10.0000,0.0625,0.0086,0.0000,0.0000,4.604E-11,10.8726,0.0793,0.0075,0.0000,0.2000,1.546E-8,18.6411,0.4395,0.0041,0.0930,0.4000,6.762E-7,10.8726,0.0793,0.0075,0.0000,0.2000,1.546E-8,10.8726,0.0793,0.0075,0.0000,0.2000,1.546E-8,10.4742,0.0704,0.0079,0.0000,0.0000,3.012E-11,10.4742,0.0704,0.0079,0.0000,0.0000,3.012E-11,2.6286,0.0040,0.0630,0.0000,0.0000,9.947E-7,9.2507,0.0494,0.0099,0.0000,0.0000,9.308E-11
Xanthorhoe_ferrugata,43,4.6601,5.1674,500,0.9978,5,4.2361,0.9919,0.0052,10043,1.1077,2.1709,0.9584,0.4343,2.4785,76.6485,3.6906,1.4389,0.0083,0.0061,0.0487,0.2613,2.3596,0.1313,0.2640,0.0476,0.0038,0.5329,0.0199,0.0332,0.0000,0.0000,0.9332,0.0534,0.4760,0.4353,0.0992,3.4670,0.0921,1.1693,0.6299,4.5750,0.0042,1.0000,0.0009,0.1519,0.0000,0.0000,8.099E-5,5.0000,0.0111,0.0258,0.0000,0.2000,2.166E-6,10.0000,0.0773,0.0075,0.0000,0.2000,1.546E-8,13.9015,0.2293,0.0049,0.0000,0.2000,2.822E-9,18.7934,0.4811,0.0041,0.0930,0.2000,1.384E-9,13.9015,0.2293,0.0049,0.0000,0.2000,2.822E-9,13.9015,0.2293,0.0049,0.0000,0.2000,2.822E-9,4.4613,0.0088,0.0310,0.0000,0.0000,2.848E-8,4.4613,0.0088,0.0310,0.0000,0.0000,2.848E-8,2.7713,0.0038,0.0586,0.0000,0.0000,6.938E-7,8.5312,0.0419,0.0097,0.0000,0.2000,4.318E-8
Xanthorhoe_ferrugata,43,4.5825,5.1100,500,0.9977,5,4.5614,0.9962,0.0021,10043,3.3806,0.3995,1.0030,0.0186,1.8616,66.8129,10.7874,0.1293,0.0000,1.9601,0.4582,0.3440,1.4481,0.0483,0.0242,0.0480,0.0000,0.6116,0.0263,0.0779,0.0000,0.0000,0.8146,0.0618,0.3053,0.2598,0.4718,5.8394,0.0407,2.7670,0.0000,4.6505,0.0045,1.0000,0.0010,0.1558,0.0000,0.0000,9.189E-5,5.0000,0.0117,0.0314,0.0000,0.0000,3.036E-8,10.0000,0.0569,0.0097,0.0000,0.2000,4.318E-8,11.6755,0.0995,0.0073,0.0000,0.2000,1.388E-8,19.8900,0.4596,0.0040,0.0698,0.2000,1.254E-9,11.6755,0.0995,0.0073,0.0000,0.2000,1.388E-8,11.6755,0.0995,0.0073,0.0000,0.2000,1.388E-8,8.5087,0.0345,0.0129,0.0000,0.0000,3.634E-10,8.5087,0.0345,0.0129,0.0000,0.0000,3.634E-10,2.7891,0.0041,0.0646,0.0000,0.0000,1.127E-6,9.6527,0.0504,0.0104,0.0000,0.2000,5.702E-8
Xanthorhoe_ferrugata,44,4.5810,5.0870,500,0.9977,4,4.9150,0.9972,0.0007,10044,2.1623,1.0764,0.4455,0.8015,1.9294,72.4082,6.4330,0.7142,0.0737,0.5502,0.0854,0.4197,2.5179,0.2136,0.6320,0.0318,0.0000,0.5256,0.0074,0.0283,0.0000,0.0000,1.2013,0.1048,0.4078,0.1569,0.6549,4.6779,0.0691,1.6711,0.0000,4.6539,0.0045,1.0000,0.0010,0.1587,0.0000,0.0000,6.343E-4,5.0000,0.0105,0.0309,0.0000,0.0000,9.074E-7,10.0000,0.0578,0.0091,0.0000,0.0000,6.738E-9,11.0154,0.0852,0.0078,0.0000,0.0000,3.637E-9,19.2312,0.4876,0.0042,0.0909,0.2500,2.916E-7,11.0154,0.0852,0.0078,0.0000,0.0000,3.637E-9,11.0154,0.0852,0.0078,0.0000,0.0000,3.637E-9,16.4330,0.2773,0.0047,0.0227,0.0000,4.795E-10,16.4330,0.2773,0.0047,0.0227,0.0000,4.795E-10,2.8578,0.0042,0.0645,0.0000,0.0000,1.732E-5,9.3948,0.0445,0.0104,0.0000,0.0000,1.149E-8
Xanthorhoe_ferrugata,44,4.5543,5.0821,500,0.9977,4,5.2978,0.9984,0.0006,10044,3.7514,0.1509,0.5077,0.7353,2.6967,65.7898,10.3660,1.3449,0.0000,0.5004,0.2103,0.4762,2.0004,0.1950,0.4179,0.0033,0.0000,0.5934,0.0644,0.0297,0.0000,0.0000,0.8613,0.1430,0.4787,0.2352,0.1132,5.6279,0.1240,1.9974,0.5857,4.6798,0.0046,1.0000,0.0011,0.1510,0.0000,0.0000,5.204E-4,5.0000,0.0116,0.0308,0.0000,0.0000,8.958E-7,10.0000,0.0548,0.0096,0.0000,0.0000,8.346E-9,10.9040,0.0855,0.0083,0.0000,0.0000,4.663E-9,20.6604,0.4823,0.0042,0.0682,0.0000,3.058E-10,10.9040,0.0855,0.0083,0.0000,0.0000,4.663E-9,10.9040,0.0855,0.0083,0.0000,0.0000,4.663E-9,27.3947,0.6033,0.0035,0.2045,0.0000,1.475E-10,27.3947,0.6033,0.0035,0.2045,0.0000,1.475E-10,2.7284,0.0043,0.0652,0.0000,0.0000,1.809E-5,9.4899,0.0484,0.0107,0.0000,0.0000,1.288E-8
