Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Xanthotype_urticaria,26,4.7261,5.4849,500,0.9986,4,3.3599,0.9863,0.0078,10026,5.3286,7.3905,13.4273,0.2797,0.4030,32.0740,1.1973,0.1986,0.1998,1.3566,0.0000,0.0927,5.9323,0.0000,28.1029,0.4351,0.0000,0.5114,0.0000,0.0000,0.0000,0.7980,0.7052,0.0000,0.2917,0.2805,0.0048,0.2196,0.1925,0.5779,0.0000,4.4859,0.0038,1.0000,0.0014,0.1163,0.0000,0.0000,1.829E-4,5.0000,0.0111,0.0389,0.0000,0.2500,2.286E-4,10.0000,0.0327,0.0170,0.0000,0.2500,1.925E-5,21.3683,0.2023,0.0032,0.0000,0.5000,6.086E-5,25.3577,0.4384,0.0025,0.0769,0.5000,3.718E-5,21.3683,0.2023,0.0032,0.0000,0.5000,6.086E-5,21.3683,0.2023,0.0032,0.0000,0.5000,6.086E-5,4.8998,0.0108,0.0397,0.0000,0.0000,2.483E-6,4.8998,0.0108,0.0397,0.0000,0.0000,2.483E-6,1.9708,0.0035,0.0795,0.0000,0.0000,3.993E-5,14.0772,0.0594,0.0088,0.0000,0.5000,4.568E-4
Xanthotype_urticaria,27,4.5815,5.4162,500,0.9986,3,5.8016,0.9988,0.0003,10027,5.6143,5.1781,9.6425,0.8544,0.5023,29.1593,3.9966,0.5443,0.0018,2.3566,0.0000,0.1125,5.0312,0.0000,33.1183,0.4396,0.0000,0.5075,0.0000,0.0000,0.0000,1.2544,0.3428,0.0000,0.1540,0.3901,0.2147,0.2766,0.2937,0.0142,0.0000,4.6429,0.0045,1.0000,0.0018,0.1139,0.0000,0.0000,1.477E-3,5.0000,0.0143,0.0399,0.0000,0.0000,6.348E-5,10.0000,0.0398,0.0197,0.0000,0.0000,7.7E-6,23.0283,0.2340,0.0038,0.0000,0.0000,5.443E-8,29.0576,0.4622,0.0026,0.0741,0.0000,1.743E-8,23.0283,0.2340,0.0038,0.0000,0.0000,5.443E-8,23.0283,0.2340,0.0038,0.0000,0.0000,5.443E-8,45.9110,0.7449,0.0016,0.3704,0.0000,4.063E-9,45.9110,0.7449,0.0016,0.3704,0.0000,4.063E-9,1.8788,0.0041,0.0804,0.0000,0.0000,5.194E-4,15.1426,0.0681,0.0103,0.0000,0.0000,1.084E-6
Xanthotype_urticaria,27,4.5801,5.4286,500,0.9986,3,5.8257,0.9998,0.0001,10027,6.4890,4.4331,8.9168,0.0045,0.3178,30.0598,2.2477,0.0000,1.1705,3.0641,0.0000,0.1127,6.1861,0.0000,32.6765,0.6026,0.0000,0.5566,0.0000,0.0000,0.0000,0.9160,0.7670,0.0000,0.2888,0.4839,0.2032,0.1028,0.3901,0.0105,0.0000,4.6410,0.0045,1.0000,0.0019,0.1107,0.0000,0.0000,1.357E-3,5.0000,0.0148,0.0399,0.0000,0.0000,6.348E-5,10.0000,0.0407,0.0197,0.0000,0.0000,7.7E-6,23.5258,0.2403,0.0037,0.0000,0.0000,5.024E-8,28.9998,0.4605,0.0026,0.0741,0.0000,1.743E-8,23.5258,0.2403,0.0037,0.0000,0.0000,5.024E-8,23.5258,0.2403,0.0037,0.0000,0.0000,5.024E-8,89.5038,0.7779,0.0004,0.8519,0.0000,6.348E-11,89.5038,0.7779,0.0004,0.8519,0.0000,6.348E-11,1.8344,0.0041,0.0801,0.0000,0.0000,5.136E-4,15.2306,0.0726,0.0103,0.0000,0.0000,1.084E-6
Xanthotype_urticaria,28,4.5874,5.3975,500,0.9985,2,5.8040,0.9994,0.0002,10028,0.9375,3.0125,12.3879,0.0083,0.6779,34.7042,1.3742,0.0000,2.4087,2.9388,0.0000,0.0994,5.2162,0.0000,30.4978,0.4220,0.0000,0.3886,0.0000,0.0000,0.0000,1.6020,2.0351,0.0000,0.3496,0.3534,0.0921,0.0983,0.3839,0.0113,0.0000,4.6316,0.0044,1.0000,0.0018,0.1103,0.0000,0.0000,1.216E-2,5.0000,0.0146,0.0386,0.0000,0.0000,1.489E-3,10.0000,0.0419,0.0188,0.0000,0.0000,3.552E-4,22.7828,0.2264,0.0038,0.0000,0.0000,1.436E-5,28.1403,0.4500,0.0026,0.0714,0.0000,6.722E-6,22.7828,0.2264,0.0038,0.0000,0.0000,1.436E-5,22.7828,0.2264,0.0038,0.0000,0.0000,1.436E-5,60.1335,0.7657,0.0012,0.3929,0.0000,1.432E-6,60.1335,0.7657,0.0012,0.3929,0.0000,1.432E-6,1.8055,0.0040,0.0794,0.0000,0.0000,6.301E-3,14.8100,0.0700,0.0102,0.0000,0.0000,1.035E-4
Xanthotype_urticaria,27,4.6376,5.4480,500,0.9986,3,4.8281,0.9978,0.0008,10027,4.2897,4.0966,11.8263,0.3843,0.2561,37.3802,1.4258,0.0000,1.2721,0.8125,0.0000,0.1324,4.6459,0.0000,30.1795,0.3863,0.0000,0.3153,0.0000,0.0000,0.0000,0.4270,0.8489,0.0000,0.3832,0.4227,0.1871,0.0000,0.3035,0.0180,0.0067,4.5866,0.0042,1.0000,0.0014,0.1252,0.0000,0.0000,1.961E-3,5.0000,0.0124,0.0422,0.0000,0.0000,7.508E-5,10.0000,0.0358,0.0193,0.0000,0.0000,7.243E-6,22.0255,0.1957,0.0036,0.0000,0.3333,3.858E-5,27.2487,0.4553,0.0025,0.0741,0.3333,1.862E-5,22.0255,0.1957,0.0036,0.0000,0.3333,3.858E-5,22.0255,0.1957,0.0036,0.0000,0.3333,3.858E-5,20.8838,0.1471,0.0041,0.0000,0.0000,6.837E-8,20.8838,0.1471,0.0041,0.0000,0.0000,6.837E-8,2.0223,0.0039,0.0830,0.0000,0.0000,5.713E-4,14.9227,0.0627,0.0098,0.0000,0.0000,9.336E-7
Xanthotype_urticaria,27,4.6201,5.4297,500,0.9986,3,4.4328,0.9946,0.0034,10027,5.2061,0.8110,9.9386,3.6105,0.4461,34.4534,4.1965,0.0000,0.1651,0.6476,0.0000,0.1275,5.9043,0.0000,29.7847,0.4496,0.0000,0.4306,0.0000,0.0000,0.0000,0.8322,1.6726,0.0000,0.2215,0.3528,0.1779,0.2272,0.3207,0.0233,0.0000,4.6096,0.0043,1.0000,0.0016,0.1185,0.0000,0.0000,1.663E-3,5.0000,0.0136,0.0400,0.0000,0.0000,6.396E-5,10.0000,0.0394,0.0191,0.0000,0.0000,7.021E-6,22.8192,0.2303,0.0037,0.0000,0.3333,4.075E-5,28.1512,0.4571,0.0026,0.0741,0.3333,2.014E-5,22.8192,0.2303,0.0037,0.0000,0.3333,4.075E-5,22.8192,0.2303,0.0037,0.0000,0.3333,4.075E-5,12.5598,0.0517,0.0137,0.0000,0.0000,2.551E-6,12.5598,0.0517,0.0137,0.0000,0.0000,2.551E-6,1.9643,0.0040,0.0800,0.0000,0.0000,5.117E-4,14.8619,0.0671,0.0100,0.0000,0.3333,2.964E-4
Xanthotype_urticaria,27,4.7163,5.4485,500,0.9986,3,3.4452,0.9808,0.0141,10027,6.5257,0.6808,13.3693,1.0588,0.3640,36.5037,3.3531,0.0085,0.4114,0.9239,0.0000,0.4288,5.0023,0.0000,28.1586,0.3424,0.0176,0.4762,0.0000,0.0000,0.0000,0.1529,0.5674,0.0683,0.3009,0.2641,0.0384,0.0000,0.9043,0.0403,0.0386,4.4890,0.0038,1.0000,0.0015,0.1087,0.0000,0.0000,1.285E-3,5.0000,0.0143,0.0338,0.0000,0.3333,3.352E-3,10.0000,0.0372,0.0142,0.0000,0.3333,5.96E-4,19.6784,0.2102,0.0039,0.0000,0.3333,4.527E-5,26.3632,0.4438,0.0026,0.0741,0.3333,2.014E-5,19.6784,0.2102,0.0039,0.0000,0.3333,4.527E-5,19.6784,0.2102,0.0039,0.0000,0.3333,4.527E-5,2.8473,0.0066,0.0537,0.0000,0.0000,1.545E-4,2.8473,0.0066,0.0537,0.0000,0.0000,1.545E-4,1.9825,0.0035,0.0696,0.0000,0.0000,3.373E-4,13.1930,0.0684,0.0089,0.0000,0.3333,2.35E-4
Xanthotype_urticaria,27,4.6762,5.4444,500,0.9986,3,2.9973,0.9856,0.0093,10027,5.1729,5.6575,6.7224,0.5247,0.2685,38.3864,3.4727,0.0000,1.3123,2.4642,0.1007,0.0678,4.7577,0.0000,26.2314,0.1433,0.0000,0.5339,0.0000,0.0000,0.0088,0.4770,2.3982,0.0000,0.1622,0.3274,0.1948,0.1430,0.4052,0.0490,0.0179,4.5488,0.0040,1.0000,0.0015,0.1193,0.0000,0.0000,1.697E-3,5.0000,0.0122,0.0396,0.0000,0.0000,6.207E-5,10.0000,0.0359,0.0179,0.0000,0.3333,9.447E-4,22.9674,0.2560,0.0031,0.0000,0.6667,9.246E-3,25.2995,0.3372,0.0027,0.0741,0.6667,8.056E-3,22.9674,0.2560,0.0031,0.0000,0.6667,9.246E-3,22.9674,0.2560,0.0031,0.0000,0.6667,9.246E-3,5.3479,0.0137,0.0371,0.0000,0.0000,5.106E-5,5.3479,0.0137,0.0371,0.0000,0.0000,5.106E-5,2.0231,0.0037,0.0786,0.0000,0.0000,4.854E-4,14.5659,0.0689,0.0094,0.0000,0.3333,2.62E-4
Xanthotype_urticaria,27,4.7840,5.4963,500,0.9986,3,1.1935,0.8304,0.1377,10027,4.9306,6.5264,9.7485,0.1258,0.0083,31.8101,2.7166,0.2275,1.2393,0.6404,0.5595,0.2144,6.0360,0.0000,29.3627,1.6970,0.0000,0.6624,0.0000,0.0000,0.0000,1.5331,1.5378,0.0000,0.0320,0.3114,0.0134,0.0000,0.0654,0.0016,0.0000,4.4488,0.0037,1.0000,0.0019,0.0852,0.0000,0.3333,2.053E-2,5.0000,0.0146,0.0284,0.0000,0.3333,2.378E-3,10.0000,0.0457,0.0124,0.0000,0.3333,4.55E-4,22.2120,0.2580,0.0031,0.0000,0.3333,2.862E-5,25.5890,0.4014,0.0026,0.0741,0.3333,2.014E-5,22.2120,0.2580,0.0031,0.0000,0.3333,2.862E-5,22.2120,0.2580,0.0031,0.0000,0.3333,2.862E-5,0.0238,0.0000,0.3333,0.0000,0.3333,2.592E-1,45.2373,0.7359,0.0017,0.3704,0.3333,8.614E-6,1.5504,0.0034,0.0673,0.0000,0.3333,1.299E-2,12.8620,0.0703,0.0085,0.0000,0.3333,2.144E-4
Xanthotype_urticaria,27,4.7737,5.5340,500,0.9986,3,1.9775,0.9709,0.0124,10027,5.7706,2.0752,10.5183,2.1247,0.3660,39.3392,0.8588,0.0000,0.0067,3.3591,0.0000,0.1429,4.8143,0.0000,23.7334,0.2387,0.0000,0.6690,0.0000,0.0000,0.0000,1.0500,3.4601,0.0000,0.0000,0.3124,0.1320,0.0000,0.2929,0.7357,0.0000,4.4579,0.0037,1.0000,0.0015,0.0959,0.0000,0.0000,8.831E-4,5.0000,0.0150,0.0314,0.0000,0.6667,9.132E-2,10.0000,0.0394,0.0138,0.0000,0.6667,4.072E-2,23.2942,0.3807,0.0028,0.0000,0.6667,8.354E-3,24.9421,0.4238,0.0027,0.0741,0.6667,8.056E-3,23.2942,0.3807,0.0028,0.0000,0.6667,8.354E-3,23.2942,0.3807,0.0028,0.0000,0.6667,8.354E-3,2.6803,0.0060,0.0515,0.0000,0.0000,1.363E-4,2.6803,0.0060,0.0515,0.0000,0.0000,1.363E-4,1.6672,0.0034,0.0707,0.0000,0.0000,3.535E-4,13.0704,0.0585,0.0086,0.0000,0.6667,2.551E-2
