Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Xyleborus_sayi,67,4.2955,4.8026,500,0.9967,8,4.8175,0.9962,0.0008,10067,11.2507,6.4556,1.4367,0.0924,6.1535,4.7195,0.2776,0.4273,0.0000,5.4160,0.0122,5.2329,18.5975,0.0089,0.4666,1.7115,0.0684,0.0000,0.0241,0.0000,0.0453,13.8242,0.0000,0.1921,0.0000,2.7118,11.0274,0.0285,3.2001,6.6193,0.0000,4.9423,0.0062,1.0000,0.0015,0.1231,0.0000,0.0000,5.265E-8,5.0000,0.0230,0.0238,0.0000,0.0000,1.043E-13,10.0000,0.1016,0.0098,0.0000,0.0000,8.747E-17,17.0538,0.4636,0.0065,0.0000,0.0000,3.021E-18,19.0369,0.5894,0.0064,0.0448,0.0000,2.668E-18,17.0538,0.4636,0.0065,0.0000,0.0000,3.021E-18,17.0538,0.4636,0.0065,0.0000,0.0000,3.021E-18,19.0369,0.5894,0.0064,0.0448,0.0000,2.668E-18,19.0369,0.5894,0.0064,0.0448,0.0000,2.668E-18,2.3243,0.0055,0.0572,0.0000,0.0000,1.149E-10,7.7103,0.0551,0.0139,0.0000,0.0000,1.399E-15
Xyleborus_sayi,67,4.3067,4.8025,500,0.9967,8,4.6372,0.9963,0.0009,10067,10.3948,7.2926,0.3519,1.5339,2.4644,5.7577,0.1675,0.0841,0.0000,4.7347,0.0502,5.8393,17.7399,0.3345,0.4024,1.6211,0.0660,0.0000,0.0347,0.0000,0.0375,14.7004,0.0000,0.2000,0.0704,4.4986,6.6529,0.0281,7.9241,7.0181,0.0000,4.9398,0.0061,1.0000,0.0014,0.1346,0.0000,0.0000,1.077E-7,5.0000,0.0203,0.0254,0.0000,0.0000,1.749E-13,10.0000,0.1014,0.0097,0.0000,0.0000,8.065E-17,12.7861,0.2260,0.0075,0.0000,0.0000,9.491E-18,17.5200,0.6094,0.0065,0.0299,0.1250,3.722E-15,12.7861,0.2260,0.0075,0.0000,0.0000,9.491E-18,12.7861,0.2260,0.0075,0.0000,0.0000,9.491E-18,12.7861,0.2260,0.0075,0.0000,0.0000,9.491E-18,12.7861,0.2260,0.0075,0.0000,0.0000,9.491E-18,2.4764,0.0055,0.0594,0.0000,0.0000,1.55E-10,7.7517,0.0525,0.0138,0.0000,0.0000,1.321E-15
Xyleborus_sayi,67,4.3505,4.8187,500,0.9967,8,3.4806,0.9576,0.0356,10067,11.0841,6.6017,2.1952,1.3128,3.2499,7.1057,0.1696,0.0000,0.0000,4.6684,0.0116,5.9686,17.3528,0.0000,0.5454,0.5019,0.0884,0.0000,0.0452,0.0000,0.0456,12.9850,0.0000,0.1724,0.0465,3.9362,6.5187,0.0614,9.2634,6.0695,0.0000,4.8502,0.0057,1.0000,0.0014,0.1082,0.0000,0.1250,1.255E-6,5.0000,0.0263,0.0194,0.0000,0.1250,8.047E-12,10.0000,0.1239,0.0082,0.0000,0.1250,2.057E-14,11.8812,0.2199,0.0072,0.0000,0.1250,7.61E-15,14.7326,0.5655,0.0066,0.0149,0.2500,2.199E-12,11.8812,0.2199,0.0072,0.0000,0.1250,7.61E-15,11.8812,0.2199,0.0072,0.0000,0.1250,7.61E-15,0.8326,0.0011,0.1250,0.0000,0.1250,3.391E-6,11.8812,0.2199,0.0072,0.0000,0.1250,7.61E-15,2.1396,0.0051,0.0535,0.0000,0.1250,9.618E-9,7.0307,0.0538,0.0126,0.0000,0.1250,4.023E-13
Xyleborus_sayi,67,4.2855,4.8010,500,0.9967,8,4.8891,0.9974,0.0005,10067,11.2333,6.2813,1.2579,2.7256,3.7063,5.0981,0.2032,0.0299,0.0000,4.1411,0.0036,6.0283,16.4766,0.0477,0.4232,2.2422,0.0725,0.0000,0.0357,0.0000,0.1343,17.4897,0.0000,0.1162,0.0817,3.0938,7.8580,0.0312,4.6234,6.5654,0.0000,4.9630,0.0063,1.0000,0.0014,0.1374,0.0000,0.0000,1.269E-7,5.0000,0.0206,0.0260,0.0000,0.0000,2.105E-13,10.0000,0.0980,0.0101,0.0000,0.0000,1.111E-16,17.0775,0.4594,0.0065,0.0000,0.0000,3.021E-18,23.5701,0.6127,0.0059,0.0448,0.0000,1.392E-18,17.0775,0.4594,0.0065,0.0000,0.0000,3.021E-18,17.0775,0.4594,0.0065,0.0000,0.0000,3.021E-18,66.5709,0.6523,0.0025,0.3582,0.0000,1.447E-21,66.5709,0.6523,0.0025,0.3582,0.0000,1.447E-21,2.5005,0.0056,0.0601,0.0000,0.0000,1.702E-10,7.8606,0.0541,0.0142,0.0000,0.0000,1.658E-15
Xyleborus_sayi,67,4.3101,4.8101,500,0.9967,8,4.6264,0.9957,0.0009,10067,9.0875,3.5583,2.1078,3.7014,5.9012,6.1900,0.2151,0.0000,0.0000,4.5851,0.5149,5.3995,16.3982,0.0000,0.4514,7.1966,0.0437,0.0000,0.0311,0.0000,0.0499,12.9675,0.0000,0.2230,0.0673,2.5861,10.0100,0.0551,3.4125,5.2470,0.0000,4.9425,0.0061,1.0000,0.0014,0.1335,0.0000,0.0000,1.009E-7,5.0000,0.0202,0.0253,0.0000,0.0000,1.695E-13,10.0000,0.0997,0.0097,0.0000,0.0000,8.065E-17,16.6773,0.4767,0.0065,0.0000,0.0000,3.021E-18,20.1800,0.6181,0.0062,0.0746,0.3750,4.886E-10,16.6773,0.4767,0.0065,0.0000,0.0000,3.021E-18,16.6773,0.4767,0.0065,0.0000,0.0000,3.021E-18,18.0272,0.4861,0.0063,0.0299,0.0000,2.352E-18,18.0272,0.4861,0.0063,0.0299,0.0000,2.352E-18,2.4568,0.0055,0.0590,0.0000,0.0000,1.469E-10,7.7100,0.0533,0.0139,0.0000,0.0000,1.399E-15
Xyleborus_sayi,68,4.3085,4.7943,500,0.9966,7,4.8394,0.9966,0.0008,10068,8.9656,5.8119,1.2995,1.0744,5.0966,5.3934,0.3787,0.0460,0.0529,7.0259,0.0044,5.1822,15.2368,0.0000,0.3604,2.3271,0.0521,0.0000,0.0364,0.0000,0.0247,15.1373,0.0000,0.1646,0.0876,3.0745,11.5936,0.0430,5.4634,6.0670,0.0000,4.9576,0.0062,1.0000,0.0014,0.1349,0.0000,0.0000,8.123E-7,5.0000,0.0199,0.0257,0.0000,0.0000,7.456E-12,10.0000,0.0995,0.0098,0.0000,0.0000,8.889E-15,16.5108,0.4553,0.0066,0.0000,0.0000,5.202E-16,18.5316,0.6066,0.0065,0.0441,0.0000,4.675E-16,16.5108,0.4553,0.0066,0.0000,0.0000,5.202E-16,16.5108,0.4553,0.0066,0.0000,0.0000,5.202E-16,23.9972,0.6163,0.0059,0.1176,0.0000,2.373E-16,23.9972,0.6163,0.0059,0.1176,0.0000,2.373E-16,2.4930,0.0056,0.0592,0.0000,0.0000,2.548E-9,7.7204,0.0507,0.0141,0.0000,0.0000,1.11E-13
Xyleborus_sayi,68,4.2987,4.8003,500,0.9966,7,4.8395,0.9968,0.0008,10068,5.3727,8.3448,1.1912,6.6238,4.9945,4.3541,0.2551,0.0379,0.0000,4.4096,0.0204,5.6185,15.7434,0.0000,0.5345,1.9256,0.0584,0.0000,0.0414,0.0000,0.0350,15.4275,0.0000,0.1516,0.0941,3.5620,11.4266,0.0246,4.9040,4.8488,0.0000,4.9292,0.0061,1.0000,0.0015,0.1171,0.0000,0.0000,3.02E-7,5.0000,0.0229,0.0225,0.0000,0.0000,2.962E-12,10.0000,0.1109,0.0093,0.0000,0.0000,6.184E-15,15.7497,0.4784,0.0068,0.0000,0.0000,6.412E-16,22.7817,0.6005,0.0060,0.0441,0.0000,2.67E-16,15.7497,0.4784,0.0068,0.0000,0.0000,6.412E-16,15.7497,0.4784,0.0068,0.0000,0.0000,6.412E-16,22.7817,0.6005,0.0060,0.0441,0.0000,2.67E-16,22.7817,0.6005,0.0060,0.0441,0.0000,2.67E-16,2.2580,0.0055,0.0567,0.0000,0.0000,1.887E-9,7.3641,0.0531,0.0137,0.0000,0.0000,9.09E-14
Xyleborus_sayi,68,4.2956,4.7981,500,0.9966,7,4.8250,0.9959,0.0008,10068,6.9002,7.6263,1.7737,4.2031,5.9826,4.7300,0.1966,0.0668,0.0000,4.2524,0.0005,3.5464,18.8511,0.0319,0.4590,2.2555,0.1036,0.0000,0.0402,0.0000,0.0424,15.7289,0.0000,0.1373,0.0678,2.5795,11.3726,0.0304,3.7861,5.2348,0.0000,4.9507,0.0062,1.0000,0.0014,0.1304,0.0000,0.0000,6.416E-7,5.0000,0.0222,0.0239,0.0000,0.0000,4.503E-12,10.0000,0.1086,0.0097,0.0000,0.0000,8.279E-15,15.9963,0.4913,0.0068,0.0000,0.0000,6.412E-16,18.7486,0.6090,0.0065,0.0441,0.0000,4.675E-16,15.9963,0.4913,0.0068,0.0000,0.0000,6.412E-16,15.9963,0.4913,0.0068,0.0000,0.0000,6.412E-16,28.8917,0.6183,0.0055,0.1176,0.0000,1.452E-16,28.8917,0.6183,0.0055,0.1176,0.0000,1.452E-16,2.4653,0.0056,0.0572,0.0000,0.0000,2.006E-9,7.5553,0.0555,0.0140,0.0000,0.0000,1.057E-13
Xyleborus_sayi,68,4.2920,4.7933,500,0.9966,7,4.8225,0.9964,0.0008,10068,4.3068,8.3869,1.3906,2.3990,5.5388,4.4489,0.1459,0.7267,0.0000,6.7178,0.5311,5.5754,16.3024,0.2059,0.4518,2.5789,0.0518,0.0000,0.0280,0.0000,0.0374,15.9576,0.0000,0.1696,0.0695,2.9751,11.5490,0.0318,4.0599,5.3636,0.0000,4.9532,0.0062,1.0000,0.0015,0.1267,0.0000,0.0000,5.252E-7,5.0000,0.0219,0.0242,0.0000,0.0000,4.911E-12,10.0000,0.1104,0.0097,0.0000,0.0000,8.279E-15,16.9132,0.4807,0.0066,0.0000,0.0000,5.202E-16,18.8720,0.5856,0.0065,0.0441,0.0000,4.675E-16,16.9132,0.4807,0.0066,0.0000,0.0000,5.202E-16,16.9132,0.4807,0.0066,0.0000,0.0000,5.202E-16,18.8720,0.5856,0.0065,0.0441,0.0000,4.675E-16,18.8720,0.5856,0.0065,0.0441,0.0000,4.675E-16,2.3900,0.0056,0.0580,0.0000,0.0000,2.209E-9,7.5851,0.0516,0.0140,0.0000,0.0000,1.057E-13
Xyleborus_sayi,68,4.3021,4.7940,500,0.9966,7,4.8501,0.9966,0.0008,10068,7.9834,2.7821,3.2342,3.2975,3.6404,5.8970,0.1770,0.0000,0.0000,5.7264,0.0037,5.6655,19.6453,0.0000,0.4227,2.2932,0.0515,0.0000,0.0450,0.0000,0.0212,16.3864,0.0000,0.1764,0.0838,2.5540,13.9595,0.0174,3.3009,2.6356,0.0000,4.9526,0.0062,1.0000,0.0014,0.1281,0.0000,0.0000,5.669E-7,5.0000,0.0216,0.0244,0.0000,0.0000,5.199E-12,10.0000,0.1072,0.0097,0.0000,0.0000,8.279E-15,16.6700,0.4576,0.0066,0.0000,0.0000,5.202E-16,23.0732,0.6073,0.0060,0.0441,0.0000,2.67E-16,16.6700,0.4576,0.0066,0.0000,0.0000,5.202E-16,16.6700,0.4576,0.0066,0.0000,0.0000,5.202E-16,23.0732,0.6073,0.0060,0.0441,0.0000,2.67E-16,23.0732,0.6073,0.0060,0.0441,0.0000,2.67E-16,2.4010,0.0056,0.0578,0.0000,0.0000,2.157E-9,7.6284,0.0533,0.0140,0.0000,0.0000,1.057E-13
