Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Zale_minerea,72,3.4579,4.0312,500,0.9883,8,0.6023,0.8264,0.0843,10072,7.7230,6.2867,4.4654,0.2616,3.6223,13.0988,2.4070,2.7951,4.5927,4.2243,0.2567,3.3991,10.7428,0.1404,23.2821,3.2263,0.0322,0.0000,0.1959,0.0000,0.0755,2.3732,0.6031,0.1655,0.3659,0.0000,1.7822,0.0323,1.9002,1.8274,0.1222,5.8136,0.0144,1.0000,0.0019,0.4050,0.0000,0.1250,9.229E-3,5.0000,0.0121,0.1403,0.0278,0.3750,2.099E-3,10.0000,0.0369,0.0617,0.0556,0.6250,1.038E-2,4.5285,0.0104,0.1541,0.0000,0.2500,2.825E-4,22.8464,0.1958,0.0145,0.0972,0.6250,1.615E-4,10.7648,0.0433,0.0556,0.0556,0.6250,7.789E-3,16.9797,0.1058,0.0267,0.0694,0.6250,9.645E-4,2.4490,0.0049,0.2500,0.0000,0.2500,4.227E-3,4.8546,0.0116,0.1443,0.0139,0.2500,1.939E-4,4.5285,0.0104,0.1541,0.0000,0.2500,2.825E-4,14.9726,0.0809,0.0332,0.0694,0.6250,1.801E-3
Zale_minerea,71,3.2845,3.9219,500,0.9867,9,3.3137,0.9223,0.0681,10071,6.3312,4.5057,5.0601,0.4219,3.2872,9.7381,1.5271,1.0094,3.9784,10.4504,0.0457,3.6734,15.1152,0.4266,23.0281,1.8535,0.1682,0.1804,0.5979,0.0000,0.1293,2.9193,0.4111,0.1660,0.6714,0.0906,0.8348,0.3438,0.8193,2.1210,0.0949,5.9798,0.0173,1.0000,0.0024,0.4388,0.0000,0.1111,7.543E-3,5.0000,0.0133,0.1770,0.0141,0.1111,7.32E-6,10.0000,0.0345,0.0860,0.0423,0.1111,2.485E-8,1.7422,0.0041,0.3466,0.0000,0.1111,1.298E-3,25.7118,0.1930,0.0166,0.0845,0.2222,1.205E-11,14.7066,0.0682,0.0494,0.0563,0.1111,3.076E-10,18.3866,0.1025,0.0336,0.0563,0.1111,1.406E-11,8.0953,0.0245,0.1111,0.0423,0.1111,1.884E-7,21.8117,0.1464,0.0238,0.0845,0.1111,9.163E-13,5.6517,0.0155,0.1595,0.0141,0.1111,3.23E-6,16.8784,0.0873,0.0392,0.0563,0.1111,4.864E-11
Zale_minerea,71,3.3384,3.9264,500,0.9874,9,2.4340,0.8888,0.0809,10071,7.1104,2.8027,4.5551,3.8011,4.2679,12.4737,0.3652,0.7824,3.7256,8.7801,0.0112,3.3006,14.0621,0.4238,20.3011,2.3249,0.1998,0.0373,0.3561,0.0000,0.5842,4.4794,0.7333,0.5251,0.6458,0.2029,1.2834,0.1861,0.8399,0.8388,0.0000,5.9439,0.0167,1.0000,0.0024,0.4040,0.0000,0.1111,4.096E-3,5.0000,0.0138,0.1554,0.0141,0.1111,2.638E-6,10.0000,0.0386,0.0759,0.0423,0.3333,1.309E-5,1.6690,0.0039,0.3215,0.0000,0.1111,7.34E-4,28.0055,0.2778,0.0120,0.0986,0.3333,2.449E-10,14.3357,0.0719,0.0457,0.0423,0.3333,6.767E-7,14.3357,0.0719,0.0457,0.0423,0.3333,6.767E-7,7.1077,0.0227,0.1111,0.0141,0.1111,1.884E-7,7.4872,0.0247,0.1052,0.0141,0.1111,1.22E-7,5.3596,0.0149,0.1461,0.0141,0.1111,1.622E-6,16.1483,0.0870,0.0378,0.0704,0.3333,2.231E-7
Zale_minerea,72,3.2318,3.8607,500,0.9856,8,3.2739,0.9800,0.0095,10072,2.8977,2.1581,1.9868,0.2565,3.9901,21.8004,1.7997,1.9795,3.2107,8.6603,0.0917,3.6903,13.2500,0.3509,22.9925,2.1244,0.1578,0.0463,0.4072,0.0000,0.2524,2.8337,1.1709,0.2867,0.4793,0.1001,1.3257,0.0430,1.3849,0.1215,0.1507,6.0338,0.0182,1.0000,0.0024,0.4817,0.0000,0.0000,2.9E-3,5.0000,0.0127,0.1981,0.0139,0.0000,2.369E-6,10.0000,0.0321,0.0972,0.0417,0.0000,7.968E-9,2.2221,0.0050,0.3384,0.0000,0.0000,1.718E-4,26.7857,0.2127,0.0158,0.0972,0.2500,4.217E-10,14.6660,0.0623,0.0556,0.0556,0.2500,7.502E-7,20.1478,0.1140,0.0309,0.0556,0.2500,2.3E-8,13.1297,0.0521,0.0661,0.0556,0.0000,3.655E-10,13.1297,0.0521,0.0661,0.0556,0.0000,3.655E-10,5.8809,0.0155,0.1725,0.0139,0.0000,7.825E-7,17.3651,0.0862,0.0414,0.0556,0.2500,1.312E-7
Zale_minerea,72,3.3761,4.0009,500,0.9879,8,1.4310,0.7756,0.1241,10072,8.5822,2.3720,5.2096,1.7676,4.2135,12.6352,0.2791,0.5341,1.3421,7.5419,0.1564,4.4486,19.2289,0.2918,20.7100,2.0403,0.1814,0.0286,0.1193,0.0000,0.0585,3.4098,0.6742,0.1791,0.5424,0.0161,1.2280,0.1148,1.8648,0.2170,0.0128,5.8633,0.0153,1.0000,0.0021,0.3855,0.0000,0.2500,4.142E-2,5.0000,0.0138,0.1391,0.0139,0.2500,1.574E-4,10.0000,0.0398,0.0661,0.0417,0.3750,5.974E-5,2.0059,0.0043,0.2717,0.0000,0.2500,6.647E-3,24.7071,0.2187,0.0140,0.0972,0.3750,2.907E-8,13.7271,0.0673,0.0425,0.0417,0.3750,6.965E-6,13.7271,0.0673,0.0425,0.0417,0.3750,6.965E-6,2.2979,0.0050,0.2500,0.0139,0.2500,4.227E-3,44.0444,0.7425,0.0051,0.3194,0.3750,1.841E-10,4.9943,0.0138,0.1393,0.0139,0.2500,1.587E-4,15.4806,0.0827,0.0348,0.0833,0.3750,2.635E-6
Zale_minerea,72,3.1740,3.8244,500,0.9860,8,4.5416,0.9968,0.0007,10072,8.1090,4.2302,1.4081,5.1532,4.4063,13.4108,0.6937,3.0333,5.2823,5.1361,0.0519,3.2163,13.6377,0.5389,21.6333,1.8884,0.4168,0.0000,0.2688,0.0000,0.2766,2.4152,0.5901,0.2871,0.4563,0.0746,1.7693,0.1487,0.6935,0.7271,0.0464,6.1013,0.0196,1.0000,0.0026,0.4948,0.0000,0.0000,3.595E-3,5.0000,0.0130,0.2051,0.0139,0.0000,3.134E-6,10.0000,0.0335,0.1012,0.0278,0.0000,1.098E-8,2.7620,0.0066,0.3098,0.0000,0.0000,8.478E-5,22.9018,0.1536,0.0256,0.0972,0.0000,1.854E-13,15.2670,0.0697,0.0556,0.0556,0.0000,9.132E-11,20.1555,0.1179,0.0334,0.0556,0.0000,1.534E-12,43.1290,0.7268,0.0055,0.2778,0.0000,7.906E-19,43.1290,0.7268,0.0055,0.2778,0.0000,7.906E-19,6.2679,0.0174,0.1686,0.0139,0.0000,6.525E-7,17.4157,0.0869,0.0443,0.0556,0.0000,1.478E-11
Zale_minerea,73,3.1862,3.8272,500,0.9846,7,4.5872,0.9972,0.0008,10073,13.2964,5.8965,0.0293,0.7751,3.3540,10.5875,0.6094,3.0419,1.9147,9.1518,0.0571,3.1281,19.2252,0.4350,14.8728,2.0080,0.0910,0.0685,0.3464,0.0000,0.1815,3.0151,0.4999,0.1715,0.5174,0.4131,1.7065,0.3120,1.8157,2.4317,0.0471,6.0628,0.0188,1.0000,0.0025,0.4738,0.0000,0.0000,5.363E-3,5.0000,0.0132,0.1930,0.0137,0.0000,9.972E-6,10.0000,0.0348,0.0947,0.0411,0.0000,6.835E-8,1.5767,0.0037,0.3938,0.0000,0.0000,1.469E-3,23.6182,0.1639,0.0221,0.0959,0.0000,2.606E-12,14.7066,0.0656,0.0548,0.0548,0.0000,1.484E-9,18.2436,0.1007,0.0375,0.0548,0.0000,1.048E-10,42.3091,0.6805,0.0056,0.2740,0.0000,1.641E-16,42.3091,0.6805,0.0056,0.2740,0.0000,1.641E-16,6.0105,0.0168,0.1644,0.0137,0.0000,3.246E-6,17.0136,0.0867,0.0426,0.0548,0.0000,2.541E-10
Zale_minerea,72,3.2030,3.8414,500,0.9862,8,3.9227,0.9851,0.0113,10072,6.5883,4.8812,5.4610,5.6468,4.1648,11.8103,0.8251,1.8112,1.5899,1.8625,0.0590,3.9312,16.2955,0.4703,21.3208,2.0087,0.1882,0.0000,0.3198,0.0000,0.2163,2.6185,2.6797,0.1684,0.4956,0.0193,1.6685,0.3335,0.9128,1.6116,0.0413,6.0753,0.0191,1.0000,0.0025,0.4821,0.0000,0.0000,2.919E-3,5.0000,0.0131,0.1989,0.0139,0.0000,2.446E-6,10.0000,0.0337,0.0982,0.0417,0.1250,6.436E-7,3.2994,0.0081,0.2690,0.0000,0.0000,2.739E-5,26.4178,0.2069,0.0174,0.0972,0.1250,3.766E-12,14.9025,0.0680,0.0556,0.0556,0.1250,1.25E-8,19.7682,0.1122,0.0335,0.0556,0.1250,3.646E-10,9.9259,0.0335,0.0992,0.0417,0.1250,6.899E-7,9.9226,0.0335,0.0992,0.0417,0.0000,9.367E-9,3.2994,0.0081,0.2690,0.0000,0.0000,2.739E-5,17.3173,0.0887,0.0431,0.0556,0.1250,2.123E-9
Zale_minerea,72,3.2835,3.9178,500,0.9858,8,2.7434,0.9590,0.0176,10072,11.0588,7.8886,4.2909,4.8028,3.5477,7.3044,1.5107,4.1065,1.4511,4.9426,0.0112,2.7540,16.0181,0.3033,18.2413,2.6174,0.1203,0.0000,0.2921,0.0000,0.1277,2.8174,0.3899,0.2244,0.4770,0.0138,1.4896,0.0364,1.3748,1.7870,0.0000,5.9636,0.0169,1.0000,0.0023,0.4576,0.0000,0.0000,1.923E-3,5.0000,0.0122,0.1843,0.0139,0.0000,1.33E-6,10.0000,0.0320,0.0879,0.0556,0.3750,2.336E-4,1.9362,0.0042,0.3434,0.0000,0.0000,1.935E-4,20.6768,0.1317,0.0247,0.0972,0.3750,4.858E-7,13.5987,0.0540,0.0556,0.0556,0.3750,2.581E-5,19.9722,0.1189,0.0266,0.0556,0.3750,6.984E-7,7.5698,0.0213,0.1230,0.0278,0.1250,3.043E-6,7.5660,0.0212,0.1230,0.0278,0.0000,5.244E-8,6.1661,0.0159,0.1521,0.0139,0.0000,2.865E-7,16.6745,0.0795,0.0386,0.0556,0.3750,4.363E-6
Zale_minerea,73,3.3328,3.9602,500,0.9887,7,1.6962,0.9374,0.0199,10073,8.8818,4.1087,5.7414,0.2567,6.0160,13.8429,1.4208,2.2966,2.5072,8.0085,0.0119,3.0094,13.0773,0.3078,22.1482,1.9490,0.3280,0.0782,0.9466,0.0000,0.3555,1.0960,1.1873,0.2655,0.2719,0.4157,0.5838,0.1201,0.4341,0.3331,0.0000,5.9326,0.0162,1.0000,0.0021,0.4742,0.0000,0.0000,5.395E-3,5.0000,0.0112,0.1871,0.0137,0.0000,8.037E-6,10.0000,0.0293,0.0875,0.0274,0.5714,1.789E-2,3.4633,0.0073,0.2503,0.0000,0.0000,6.15E-5,24.1709,0.1908,0.0155,0.0959,0.5714,1.241E-4,14.5557,0.0597,0.0479,0.0411,0.5714,3.315E-3,14.3409,0.0577,0.0491,0.0274,0.5714,3.576E-3,7.5393,0.0199,0.1248,0.0274,0.1429,2.361E-5,7.5362,0.0199,0.1248,0.0274,0.0000,4.712E-7,3.4633,0.0073,0.2503,0.0000,0.0000,6.15E-5,16.5695,0.0760,0.0374,0.0548,0.5714,1.638E-3
