Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Zale_unilineata,36,3.9119,4.9168,500,0.9871,5,4.9903,0.9974,0.0005,10036,8.5177,8.3225,1.2252,0.0975,5.6999,25.7862,4.2884,2.4619,0.1104,4.6345,0.0000,3.9745,6.2534,0.8107,15.9461,2.1944,0.0000,0.1324,0.3647,0.0000,0.0012,0.4612,0.8625,0.0000,0.1520,0.4503,1.1164,0.0000,5.8192,0.3168,0.0000,5.3314,0.0088,1.0000,0.0013,0.3240,0.0278,0.0000,3.572E-3,5.0000,0.0096,0.1069,0.0278,0.0000,1.397E-5,10.0000,0.0292,0.0452,0.0278,0.0000,1.894E-7,0.6158,0.0008,0.3998,0.0000,0.0000,1.021E-2,35.5899,0.6553,0.0037,0.0278,0.0000,6.811E-13,13.3504,0.0496,0.0278,0.0278,0.0000,1.66E-8,35.5899,0.6553,0.0037,0.0278,0.0000,6.811E-13,35.5899,0.6553,0.0037,0.0278,0.0000,6.811E-13,35.5899,0.6553,0.0037,0.0278,0.0000,6.811E-13,4.4582,0.0082,0.1194,0.0278,0.0000,2.424E-5,15.5777,0.0711,0.0205,0.0278,0.0000,3.644E-9
Zale_unilineata,36,3.9244,4.8838,500,0.9872,5,4.3326,0.9965,0.0006,10036,9.3531,1.0899,0.2726,5.4295,6.1248,22.8889,3.5727,3.0463,0.0536,6.8357,0.0000,3.7617,5.7836,0.4044,19.8589,3.6182,0.0000,0.1394,0.4628,0.0000,0.0000,0.7234,1.0228,0.0000,0.0520,0.4165,0.4511,0.0000,4.5509,0.0873,0.0000,5.3442,0.0089,1.0000,0.0013,0.3434,0.0278,0.0000,4.773E-3,5.0000,0.0091,0.1139,0.0278,0.0000,1.916E-5,10.0000,0.0284,0.0486,0.0278,0.0000,2.718E-7,0.7189,0.0009,0.3968,0.0000,0.0000,9.833E-3,34.4168,0.6104,0.0037,0.0833,0.4000,4.983E-7,13.9499,0.0518,0.0278,0.0278,0.0000,1.66E-8,32.0776,0.4384,0.0040,0.0278,0.0000,1.006E-12,32.0776,0.4384,0.0040,0.0278,0.0000,1.006E-12,32.0776,0.4384,0.0040,0.0278,0.0000,1.006E-12,4.6528,0.0083,0.1222,0.0278,0.0000,2.721E-5,16.1032,0.0751,0.0208,0.0278,0.0000,3.917E-9
Zale_unilineata,37,3.9060,4.8882,500,0.9860,4,4.9438,0.9976,0.0007,10037,8.6148,2.1685,2.3088,0.8588,6.2258,22.9009,4.2970,2.3135,1.8356,6.3651,0.0000,4.0862,9.7563,0.1071,15.5861,2.1571,0.0000,0.2873,0.4088,0.0000,0.0000,1.2549,0.5378,0.0000,0.1098,0.9607,1.6126,0.0000,4.9592,0.2873,0.0000,5.3856,0.0093,1.0000,0.0014,0.3321,0.0270,0.0000,1.216E-2,5.0000,0.0099,0.1111,0.0270,0.0000,1.523E-4,10.0000,0.0296,0.0477,0.0270,0.0000,5.187E-6,0.4632,0.0007,0.4523,0.0000,0.0000,4.186E-2,41.8717,0.7029,0.0031,0.0811,0.2500,1.176E-7,14.1018,0.0579,0.0270,0.0270,0.0000,5.314E-7,35.0602,0.6369,0.0039,0.0270,0.0000,2.28E-10,35.0602,0.6369,0.0039,0.0270,0.0000,2.28E-10,35.0602,0.6369,0.0039,0.0270,0.0000,2.28E-10,4.5219,0.0086,0.1223,0.0270,0.0000,2.241E-4,15.7791,0.0729,0.0217,0.0270,0.0000,2.225E-7
Zale_unilineata,38,3.9223,4.8608,500,0.9857,3,4.2060,0.9961,0.0008,10038,6.6203,1.6267,2.1344,1.1736,7.6234,22.8621,3.8728,2.0599,0.0307,10.4419,0.0000,3.0815,8.1755,0.1941,17.9839,2.5923,0.0000,0.1746,0.4367,0.0000,0.0115,0.8019,1.7146,0.0000,0.0260,0.6707,1.2527,0.0000,4.2783,0.0892,0.0706,5.3481,0.0090,1.0000,0.0014,0.3162,0.0263,0.0000,3.161E-2,5.0000,0.0100,0.1031,0.0263,0.0000,1.096E-3,10.0000,0.0311,0.0433,0.0263,0.0000,8.138E-5,0.3617,0.0005,0.4718,0.0000,0.0000,1.05E-1,34.1865,0.6155,0.0040,0.0263,0.3333,4.751E-5,13.5340,0.0556,0.0263,0.0263,0.0000,1.819E-5,34.1865,0.6155,0.0040,0.0263,0.3333,4.751E-5,28.4672,0.3510,0.0052,0.0263,0.0000,1.39E-7,28.4672,0.3510,0.0052,0.0263,0.0000,1.39E-7,4.3488,0.0083,0.1178,0.0263,0.0000,1.633E-3,15.3121,0.0761,0.0209,0.0263,0.0000,9.156E-6
Zale_unilineata,37,3.9282,4.9003,500,0.9864,4,5.0335,0.9977,0.0006,10037,10.5171,2.4638,2.4293,1.0848,8.4526,21.6941,3.8027,2.3804,1.1538,6.2188,0.0000,3.8459,8.8370,0.2965,12.6671,3.1645,0.0000,0.3621,0.8800,0.0000,0.0000,0.5391,0.1142,0.0000,0.0262,0.7476,2.3139,0.0000,5.7048,0.3035,0.0000,5.3168,0.0087,1.0000,0.0014,0.3101,0.0270,0.0000,9.242E-3,5.0000,0.0098,0.1004,0.0270,0.0000,1.017E-4,10.0000,0.0306,0.0419,0.0270,0.0000,3.095E-6,0.4255,0.0006,0.4366,0.0000,0.0000,3.633E-2,40.5984,0.6978,0.0032,0.0541,0.2500,1.293E-7,13.0043,0.0503,0.0270,0.0270,0.0000,5.314E-7,34.1450,0.6403,0.0039,0.0270,0.0000,2.28E-10,34.1450,0.6403,0.0039,0.0270,0.0000,2.28E-10,34.1450,0.6403,0.0039,0.0270,0.0000,2.28E-10,4.2851,0.0080,0.1167,0.0270,0.0000,1.853E-4,15.0737,0.0685,0.0202,0.0270,0.0000,1.673E-7
Zale_unilineata,37,3.9093,4.9006,500,0.9868,4,5.0372,0.9980,0.0007,10037,3.8589,4.4030,2.2464,2.9292,9.0309,19.0351,4.4424,3.9194,0.7316,7.8517,0.0000,3.5292,8.5000,0.3057,16.8324,2.5878,0.0000,0.2753,0.5028,0.0000,0.0000,1.0376,1.0263,0.0000,0.0829,0.8142,1.4530,0.0000,4.3112,0.2928,0.0000,5.3332,0.0088,1.0000,0.0013,0.3137,0.0270,0.0000,9.689E-3,5.0000,0.0098,0.1027,0.0270,0.0000,1.113E-4,10.0000,0.0302,0.0435,0.0270,0.0000,3.593E-6,0.4960,0.0007,0.4206,0.0000,0.0000,3.131E-2,41.1606,0.6956,0.0031,0.0811,0.2500,1.176E-7,13.3779,0.0534,0.0270,0.0270,0.0000,5.314E-7,33.4521,0.6160,0.0040,0.0270,0.0000,2.522E-10,33.4521,0.6160,0.0040,0.0270,0.0000,2.522E-10,33.4521,0.6160,0.0040,0.0270,0.0000,2.522E-10,4.4126,0.0082,0.1162,0.0270,0.0000,1.821E-4,15.3789,0.0712,0.0206,0.0270,0.0000,1.809E-7
Zale_unilineata,37,4.1847,5.1900,500,0.9981,4,1.2566,0.7689,0.1979,10037,3.8338,5.7727,2.0510,1.4731,7.1565,23.7383,2.3057,2.8799,0.0000,4.7629,0.0000,3.1619,8.8843,0.2721,16.7339,5.0737,0.0216,0.0259,0.1457,0.0000,0.0000,0.5344,1.4131,0.6162,0.0000,0.3126,3.0913,0.0000,5.1469,0.5924,0.0000,5.0500,0.0067,1.0000,0.0014,0.1981,0.0000,0.2500,2.646E-2,5.0000,0.0127,0.0590,0.0000,0.2500,7.844E-4,10.0000,0.0414,0.0244,0.0000,0.2500,5.711E-5,30.1273,0.5576,0.0039,0.0000,0.2500,2.34E-7,32.4024,0.6829,0.0037,0.0270,0.5000,8.114E-5,30.1273,0.5576,0.0039,0.0000,0.2500,2.34E-7,30.1273,0.5576,0.0039,0.0000,0.2500,2.34E-7,0.6369,0.0008,0.2500,0.0000,0.2500,5.077E-2,30.1273,0.5576,0.0039,0.0000,0.2500,2.34E-7,3.0763,0.0062,0.0919,0.0000,0.2500,2.887E-3,13.0624,0.0640,0.0155,0.0000,0.2500,1.484E-5
Zale_unilineata,37,3.9162,4.9000,500,0.9877,4,4.1447,0.9962,0.0008,10037,10.8845,3.3050,1.3425,0.1461,9.0077,18.2870,4.3380,3.6954,0.0125,8.4893,0.0000,3.7249,10.5503,0.1948,15.7279,2.4610,0.0000,0.2516,0.5426,0.0000,0.0000,2.7498,0.1810,0.0000,0.0685,0.7907,0.8227,0.0000,2.1879,0.2189,0.0195,5.3382,0.0089,1.0000,0.0014,0.3035,0.0270,0.0000,8.482E-3,5.0000,0.0102,0.0985,0.0270,0.0000,9.427E-5,10.0000,0.0329,0.0415,0.0270,0.0000,2.979E-6,0.5681,0.0008,0.3898,0.0000,0.0000,2.308E-2,37.2133,0.6969,0.0037,0.0270,0.5000,8.114E-5,13.0030,0.0509,0.0270,0.0270,0.0000,5.314E-7,37.2133,0.6969,0.0037,0.0270,0.5000,8.114E-5,29.1284,0.3606,0.0050,0.0270,0.0000,6.158E-10,29.1284,0.3606,0.0050,0.0270,0.0000,6.158E-10,4.2699,0.0082,0.1149,0.0270,0.0000,1.741E-4,14.9858,0.0739,0.0207,0.0270,0.0000,1.844E-7
Zale_unilineata,37,3.9076,4.8922,500,0.9869,4,4.9928,0.9977,0.0007,10037,9.7305,1.8848,1.2311,1.8303,5.9433,28.1728,4.1108,2.8209,0.0845,6.9749,0.0000,4.2384,6.5772,0.8411,12.0132,3.1312,0.0000,0.4323,1.1834,0.0000,0.0269,0.9414,0.4934,0.0000,0.1392,0.7172,1.2640,0.0000,4.7977,0.3686,0.0508,5.3636,0.0091,1.0000,0.0014,0.3252,0.0270,0.0000,1.118E-2,5.0000,0.0099,0.1074,0.0270,0.0000,1.331E-4,10.0000,0.0299,0.0458,0.0270,0.0000,4.412E-6,0.5510,0.0008,0.4186,0.0000,0.0000,3.069E-2,41.3801,0.7034,0.0032,0.0541,0.2500,1.293E-7,13.6978,0.0536,0.0270,0.0270,0.0000,5.314E-7,35.0148,0.6591,0.0038,0.0270,0.0000,2.055E-10,35.0148,0.6591,0.0038,0.0270,0.0000,2.055E-10,35.0148,0.6591,0.0038,0.0270,0.0000,2.055E-10,4.4312,0.0084,0.1206,0.0270,0.0000,2.112E-4,15.4929,0.0728,0.0212,0.0270,0.0000,2.028E-7
Zale_unilineata,37,3.9411,4.9051,500,0.9865,4,4.0570,0.9920,0.0048,10037,0.3179,6.6561,2.5129,1.8645,7.8469,21.9430,4.0437,2.5703,0.0943,8.8135,0.0000,3.1250,9.2090,0.4802,16.8829,2.1823,0.0039,0.2449,0.7516,0.0000,0.0000,0.8925,1.6162,0.0000,0.0863,0.7909,1.8935,0.0000,4.8141,0.3512,0.0124,5.3026,0.0086,1.0000,0.0014,0.2810,0.0270,0.0000,6.231E-3,5.0000,0.0113,0.0885,0.0270,0.0000,6.127E-5,10.0000,0.0345,0.0381,0.0270,0.0000,2.098E-6,0.3466,0.0005,0.4346,0.0000,0.0000,3.567E-2,40.1954,0.6984,0.0033,0.0270,0.2500,1.418E-7,12.4202,0.0519,0.0270,0.0270,0.0000,5.314E-7,40.1954,0.6984,0.0033,0.0270,0.2500,1.418E-7,13.0931,0.0586,0.0247,0.0270,0.0000,3.727E-7,13.0931,0.0586,0.0247,0.0270,0.0000,3.727E-7,3.9943,0.0079,0.1096,0.0270,0.0000,1.443E-4,14.7978,0.0758,0.0199,0.0270,0.2500,3.117E-5
